---- AnyBody Output File ---------------------------------
Study: Main.Study1
Operation: Main.Study1.InverseDynamicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.Study1.OutFile1.FileName = "MaxActivity.csv"
Main.Study1.OutFile1.NumberFormat.Digits = 15
Main.Study1.OutFile1.NumberFormat.Width = 22
Main.Study1.OutFile1.NumberFormat.Style = ScientificNumber
Main.Study1.OutFile1.NumberFormat.FormatStr = "%22.15e"
Main.Study1.OutFile1.Search = 
Main.Study1.OutFile1.SepSign = ","
Main.Study1.OutFile1.LineSepSign = ""
Main.Study1.OutFile1.Header.TitleSectionOnOff = On
Main.Study1.OutFile1.Header.ConstSectionOnOff = On
Main.Study1.OutFile1.Header.VarSectionOnOff = On
Main.Study1.OutFile1.Header.ColumnNamesOnOff = On
Main.Study1.OutFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study1.t
col1  Main.Study1.OutFile1.MaxAct
----------------------------------------------------------
Main.Study1.t,Main.Study1.OutFile1.MaxAct
0.000000000000000e+000,1.257263975134466e-001
7.500000000000000e-003,1.243242165611138e-001
1.500000000000000e-002,1.268930484485435e-001
2.250000000000000e-002,1.320932611307322e-001
3.000000000000000e-002,1.388830301963041e-001
3.750000000000000e-002,1.464623601591970e-001
4.500000000000000e-002,1.535069430305568e-001
5.250000000000000e-002,1.603021222903955e-001
6.000000000000000e-002,1.671948820588761e-001
6.750000000000000e-002,1.706936193094123e-001
7.500000000000001e-002,1.724557141187990e-001
8.250000000000002e-002,1.738834696226246e-001
9.000000000000002e-002,1.749924710571555e-001
9.750000000000003e-002,1.758281617638069e-001
1.050000000000000e-001,1.764503190728010e-001
1.125000000000000e-001,1.769227009993174e-001
1.200000000000001e-001,1.773064338280094e-001
1.275000000000001e-001,1.776560422940298e-001
1.350000000000001e-001,1.779832681746672e-001
1.425000000000001e-001,1.779799224556442e-001
1.500000000000001e-001,1.780889859261813e-001
1.575000000000001e-001,1.783193867463112e-001
1.650000000000001e-001,1.786724119827702e-001
1.725000000000001e-001,1.791420768819875e-001
1.800000000000001e-001,1.797155431989128e-001
1.875000000000001e-001,1.803735827069120e-001
1.950000000000001e-001,1.810911273315805e-001
2.025000000000001e-001,1.808709275493756e-001
2.100000000000001e-001,1.805621158030367e-001
2.175000000000001e-001,1.801747299006556e-001
2.250000000000001e-001,1.796631471934911e-001
2.325000000000002e-001,1.789848543491061e-001
2.400000000000002e-001,1.781050058196268e-001
2.475000000000002e-001,1.770025661885815e-001
2.550000000000002e-001,1.756783297151833e-001
2.625000000000002e-001,1.741651932332260e-001
2.700000000000002e-001,1.725413688219017e-001
2.775000000000002e-001,1.709480715367100e-001
2.850000000000002e-001,1.696151226775030e-001
2.925000000000002e-001,1.689020574639757e-001
3.000000000000002e-001,1.693714464601850e-001
3.075000000000002e-001,1.700518093451934e-001
3.150000000000002e-001,1.691161631221021e-001
3.225000000000002e-001,1.659403846655336e-001
3.300000000000002e-001,1.644829389854599e-001
3.375000000000002e-001,1.681922086721347e-001
3.450000000000003e-001,1.802227216964156e-001
3.525000000000003e-001,1.745408857917721e-001
3.600000000000003e-001,1.479889696543203e-001
3.675000000000003e-001,1.328234245628359e-001
3.750000000000003e-001,1.257066400396941e-001
3.825000000000003e-001,1.243014682902450e-001
3.900000000000003e-001,1.268690710262967e-001
3.975000000000003e-001,1.320699851800309e-001
4.050000000000003e-001,1.388623443091276e-001
4.125000000000003e-001,1.464459466942847e-001
4.200000000000003e-001,1.534974303164808e-001
4.275000000000003e-001,1.602937660870022e-001
4.350000000000003e-001,1.671870414816676e-001
4.425000000000003e-001,1.706875524293871e-001
4.500000000000003e-001,1.724535718085967e-001
4.575000000000004e-001,1.738849032270260e-001
4.650000000000004e-001,1.749971194644563e-001
4.725000000000004e-001,1.758356732723012e-001
4.800000000000004e-001,1.764603618328897e-001
4.875000000000004e-001,1.769349766421009e-001
4.950000000000004e-001,1.773206667912263e-001
5.025000000000004e-001,1.776719939009380e-001
5.100000000000003e-001,1.779987707923048e-001
5.175000000000003e-001,1.779966869692077e-001
5.250000000000002e-001,1.781068263222184e-001
5.325000000000002e-001,1.783381299518370e-001
5.400000000000002e-001,1.786918950166287e-001
5.475000000000001e-001,1.791621388888725e-001
5.550000000000001e-001,1.797360194952202e-001
5.625000000000000e-001,1.803943043115468e-001
5.700000000000000e-001,1.811119164327524e-001
5.774999999999999e-001,1.808860670809137e-001
5.849999999999999e-001,1.805768279822698e-001
5.924999999999998e-001,1.801888295462478e-001
5.999999999999998e-001,1.796764388159352e-001
6.074999999999997e-001,1.789971285909590e-001
6.149999999999997e-001,1.781160333809485e-001
6.224999999999996e-001,1.770120903342269e-001
6.299999999999996e-001,1.756860600590356e-001
6.374999999999995e-001,1.741707903781946e-001
6.449999999999995e-001,1.725444365927355e-001
6.524999999999994e-001,1.709481447151855e-001
6.599999999999994e-001,1.696116591534557e-001
6.674999999999993e-001,1.688944311191061e-001
6.749999999999993e-001,1.693589389948316e-001
6.824999999999992e-001,1.700388444024116e-001
6.899999999999992e-001,1.690990859901710e-001
6.974999999999991e-001,1.659201493136166e-001
7.049999999999991e-001,1.644629844182100e-001
7.124999999999990e-001,1.681753743759067e-001
7.199999999999990e-001,1.802145661862540e-001
7.274999999999989e-001,1.745445607857642e-001
7.349999999999989e-001,1.479987329972885e-001
7.424999999999988e-001,1.328386744783369e-001
7.499999999999988e-001,1.257263632350247e-001
