---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.FileName = "LPSI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.pz
 2.841700000000000e+000  -1.675546871491113e+000  -2.753967435152491e-001   9.908914294318416e-001
 2.854385350318471e+000  -1.659303488198183e+000  -2.771597983339239e-001   9.890175347336304e-001
 2.867070700636943e+000  -1.642767040009812e+000  -2.788871596378177e-001   9.874548187370263e-001
 2.879756050955414e+000  -1.625974840093697e+000  -2.805307358647578e-001   9.862633262811633e-001
 2.892441401273886e+000  -1.608982485599328e+000  -2.820414774726431e-001   9.854916133653840e-001
 2.905126751592357e+000  -1.591862172407865e+000  -2.833786835962847e-001   9.851715714377852e-001
 2.917812101910828e+000  -1.574696121186222e+000  -2.845230705322059e-001   9.853097057566145e-001
 2.930497452229300e+000  -1.557567571486284e+000  -2.854864521484919e-001   9.858848675147398e-001
 2.943182802547771e+000  -1.540553156492166e+000  -2.863127399048218e-001   9.868537761383557e-001
 2.955868152866243e+000  -1.523715378202072e+000  -2.870721505436419e-001   9.881585342630840e-001
 2.968553503184714e+000  -1.507094586681127e+000  -2.878513177910894e-001   9.897301672908387e-001
 2.981238853503185e+000  -1.490706550561717e+000  -2.887357843463714e-001   9.914905772441488e-001
 2.993924203821657e+000  -1.474550783729324e+000  -2.897862352669914e-001   9.933615099867312e-001
 3.006609554140128e+000  -1.458621457537375e+000  -2.910202526925881e-001   9.952795579158198e-001
 3.019294904458600e+000  -1.442909568892845e+000  -2.924110821584807e-001   9.972051052985871e-001
 3.031980254777071e+000  -1.427400803916413e+000  -2.939017549168176e-001   9.991205086410057e-001
 3.044665605095542e+000  -1.412076085711314e+000  -2.954258273560724e-001   1.001021971554450e+000
 3.057350955414014e+000  -1.396915050594979e+000  -2.969259405494888e-001   1.002910079068627e+000
 3.070036305732485e+000  -1.381897697279857e+000  -2.983637637045538e-001   1.004781557971846e+000
 3.082721656050957e+000  -1.367002771924003e+000  -2.997208112124558e-001   1.006623590868345e+000
 3.095407006369428e+000  -1.352207077387665e+000  -3.009928885467620e-001   1.008411331854460e+000
 3.108092356687899e+000  -1.337487314479120e+000  -3.021840228454310e-001   1.010109561306757e+000
 3.120777707006371e+000  -1.322821929141276e+000  -3.033025031471815e-001   1.011677924224115e+000
 3.133463057324842e+000  -1.308192895573820e+000  -3.043563139803345e-001   1.013076812858747e+000
 3.146148407643314e+000  -1.293588473702502e+000  -3.053456150195439e-001   1.014272192811879e+000
 3.158833757961785e+000  -1.279007569890561e+000  -3.062539114507023e-001   1.015237385414961e+000
 3.171519108280256e+000  -1.264461547901666e+000  -3.070451797594270e-001   1.015952205223574e+000
 3.184204458598728e+000  -1.249961771782557e+000  -3.076747233429247e-001   1.016402215198686e+000
 3.196889808917199e+000  -1.235505261367549e+000  -3.081054199426747e-001   1.016578467133579e+000
 3.209575159235671e+000  -1.221076498578809e+000  -3.083137291239955e-001   1.016476979604515e+000
 3.222260509554142e+000  -1.206653415347618e+000  -3.082872556304056e-001   1.016095822760685e+000
 3.234945859872613e+000  -1.192209920847322e+000  -3.080206333917893e-001   1.015433110582343e+000
 3.247631210191085e+000  -1.177717382544579e+000  -3.075137013623286e-001   1.014489068273915e+000
 3.260316560509556e+000  -1.163145483965991e+000  -3.067708890136320e-001   1.013267077221865e+000
 3.273001910828028e+000  -1.148463926909425e+000  -3.057993894699224e-001   1.011772402722736e+000
 3.285687261146499e+000  -1.133644720346480e+000  -3.046090034031048e-001   1.010012703822018e+000
 3.298372611464970e+000  -1.118662925686931e+000  -3.032119488871576e-001   1.008000212959007e+000
 3.311057961783442e+000  -1.103497323885391e+000  -3.016193290397832e-001   1.005755198144360e+000
 3.323743312101913e+000  -1.088130982509486e+000  -2.998413049737281e-001   1.003307883418455e+000
 3.336428662420385e+000  -1.072550757156078e+000  -2.978938058357519e-001   1.000697987089878e+000
 3.349114012738856e+000  -1.056746161794226e+000  -2.958030419980920e-001   9.979756534032974e-001
 3.361799363057327e+000  -1.040706300425290e+000  -2.936068918129092e-001   9.952002792398283e-001
 3.374484713375799e+000  -1.024416995270536e+000  -2.913542260455577e-001   9.924375614444352e-001
 3.387170063694270e+000  -1.007863985163036e+000  -2.890990274228968e-001   9.897601421676064e-001
 3.399855414012742e+000  -9.910391790965579e-001  -2.868947658054419e-001   9.872512146250240e-001
 3.412540764331213e+000  -9.739441809091917e-001  -2.847903653410593e-001   9.850040774510559e-001
 3.425226114649684e+000  -9.565937906822817e-001  -2.828267771934638e-001   9.831139355821059e-001
 3.437911464968156e+000  -9.390186418318780e-001  -2.810356711813860e-001   9.816658568702574e-001
 3.450596815286627e+000  -9.212627094338609e-001  -2.794395235982893e-001   9.807253978719640e-001
 3.463282165605099e+000  -9.033798221508500e-001  -2.780519379931657e-001   9.803305560910576e-001
 3.475967515923570e+000  -8.854327563482173e-001  -2.768764819658692e-001   9.804805679764146e-001
 3.488652866242041e+000  -8.674912721711934e-001  -2.759040894242292e-001   9.811288381398331e-001
 3.501338216560513e+000  -8.496294239907193e-001  -2.751094873187500e-001   9.821908220824022e-001
 3.514023566878984e+000  -8.319213268022376e-001  -2.744481841602634e-001   9.835690903512326e-001
 3.526708917197456e+000  -8.144358862937308e-001  -2.738588928403909e-001   9.851800927136599e-001
 3.539394267515927e+000  -7.972347240321259e-001  -2.732765422191208e-001   9.869639449581105e-001
 3.552079617834398e+000  -7.803712855277422e-001  -2.726513330095025e-001   9.888759515843846e-001
 3.564764968152870e+000  -7.638865127359694e-001  -2.719616067115316e-001   9.908767840133889e-001
 3.577450318471341e+000  -7.478036507391840e-001  -2.712104735356107e-001   9.929324617183760e-001
 3.590135668789813e+000  -7.321263029960651e-001  -2.704097434564760e-001   9.950217573735080e-001
 3.602821019108284e+000  -7.168387510071898e-001  -2.695675167241756e-001   9.971396993888421e-001
 3.615506369426755e+000  -7.019077997616919e-001  -2.686892514967155e-001   9.992879238162741e-001
