---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers.C7.MarkerPositionFile.FileName = "C7.txt"
Main.MarkerModel.Markers.C7.MarkerPositionFile.Search = 
Main.MarkerModel.Markers.C7.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers.C7.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers.C7.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers.C7.MarkerPositionFile.px
col2  Main.MarkerModel.Markers.C7.MarkerPositionFile.py
col3  Main.MarkerModel.Markers.C7.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers.C7.MarkerPositionFile.px  Main.MarkerModel.Markers.C7.MarkerPositionFile.py  Main.MarkerModel.Markers.C7.MarkerPositionFile.pz
 1.666666666666667e-001  -7.750942002106825e-001   2.547033311155836e-001   1.599800516774948e+000
 1.834451901565996e-001  -7.537328522495778e-001   2.537172202082733e-001   1.598429797222149e+000
 2.002237136465324e-001  -7.321637491542637e-001   2.526728267676682e-001   1.596406359655682e+000
 2.170022371364653e-001  -7.103417207750721e-001   2.515111847723309e-001   1.593764239513405e+000
 2.337807606263982e-001  -6.882403515290355e-001   2.502709896788791e-001   1.590634671703896e+000
 2.505592841163311e-001  -6.658578140899468e-001   2.489770899255862e-001   1.587182708899375e+000
 2.673378076062640e-001  -6.432244506560421e-001   2.475314815652865e-001   1.583555774431879e+000
 2.841163310961968e-001  -6.204384154303386e-001   2.458925012068806e-001   1.579892017581073e+000
 3.008948545861297e-001  -5.974745582739974e-001   2.441428376800315e-001   1.576406125677434e+000
 3.176733780760626e-001  -5.742039816129028e-001   2.422623378331258e-001   1.573284953671276e+000
 3.344519015659954e-001  -5.506579641566093e-001   2.401008938836453e-001   1.570548801597383e+000
 3.512304250559283e-001  -5.269566723616859e-001   2.375985709979024e-001   1.568264798643908e+000
 3.680089485458611e-001  -5.031045671956929e-001   2.348292226283980e-001   1.566708685710327e+000
 3.847874720357940e-001  -4.789014613530642e-001   2.318607582409056e-001   1.566153324682912e+000
 4.015659955257269e-001  -4.542172711503567e-001   2.287146320048949e-001   1.566639123206039e+000
 4.183445190156597e-001  -4.293237296988109e-001   2.255533137571389e-001   1.567955155937621e+000
 4.351230425055926e-001  -4.046458676632735e-001   2.226106706549557e-001   1.569746370588182e+000
 4.519015659955254e-001  -3.804169567298460e-001   2.200207667478699e-001   1.571684446684465e+000
 4.686800894854583e-001  -3.566146381175056e-001   2.178259746677541e-001   1.573662081272561e+000
 4.854586129753912e-001  -3.330756810071691e-001   2.159210885432883e-001   1.575832014194938e+000
 5.022371364653241e-001  -3.097031671625861e-001   2.142517157859964e-001   1.578364724475383e+000
 5.190156599552570e-001  -2.865182926527683e-001   2.128729632199069e-001   1.581228031772477e+000
 5.357941834451899e-001  -2.635778913754879e-001   2.117339022869561e-001   1.584262351075367e+000
 5.525727069351228e-001  -2.409407866487236e-001   2.107618006664936e-001   1.587324003864751e+000
 5.693512304250558e-001  -2.186287167218466e-001   2.099606356045715e-001   1.590303491978706e+000
 5.861297539149887e-001  -1.965750307674866e-001   2.094017371536082e-001   1.593067092975121e+000
 6.029082774049216e-001  -1.746586471771333e-001   2.091133152552807e-001   1.595441254349121e+000
 6.196868008948545e-001  -1.527072843999417e-001   2.089376933544117e-001   1.597243672590940e+000
 6.364653243847874e-001  -1.305500951932694e-001   2.087229791927991e-001   1.598343653443059e+000
 6.532438478747203e-001  -1.081795360238299e-001   2.085419266970709e-001   1.598769347772840e+000
 6.700223713646533e-001  -8.565843855000346e-002   2.085497792096823e-001   1.598578229235633e+000
 6.868008948545862e-001  -6.297652084370053e-002   2.087896320268840e-001   1.597681745233245e+000
 7.035794183445191e-001  -4.016023759276970e-002   2.092685114694927e-001   1.595999856456966e+000
 7.203579418344520e-001  -1.725816106521220e-002   2.100365808673293e-001   1.593550743520339e+000
 7.371364653243849e-001   5.736914378046309e-003   2.110844798427586e-001   1.590403160213568e+000
 7.539149888143178e-001   2.885005177811542e-002   2.123879441789281e-001   1.586658045647632e+000
 7.706935123042508e-001   5.212221981555058e-002   2.139734092316502e-001   1.582415273133641e+000
 7.874720357941837e-001   7.555803647296218e-002   2.157669057319286e-001   1.577846707500073e+000
 8.042505592841166e-001   9.914014980626351e-002   2.177216919331084e-001   1.573231284729725e+000
 8.210290827740495e-001   1.229315271036527e-001   2.199835691851153e-001   1.568831886435505e+000
 8.378076062639824e-001   1.469690394540943e-001   2.225853947636620e-001   1.564793906633581e+000
 8.545861297539154e-001   1.711579116107219e-001   2.254147976440595e-001   1.561225241639712e+000
 8.713646532438483e-001   1.953929506361261e-001   2.284972411607546e-001   1.558332836243184e+000
 8.881431767337812e-001   2.197158785717520e-001   2.318755082563719e-001   1.556424134569998e+000
 9.049217002237141e-001   2.443280793952128e-001   2.354169524464714e-001   1.555741877087620e+000
 9.217002237136470e-001   2.692306393527543e-001   2.388468410293929e-001   1.556232611644571e+000
 9.384787472035799e-001   2.940169619991607e-001   2.418806121590801e-001   1.557534445158910e+000
 9.552572706935129e-001   3.183153074536328e-001   2.444420743594661e-001   1.559255671103920e+000
 9.720357941834458e-001   3.421432765995152e-001   2.467108576874274e-001   1.561257833184365e+000
 9.888143176733787e-001   3.657571421832390e-001   2.488663660171597e-001   1.563677939569540e+000
 1.005592841163312e+000   3.892960194193599e-001   2.508471560063651e-001   1.566666838373036e+000
 1.022371364653244e+000   4.126784676590207e-001   2.525018604380607e-001   1.570181568104829e+000
 1.039149888143177e+000   4.357954196448748e-001   2.538364974273588e-001   1.574071687798590e+000
 1.055928411633110e+000   4.586336721085293e-001   2.548727570506237e-001   1.578174563671032e+000
