---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers.C7.MarkerPositionFile.FileName = "C7.txt"
Main.MarkerModel.Markers.C7.MarkerPositionFile.Search = 
Main.MarkerModel.Markers.C7.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers.C7.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers.C7.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers.C7.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers.C7.MarkerPositionFile.px
col2  Main.MarkerModel.Markers.C7.MarkerPositionFile.py
col3  Main.MarkerModel.Markers.C7.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers.C7.MarkerPositionFile.px  Main.MarkerModel.Markers.C7.MarkerPositionFile.py  Main.MarkerModel.Markers.C7.MarkerPositionFile.pz
 1.072706935123043e+000   4.812297108312234e-001   2.555686001633062e-001   1.582287000727943e+000
 1.089485458612976e+000   5.035662214019473e-001   2.559723723142484e-001   1.586201078936704e+000
 1.106263982102909e+000   5.256216703257244e-001   2.561539874634752e-001   1.589778143865247e+000
 1.123042505592842e+000   5.474940772780568e-001   2.561331770057103e-001   1.592875444035309e+000
 1.139821029082775e+000   5.694007176599829e-001   2.559815686883386e-001   1.595304966194824e+000
 1.156599552572708e+000   5.915136791896252e-001   2.557561985836431e-001   1.596918315248431e+000
 1.173378076062641e+000   6.138139259571390e-001   2.554024689363371e-001   1.597633755530412e+000
 1.190156599552574e+000   6.362009667463375e-001   2.549292609352745e-001   1.597467619470095e+000
 1.206935123042507e+000   6.586661610575378e-001   2.543942597639408e-001   1.596439308718911e+000
 1.223713646532439e+000   6.812658361738202e-001   2.537593469061513e-001   1.594504671447897e+000
 1.240492170022372e+000   7.040456942335084e-001   2.530306794381929e-001   1.591727471056365e+000
 1.257270693512305e+000   7.270449521001724e-001   2.522251415880297e-001   1.588270676098176e+000
 1.274049217002238e+000   7.502472650525587e-001   2.512655952745824e-001   1.584296903986628e+000
 1.290827740492171e+000   7.735959377847801e-001   2.500928309451883e-001   1.580023500929682e+000
 1.307606263982104e+000   7.970866399904729e-001   2.487118548497017e-001   1.575697302416357e+000
 1.324384787472037e+000   8.207641548004137e-001   2.471192303541321e-001   1.571509257827622e+000
 1.341163310961970e+000   8.447152123733475e-001   2.452818220449737e-001   1.567608004931031e+000
 1.357941834451903e+000   8.689927075480600e-001   2.432197618388061e-001   1.564136891414107e+000
 1.374720357941836e+000   8.934960961801000e-001   2.409738472126497e-001   1.561230897231941e+000
 1.391498881431769e+000   9.180720108269248e-001   2.384817326979098e-001   1.559057090458952e+000
 1.408277404921702e+000   9.427724854136942e-001   2.355544554901726e-001   1.557856566886160e+000
 1.425055928411634e+000   9.678624768258275e-001   2.321209450210448e-001   1.557805920882988e+000
 1.441834451901567e+000   9.933470177917485e-001   2.284219037427712e-001   1.558827013582735e+000
 1.458612975391500e+000   1.018784501603820e+000   2.248007722918886e-001   1.560577180834487e+000
 1.475391498881433e+000   1.043806530805776e+000   2.215228797344099e-001   1.562637193437499e+000
 1.492170022371366e+000   1.068445304254153e+000   2.187159767782916e-001   1.564836766414855e+000
 1.508948545861299e+000   1.092909225829029e+000   2.163480449962421e-001   1.567296096383980e+000
 1.525727069351232e+000   1.117251239003675e+000   2.143327738596604e-001   1.570128713376142e+000
 1.542505592841165e+000   1.141348846392911e+000   2.126181918420771e-001   1.573327734205149e+000
 1.559284116331098e+000   1.165091671887697e+000   2.111854064405844e-001   1.576795520612918e+000
 1.576062639821031e+000   1.188446285131920e+000   2.100117063110896e-001   1.580415082467373e+000
 1.592841163310964e+000   1.211478611276798e+000   2.091312984242068e-001   1.584091487008067e+000
 1.609619686800897e+000   1.234288933596369e+000   2.086624515993321e-001   1.587620447578974e+000
 1.626398210290829e+000   1.256946038460868e+000   2.085331079340795e-001   1.590740436165232e+000
 1.643176733780762e+000   1.279540684370110e+000   2.085133487104677e-001   1.593300770454448e+000
 1.659955257270695e+000   1.302158585494712e+000   2.086170126084679e-001   1.595241950760317e+000
 1.676733780760628e+000   1.324859420993651e+000   2.089078817837715e-001   1.596496314015478e+000
 1.693512304250561e+000   1.347724213390920e+000   2.092674471509923e-001   1.596944898064074e+000
 1.710290827740494e+000   1.370811498053264e+000   2.097180073585599e-001   1.596561541948238e+000
 1.727069351230427e+000   1.394088299323923e+000   2.104207444607515e-001   1.595468501821821e+000
 1.743847874720360e+000   1.417464388788975e+000   2.113980912411240e-001   1.593704491856777e+000
 1.760626398210293e+000   1.440872119630531e+000   2.125843891138617e-001   1.591161396823539e+000
 1.777404921700226e+000   1.464291379397577e+000   2.139771049583265e-001   1.587822413609216e+000
 1.794183445190159e+000   1.487761044945887e+000   2.156059334603245e-001   1.583813541954008e+000
 1.810961968680092e+000   1.511384209648239e+000   2.173997900461758e-001   1.579340281523054e+000
 1.827740492170024e+000   1.535227796778232e+000   2.192727076826872e-001   1.574673756876004e+000
 1.844519015659957e+000   1.559247373437391e+000   2.212695344345873e-001   1.569982017412115e+000
 1.861297539149890e+000   1.583399371651004e+000   2.234808700602730e-001   1.565412410970092e+000
 1.878076062639823e+000   1.607735880560079e+000   2.259574327701892e-001   1.561306500510337e+000
 1.894854586129756e+000   1.632310817496533e+000   2.286815992639919e-001   1.558048506626129e+000
 1.911633109619689e+000   1.657119488447489e+000   2.315991171442822e-001   1.555952908415423e+000
 1.928411633109622e+000   1.682153430682995e+000   2.346092701123655e-001   1.555323225318714e+000
 1.945190156599555e+000   1.707293483189090e+000   2.375671128739031e-001   1.556246101753410e+000
 1.961968680089488e+000   1.732191888077914e+000   2.403663684543443e-001   1.558326223773150e+000
 1.978747203579421e+000   1.756444101218828e+000   2.429190598741233e-001   1.560947180422142e+000
 1.995525727069354e+000   1.779805264365626e+000   2.452409110872743e-001   1.563771391370221e+000
 2.012304250559287e+000   1.802423284792537e+000   2.473248576773112e-001   1.566753289508385e+000
 2.029082774049219e+000   1.824718994990842e+000   2.491453724180142e-001   1.569920505234967e+000
 2.045861297539152e+000   1.846927344756129e+000   2.509312310077941e-001   1.573308088859799e+000
 2.062639821029085e+000   1.869156013691738e+000   2.527398713390704e-001   1.576865091811200e+000
 2.079418344519017e+000   1.891428992997124e+000   2.542973797431587e-001   1.580534026773089e+000
 2.096196868008950e+000   1.913579311969852e+000   2.554956585731626e-001   1.584258326899952e+000
 2.112975391498883e+000   1.935497068891261e+000   2.564157328724050e-001   1.587827401419501e+000
 2.129753914988815e+000   1.957240062986377e+000   2.571083216093977e-001   1.591044583169976e+000
 2.146532438478748e+000   1.978902866748055e+000   2.576499251380931e-001   1.593846094729890e+000
 2.163310961968681e+000   2.000570907112282e+000   2.580678682068402e-001   1.596196924482291e+000
 2.180089485458614e+000   2.022333907686250e+000   2.583105710198094e-001   1.598051851990094e+000
 2.196868008948546e+000   2.044219802882388e+000   2.584691857005923e-001   1.599286113250165e+000
 2.213646532438479e+000   2.066184804652246e+000   2.586486435548012e-001   1.599747159125290e+000
 2.230425055928412e+000   2.088234316909550e+000   2.587648517976323e-001   1.599541559385155e+000
 2.247203579418344e+000   2.110435615903425e+000   2.586586858016478e-001   1.598802670241356e+000
 2.263982102908277e+000   2.132830929938913e+000   2.583100914940192e-001   1.597329849383390e+000
 2.280760626398210e+000   2.155386916857585e+000   2.578490945957855e-001   1.595039668119422e+000
 2.297539149888142e+000   2.178026445887956e+000   2.572608963145978e-001   1.592191316689348e+000
 2.314317673378075e+000   2.200780773874994e+000   2.564332206970976e-001   1.588993789930092e+000
 2.331096196868008e+000   2.223765088369080e+000   2.553972050718478e-001   1.585487211081371e+000
 2.347874720357940e+000   2.247011451151296e+000   2.541403767580615e-001   1.581710258067531e+000
 2.364653243847873e+000   2.270483329814440e+000   2.525714628031642e-001   1.577806161057163e+000
 2.381431767337806e+000   2.294170125184487e+000   2.507052463611046e-001   1.574068399225697e+000
 2.398210290827739e+000   2.318097137495377e+000   2.485683775540729e-001   1.570738887476384e+000
 2.414988814317671e+000   2.342244220422452e+000   2.461758579726563e-001   1.567748203131725e+000
 2.431767337807604e+000   2.366475322228140e+000   2.435669427164103e-001   1.565167243756407e+000
 2.448545861297537e+000   2.390900211500126e+000   2.406554467530694e-001   1.563740300555283e+000
 2.465324384787469e+000   2.415929821164108e+000   2.374867277234973e-001   1.563911357595994e+000
 2.482102908277402e+000   2.441082036205890e+000   2.343855767422960e-001   1.565044172952194e+000
 2.498881431767335e+000   2.465682648088501e+000   2.315743452487223e-001   1.566417668960215e+000
 2.515659955257267e+000   2.489575898598773e+000   2.291837873414240e-001   1.567723818336309e+000
 2.532438478747200e+000   2.512980072484795e+000   2.272840227743077e-001   1.569051050979371e+000
 2.549217002237133e+000   2.536247158056361e+000   2.257368954892667e-001   1.570744623085981e+000
 2.565995525727066e+000   2.559511160755045e+000   2.243800213901253e-001   1.573029756027333e+000
 2.582774049216998e+000   2.582590913230508e+000   2.232202969557371e-001   1.575806056324050e+000
 2.599552572706931e+000   2.605297794253973e+000   2.223151702457983e-001   1.578852589388404e+000
 2.616331096196864e+000   2.627637213462486e+000   2.216730954865553e-001   1.582025988242265e+000
 2.633109619686796e+000   2.649708509879150e+000   2.213104046443300e-001   1.585257820008342e+000
 2.649888143176729e+000   2.671630748085267e+000   2.212541675825905e-001   1.588463465056939e+000
 2.666666666666662e+000   2.693516444660273e+000   2.214807070111257e-001   1.591441055128585e+000
