---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.FileName = "RASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
 3.450596815286627e+000  -7.559719956111346e-001  -4.823389872428811e-001   9.444493556656839e-001
 3.463282165605099e+000  -7.380238879883284e-001  -4.807973650074511e-001   9.425257785146375e-001
 3.475967515923570e+000  -7.197123151083534e-001  -4.789970175548473e-001   9.407292041600822e-001
 3.488652866242041e+000  -7.011910606702376e-001  -4.769703142836186e-001   9.391284365465348e-001
 3.501338216560513e+000  -6.826283314766086e-001  -4.747524855657475e-001   9.377858938345677e-001
 3.514023566878984e+000  -6.641861717348534e-001  -4.723783309482968e-001   9.367450864519964e-001
 3.526708917197456e+000  -6.460101389444828e-001  -4.698941401830376e-001   9.360275112457656e-001
 3.539394267515927e+000  -6.282215076700439e-001  -4.673673568975859e-001   9.356390077044020e-001
 3.552079617834398e+000  -6.109041435578360e-001  -4.648824297406339e-001   9.355801550835090e-001
 3.564764968152870e+000  -5.940899484338580e-001  -4.625257093076106e-001   9.358587165993759e-001
 3.577450318471341e+000  -5.777541207034844e-001  -4.603677947324149e-001   9.364971807721610e-001
 3.590135668789813e+000  -5.618245579364992e-001  -4.584509109349804e-001   9.375261971093960e-001
 3.602821019108284e+000  -5.462016904310635e-001  -4.567846442705740e-001   9.389659284915979e-001
 3.615506369426755e+000  -5.307873257016893e-001  -4.553486258965480e-001   9.408066699297856e-001
 3.628191719745227e+000  -5.155198339960686e-001  -4.540982372658791e-001   9.429956888636115e-001
 3.640877070063698e+000  -5.003940776007986e-001  -4.529699816734860e-001   9.454360163956677e-001
 3.653562420382170e+000  -4.854419976947911e-001  -4.518938084881680e-001   9.480078082365092e-001
 3.666247770700641e+000  -4.707069374338261e-001  -4.508108559776645e-001   9.505917058076512e-001
 3.678933121019112e+000  -4.562285688686106e-001  -4.496844491938033e-001   9.530810431163579e-001
 3.691618471337584e+000  -4.420147919601346e-001  -4.485021242407334e-001   9.553973619597752e-001
