---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.FileName = "RPSI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
 3.450596815286627e+000  -9.254988875396081e-001  -3.576252581578683e-001   9.882849552940636e-001
 3.463282165605099e+000  -9.075611291024810e-001  -3.563813036868431e-001   9.871845242506112e-001
 3.475967515923570e+000  -8.894689047497478e-001  -3.554154515719498e-001   9.865348243605236e-001
 3.488652866242041e+000  -8.713226123747044e-001  -3.547114006618673e-001   9.863447831650754e-001
 3.501338216560513e+000  -8.532242524060514e-001  -3.542250439044578e-001   9.865857730982092e-001
 3.514023566878984e+000  -8.352715271164397e-001  -3.538850908789116e-001   9.871969141345340e-001
 3.526708917197456e+000  -8.175567850381064e-001  -3.536055783964081e-001   9.881013634680230e-001
 3.539394267515927e+000  -8.001653353016105e-001  -3.533031661392846e-001   9.892219379798508e-001
 3.552079617834398e+000  -7.831679381173837e-001  -3.529106626558614e-001   9.904885614171404e-001
 3.564764968152870e+000  -7.666110302117817e-001  -3.523835685108119e-001   9.918442003691017e-001
 3.577450318471341e+000  -7.505119984683296e-001  -3.516996078126408e-001   9.932530023075417e-001
 3.590135668789813e+000  -7.348621339708299e-001  -3.508587911714813e-001   9.947070043831018e-001
 3.602821019108284e+000  -7.196317352057838e-001  -3.498832933642342e-001   9.962240424003560e-001
 3.615506369426755e+000  -7.047765871832264e-001  -3.488093355883982e-001   9.978349657107476e-001
 3.628191719745227e+000  -6.902459374684575e-001  -3.476768525094476e-001   9.995672305033575e-001
 3.640877070063698e+000  -6.759880858532341e-001  -3.465228966674261e-001   1.001432542375635e+000
 3.653562420382170e+000  -6.619512347072489e-001  -3.453775406204494e-001   1.003420217050499e+000
 3.666247770700641e+000  -6.480819457670257e-001  -3.442638924456957e-001   1.005494834868250e+000
 3.678933121019112e+000  -6.343250589678890e-001  -3.432003455648280e-001   1.007598201611330e+000
 3.691618471337584e+000  -6.206291907576396e-001  -3.422012000414521e-001   1.009654954125449e+000
 3.704303821656055e+000  -6.069627416419949e-001  -3.412767700745622e-001   1.011586162658497e+000
 3.716989171974527e+000  -5.933205981300240e-001  -3.404367597234012e-001   1.013322726824695e+000
 3.729674522292998e+000  -5.797086053354456e-001  -3.396938870338601e-001   1.014808397080833e+000
 3.742359872611469e+000  -5.661295796187962e-001  -3.390629422261478e-001   1.015998794626240e+000
 3.755045222929941e+000  -5.525788235300035e-001  -3.385588574865811e-001   1.016858949136015e+000
 3.767730573248412e+000  -5.390426796747453e-001  -3.381968327319875e-001   1.017360911184746e+000
 3.780415923566884e+000  -5.254998037390826e-001  -3.379932654142572e-001   1.017485015975797e+000
 3.793101273885355e+000  -5.119236094380927e-001  -3.379650360179918e-001   1.017223154854862e+000
 3.805786624203826e+000  -4.982838605993217e-001  -3.381260408638757e-001   1.016579608863063e+000
 3.818471974522298e+000  -4.845494376118955e-001  -3.384841088677785e-001   1.015570498190791e+000
 3.831157324840769e+000  -4.706910439498059e-001  -3.390393972406988e-001   1.014220756797478e+000
 3.843842675159241e+000  -4.566830774368504e-001  -3.397833738109615e-001   1.012559108899643e+000
 3.856528025477712e+000  -4.425047186883208e-001  -3.406990843965331e-001   1.010616584146840e+000
 3.869213375796183e+000  -4.281383522777114e-001  -3.417641741644315e-001   1.008429449910357e+000
 3.881898726114655e+000  -4.135662259320326e-001  -3.429561785454426e-001   1.006042395156102e+000
 3.894584076433126e+000  -3.987688854540351e-001  -3.442564292519093e-001   1.003508904767572e+000
 3.907269426751598e+000  -3.837271992961184e-001  -3.456512811915039e-001   1.000889211790239e+000
 3.919954777070069e+000  -3.684233121157753e-001  -3.471320154414815e-001   9.982466606503808e-001
 3.932640127388540e+000  -3.528392273265490e-001  -3.486949169808868e-001   9.956445644514411e-001
 3.945325477707012e+000  -3.369580099249147e-001  -3.503387957026220e-001   9.931448333612698e-001
 3.958010828025483e+000  -3.207672760420021e-001  -3.520588187665226e-001   9.908075055168075e-001
 3.970696178343955e+000  -3.042603130408288e-001  -3.538416869795109e-001   9.886898450173607e-001
 3.983381528662426e+000  -2.874360139965099e-001  -3.556665082125912e-001   9.868464070572306e-001
 3.996066878980897e+000  -2.703027959858411e-001  -3.575103747793042e-001   9.853323895895814e-001
 4.008752229299368e+000  -2.528859134020366e-001  -3.593510340460064e-001   9.842055508029515e-001
 4.021437579617840e+000  -2.352311219560208e-001  -3.611644322406312e-001   9.835210608954456e-001
 4.034122929936311e+000  -2.174022610131031e-001  -3.629220878783209e-001   9.833200001647762e-001
 4.046808280254783e+000  -1.994751204679856e-001  -3.645956275995048e-001   9.836148501468738e-001
 4.059493630573254e+000  -1.815306896876115e-001  -3.661683127390600e-001   9.843768529102634e-001
 4.072178980891725e+000  -1.636497325061005e-001  -3.676437999880919e-001   9.855410142759046e-001
 4.084864331210197e+000  -1.459090675769622e-001  -3.690462948233452e-001   9.870294320293734e-001
 4.097549681528668e+000  -1.283782743732707e-001  -3.704120188489518e-001   9.887716573085864e-001
 4.110235031847140e+000  -1.111167923538398e-001  -3.717751806255804e-001   9.907069465822659e-001
 4.122920382165611e+000  -9.417243823041044e-002  -3.731535606928115e-001   9.927770779160641e-001
 4.135605732484082e+000  -7.758052472794597e-002  -3.745395956897625e-001   9.949267337348932e-001
 4.148291082802554e+000  -6.136249752812494e-002  -3.759027033394929e-001   9.971123466413673e-001
 4.160976433121025e+000  -4.552465161085692e-002  -3.772024775742456e-001   9.993086300201763e-001
 4.173661783439497e+000  -3.005861370504233e-002  -3.784024089399716e-001   1.001506494190317e+000
 4.186347133757968e+000  -1.494460573364642e-002  -3.794751715379935e-001   1.003704822237047e+000
 4.199032484076439e+000  -1.547584417436101e-004  -3.804021805215802e-001   1.005901565409827e+000
 4.211717834394911e+000   1.434389723016623e-002  -3.811740094891196e-001   1.008088314509947e+000
 4.224403184713382e+000   2.858759765464844e-002  -3.817936266322027e-001   1.010250220299591e+000
 4.237088535031854e+000   4.261422812095623e-002  -3.822776567651385e-001   1.012367781746621e+000
 4.249773885350325e+000   5.646046119074036e-002  -3.826522080930995e-001   1.014415566654506e+000
 4.262459235668796e+000   7.015987007101251e-002  -3.829448062623919e-001   1.016360308859293e+000
 4.275144585987268e+000   8.374183227294357e-002  -3.831766178643193e-001   1.018162844535697e+000
 4.287829936305739e+000   9.723155929056519e-002  -3.833586430041062e-001   1.019783167998422e+000
 4.300515286624211e+000   1.106515724163919e-001  -3.834899928869953e-001   1.021185913909009e+000
 4.313200636942682e+000   1.240241626685881e-001  -3.835574070168085e-001   1.022342788345513e+000
 4.325885987261153e+000   1.373704874132449e-001  -3.835384444652416e-001   1.023230867805530e+000
 4.338571337579625e+000   1.507063347861396e-001  -3.834062470703221e-001   1.023830673708706e+000
 4.351256687898096e+000   1.640425425772413e-001  -3.831325026423131e-001   1.024126331866477e+000
 4.363942038216568e+000   1.773885678505550e-001  -3.826902463973460e-001   1.024107480474793e+000
 4.376627388535039e+000   1.907543281706839e-001  -3.820565516907147e-001   1.023771936080828e+000
 4.389312738853510e+000   2.041508441501227e-001  -3.812147772948429e-001   1.023126397922653e+000
 4.401998089171982e+000   2.175913382626802e-001  -3.801557961443940e-001   1.022184515871050e+000
 4.414683439490453e+000   2.310941350350803e-001  -3.788793924878418e-001   1.020962994956566e+000
 4.427368789808925e+000   2.446837909757904e-001  -3.773942975726548e-001   1.019479148857298e+000
 4.440054140127396e+000   2.583890250376701e-001  -3.757156001823454e-001   1.017751972682975e+000
 4.452739490445867e+000   2.722397288605545e-001  -3.738620026988571e-001   1.015804062371351e+000
 4.465424840764339e+000   2.862620829582468e-001  -3.718544822020078e-001   1.013663454930857e+000
 4.478110191082810e+000   3.004741792296817e-001  -3.697177457657537e-001   1.011364897750227e+000
 4.490795541401282e+000   3.148875045684587e-001  -3.674845946963651e-001   1.008948417409874e+000
 4.503480891719753e+000   3.295133998574387e-001  -3.651983617402375e-001   1.006457883146523e+000
 4.516166242038224e+000   3.443687782447889e-001  -3.629090820417384e-001   1.003943523615703e+000
 4.528851592356696e+000   3.594758333643219e-001  -3.606675770177837e-001   1.001463370870359e+000
 4.541536942675167e+000   3.748568802703499e-001  -3.585219399519235e-001   9.990802658988818e-001
 4.554222292993639e+000   3.905288568864183e-001  -3.565142063287028e-001   9.968584841292901e-001
 4.566907643312110e+000   4.064980226256150e-001  -3.546770024302586e-001   9.948617031817719e-001
 4.579592993630581e+000   4.227555049943849e-001  -3.530325818687857e-001   9.931500451529500e-001
 4.592278343949053e+000   4.392753163071943e-001  -3.515932875591450e-001   9.917773184728176e-001
 4.604963694267524e+000   4.560139485520873e-001  -3.503616676515067e-001   9.907908753246859e-001
 4.617649044585996e+000   4.729123334285793e-001  -3.493292554930220e-001   9.902295711921558e-001
 4.630334394904467e+000   4.899033308414548e-001  -3.484754827492412e-001   9.901175583943818e-001
 4.643019745222938e+000   5.069203956345474e-001  -3.477661069180918e-001   9.904629728202221e-001
 4.655705095541410e+000   5.239074415574773e-001  -3.471540755662470e-001   9.912685623984593e-001
 4.668390445859881e+000   5.408316945495891e-001  -3.465890072503134e-001   9.925474354162910e-001
 4.681075796178353e+000   5.576957814661503e-001  -3.460336443126332e-001   9.943345449085353e-001
 4.693761146496824e+000   5.745488055105318e-001  -3.454775765800158e-001   9.966928576232876e-001
 4.706446496815295e+000   5.914935664372020e-001  -3.449433831366515e-001   9.997156376991515e-001
 4.719131847133767e+000   6.086802534027882e-001  -3.444839269004300e-001   1.003521676327930e+000
 4.731817197452238e+000   6.262780291525528e-001  -3.441681973628758e-001   1.008236236072972e+000
 4.744502547770710e+000   6.444222644562745e-001  -3.440585844655514e-001   1.013944995172116e+000
 4.757187898089181e+000   6.631369848828008e-001  -3.441830945861366e-001   1.020610887469617e+000
 4.769873248407652e+000   6.822347459821718e-001  -3.444990778596486e-001   1.027957393582983e+000
 4.782558598726124e+000   7.011938145439679e-001  -3.448430502524190e-001   1.035317894676519e+000
 4.795243949044595e+000   7.190322175966987e-001  -3.448752064614987e-001   1.041470928173492e+000
 4.807929299363067e+000   7.341840847778718e-001  -3.440221283290216e-001   1.044474597946508e+000
 4.820614649681538e+000   7.444104791180513e-001  -3.414349575770653e-001   1.041553546024498e+000
 4.833300000000009e+000   7.467665497767348e-001  -3.359750621100685e-001   1.029070270342446e+000
