---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.FileName = "LHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
 3.450596815286627e+000  -5.469483273959668e-001  -2.644496424304328e-001   3.163838711331684e-002
 3.463282165605099e+000  -5.408941613015386e-001  -2.637476787324325e-001   3.235740057886205e-002
 3.475967515923570e+000  -5.367682237300041e-001  -2.630346121661104e-001   3.342696142509799e-002
 3.488652866242041e+000  -5.340505522838307e-001  -2.622772001829176e-001   3.473414013532343e-002
 3.501338216560513e+000  -5.323297348695452e-001  -2.615094447697288e-001   3.614393883645108e-002
 3.514023566878984e+000  -5.312891427799661e-001  -2.607944765243933e-001   3.753338960952242e-002
 3.526708917197456e+000  -5.306967694732205e-001  -2.601913497682356e-001   3.880716182263148e-002
 3.539394267515927e+000  -5.303901057454198e-001  -2.597367698848239e-001   3.990390468049363e-002
 3.552079617834398e+000  -5.302578811678870e-001  -2.594401481648417e-001   4.079697117654759e-002
 3.564764968152870e+000  -5.302260948749669e-001  -2.592862489236460e-001   4.148859118258905e-002
 3.577450318471341e+000  -5.302487027165272e-001  -2.592421636868474e-001   4.200000312128077e-002
 3.590135668789813e+000  -5.302987571170252e-001  -2.592687830761483e-001   4.236166638672347e-002
 3.602821019108284e+000  -5.303602521779943e-001  -2.593314775496171e-001   4.260632632848348e-002
 3.615506369426755e+000  -5.304228115162116e-001  -2.594058744788044e-001   4.276554413882857e-002
 3.628191719745227e+000  -5.304789460344659e-001  -2.594797149409575e-001   4.286841632726422e-002
 3.640877070063698e+000  -5.305228211590461e-001  -2.595516565047506e-001   4.294058237475493e-002
 3.653562420382170e+000  -5.305503823273770e-001  -2.596271829151997e-001   4.300276876900616e-002
 3.666247770700641e+000  -5.305598762022669e-001  -2.597136950389858e-001   4.306975783819652e-002
 3.678933121019112e+000  -5.305523069523523e-001  -2.598168371769931e-001   4.315083654335003e-002
 3.691618471337584e+000  -5.305312205165073e-001  -2.599383657459108e-001   4.325165768580114e-002
 3.704303821656055e+000  -5.305007022788442e-001  -2.600749125307221e-001   4.337718767451868e-002
 3.716989171974527e+000  -5.304631103035902e-001  -2.602189921577741e-001   4.353399778556662e-002
 3.729674522292998e+000  -5.304186935119778e-001  -2.603621505202059e-001   4.373082740704299e-002
 3.742359872611469e+000  -5.303662130655593e-001  -2.604952178573965e-001   4.397953332881677e-002
 3.755045222929941e+000  -5.303025925286928e-001  -2.606077459347261e-001   4.429488068766300e-002
 3.767730573248412e+000  -5.302248206472101e-001  -2.606941874869610e-001   4.468777896318205e-002
 3.780415923566884e+000  -5.301343143824105e-001  -2.607603176072460e-001   4.515846387240041e-002
 3.793101273885355e+000  -5.300368910700561e-001  -2.608160301792781e-001   4.570328810706731e-002
 3.805786624203826e+000  -5.299398075123093e-001  -2.608678150331031e-001   4.632421059114085e-002
 3.818471974522298e+000  -5.298495953495852e-001  -2.609225239898039e-001   4.702993300684924e-002
 3.831157324840769e+000  -5.297702365198240e-001  -2.609904051330964e-001   4.783600613937079e-002
 3.843842675159241e+000  -5.297016000736473e-001  -2.610815666882242e-001   4.876605502365223e-002
 3.856528025477712e+000  -5.296385467850278e-001  -2.611997153508551e-001   4.985164878216256e-002
 3.869213375796183e+000  -5.295709352966920e-001  -2.613376068427499e-001   5.113009406959715e-002
 3.881898726114655e+000  -5.294834981795781e-001  -2.614750269710927e-001   5.264162630531482e-002
 3.894584076433126e+000  -5.293554894451590e-001  -2.615775146850935e-001   5.442872497127414e-002
 3.907269426751598e+000  -5.291607823029091e-001  -2.615964326698035e-001   5.653721097565959e-002
 3.919954777070069e+000  -5.288679976401693e-001  -2.614746461961399e-001   5.901610831127065e-002
 3.932640127388540e+000  -5.284386578489113e-001  -2.611567358223619e-001   6.191558912193028e-002
 3.945325477707012e+000  -5.278234102839711e-001  -2.605957983600231e-001   6.528467816649079e-002
 3.958010828025483e+000  -5.269579196940768e-001  -2.597542856924298e-001   6.916936807548910e-002
 3.970696178343955e+000  -5.257614735238918e-001  -2.586052571585911e-001   7.361596681114403e-002
 3.983381528662426e+000  -5.241373338442942e-001  -2.571371736106587e-001   7.868105109429084e-002
 3.996066878980897e+000  -5.219701371337019e-001  -2.553561080346610e-001   8.443656041565859e-002
 4.008752229299368e+000  -5.191202719934478e-001  -2.532823963318403e-001   9.096641901038027e-002
 4.021437579617840e+000  -5.154204394305832e-001  -2.509459698570459e-001   9.836017669662175e-002
 4.034122929936311e+000  -5.106750931296561e-001  -2.483847385390830e-001   1.067046338171313e-001
