---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.FileName = "LTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.pz
 2.841700000000000e+000  -1.664251762403049e+000  -1.284482420025374e-001   5.942529715280520e-001
 2.854385350318471e+000  -1.651944381571214e+000  -1.289856598244588e-001   5.940013726034251e-001
 2.867070700636943e+000  -1.638605720736020e+000  -1.296205538325513e-001   5.936954411305070e-001
 2.879756050955414e+000  -1.624145614657419e+000  -1.303589235057390e-001   5.932771098213615e-001
 2.892441401273886e+000  -1.608486457602677e+000  -1.311976690246892e-001   5.926944919397771e-001
 2.905126751592357e+000  -1.591567050749965e+000  -1.321242688767214e-001   5.919123246970345e-001
 2.917812101910828e+000  -1.573348451756528e+000  -1.331158822394033e-001   5.909189969020638e-001
 2.930497452229300e+000  -1.553820229473294e+000  -1.341418926026571e-001   5.897267496312012e-001
 2.943182802547771e+000  -1.533003919305889e+000  -1.351702591974189e-001   5.883665731447403e-001
 2.955868152866243e+000  -1.510953525144938e+000  -1.361760435057041e-001   5.868822334697708e-001
 2.968553503184714e+000  -1.487762294510366e+000  -1.371485874408316e-001   5.853318969655953e-001
 2.981238853503185e+000  -1.463569737677492e+000  -1.380921931647330e-001   5.837934687655895e-001
 2.993924203821657e+000  -1.438556039899406e+000  -1.390201658830907e-001   5.823644495421169e-001
 3.006609554140128e+000  -1.412923547849778e+000  -1.399458008347927e-001   5.811556448681493e-001
 3.019294904458600e+000  -1.386874341915811e+000  -1.408724949296490e-001   5.802824697627478e-001
 3.031980254777071e+000  -1.360591481806967e+000  -1.417865390343134e-001   5.798530770461023e-001
 3.044665605095542e+000  -1.334225915077446e+000  -1.426583909173139e-001   5.799518567623857e-001
 3.057350955414014e+000  -1.307889648229600e+000  -1.434513650544867e-001   5.806266137807266e-001
 3.070036305732485e+000  -1.281659811501418e+000  -1.441296413548558e-001   5.818918033155223e-001
