---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.FileName = "RANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
 3.450596815286627e+000  -1.149198358294603e+000  -4.440440898675661e-001   8.389264217832648e-002
 3.463282165605099e+000  -1.145158303121909e+000  -4.454257771323950e-001   8.945661448749767e-002
 3.475967515923570e+000  -1.139983446995345e+000  -4.469107739369719e-001   9.586397351676831e-002
 3.488652866242041e+000  -1.133417338074138e+000  -4.484797738311975e-001   1.031786476743612e-001
 3.501338216560513e+000  -1.125191018858006e+000  -4.500936408148837e-001   1.114229939832189e-001
 3.514023566878984e+000  -1.115042810628854e+000  -4.516860968892724e-001   1.205624711907158e-001
 3.526708917197456e+000  -1.102745582480292e+000  -4.531644117564704e-001   1.304995150397355e-001
 3.539394267515927e+000  -1.088131488121023e+000  -4.544188569917832e-001   1.410743148452092e-001
 3.552079617834398e+000  -1.071100317944809e+000  -4.553370885875042e-001   1.520639144668832e-001
 3.564764968152870e+000  -1.051618645068898e+000  -4.558240282711003e-001   1.631881412482616e-001
 3.577450318471341e+000  -1.029722678224491e+000  -4.558161192473634e-001   1.741285030469481e-001
 3.590135668789813e+000  -1.005516524925268e+000  -4.552825639155428e-001   1.845460629139403e-001
 3.602821019108284e+000  -9.791531183355972e-001  -4.542251482048152e-001   1.940895237283483e-001
 3.615506369426755e+000  -9.507976373071087e-001  -4.526820569570432e-001   2.023953601423988e-001
 3.628191719745227e+000  -9.205877971003239e-001  -4.507234507209425e-001   2.090864739954581e-001
 3.640877070063698e+000  -8.886222886383305e-001  -4.484442839611154e-001   2.138010846538323e-001
 3.653562420382170e+000  -8.549805999734722e-001  -4.459599179373844e-001   2.162563985388736e-001
 3.666247770700641e+000  -8.197352082392144e-001  -4.433957381277312e-001   2.163028499489432e-001
 3.678933121019112e+000  -7.829484607598440e-001  -4.408743445370693e-001   2.139374789027640e-001
 3.691618471337584e+000  -7.446703613238481e-001  -4.385060137773913e-001   2.092832631999887e-001
 3.704303821656055e+000  -7.049452391456412e-001  -4.363837923859086e-001   2.025536016716024e-001
 3.716989171974527e+000  -6.638204402353172e-001  -4.345863344670784e-001   1.940330092180304e-001
 3.729674522292998e+000  -6.213431755973276e-001  -4.331798529990416e-001   1.840615641118795e-001
 3.742359872611469e+000  -5.775512710267443e-001  -4.322121148195772e-001   1.730066229861976e-001
 3.755045222929941e+000  -5.324802622188675e-001  -4.317124180634104e-001   1.612401038027809e-001
 3.767730573248412e+000  -4.861822742412976e-001  -4.316966021243362e-001   1.491299896374149e-001
 3.780415923566884e+000  -4.387443822821372e-001  -4.321685155976928e-001   1.370379803008714e-001
 3.793101273885355e+000  -3.903074673278484e-001  -4.331161634979707e-001   1.253200088205122e-001
 3.805786624203826e+000  -3.410848322451190e-001  -4.345064664092870e-001   1.143260309885368e-001
 3.818471974522298e+000  -2.913764320507909e-001  -4.362806419264607e-001   1.043924128750513e-001
 3.831157324840769e+000  -2.415720058486833e-001  -4.383502071464636e-001   9.582125778061255e-002
 3.843842675159241e+000  -1.921427752928623e-001  -4.405945007975161e-001   8.884761515370183e-002
 3.856528025477712e+000  -1.436223308491248e-001  -4.428642184252212e-001   8.360522652058808e-002
 3.869213375796183e+000  -9.658288891262776e-002  -4.449949526801517e-001   8.010024802759069e-002
 3.881898726114655e+000  -5.160973223675525e-002  -4.468286308321889e-001   7.819451787646989e-002
 3.894584076433126e+000  -9.265886251354875e-003  -4.482313882700879e-001   7.760562343923293e-002
 3.907269426751598e+000   2.994524909750126e-002  -4.491036122366564e-001   7.794048989805964e-002
 3.919954777070069e+000   6.560359755933909e-002  -4.493872660480572e-001   7.875727881175371e-002
 3.932640127388540e+000   9.739483494920402e-002  -4.490705165839020e-001   7.962108553028749e-002
 3.945325477707012e+000   1.251358261634303e-001  -4.481849106775229e-001   8.014808464991149e-002
 3.958010828025483e+000   1.488006660246110e-001  -4.467976267369296e-001   8.004774713372946e-002
 3.970696178343955e+000   1.685343673467547e-001  -4.450032983636124e-001   7.915249506835642e-002
 3.983381528662426e+000   1.846510709080754e-001  -4.429183074333016e-001   7.743288665293142e-002
 3.996066878980897e+000   1.976087421842127e-001  -4.406776806029626e-001   7.499690354143715e-002
 4.008752229299368e+000   2.079580849741012e-001  -4.384331273128228e-001   7.207032708444408e-002
 4.021437579617840e+000   2.162592765629658e-001  -4.363396414690277e-001   6.894387862651846e-002
 4.034122929936311e+000   2.229804598419799e-001  -4.345292988778817e-001   6.589971404151820e-002
 4.046808280254783e+000   2.284235121726487e-001  -4.330871459007090e-001   6.314714628634298e-002
 4.059493630573254e+000   2.327406155643176e-001  -4.320409055353192e-001   6.080267317171809e-002
 4.072178980891725e+000   2.360402423359796e-001  -4.313639117633509e-001   5.891317476782506e-002
 4.084864331210197e+000   2.384644418881502e-001  -4.309881535621409e-001   5.747366187632725e-002
 4.097549681528668e+000   2.401674711817295e-001  -4.308320159034220e-001   5.643623209551659e-002
 4.110235031847140e+000   2.412761252206904e-001  -4.308242534334265e-001   5.573131935209826e-002
 4.122920382165611e+000   2.418992741075259e-001  -4.309087138929965e-001   5.528616973102542e-002
 4.135605732484082e+000   2.421479478264903e-001  -4.310392348940517e-001   5.502788696795764e-002
 4.148291082802554e+000   2.421281977701565e-001  -4.311791514431006e-001   5.488906599032792e-002
 4.160976433121025e+000   2.419273205889959e-001  -4.313037929692962e-001   5.481786883911297e-002
 4.173661783439497e+000   2.416154706458052e-001  -4.314010088353045e-001   5.477942556424288e-002
 4.186347133757968e+000   2.412544000424325e-001  -4.314720500250729e-001   5.475279206117424e-002
 4.199032484076439e+000   2.408965837995079e-001  -4.315286566257759e-001   5.472885744369255e-002
 4.211717834394911e+000   2.405766241783800e-001  -4.315833942825493e-001   5.470490573677140e-002
 4.224403184713382e+000   2.403093716631332e-001  -4.316422112273599e-001   5.467970723841200e-002
 4.237088535031854e+000   2.400962964532081e-001  -4.317038901196313e-001   5.465283121065449e-002
 4.249773885350325e+000   2.399317573882068e-001  -4.317635574424350e-001   5.462576018513746e-002
 4.262459235668796e+000   2.398056564796598e-001  -4.318165260438303e-001   5.460281165912718e-002
 4.275144585987268e+000   2.397040706156995e-001  -4.318591799584390e-001   5.459050001342872e-002
 4.287829936305739e+000   2.396106887143386e-001  -4.318880046834127e-001   5.459561968497025e-002
 4.300515286624211e+000   2.395089258576024e-001  -4.318989326773116e-001   5.462319163208708e-002
 4.313200636942682e+000   2.393843362712485e-001  -4.318872490694141e-001   5.467616733102850e-002
 4.325885987261153e+000   2.392273847188711e-001  -4.318478102777625e-001   5.475717748106488e-002
 4.338571337579625e+000   2.390361480326416e-001  -4.317742783696891e-001   5.486912733462634e-002
 4.351256687898096e+000   2.388193654968488e-001  -4.316568041532632e-001   5.501380216700572e-002
 4.363942038216568e+000   2.385975904162877e-001  -4.314817052856315e-001   5.519070826128294e-002
 4.376627388535039e+000   2.383976899260606e-001  -4.312377778730195e-001   5.539880474924557e-002
 4.389312738853510e+000   2.382436006190248e-001  -4.309243562872888e-001   5.564020080976922e-002
 4.401998089171982e+000   2.381510033592102e-001  -4.305518870174995e-001   5.592073789430255e-002
 4.414683439490453e+000   2.381258335650480e-001  -4.301367728502522e-001   5.624644784135337e-002
 4.427368789808925e+000   2.381652705514977e-001  -4.296967521574059e-001   5.662280938761152e-002
 4.440054140127396e+000   2.382606576022597e-001  -4.292491160182755e-001   5.705940565457773e-002
 4.452739490445867e+000   2.384029083098191e-001  -4.288114687159944e-001   5.757355946302482e-002
 4.465424840764339e+000   2.385893661370140e-001  -4.284039293974211e-001   5.819068313447944e-002
 4.478110191082810e+000   2.388271548429319e-001  -4.280497727970881e-001   5.894223094793726e-002
 4.490795541401282e+000   2.391309873437846e-001  -4.277748022920493e-001   5.986231743534073e-002
 4.503480891719753e+000   2.395184000899326e-001  -4.276078087752998e-001   6.098463912143073e-002
 4.516166242038224e+000   2.400088467255358e-001  -4.275794069955586e-001   6.234180130438828e-002
 4.528851592356696e+000   2.406279457933277e-001  -4.277171257430116e-001   6.396882833816354e-002
 4.541536942675167e+000   2.414113339678184e-001  -4.280384720854988e-001   6.590673739205870e-002
 4.554222292993639e+000   2.424058702314795e-001  -4.285460305209705e-001   6.820245600234201e-002
 4.566907643312110e+000   2.436716268646640e-001  -4.292263575852620e-001   7.091034179247481e-002
 4.579592993630581e+000   2.452869232067623e-001  -4.300517451229600e-001   7.409769695749945e-002
 4.592278343949053e+000   2.473555395045677e-001  -4.309838501081265e-001   7.784918764011305e-002
 4.604963694267524e+000   2.500128787587085e-001  -4.319815085588231e-001   8.226362542648964e-002
 4.617649044585996e+000   2.534325649960516e-001  -4.330099395194307e-001   8.744359702415226e-002
 4.630334394904467e+000   2.578325438061705e-001  -4.340486272556972e-001   9.348173498619380e-002
