---- AnyBody Output File ---------------------------------
Study: Main.OptStudy
Operation: Main.OptStudy.InverseDynamicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.OptStudy.MuscleOutputs.FileName = "MuscleActivityOutputs.txt"
Main.OptStudy.MuscleOutputs.Search = "Main.HumanModel.BodyModel.*.Leg.Mus.*.Activity"
Main.OptStudy.MuscleOutputs.SepSign = ","
Main.OptStudy.MuscleOutputs.LineSepSign = ""
Main.OptStudy.MuscleOutputs.Header.TitleSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ConstSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.VarSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ColumnNamesOnOff = On
Main.OptStudy.MuscleOutputs.Header.LinePrefix = ""
Main.OptStudy.MuscleOutputs.NumberFormat.Digits = 15
Main.OptStudy.MuscleOutputs.OutName = "MuscleActivityOutputs.txt"
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.OptStudy.t
col116  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorLongus4.Activity
col117  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorLongus5.Activity
col118  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorLongus6.Activity
col119  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusDistal1.Activity
col120  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusDistal2.Activity
col121  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusDistal3.Activity
col122  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid1.Activity
col123  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid2.Activity
col124  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid3.Activity
col125  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid4.Activity
col126  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid5.Activity
