---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.UpdData = 2
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "..\Input\FullBody-GaitNormal_1-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
1.560000000000000e+00 -6.226977047127661e-01 1.449919150399503e-01 -3.633334134891131e-01 -4.710273409276162e-01 2.676738158940866e-01 3.751355096470860e-01 1.154574468414973e-01 4.361171268634045e-01 2.936034398774104e-01
1.569795918367347e+00 -6.239181750866497e-01 1.449447066602216e-01 -3.612495201538224e-01 -4.710109708623952e-01 2.676721233871476e-01 3.691184351089164e-01 1.128580161339371e-01 4.368070366467380e-01 2.937901600982220e-01
1.579591836734694e+00 -6.247035863156072e-01 1.450359805032595e-01 -3.587383473920489e-01 -4.716587793094634e-01 2.678329798092573e-01 3.628318250238153e-01 1.103750211403413e-01 4.375129780622631e-01 2.939177863582408e-01
1.589387755102041e+00 -6.249883618951836e-01 1.452843447354131e-01 -3.557268057283012e-01 -4.730437498330387e-01 2.681542558741565e-01 3.562965193266550e-01 1.080381506967063e-01 4.382437100107217e-01 2.939873299367565e-01
1.599183673469388e+00 -6.247295342469198e-01 1.457134224241117e-01 -3.521323945337713e-01 -4.752090946337577e-01 2.686285760077441e-01 3.495368556435041e-01 1.058682556288576e-01 4.390158992599851e-01 2.940047928389402e-01
1.608979591836735e+00 -6.239109894412385e-01 1.463426890026742e-01 -3.478859741658376e-01 -4.781524476005434e-01 2.692300132273847e-01 3.426018128958795e-01 1.038738426709352e-01 4.398522097394393e-01 2.939811786885231e-01
1.618775510204082e+00 -6.225472849562844e-01 1.471859015503409e-01 -3.429438674445373e-01 -4.818145398682516e-01 2.699133656628486e-01 3.355774731023360e-01 1.020618427034899e-01 4.407802338621738e-01 2.939288376455619e-01
1.628571428571429e+00 -6.206834104168929e-01 1.482470570717298e-01 -3.373035456903288e-01 -4.860705096407028e-01 2.706152116779830e-01 3.285998698775335e-01 1.004537662448072e-01 4.418289345381350e-01 2.938571277310720e-01
1.638367346938776e+00 -6.183894518651032e-01 1.495159633481111e-01 -3.310153857969911e-01 -4.907302384439401e-01 2.712608587189875e-01 3.218639809950550e-01 9.909376276469248e-02 4.430233315699184e-01 2.937705532006262e-01
1.648163265306122e+00 -6.157486798827959e-01 1.509659508588053e-01 -3.241827067115164e-01 -4.955559736272738e-01 2.717762169258644e-01 3.156220977037923e-01 9.803752584555563e-02 4.443819876166293e-01 2.936721040315391e-01
1.657959183673470e+00 -6.128457000599112e-01 1.525559065110118e-01 -3.169476695279219e-01 -5.002956038628197e-01 2.721003655368801e-01 3.101675365657886e-01 9.732721380093347e-02 4.459171588015831e-01 2.935701002669863e-01
1.667755102040816e+00 -6.097597732299228e-01 1.542369010205320e-01 -3.094680497171707e-01 -5.047202622800576e-01 2.721958496332585e-01 3.058071325959797e-01 9.697272595998427e-02 4.476334955268948e-01 2.934827103476282e-01
1.677551020408163e+00 -6.065619329024606e-01 1.559639103145261e-01 -3.018919257966433e-01 -5.086529727405141e-01 2.720578547085504e-01 3.028296526749093e-01 9.695593600157655e-02 4.495244980629276e-01 2.934371843157074e-01
1.687346938775510e+00 -6.033000504777953e-01 1.576995771571406e-01 -2.943426341058746e-01 -5.119967773436951e-01 2.717106345739198e-01 3.014768979933867e-01 9.724913580845794e-02 4.515681548169459e-01 2.934662266141024e-01
1.697142857142857e+00 -6.000137129315694e-01 1.594304234612562e-01 -2.869035847935706e-01 -5.147274129889761e-01 2.712174515639929e-01 3.019221074756577e-01 9.783788216420834e-02 4.537277946551899e-01 2.936022535605484e-01
1.706938775510204e+00 -5.967284537978335e-01 1.611586748433456e-01 -2.796186816653599e-01 -5.168981828771458e-01 2.706650553085798e-01 3.042563912238028e-01 9.873192085529688e-02 4.559579427353060e-01 2.938713043063734e-01
1.716734693877551e+00 -5.934645072436444e-01 1.628975774028982e-01 -2.724922433082555e-01 -5.186230017560967e-01 2.701540681415919e-01 3.084834546695339e-01 9.997323866204054e-02 4.582166417438929e-01 2.942883254729483e-01
1.726530612244898e+00 -5.902407034574373e-01 1.646627299846941e-01 -2.654949028248419e-01 -5.200545207258894e-01 2.697866482052698e-01 3.145240507820102e-01 1.016463671017368e-01 4.604850222429495e-01 2.948541484367833e-01
1.736326530612245e+00 -5.870773255369099e-01 1.664635645922310e-01 -2.585742878362596e-01 -5.213565893972221e-01 2.696560864290865e-01 3.222314818655801e-01 1.038924300611414e-01 4.627877512660792e-01 2.955500746201390e-01
1.746122448979592e+00 -5.839982330034377e-01 1.682973219008654e-01 -2.516664104217849e-01 -5.226760732662910e-01 2.698391103578796e-01 3.314149222569230e-01 1.069088898135231e-01 4.651914823758299e-01 2.963338516425589e-01
