Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.917000000000000e+001, 4.991506847587667e-001, 8.093158311561762e-001, 9.208201636374591e-001, 1.573094516251365e+000, 5.086293747846753e-001,-1.100749134987221e+000,-3.693603009802505e-001, 3.591384037620020e-002, 3.714883998127434e-002, 5.551115123125783e-017, 1.387778780781446e-017, 0.000000000000000e+000
 1.918000000000000e+001, 4.992923455500916e-001, 8.091258989553495e-001, 9.217888048605185e-001, 1.573045953669726e+000, 5.072840436798276e-001,-1.100553449098629e+000,-3.694455410423893e-001, 3.610145296248398e-002, 3.714140734867105e-002, 0.000000000000000e+000,-1.387778780781445e-016,-3.330669073875469e-016
 1.919000000000000e+001, 4.994240972919505e-001, 8.089387961905146e-001, 9.227993390690359e-001, 1.572909120113670e+000, 5.059553807490405e-001,-1.100390830071964e+000,-3.694999922384992e-001, 3.633733281368994e-002, 3.717819365313368e-002, 0.000000000000000e+000,-2.498001805406602e-016,-3.330669073875469e-016
 1.920000000000000e+001, 4.995460712355844e-001, 8.087550969681027e-001, 9.238494152050966e-001, 1.572688033727498e+000, 5.046254797298522e-001,-1.100253650242192e+000,-3.695473296230945e-001, 3.662678280784366e-002, 3.723805418039284e-002,-5.551115123125782e-017,-1.387778780781445e-017,-2.220446049250313e-016
 1.921000000000000e+001, 4.996586876418534e-001, 8.085754834904365e-001, 9.249363483265560e-001, 1.572390730633552e+000, 5.032784542993265e-001,-1.100132587549012e+000,-3.696061174951791e-001, 3.697182587077621e-002, 3.730004528115264e-002,-5.551115123125782e-017, 1.110223024625156e-016, 1.110223024625156e-016
 1.922000000000000e+001, 4.997628033207895e-001, 8.084008082557049e-001, 9.260575290990570e-001, 1.572031953585479e+000, 5.019008450364542e-001,-1.100015496326883e+000,-3.696897442088623e-001, 3.736905942429235e-002, 3.734079994111150e-002,-1.110223024625156e-016, 8.326672684688673e-017,-2.220446049250313e-016
 1.923000000000000e+001, 4.998596905095881e-001, 8.082320778273056e-001, 9.272107166828116e-001, 1.571632874156578e+000, 5.004818791662666e-001,-1.099887086736007e+000,-3.698064420364625e-001, 3.781034134316492e-002, 3.733367735701425e-002, 1.110223024625156e-016,-8.326672684688673e-017, 0.000000000000000e+000
 1.924000000000000e+001, 4.999508979010893e-001, 8.080704516412891e-001, 9.283939109883829e-001, 1.571218105196005e+000, 4.990148140903847e-001,-1.099730262104771e+000,-3.699574283305464e-001, 3.828576832672689e-002, 3.725002793561154e-002,-5.551115123125780e-017, 1.249000902703301e-016, 1.110223024625156e-016
 1.925000000000000e+001, 5.000381098824761e-001, 8.079172494477299e-001, 9.296050910743459e-001, 1.570812415478114e+000, 4.974986219636310e-001,-1.099528563014424e+000,-3.701346427790984e-001, 3.878628607571834e-002, 3.706172580881633e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.926000000000000e+001, 5.001229136029041e-001, 8.077738525623499e-001, 9.308422734027373e-001, 1.570438581587705e+000, 4.959379475573909e-001,-1.099267925043726e+000,-3.703214213652886e-001, 3.930477899748654e-002, 3.674539649669650e-002,-1.665334536937735e-016, 9.714451465470117e-017, 1.110223024625156e-016
