Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 6.010000000000000e+000,-2.099217652115592e-001,-3.402523825898252e-001,-3.490620504733517e-001
 6.020000000000000e+000,-2.076177134782071e-001,-3.396884704252281e-001,-3.490620523336516e-001
 6.030000000000000e+000,-2.055191291536709e-001,-3.391733089595879e-001,-3.490620700974608e-001
 6.040000000000000e+000,-2.036644764112748e-001,-3.387291770257721e-001,-3.490621008715458e-001
 6.050000000000000e+000,-2.020812509920983e-001,-3.383661928939601e-001,-3.490621406523882e-001
 6.060000000000000e+000,-2.007824522221145e-001,-3.380797388872705e-001,-3.490621816226381e-001
 6.070000000000000e+000,-1.997774643904471e-001,-3.378593831573724e-001,-3.490622243313580e-001
 6.080000000000000e+000,-1.990602648791937e-001,-3.376843684012640e-001,-3.490622613503062e-001
 6.090000000000000e+000,-1.986170678915195e-001,-3.375337401588126e-001,-3.490622891273497e-001
 6.100000000000000e+000,-1.984265520645719e-001,-3.373893018604128e-001,-3.490623054012970e-001
 6.110000000000000e+000,-1.984625757109014e-001,-3.372382719119509e-001,-3.490623090953092e-001
 6.120000000000000e+000,-1.986971517106293e-001,-3.370754515757704e-001,-3.490623000587058e-001
 6.130000000000000e+000,-1.991025847217350e-001,-3.369058121017683e-001,-3.490622787443321e-001
 6.140000000000000e+000,-1.996516614266638e-001,-3.367446780809815e-001,-3.490622459931754e-001
 6.150000000000000e+000,-2.003199856364633e-001,-3.366115649532993e-001,-3.490622028586448e-001
 6.160000000000000e+000,-2.010911792595808e-001,-3.365203957054372e-001,-3.490621503141950e-001
 6.170000000000000e+000,-2.019566606898889e-001,-3.364741847014618e-001,-3.490620890657458e-001
 6.180000000000000e+000,-2.029084204688268e-001,-3.364666919037114e-001,-3.490620197710270e-001
 6.190000000000000e+000,-2.039332890350627e-001,-3.364868224927775e-001,-3.490619434862609e-001
 6.200000000000000e+000,-2.050114731006394e-001,-3.365223243056410e-001,-3.490618619410246e-001
 6.210000000000000e+000,-2.061162588798258e-001,-3.365628198728197e-001,-3.490617775416666e-001
 6.220000000000000e+000,-2.072145640961617e-001,-3.366031427658593e-001,-3.490616932195621e-001
 6.230000000000000e+000,-2.082688297989752e-001,-3.366457497188937e-001,-3.490616121233747e-001
 6.240000000000000e+000,-2.092402421808022e-001,-3.366992916284011e-001,-3.490615370534603e-001
 6.250000000000000e+000,-2.100935177227483e-001,-3.367732444557512e-001,-3.490614698377991e-001
 6.260000000000000e+000,-2.108017759575070e-001,-3.368724722911027e-001,-3.490614110962816e-001
 6.270000000000000e+000,-2.113491854320952e-001,-3.369946100388030e-001,-3.490613604592899e-001
 6.280000000000000e+000,-2.117305859311138e-001,-3.371302928440545e-001,-3.490613169450189e-001
 6.290000000000000e+000,-2.119498506619882e-001,-3.372655572698864e-001,-3.490612792794009e-001
 6.300000000000000e+000,-2.120188957891069e-001,-3.373845796390607e-001,-3.490612460692151e-001
 6.310000000000000e+000,-2.119569155817475e-001,-3.374712085564082e-001,-3.490612158836228e-001
 6.320000000000000e+000,-2.117893928051667e-001,-3.375117645532204e-001,-3.490611873978235e-001
 6.330000000000000e+000,-2.115471904089123e-001,-3.375013047188140e-001,-3.490611596174164e-001
 6.340000000000000e+000,-2.112652952816146e-001,-3.374482996280488e-001,-3.490611320512529e-001
 6.350000000000000e+000,-2.109801558174362e-001,-3.373716332318963e-001,-3.490611047215991e-001
 6.359999999999999e+000,-2.107257879107909e-001,-3.372925723583335e-001,-3.490610780205269e-001
 6.370000000000000e+000,-2.105307582403551e-001,-3.372279150804325e-001,-3.490610525068132e-001
 6.380000000000000e+000,-2.104168728772798e-001,-3.371863983508410e-001,-3.490610287091800e-001
