Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 1.600000000000000e-001,-3.150631942347268e-001, 1.980520803823935e-001,-3.490657544405732e-001, 6.061243583003659e-001,-3.495536300592932e-001, 2.882259073763429e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 1.700000000000000e-001,-3.150991572987090e-001, 1.978169070776625e-001,-3.490657494841192e-001, 6.061686064797218e-001,-3.495194308249565e-001, 2.880979901824153e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.800000000000000e-001,-3.151303270217397e-001, 1.975888608322325e-001,-3.490657437227838e-001, 6.062121266576522e-001,-3.494860618246927e-001, 2.879735593594277e-001, 5.235987755982987e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.900000000000000e-001,-3.151596564365722e-001, 1.973747831214765e-001,-3.490657380331593e-001, 6.062529747106411e-001,-3.494547423851759e-001, 2.878567959414816e-001, 5.235987755982987e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 2.000000000000000e-001,-3.151942628650110e-001, 1.971802092058574e-001,-3.490657329973512e-001, 6.062888014975210e-001,-3.494267242318743e-001, 2.877516266713236e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.100000000000000e-001,-3.152409000374319e-001, 1.970078744123245e-001,-3.490657285896535e-001, 6.063179145453805e-001,-3.494028073297928e-001, 2.876603607190081e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 2.200000000000000e-001,-3.153036325622785e-001, 1.968579269816446e-001,-3.490657244740095e-001, 6.063396145836618e-001,-3.493832422510645e-001, 2.875835425150781e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.300000000000000e-001,-3.153850304113631e-001, 1.967287707308592e-001,-3.490657204402610e-001, 6.063538200736387e-001,-3.493679270972101e-001, 2.875205659638003e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.400000000000000e-001,-3.154874903317980e-001, 1.966179026341304e-001,-3.490657164726019e-001, 6.063606718199642e-001,-3.493566106277992e-001, 2.874702985226557e-001, 5.235987755982987e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 2.500000000000000e-001,-3.156122159554150e-001, 1.965229989978015e-001,-3.490657125981465e-001, 6.063604684646481e-001,-3.493490021121171e-001, 2.874315715893827e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
