Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 5.620000000000000e+000,-3.509184821825682e-001,-3.195422911128794e-001,-3.487382768346015e-001
 5.630000000000000e+000,-3.509663737354671e-001,-3.198474821417521e-001,-3.487180727484115e-001
 5.640000000000000e+000,-3.510140467569586e-001,-3.201511744045722e-001,-3.486979465572020e-001
 5.650000000000000e+000,-3.510607631872341e-001,-3.204495705159347e-001,-3.486781357538192e-001
 5.660000000000000e+000,-3.511053559654966e-001,-3.207372830780522e-001,-3.486589854615213e-001
 5.670000000000000e+000,-3.511468054471932e-001,-3.210100904890729e-001,-3.486407651408700e-001
 5.680000000000000e+000,-3.511837276600330e-001,-3.212635913846047e-001,-3.486237557905630e-001
 5.690000000000000e+000,-3.512147277768487e-001,-3.214939775130035e-001,-3.486081995880900e-001
 5.700000000000000e+000,-3.512384434719505e-001,-3.216981306792051e-001,-3.485942943764116e-001
 5.710000000000000e+000,-3.512536673829545e-001,-3.218737372608467e-001,-3.485821873990279e-001
 5.720000000000000e+000,-3.512594902304392e-001,-3.220193457992964e-001,-3.485719732311099e-001
 5.730000000000000e+000,-3.512554058812082e-001,-3.221343887484149e-001,-3.485636933312087e-001
 5.740000000000000e+000,-3.512413332836048e-001,-3.222191717283509e-001,-3.485573361031252e-001
 5.750000000000000e+000,-3.512175792777664e-001,-3.222747883325325e-001,-3.485528408884112e-001
 5.760000000000000e+000,-3.511847587542644e-001,-3.223029701204390e-001,-3.485501061546418e-001
 5.770000000000001e+000,-3.511436680959847e-001,-3.223059410470943e-001,-3.485489974700361e-001
 5.780000000000000e+000,-3.510951589101169e-001,-3.222862771665946e-001,-3.485493555699161e-001
 5.790000000000000e+000,-3.510400692625474e-001,-3.222467327258645e-001,-3.485510076431726e-001
 5.800000000000000e+000,-3.509792091340626e-001,-3.221900713782961e-001,-3.485537789863083e-001
 5.810000000000001e+000,-3.509133551433251e-001,-3.221189724115658e-001,-3.485574993920013e-001
 5.820000000000000e+000,-3.508431933762027e-001,-3.220359995516755e-001,-3.485620043177232e-001
 5.830000000000000e+000,-3.507691812876345e-001,-3.219435771498211e-001,-3.485671346373960e-001
 5.840000000000000e+000,-3.506913970527537e-001,-3.218439686072108e-001,-3.485727364314752e-001
 5.850000000000000e+000,-3.506094756743283e-001,-3.217392438613398e-001,-3.485786627830677e-001
 5.860000000000000e+000,-3.505226434574731e-001,-3.216311999986818e-001,-3.485847800812833e-001
 5.870000000000000e+000,-3.504297953466529e-001,-3.215212864106734e-001,-3.485909746418922e-001
 5.880000000000000e+000,-3.503295799935453e-001,-3.214105946282118e-001,-3.485971549455527e-001
 5.890000000000000e+000,-3.502205024325549e-001,-3.212998724020040e-001,-3.486032523419793e-001
 5.900000000000000e+000,-3.501010658280416e-001,-3.211895327048993e-001,-3.486092224673665e-001
 5.910000000000000e+000,-3.499699423868600e-001,-3.210796717455968e-001,-3.486150461075998e-001
 5.920000000000000e+000,-3.498261417421436e-001,-3.209700920659748e-001,-3.486207295379121e-001
 5.930000000000000e+000,-3.496691612279214e-001,-3.208603541486235e-001,-3.486263028792493e-001
 5.940000000000000e+000,-3.494991305203972e-001,-3.207499079150686e-001,-3.486318130508587e-001
 5.950000000000000e+000,-3.493169865137569e-001,-3.206382840580673e-001,-3.486373128955895e-001
 5.960000000000000e+000,-3.491246767509311e-001,-3.205252663275431e-001,-3.486428517400975e-001
 5.970000000000000e+000,-3.489251952360433e-001,-3.204109981295511e-001,-3.486484678455184e-001
 5.980000000000000e+000,-3.487221791578943e-001,-3.202959923850792e-001,-3.486541808962126e-001
 5.990000000000000e+000,-3.485192444323859e-001,-3.201810541447008e-001,-3.486599862669281e-001
 6.000000000000000e+000,-3.483195620153777e-001,-3.200672185527058e-001,-3.486658515412763e-001
 6.010000000000000e+000,-3.481257406385651e-001,-3.199557930317942e-001,-3.486717104526351e-001
 6.020000000000000e+000,-3.479396841812772e-001,-3.198484790658855e-001,-3.486774513536655e-001
 6.030000000000000e+000,-3.477622184519153e-001,-3.197474646199967e-001,-3.486829056415400e-001
 6.040000000000000e+000,-3.475925422624823e-001,-3.196554240401670e-001,-3.486878417198382e-001
 6.050000000000000e+000,-3.474277643308761e-001,-3.195755236011113e-001,-3.486919599701571e-001
 6.060000000000000e+000,-3.472627717153801e-001,-3.195115342104096e-001,-3.486948841325926e-001
 6.070000000000000e+000,-3.470904819923328e-001,-3.194679611713713e-001,-3.486961572714964e-001
 6.080000000000000e+000,-3.469025399720634e-001,-3.194500547125334e-001,-3.486952530389858e-001
 6.090000000000000e+000,-3.466906338537950e-001,-3.194636350433542e-001,-3.486916075705806e-001
 6.100000000000000e+000,-3.464484455435666e-001,-3.195146432256211e-001,-3.486846778865079e-001
 6.110000000000000e+000,-3.461738724496573e-001,-3.196083591911749e-001,-3.486740273605762e-001
 6.120000000000000e+000,-3.458708010443955e-001,-3.197483746027485e-001,-3.486594236829467e-001
 6.130000000000000e+000,-3.455495454632405e-001,-3.199355286080958e-001,-3.486409236700086e-001
 6.140000000000000e+000,-3.452253914004878e-001,-3.201670473115807e-001,-3.486189203291638e-001
 6.150000000000000e+000,-3.449155582516811e-001,-3.204361221403986e-001,-3.485941371797948e-001
 6.160000000000000e+000,-3.446356684477048e-001,-3.207322024980370e-001,-3.485675618235254e-001
 6.170000000000000e+000,-3.443968863606655e-001,-3.210420537699619e-001,-3.485402699786617e-001
 6.180000000000000e+000,-3.442047698522681e-001,-3.213520428825611e-001,-3.485134813976433e-001
 6.190000000000000e+000,-3.440593606642589e-001,-3.216493229905764e-001,-3.484881167374548e-001
 6.200000000000000e+000,-3.439566523763801e-001,-3.219237182968646e-001,-3.484649096845167e-001
 6.210000000000000e+000,-3.438902385030568e-001,-3.221683881677795e-001,-3.484443186811314e-001
 6.220000000000000e+000,-3.438527750695163e-001,-3.223799589827352e-001,-3.484265340682439e-001
 6.230000000000000e+000,-3.438370112030441e-001,-3.225581365889809e-001,-3.484115182352434e-001
 6.240000000000000e+000,-3.438363947036371e-001,-3.227049583977637e-001,-3.483990662959766e-001
 6.250000000000000e+000,-3.438453768578239e-001,-3.228238945416342e-001,-3.483888737111542e-001
 6.260000000000000e+000,-3.438595124675633e-001,-3.229190303920257e-001,-3.483805965361474e-001
 6.270000000000000e+000,-3.438754036936131e-001,-3.229944667553752e-001,-3.483738954142298e-001
 6.280000000000000e+000,-3.438905564444687e-001,-3.230539564812056e-001,-3.483684619765911e-001
 6.290000000000000e+000,-3.439032326997629e-001,-3.231007400549872e-001,-3.483640306607764e-001
 6.300000000000000e+000,-3.439123279969144e-001,-3.231374923701060e-001,-3.483603822853832e-001
 6.310000000000000e+000,-3.439172617492000e-001,-3.231663074444491e-001,-3.483573446652904e-001
 6.320000000000000e+000,-3.439178890163098e-001,-3.231887587694100e-001,-3.483547882279491e-001
 6.330000000000000e+000,-3.439144339083250e-001,-3.232060729684889e-001,-3.483526140487230e-001
 6.340000000000000e+000,-3.439074160260101e-001,-3.232192923303967e-001,-3.483507422901454e-001
 6.350000000000000e+000,-3.438975540751453e-001,-3.232292864957933e-001,-3.483491103083122e-001
 6.359999999999999e+000,-3.438856514615608e-001,-3.232366704780165e-001,-3.483476765356939e-001
 6.370000000000000e+000,-3.438724867498104e-001,-3.232417585283407e-001,-3.483464216352859e-001
 6.380000000000000e+000,-3.438587382426784e-001,-3.232445865385165e-001,-3.483453452216878e-001
 6.390000000000000e+000,-3.438449408789291e-001,-3.232449733472915e-001,-3.483444604010910e-001
 6.400000000000000e+000,-3.438314497852186e-001,-3.232425735289861e-001,-3.483437892825790e-001
 6.410000000000000e+000,-3.438184167960748e-001,-3.232369265864665e-001,-3.483433591841572e-001
 6.420000000000000e+000,-3.438058134359799e-001,-3.232275704517229e-001,-3.483431951803600e-001
 6.430000000000000e+000,-3.437934863996713e-001,-3.232141878108339e-001,-3.483433109378983e-001
 6.440000000000000e+000,-3.437812086733374e-001,-3.231966823485712e-001,-3.483437043613026e-001
 6.450000000000000e+000,-3.437687519117054e-001,-3.231751970154027e-001,-3.483443574939913e-001
 6.460000000000000e+000,-3.437559788414463e-001,-3.231501363300833e-001,-3.483452364531602e-001
 6.470000000000000e+000,-3.437428721187771e-001,-3.231221711634758e-001,-3.483462918142172e-001
 6.480000000000000e+000,-3.437295031870226e-001,-3.230921715585040e-001,-3.483474631106925e-001
 6.490000000000000e+000,-3.437160191229123e-001,-3.230610810987105e-001,-3.483486874549311e-001
 6.500000000000000e+000,-3.437026426390502e-001,-3.230297999044871e-001,-3.483499075077231e-001
 6.510000000000000e+000,-3.436896612775348e-001,-3.229990967253111e-001,-3.483510768397954e-001
 6.520000000000000e+000,-3.436774076303532e-001,-3.229695405866617e-001,-3.483521635320022e-001
