t                            XRot
0.000000000000000          0.16382
0.002000000000000          0.16515
0.004000000000000          0.16654
0.006000000000000          0.16804
0.008000000000000          0.16963
0.010000000000000          0.17133
0.012000000000000          0.17314
0.014000000000000          0.17506
0.016000000000000          0.17711
0.018000000000000          0.17928
0.020000000000000          0.18160
0.022000000000000          0.18407
0.024000000000000          0.18670
0.026000000000000          0.18952
0.028000000000000          0.19253
0.030000000000000          0.19576
0.032000000000000          0.19920
0.034000000000000          0.20288
0.036000000000000          0.20678
0.038000000000000          0.21091
0.040000000000000          0.21524
0.042000000000000          0.21974
0.044000000000000          0.22432
0.046000000000000          0.22886
0.048000000000000          0.23318
0.050000000000000          0.23740
0.052000000000000          0.24230
0.054000000000000          0.24759
0.056000000000000          0.25320
0.058000000000000          0.25926
0.060000000000000          0.26591
0.062000000000000          0.27325
0.064000000000000          0.28130
0.066000000000000          0.28999
0.068000000000000          0.29919
0.070000000000000          0.30871
0.072000000000000          0.31835
0.074000000000000          0.32789
0.076000000000000          0.33709
0.078000000000000          0.34574
0.080000000000000          0.35371
0.082000000000000          0.36097
0.084000000000000          0.36747
0.086000000000000          0.37320
0.088000000000000          0.37819
0.090000000000000          0.38250
0.092000000000000          0.38622
0.094000000000000          0.38940
0.096000000000000          0.39210
0.098000000000000          0.39434
0.100000000000000          0.39612
0.102000000000000          0.39746
0.104000000000000          0.39836
0.106000000000000          0.39886
0.108000000000000          0.39899
0.110000000000000          0.39880
0.112000000000000          0.39831
0.114000000000000          0.39758
0.116000000000000          0.39667
0.118000000000000          0.39566
0.120000000000000          0.39460
0.122000000000000          0.39350
0.124000000000000          0.39236
0.126000000000000          0.39113
0.128000000000000          0.38976
0.130000000000000          0.38823
0.132000000000000          0.38663
0.134000000000000          0.38508
0.136000000000000          0.38372
0.138000000000000          0.38265
0.140000000000000          0.38194
0.142000000000000          0.38162
0.144000000000000          0.38168
0.146000000000000          0.38207
0.148000000000000          0.38274
0.150000000000000          0.38362
0.152000000000000          0.38467
0.154000000000000          0.38587
0.156000000000000          0.38718
0.158000000000000          0.38854
0.160000000000000          0.38990
0.162000000000000          0.39121
0.164000000000000          0.39246
0.166000000000000          0.39363
0.168000000000000          0.39473
0.170000000000000          0.39580
0.172000000000000          0.39693
0.174000000000000          0.39820
0.176000000000000          0.39966
0.178000000000000          0.40128
0.180000000000000          0.40298
0.182000000000000          0.40466
0.184000000000000          0.40617
0.186000000000000          0.40736
0.188000000000000          0.40803
0.190000000000000          0.40801
0.192000000000000          0.40714
0.194000000000000          0.40533
0.196000000000000          0.40250
0.198000000000000          0.39868
0.200000000000000          0.39395
0.202000000000000          0.38839
0.204000000000000          0.38210
0.206000000000000          0.37519
0.208000000000000          0.36777
0.210000000000000          0.35995
0.212000000000000          0.35180
0.214000000000000          0.34339
0.216000000000000          0.33478
0.218000000000000          0.32601
0.220000000000000          0.31713
0.222000000000000          0.30821
0.224000000000000          0.29934
0.226000000000000          0.29063
0.228000000000000          0.28218
0.230000000000000          0.27404
0.232000000000000          0.26621
0.234000000000000          0.25868
0.236000000000000          0.25144
0.238000000000000          0.24454
0.240000000000000          0.23804
0.242000000000000          0.23204
0.244000000000000          0.22664
0.246000000000000          0.22191
0.248000000000000          0.21787
0.250000000000000          0.21454
0.252000000000000          0.21188
0.254000000000000          0.20985
0.256000000000000          0.20843
0.258000000000000          0.20756
0.260000000000000          0.20718
0.262000000000000          0.20727
0.264000000000000          0.20775
0.266000000000000          0.20853
0.268000000000000          0.20950
0.270000000000000          0.21051
0.272000000000000          0.21146
0.274000000000000          0.21230
0.276000000000000          0.21299
0.278000000000000          0.21356
0.280000000000000          0.21403
0.282000000000000          0.21449
0.284000000000000          0.21499
0.286000000000000          0.21558
0.288000000000000          0.21630
0.290000000000000          0.21721
0.292000000000000          0.21839
0.294000000000000          0.21994
0.296000000000000          0.22195
0.298000000000000          0.22442
0.300000000000000          0.22735
0.302000000000000          0.23065
0.304000000000000          0.23422
0.306000000000000          0.23794
0.308000000000000          0.24172
0.310000000000000          0.24542
0.312000000000000          0.24895
0.314000000000000          0.25220
0.316000000000000          0.25508
0.318000000000000          0.25750
0.320000000000000          0.25938
0.322000000000000          0.26068
0.324000000000000          0.26139
0.326000000000000          0.26153
0.328000000000000          0.26117
0.330000000000000          0.26039
0.332000000000000          0.25928
0.334000000000000          0.25793
0.336000000000000          0.25638
0.338000000000000          0.25464
0.340000000000000          0.25272
0.342000000000000          0.25056
0.344000000000000          0.24814
0.346000000000000          0.24544
0.348000000000000          0.24248
0.350000000000000          0.23936
0.352000000000000          0.23629
0.354000000000000          0.23312
0.356000000000000          0.23002
0.358000000000000          0.22712
0.360000000000000          0.22444
0.362000000000000          0.22198
0.364000000000000          0.21974
0.366000000000000          0.21771
0.368000000000000          0.21587
0.370000000000000          0.21422
0.372000000000000          0.21275
0.374000000000000          0.21146
0.376000000000000          0.21036
0.378000000000000          0.20944
0.380000000000000          0.20871
0.382000000000000          0.20817
0.384000000000000          0.20783
0.386000000000000          0.20771
0.388000000000000          0.20782
0.390000000000000          0.20817
0.392000000000000          0.20879
0.394000000000000          0.20969
0.396000000000000          0.21090
0.398000000000000          0.21244
0.400000000000000          0.21428
