t                            ZRot
0.000000000000000           -0.17409
0.002000000000000           -0.16976
0.004000000000000           -0.16584
0.006000000000000           -0.16242
0.008000000000000           -0.15951
0.010000000000000           -0.15709
0.012000000000000           -0.15513
0.014000000000000           -0.15363
0.016000000000000           -0.15255
0.018000000000000           -0.15190
0.020000000000000           -0.15164
0.022000000000000           -0.15177
0.024000000000000           -0.15226
0.026000000000000           -0.15312
0.028000000000000           -0.15433
0.030000000000000           -0.15588
0.032000000000000           -0.15777
0.034000000000000           -0.15999
0.036000000000000           -0.16256
0.038000000000000           -0.16549
0.040000000000000           -0.16883
0.042000000000000           -0.17261
0.044000000000000           -0.17694
0.046000000000000           -0.18192
0.048000000000000           -0.18758
0.050000000000000           -0.19359
0.052000000000000           -0.19926
0.054000000000000           -0.20471
0.056000000000000           -0.20992
0.058000000000000           -0.21479
0.060000000000000           -0.21928
0.062000000000000           -0.22337
0.064000000000000           -0.22705
0.066000000000000           -0.23031
0.068000000000000           -0.23317
0.070000000000000           -0.23565
0.072000000000000           -0.23781
0.074000000000000           -0.23971
0.076000000000000           -0.24148
0.078000000000000           -0.24323
0.080000000000000           -0.24504
0.082000000000000           -0.24694
0.084000000000000           -0.24894
0.086000000000000           -0.25108
0.088000000000000           -0.25337
0.090000000000000           -0.25578
0.092000000000000           -0.25827
0.094000000000000           -0.26076
0.096000000000000           -0.26317
0.098000000000000           -0.26536
0.100000000000000           -0.26722
0.102000000000000           -0.26868
0.104000000000000           -0.26972
0.106000000000000           -0.27035
0.108000000000000           -0.27059
0.110000000000000           -0.27045
0.112000000000000           -0.26997
0.114000000000000           -0.26912
0.116000000000000           -0.26791
0.118000000000000           -0.26631
0.120000000000000           -0.26433
0.122000000000000           -0.26198
0.124000000000000           -0.25922
0.126000000000000           -0.25595
0.128000000000000           -0.25205
0.130000000000000           -0.24740
0.132000000000000           -0.24199
0.134000000000000           -0.23579
0.136000000000000           -0.22886
0.138000000000000           -0.22127
0.140000000000000           -0.21309
0.142000000000000           -0.20441
0.144000000000000           -0.19531
0.146000000000000           -0.18582
0.148000000000000           -0.17600
0.150000000000000           -0.16591
0.152000000000000           -0.15562
0.154000000000000           -0.14522
0.156000000000000           -0.13483
0.158000000000000           -0.12456
0.160000000000000           -0.11446
0.162000000000000           -0.10456
0.164000000000000           -0.09489
0.166000000000000           -0.08550
0.168000000000000           -0.07646
0.170000000000000           -0.06788
0.172000000000000           -0.05985
0.174000000000000           -0.05246
0.176000000000000           -0.04575
0.178000000000000           -0.03977
0.180000000000000           -0.03458
0.182000000000000           -0.03019
0.184000000000000           -0.02658
0.186000000000000           -0.02370
0.188000000000000           -0.02145
0.190000000000000           -0.01973
0.192000000000000           -0.01841
0.194000000000000           -0.01738
0.196000000000000           -0.01655
0.198000000000000           -0.01583
0.200000000000000           -0.01514
0.202000000000000           -0.01442
0.204000000000000           -0.01366
0.206000000000000           -0.01286
0.208000000000000           -0.01202
0.210000000000000           -0.01116
0.212000000000000           -0.01034
0.214000000000000           -0.00957
0.216000000000000           -0.00884
0.218000000000000           -0.00814
0.220000000000000           -0.00741
0.222000000000000           -0.00663
0.224000000000000           -0.00578
0.226000000000000           -0.00487
0.228000000000000           -0.00389
0.230000000000000           -0.00287
0.232000000000000           -0.00185
0.234000000000000           -0.00088
0.236000000000000           0.00001 
0.238000000000000           0.00082 
0.240000000000000           0.00152 
0.242000000000000           0.00207 
0.244000000000000           0.00246 
0.246000000000000           0.00270 
0.248000000000000           0.00278 
0.250000000000000           0.00270 
0.252000000000000           0.00242 
0.254000000000000           0.00195 
0.256000000000000           0.00132 
0.258000000000000           0.00053 
0.260000000000000           -0.00043
0.262000000000000           -0.00164
0.264000000000000           -0.00322
0.266000000000000           -0.00523
0.268000000000000           -0.00770
