t                            YRot
0.000000000000000           -1.63278
0.002000000000000           -1.64118
0.004000000000000           -1.64959
0.006000000000000           -1.65798
0.008000000000000           -1.66635
0.010000000000000           -1.67469
0.012000000000000           -1.68299
0.014000000000000           -1.69123
0.016000000000000           -1.69941
0.018000000000000           -1.70754
0.020000000000000           -1.71559
0.022000000000000           -1.72358
0.024000000000000           -1.73150
0.026000000000000           -1.73935
0.028000000000000           -1.74715
0.030000000000000           -1.75489
0.032000000000000           -1.76259
0.034000000000000           -1.77025
0.036000000000000           -1.77789
0.038000000000000           -1.78551
0.040000000000000           -1.79315
0.042000000000000           -1.80079
0.044000000000000           -1.80846
0.046000000000000           -1.81612
0.048000000000000           -1.82367
0.050000000000000           -1.83092
0.052000000000000           -1.83779
0.054000000000000           -1.84444
0.056000000000000           -1.85088
0.058000000000000           -1.85710
0.060000000000000           -1.86309
0.062000000000000           -1.86889
0.064000000000000           -1.87453
0.066000000000000           -1.88005
0.068000000000000           -1.88547
0.070000000000000           -1.89080
0.072000000000000           -1.89613
0.074000000000000           -1.90157
0.076000000000000           -1.90725
0.078000000000000           -1.91331
0.080000000000000           -1.91982
0.082000000000000           -1.92684
0.084000000000000           -1.93440
0.086000000000000           -1.94251
0.088000000000000           -1.95116
0.090000000000000           -1.96030
0.092000000000000           -1.96994
0.094000000000000           -1.98005
0.096000000000000           -1.99063
0.098000000000000           -2.00168
0.100000000000000           -2.01320
0.102000000000000           -2.02521
0.104000000000000           -2.03776
0.106000000000000           -2.05089
0.108000000000000           -2.06460
0.110000000000000           -2.07887
0.112000000000000           -2.09368
0.114000000000000           -2.10897
0.116000000000000           -2.12461
0.118000000000000           -2.14044
0.120000000000000           -2.15627
0.122000000000000           -2.17189
0.124000000000000           -2.18715
0.126000000000000           -2.20193
0.128000000000000           -2.21613
0.130000000000000           -2.22978
0.132000000000000           -2.24292
0.134000000000000           -2.25568
0.136000000000000           -2.26819
0.138000000000000           -2.28058
0.140000000000000           -2.29295
0.142000000000000           -2.30536
0.144000000000000           -2.31783
0.146000000000000           -2.33029
0.148000000000000           -2.34265
0.150000000000000           -2.35483
0.152000000000000           -2.36673
0.154000000000000           -2.37821
0.156000000000000           -2.38919
0.158000000000000           -2.39961
0.160000000000000           -2.40943
0.162000000000000           -2.41867
0.164000000000000           -2.42739
0.166000000000000           -2.43570
0.168000000000000           -2.44370
0.170000000000000           -2.45150
0.172000000000000           -2.45916
0.174000000000000           -2.46668
0.176000000000000           -2.47400
0.178000000000000           -2.48103
0.180000000000000           -2.48764
0.182000000000000           -2.49372
0.184000000000000           -2.49914
0.186000000000000           -2.50377
0.188000000000000           -2.50752
0.190000000000000           -2.51032
0.192000000000000           -2.51219
0.194000000000000           -2.51315
0.196000000000000           -2.51333
0.198000000000000           -2.51287
0.200000000000000           -2.51198
0.202000000000000           -2.51082
0.204000000000000           -2.50955
0.206000000000000           -2.50825
0.208000000000000           -2.50696
0.210000000000000           -2.50565
0.212000000000000           -2.50430
0.214000000000000           -2.50287
0.216000000000000           -2.50132
0.218000000000000           -2.49957
0.220000000000000           -2.49755
0.222000000000000           -2.49519
0.224000000000000           -2.49241
0.226000000000000           -2.48911
0.228000000000000           -2.48523
0.230000000000000           -2.48068
0.232000000000000           -2.47540
0.234000000000000           -2.46937
0.236000000000000           -2.46257
0.238000000000000           -2.45497
0.240000000000000           -2.44653
0.242000000000000           -2.43720
0.244000000000000           -2.42692
0.246000000000000           -2.41560
0.248000000000000           -2.40313
0.250000000000000           -2.38938
0.252000000000000           -2.37424
0.254000000000000           -2.35754
0.256000000000000           -2.33909
0.258000000000000           -2.31872
0.260000000000000           -2.29622
0.262000000000000           -2.27144
0.264000000000000           -2.24428
0.266000000000000           -2.21473
0.268000000000000           -2.18282
0.270000000000000           -2.14870
0.272000000000000           -2.11258
0.274000000000000           -2.07482
0.276000000000000           -2.03586
0.278000000000000           -1.99623
0.280000000000000           -1.95653
0.282000000000000           -1.91743
0.284000000000000           -1.87968
0.286000000000000           -1.84405
0.288000000000000           -1.81130
0.290000000000000           -1.78216
0.292000000000000           -1.75732
0.294000000000000           -1.73739
0.296000000000000           -1.72289
0.298000000000000           -1.71425
0.300000000000000           -1.71180
0.302000000000000           -1.71578
0.304000000000000           -1.72630
0.306000000000000           -1.74328
0.308000000000000           -1.76646
0.310000000000000           -1.79539
0.312000000000000           -1.82946
0.314000000000000           -1.86791
0.316000000000000           -1.90986
0.318000000000000           -1.95431
0.320000000000000           -2.00018
0.322000000000000           -2.04637
0.324000000000000           -2.09176
0.326000000000000           -2.13529
0.328000000000000           -2.17587
0.330000000000000           -2.21248
0.332000000000000           -2.24413
0.334000000000000           -2.26999
0.336000000000000           -2.28944
0.338000000000000           -2.30205
0.340000000000000           -2.30764
0.342000000000000           -2.30623
0.344000000000000           -2.29807
0.346000000000000           -2.28353
0.348000000000000           -2.26311
0.350000000000000           -2.23692
0.352000000000000           -2.20472
0.354000000000000           -2.17111
0.356000000000000           -2.13857
0.358000000000000           -2.10728
0.360000000000000           -2.07675
0.362000000000000           -2.04648
0.364000000000000           -2.01611
0.366000000000000           -1.98538
0.368000000000000           -1.95417
0.370000000000000           -1.92239
0.372000000000000           -1.89000
0.374000000000000           -1.85703
0.376000000000000           -1.82349
0.378000000000000           -1.78944
0.380000000000000           -1.75494
0.382000000000000           -1.72005
0.384000000000000           -1.68484
0.386000000000000           -1.64940
0.388000000000000           -1.61377
0.390000000000000           -1.57803
0.392000000000000           -1.54224
0.394000000000000           -1.50646
0.396000000000000           -1.47074
