t                            ZRot
0.000000000000000          0.05110 
0.002000000000000          0.04287 
0.004000000000000          0.03498 
0.006000000000000          0.02752 
0.008000000000000          0.02050 
0.010000000000000          0.01387 
0.012000000000000          0.00762 
0.014000000000000          0.00176 
0.016000000000000          -0.00374
0.018000000000000          -0.00887
0.020000000000000          -0.01365
0.022000000000000          -0.01808
0.024000000000000          -0.02218
0.026000000000000          -0.02595
0.028000000000000          -0.02941
0.030000000000000          -0.03256
0.032000000000000          -0.03540
0.034000000000000          -0.03794
0.036000000000000          -0.04015
0.038000000000000          -0.04204
0.040000000000000          -0.04358
0.042000000000000          -0.04476
0.044000000000000          -0.04556
0.046000000000000          -0.04602
0.048000000000000          -0.04629
0.050000000000000          -0.04678
0.052000000000000          -0.04803
0.054000000000000          -0.04966
0.056000000000000          -0.05155
0.058000000000000          -0.05381
0.060000000000000          -0.05663
0.062000000000000          -0.06016
0.064000000000000          -0.06447
0.066000000000000          -0.06954
0.068000000000000          -0.07517
0.070000000000000          -0.08102
0.072000000000000          -0.08671
0.074000000000000          -0.09190
0.076000000000000          -0.09634
0.078000000000000          -0.09987
0.080000000000000          -0.10247
0.082000000000000          -0.10412
0.084000000000000          -0.10475
0.086000000000000          -0.10420
0.088000000000000          -0.10235
0.090000000000000          -0.09914
0.092000000000000          -0.09457
0.094000000000000          -0.08871
0.096000000000000          -0.08165
0.098000000000000          -0.07354
0.100000000000000          -0.06459
0.102000000000000          -0.05501
0.104000000000000          -0.04512
0.106000000000000          -0.03527
0.108000000000000          -0.02582
0.110000000000000          -0.01709
0.112000000000000          -0.00950
0.114000000000000          -0.00343
0.116000000000000          0.00085 
0.118000000000000          0.00320 
0.120000000000000          0.00360 
0.122000000000000          0.00220 
0.124000000000000          -0.00074
0.126000000000000          -0.00490
0.128000000000000          -0.00997
0.130000000000000          -0.01573
0.132000000000000          -0.02210
0.134000000000000          -0.02901
0.136000000000000          -0.03635
0.138000000000000          -0.04390
0.140000000000000          -0.05138
0.142000000000000          -0.05849
0.144000000000000          -0.06496
0.146000000000000          -0.07059
0.148000000000000          -0.07523
0.150000000000000          -0.07877
0.152000000000000          -0.08112
0.154000000000000          -0.08231
0.156000000000000          -0.08247
0.158000000000000          -0.08181
0.160000000000000          -0.08054
0.162000000000000          -0.07889
0.164000000000000          -0.07716
0.166000000000000          -0.07567
0.168000000000000          -0.07475
0.170000000000000          -0.07467
0.172000000000000          -0.07571
0.174000000000000          -0.07814
0.176000000000000          -0.08216
0.178000000000000          -0.08780
0.180000000000000          -0.09497
0.182000000000000          -0.10344
0.184000000000000          -0.11294
0.186000000000000          -0.12320
0.188000000000000          -0.13387
0.190000000000000          -0.14458
0.192000000000000          -0.15492
0.194000000000000          -0.16455
0.196000000000000          -0.17326
0.198000000000000          -0.18092
0.200000000000000          -0.18751
0.202000000000000          -0.19305
0.204000000000000          -0.19763
0.206000000000000          -0.20137
0.208000000000000          -0.20438
0.210000000000000          -0.20674
0.212000000000000          -0.20854
0.214000000000000          -0.20995
0.216000000000000          -0.21108
0.218000000000000          -0.21200
0.220000000000000          -0.21272
0.222000000000000          -0.21329
0.224000000000000          -0.21373
0.226000000000000          -0.21408
0.228000000000000          -0.21429
0.230000000000000          -0.21422
0.232000000000000          -0.21361
0.234000000000000          -0.21215
0.236000000000000          -0.20955
0.238000000000000          -0.20553
0.240000000000000          -0.19991
0.242000000000000          -0.19263
0.244000000000000          -0.18370
0.246000000000000          -0.17319
0.248000000000000          -0.16117
0.250000000000000          -0.14775
0.252000000000000          -0.13313
0.254000000000000          -0.11759
0.256000000000000          -0.10154
0.258000000000000          -0.08552
0.260000000000000          -0.07010
0.262000000000000          -0.05594
0.264000000000000          -0.04363
0.266000000000000          -0.03368
0.268000000000000          -0.02651
0.270000000000000          -0.02236
0.272000000000000          -0.02126
0.274000000000000          -0.02295
0.276000000000000          -0.02709
0.278000000000000          -0.03331
0.280000000000000          -0.04130
0.282000000000000          -0.05070
0.284000000000000          -0.06099
0.286000000000000          -0.07161
0.288000000000000          -0.08209
0.290000000000000          -0.09206
0.292000000000000          -0.10123
0.294000000000000          -0.10939
0.296000000000000          -0.11629
0.298000000000000          -0.12160
0.300000000000000          -0.12488
0.302000000000000          -0.12568
0.304000000000000          -0.12362
0.306000000000000          -0.11848
0.308000000000000          -0.11015
0.310000000000000          -0.09861
0.312000000000000          -0.08395
0.314000000000000          -0.06636
0.316000000000000          -0.04616
0.318000000000000          -0.02377
0.320000000000000          0.00024 
0.322000000000000          0.02523 
0.324000000000000          0.05048 
0.326000000000000          0.07526 
0.328000000000000          0.09883 
0.330000000000000          0.12059 
0.332000000000000          0.14001 
0.334000000000000          0.15666 
0.336000000000000          0.17033 
0.338000000000000          0.18104 
0.340000000000000          0.18901 
0.342000000000000          0.19451 
0.344000000000000          0.19774 
0.346000000000000          0.19884 
0.348000000000000          0.19789 
0.350000000000000          0.19437 
0.352000000000000          0.18675 
0.354000000000000          0.17717 
0.356000000000000          0.16700 
0.358000000000000          0.15656 
0.360000000000000          0.14575 
0.362000000000000          0.13444 
0.364000000000000          0.12248 
0.366000000000000          0.10979 
0.368000000000000          0.09629 
0.370000000000000          0.08195 
0.372000000000000          0.06673 
0.374000000000000          0.05061 
0.376000000000000          0.03360 
0.378000000000000          0.01569 
0.380000000000000          -0.00310
0.382000000000000          -0.02275
0.384000000000000          -0.04325
0.386000000000000          -0.06457
0.388000000000000          -0.08669
0.390000000000000          -0.10957
0.392000000000000          -0.13318
0.394000000000000          -0.15750
0.396000000000000          -0.18251
