t                            YRot
0.000000000000000           0.01940 
0.002000000000000           0.01642 
0.004000000000000           0.01336 
0.006000000000000           0.01019 
0.008000000000000           0.00691 
0.010000000000000           0.00352 
0.012000000000000           0.00002 
0.014000000000000           -0.00360
0.016000000000000           -0.00733
0.018000000000000           -0.01117
0.020000000000000           -0.01512
0.022000000000000           -0.01917
0.024000000000000           -0.02332
0.026000000000000           -0.02757
0.028000000000000           -0.03191
0.030000000000000           -0.03632
0.032000000000000           -0.04081
0.034000000000000           -0.04535
0.036000000000000           -0.04995
0.038000000000000           -0.05459
0.040000000000000           -0.05928
0.042000000000000           -0.06404
0.044000000000000           -0.06888
0.046000000000000           -0.07389
0.048000000000000           -0.07921
0.050000000000000           -0.08499
0.052000000000000           -0.09122
0.054000000000000           -0.09765
0.056000000000000           -0.10415
0.058000000000000           -0.11061
0.060000000000000           -0.11699
0.062000000000000           -0.12322
0.064000000000000           -0.12925
0.066000000000000           -0.13504
0.068000000000000           -0.14060
0.070000000000000           -0.14597
0.072000000000000           -0.15126
0.074000000000000           -0.15652
0.076000000000000           -0.16178
0.078000000000000           -0.16705
0.080000000000000           -0.17231
0.082000000000000           -0.17750
0.084000000000000           -0.18257
0.086000000000000           -0.18747
0.088000000000000           -0.19220
0.090000000000000           -0.19673
0.092000000000000           -0.20103
0.094000000000000           -0.20506
0.096000000000000           -0.20876
0.098000000000000           -0.21210
0.100000000000000           -0.21504
0.102000000000000           -0.21759
0.104000000000000           -0.21972
0.106000000000000           -0.22143
0.108000000000000           -0.22276
0.110000000000000           -0.22373
0.112000000000000           -0.22437
0.114000000000000           -0.22473
0.116000000000000           -0.22487
0.118000000000000           -0.22494
0.120000000000000           -0.22506
0.122000000000000           -0.22531
0.124000000000000           -0.22574
0.126000000000000           -0.22632
0.128000000000000           -0.22698
0.130000000000000           -0.22767
0.132000000000000           -0.22832
0.134000000000000           -0.22890
0.136000000000000           -0.22942
0.138000000000000           -0.22994
0.140000000000000           -0.23054
0.142000000000000           -0.23131
0.144000000000000           -0.23230
0.146000000000000           -0.23358
0.148000000000000           -0.23516
0.150000000000000           -0.23702
0.152000000000000           -0.23916
0.154000000000000           -0.24158
0.156000000000000           -0.24431
0.158000000000000           -0.24736
0.160000000000000           -0.25073
0.162000000000000           -0.25439
0.164000000000000           -0.25828
0.166000000000000           -0.26232
0.168000000000000           -0.26635
0.170000000000000           -0.27021
0.172000000000000           -0.27374
0.174000000000000           -0.27693
0.176000000000000           -0.27982
0.178000000000000           -0.28253
0.180000000000000           -0.28524
0.182000000000000           -0.28817
0.184000000000000           -0.29151
0.186000000000000           -0.29547
0.188000000000000           -0.30020
0.190000000000000           -0.30585
0.192000000000000           -0.31249
0.194000000000000           -0.32017
0.196000000000000           -0.32888
0.198000000000000           -0.33854
0.200000000000000           -0.34898
0.202000000000000           -0.36004
0.204000000000000           -0.37165
0.206000000000000           -0.38376
0.208000000000000           -0.39639
0.210000000000000           -0.40958
0.212000000000000           -0.42337
0.214000000000000           -0.43776
0.216000000000000           -0.45273
0.218000000000000           -0.46819
0.220000000000000           -0.48398
0.222000000000000           -0.49994
0.224000000000000           -0.51594
0.226000000000000           -0.53187
0.228000000000000           -0.54770
0.230000000000000           -0.56337
0.232000000000000           -0.57890
0.234000000000000           -0.59427
0.236000000000000           -0.60949
0.238000000000000           -0.62460
0.240000000000000           -0.63969
0.242000000000000           -0.65486
0.244000000000000           -0.67020
0.246000000000000           -0.68590
0.248000000000000           -0.70221
0.250000000000000           -0.71946
0.252000000000000           -0.73796
0.254000000000000           -0.75806
0.256000000000000           -0.78013
0.258000000000000           -0.80454
0.260000000000000           -0.83165
0.262000000000000           -0.86182
0.264000000000000           -0.89538
0.266000000000000           -0.93263
0.268000000000000           -0.97363
0.270000000000000           -1.01801
0.272000000000000           -1.06475
0.274000000000000           -1.11222
0.276000000000000           -1.15834
0.278000000000000           -1.20056
0.280000000000000           -1.23609
0.282000000000000           -1.26215
0.284000000000000           -1.27608
0.286000000000000           -1.27554
0.288000000000000           -1.25880
0.290000000000000           -1.22496
0.292000000000000           -1.17386
0.294000000000000           -1.10605
0.296000000000000           -1.02268
0.298000000000000           -0.92536
0.300000000000000           -0.81601
0.302000000000000           -0.69681
0.304000000000000           -0.57012
0.306000000000000           -0.43842
0.308000000000000           -0.30421
0.310000000000000           -0.16989
0.312000000000000           -0.03775
0.314000000000000           0.09006 
0.316000000000000           0.21141 
0.318000000000000           0.32428 
0.320000000000000           0.42674 
0.322000000000000           0.51706 
0.324000000000000           0.59370 
0.326000000000000           0.65543 
0.328000000000000           0.70129 
0.330000000000000           0.73068 
0.332000000000000           0.74351 
0.334000000000000           0.74046 
0.336000000000000           0.72296 
0.338000000000000           0.69320 
0.340000000000000           0.65395 
0.342000000000000           0.60841 
0.344000000000000           0.55990 
0.346000000000000           0.51167 
0.348000000000000           0.46660 
0.350000000000000           0.43013 
