---- AnyBody Output File ---------------------------------
Study: Main.Studies.InverseDynamicStudy
Operation: Main.Studies.InverseDynamicStudy.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.FileName = "..\Input\BareFootWalk-CoeffVec.txt"
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Digits = 15
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Width = 22
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Style = ScientificNumber
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.FormatStr = "%22.15e"
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Search = 
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.SepSign = " "
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.LineSepSign = ""
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.TitleSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.ConstSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.VarSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.ColumnNamesOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.InverseDynamicStudy.t
col61  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[60]
col62  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[61]
col63  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[62]
col64  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[63]
col65  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[64]
col66  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[65]
col67  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[66]
col68  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[67]
col69  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[68]
col70  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[69]
col71  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[70]
col72  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[71]
col73  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[72]
col74  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[73]
col75  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[74]
col76  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[75]
col77  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[76]
col78  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[77]
col79  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[78]
col80  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[79]
col81  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[80]
col82  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[81]
