---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.FileName = "..\Input\BareFootWalk-output-euler-rightdetailedfoot.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.CalcaneoCuboidDorsiFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.CalcaneoCuboidEversion
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularDorsiFlexion
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularAbduction
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularEversion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoMedialCuneiformDorsiFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoMedialCuneiformAbduction
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoIntermediateCuneiformDorsiFlexion
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoLateralCuneiformDorsiFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal1DorsiFlexion
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal1Abduction
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal2DorsiFlexion
col13  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal3DorsiFlexion
col14  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal4DorsiFlexion
col15  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal5SkewDorsiFlexion
col16  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal1DorsiFlexion
col17  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal1Abduction
col18  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal2DorsiFlexion
col19  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal2Abduction
col20  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal3DorsiFlexion
col21  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal3Abduction
col22  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal4DorsiFlexion
col23  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal4Abduction
col24  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal5DorsiFlexion
col25  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal5Abduction
col26  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoDistalPhalange1DorsiFlexion
col27  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange2DorsiFlexion
col28  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange3DorsiFlexion
col29  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange4DorsiFlexion
col30  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange5DorsiFlexion
col31  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange2DorsiFlexion
col32  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange3DorsiFlexion
col33  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange4DorsiFlexion
col34  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange5DorsiFlexion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.CalcaneoCuboidDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.CalcaneoCuboidEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TaloNavicularEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoMedialCuneiformDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoMedialCuneiformAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoIntermediateCuneiformDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.NaviculoLateralCuneiformDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal1DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal1Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal2DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal3DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal4DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.TarsoMetatarsal5SkewDorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal1DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal1Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal2DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal2Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal3DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal3Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal4DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal4Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal5DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MetatarsoPhalangeal5Abduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoDistalPhalange1DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange2DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange3DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange4DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.ProximoMedialPhalange5DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange2DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange3DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange4DorsiFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile9.MedioDistalPhalange5DorsiFlexion
1.039130434782608e+000 -4.843364980277482e-002 -8.745367321941250e-002 -3.511833971712901e-002 1.203253306077725e-001 1.483304221377803e-001 -2.107100383027662e-002 1.203253306077734e-002 -1.845413275867058e-002 -2.043214460831876e-002 -3.511833971726342e-003 1.203253306077756e-002 -1.845413275867660e-002 -2.043214460832419e-002 -4.478290150311146e-002 -4.843364980277712e-002 2.066006536910076e-001 -1.187224118821406e-001 1.346991144685134e-001 5.101455888967377e-002 6.279757585449301e-002 -1.594399157469595e-002 -9.103962831804277e-003 -1.081369199852584e-001 -8.100549501241468e-002 -1.455720872562187e-001 -3.975105512712275e-001 -6.944261856947333e-002 1.050915869317848e-001 2.035798075309826e-001 1.511071340558357e-001 -3.156482662015823e-002 4.776890319721838e-002 9.253627616696378e-002 6.868506112008718e-002
1.046141304347826e+000 -4.484930994345115e-002 -8.722768354441704e-002 -3.474804325506595e-002 1.200634419068241e-001 1.512801722165779e-001 -2.084882595304044e-002 1.200634419068236e-002 -1.836787595233706e-002 -2.019785647848213e-002 -3.474804325491013e-003 1.200634419068236e-002 -1.836787595233706e-002 -2.019785647847664e-002 -4.335114720025672e-002 -4.484930994344867e-002 1.961280419453146e-001 -1.247486847776582e-001 1.251696832341074e-001 4.841742751871259e-002 5.421132508031878e-002 -1.646864807197912e-002 -1.674703308569071e-002 -1.058125487653034e-001 -8.770538551515864e-002 -1.402939486243318e-001 -4.012391611743092e-001 -8.169751521895154e-002 9.278774593278664e-002 1.985624566177416e-001 1.518411515263806e-001 -3.713523418832454e-002 4.217624819179599e-002 9.025566211329804e-002 6.901870540674598e-002
1.053152173913043e+000 -4.134903253650538e-002 -8.709456802761990e-002 -3.451280128149094e-002 1.197332221223393e-001 1.541664424237865e-001 -2.070768076889864e-002 1.197332221223402e-002 -1.832706190398861e-002 -2.000419074944359e-002 -3.451280128130550e-003 1.197332221223380e-002 -1.832706190398255e-002 -2.000419074943803e-002 -4.199303198657248e-002 -4.134903253650538e-002 1.870027145311468e-001 -1.309157568111599e-001 1.163567464342565e-001 4.523366205866020e-002 4.571077934289131e-002 -1.758856284956378e-002 -2.493518762608997e-002 -1.045303838495220e-001 -9.558114491650198e-002 -1.358526395297330e-001 -4.050973585169369e-001 -9.276454091157642e-002 8.264829124775160e-002 1.952823363300752e-001 1.543541943269148e-001 -4.216570041924317e-002 3.756740502136375e-002 8.876469829972766e-002 7.016099703099250e-002
1.060163043478260e+000 -3.795652451852926e-002 -8.705446551411239e-002 -3.434085608992141e-002 1.193360176102769e-001 1.569870505483421e-001 -2.060451365394998e-002 1.193360176102765e-002 -1.830001721340750e-002 -1.983169174927413e-002 -3.434085609020789e-003 1.193360176102742e-002 -1.830001721341357e-002 -1.983169174928533e-002 -4.068798119170283e-002 -3.795652451852633e-002 1.791256343143766e-001 -1.369796253234819e-001 1.087883249179511e-001 4.164468508221320e-002 3.845101618559218e-002 -1.912592241432631e-002 -3.188629243217503e-002 -1.040857461342450e-001 -1.022235948252618e-001 -1.322503538901008e-001 -4.085669123991222e-001 -1.033131225585342e-001 7.280693039740863e-002 1.916267788556561e-001 1.552244207148206e-001 -4.696051025657064e-002 3.309405922260453e-002 8.710308128086985e-002 7.055655465544668e-002
1.067173913043478e+000 -3.468976862635897e-002 -8.710708463069024e-002 -3.417378467466326e-002 1.188737123282508e-001 1.597397898670230e-001 -2.050427080480422e-002 1.188737123282513e-002 -1.824851055209934e-002 -1.965364017626497e-002 -3.417378467466281e-003 1.188737123282513e-002 -1.824851055210542e-002 -1.965364017627626e-002 -3.940973002771020e-002 -3.468976862636217e-002 1.724587886897127e-001 -1.427347978585623e-001 1.024232837034986e-001 3.784666709732587e-002 3.238777951265875e-002 -2.087516508983600e-002 -3.764772455205271e-002 -1.042522910467223e-001 -1.076832211185600e-001 -1.293656769375398e-001 -4.115012989007852e-001 -1.132800868794769e-001 6.337215428843229e-002 1.877747510830206e-001 1.548648724072909e-001 -5.149094857774648e-002 2.880552474480252e-002 8.535215960699505e-002 7.039312412682439e-002
1.074184782608695e+000 -3.156076839321976e-002 -8.725160735911723e-002 -3.396802149448776e-002 1.183488303459477e-001 1.624224495663764e-001 -2.038081289669265e-002 1.183488303459468e-002 -1.815564155371069e-002 -1.946013107069746e-002 -3.396802149418221e-003 1.183488303459446e-002 -1.815564155371069e-002 -1.946013107070317e-002 -3.814697969601250e-002 -3.156076839321624e-002 1.669828129298792e-001 -1.480150838071859e-001 9.650390311832977e-002 3.406989633069268e-002 2.602499429983221e-002 -2.258468281933168e-002 -4.445391424017087e-002 -1.048069118785053e-001 -1.149328139455967e-001 -1.269586368685409e-001 -4.140815418926354e-001 -1.214827419210351e-001 5.699844347960294e-002 1.866967333199212e-001 1.582385584791858e-001 -5.521942815094616e-002 2.590838331144205e-002 8.486215147826308e-002 7.192661708654646e-002
1.081195652173912e+000 -2.857907473439588e-002 -8.748657461575807e-002 -3.370867846363777e-002 1.177646557280141e-001 1.650328415065124e-001 -2.022520707818097e-002 1.177646557280121e-002 -1.804725173135710e-002 -1.927562202661183e-002 -3.370867846373116e-003 1.177646557280165e-002 -1.804725173136941e-002 -1.927562202660607e-002 -3.692188843012707e-002 -2.857907473439588e-002 1.624910898451400e-001 -1.526916348238514e-001 9.201196412748049e-002 3.044097021796199e-002 2.153283906421983e-002 -2.419936729021965e-002 -4.894628582167601e-002 -1.056623720617009e-001 -1.194254047996881e-001 -1.251418037172118e-001 -4.158931833458230e-001 -1.293528080959624e-001 4.991179546698225e-002 1.840023336700380e-001 1.581242990416583e-001 -5.879673094976173e-002 2.268717980875612e-002 8.363742441318135e-002 7.187468161816309e-002
1.088206521739130e+000 -2.575066890315600e-002 -8.780975103720236e-002 -3.338721824525033e-002 1.171253721542291e-001 1.675688348018984e-001 -2.003233094715471e-002 1.171253721542276e-002 -1.794730409133037e-002 -1.912195759945848e-002 -3.338721824525953e-003 1.171253721542298e-002 -1.794730409133656e-002 -1.912195759945848e-002 -3.575405728294557e-002 -2.575066890315600e-002 1.589290041560299e-001 -1.566851098255471e-001 8.813035206557526e-002 2.714385829075017e-002 1.733170111934146e-002 -2.553438752473380e-002 -5.346694946047130e-002 -1.066881154663344e-001 -1.242655898594521e-001 -1.237098658825788e-001 -4.172521150497675e-001 -1.355738818894241e-001 4.493055217223890e-002 1.827192459656319e-001 1.594686247565451e-001 -6.162449176037644e-002 2.042297838052606e-002 8.305420275315729e-002 7.248573908326050e-002
1.095217391304347e+000 -2.308101747002831e-002 -8.821796600415649e-002 -3.301040549417992e-002 1.164362246620347e-001 1.700283999573265e-001 -1.980624329650911e-002 1.164362246620354e-002 -1.784409928837645e-002 -1.898846039148096e-002 -3.301040549379062e-003 1.164362246620354e-002 -1.784409928838267e-002 -1.898846039149266e-002 -3.463818085762820e-002 -2.308101747002831e-002 1.562092161349377e-001 -1.599718213850114e-001 8.497544542552044e-002 2.422342705830172e-002 1.374167559299419e-002 -2.656494768671291e-002 -5.749209422900208e-002 -1.077991660861284e-001 -1.287258543736001e-001 -1.226158751281667e-001 -4.181276035161172e-001 -1.405370863026480e-001 4.123186867250359e-002 1.820402882451100e-001 1.611083699694448e-001 -6.388049375352650e-002 1.874175860794238e-002 8.274558560515669e-002 7.323107773560202e-002
1.102228260869564e+000 -2.057510391893321e-002 -8.870692791515740e-002 -3.258974859199188e-002 1.157037057337507e-001 1.724096645674471e-001 -1.955384915519175e-002 1.157037057337496e-002 -1.771606288789221e-002 -1.885529600121910e-002 -3.258974859207738e-003 1.157037057337518e-002 -1.771606288790474e-002 -1.885529600120733e-002 -3.356213461512075e-002 -2.057510391890623e-002 1.541898167327042e-001 -1.625771805152321e-001 8.230908574222046e-002 2.169287942747711e-002 1.042835561040203e-002 -2.728134149949502e-002 -6.145237414961832e-002 -1.089180371652705e-001 -1.333331042446048e-001 -1.217670163810753e-001 -4.183837643897855e-001 -1.441983555478999e-001 3.905928882027700e-002 1.823688151750129e-001 1.638403367513532e-001 -6.554470707529239e-002 1.775422219072827e-002 8.289491598886568e-002 7.447288033832072e-002
1.109239130434782e+000 -1.823785254356737e-002 -8.927100894898699e-002 -3.213407205528449e-002 1.149357674996243e-001 1.747109828424213e-001 -1.928044323316948e-002 1.149357674996199e-002 -1.756629382165080e-002 -1.872412883794550e-002 -3.213407205490973e-003 1.149357674996243e-002 -1.756629382165080e-002 -1.872412883794550e-002 -3.253161873596024e-002 -1.823785254355519e-002 1.528746016329624e-001 -1.645067950960357e-001 8.066700646425710e-002 1.954025458101905e-002 8.459412638626465e-003 -2.772124263594433e-002 -6.374818317010064e-002 -1.100149946813647e-001 -1.359557651894563e-001 -1.212049181639205e-001 -4.183158732119900e-001 -1.477264897583985e-001 3.629937394284941e-002 1.815022682773999e-001 1.642326046834949e-001 -6.714840441620636e-002 1.649971558147093e-002 8.250103109800294e-002 7.465118444321416e-002
1.116249999999999e+000 -1.607427405902690e-002 -8.990299817398659e-002 -3.165003740301552e-002 1.141420609437267e-001 1.769310214159038e-001 -1.899002244180303e-002 1.141420609437249e-002 -1.741730233722346e-002 -1.861345587823532e-002 -3.165003740319099e-003 1.141420609437227e-002 -1.741730233721708e-002 -1.861345587822935e-002 -3.156624665424747e-002 -1.607427405902690e-002 1.521229154711226e-001 -1.658065920717364e-001 7.906396667488733e-002 1.783347371086586e-002 6.005018799487742e-003 -2.779795709724042e-002 -6.705392812064008e-002 -1.110280730933624e-001 -1.401128684596340e-001 -1.207417541437419e-001 -4.180472587249257e-001 -1.496110339628649e-001 3.608942670449337e-002 1.828706300083711e-001 1.679040536880516e-001 -6.800501544148550e-002 1.640428478938253e-002 8.312301361129759e-002 7.632002398515307e-002
1.123260869565216e+000 -1.408931194584897e-002 -9.059382206891446e-002 -3.114026339787399e-002 1.133342014934458e-001 1.790688639589788e-001 -1.868415803873406e-002 1.133342014934469e-002 -1.727963373468501e-002 -1.853150685239784e-002 -3.114026339807762e-003 1.133342014934469e-002 -1.727963373468501e-002 -1.853150685238585e-002 -3.067639848353000e-002 -1.408931194584109e-002 1.517346454849046e-001 -1.665371789213139e-001 7.845465744440902e-002 1.650506085588033e-002 5.174670269610305e-003 -2.763347793989013e-002 -6.810531620308460e-002 -1.119931215111027e-001 -1.413852947222171e-001 -1.205475822105175e-001 -4.172618193272553e-001 -1.515073278587466e-001 3.447876240677228e-002 1.820884743593484e-001 1.675516030739442e-001 -6.886696720323904e-002 1.567216482696021e-002 8.276748837781542e-002 7.615982001244546e-002
1.130271739130434e+000 -1.228723308816154e-002 -9.133223356465005e-002 -3.059990483633976e-002 1.125260580091390e-001 1.811241369647459e-001 -1.835994290179764e-002 1.125260580091370e-002 -1.714042045973359e-002 -1.846656927178169e-002 -3.059990483629136e-003 1.125260580091347e-002 -1.714042045974007e-002 -1.846656927177568e-002 -2.985440743825010e-002 -1.228723308816154e-002 1.516952138041808e-001 -1.667542192639280e-001 7.791525853220645e-002 1.557502389742926e-002 4.135303804610155e-003 -2.716048016322170e-002 -6.964465040787289e-002 -1.128189719219912e-001 -1.434245995405585e-001 -1.204068563801546e-001 -4.163425166082976e-001 -1.523056663070505e-001 3.445351492756778e-002 1.826528272914852e-001 1.691053640033844e-001 -6.922984831872851e-002 1.566068865408187e-002 8.302401242214823e-002 7.686607477029171e-002
1.137282608695651e+000 -1.067187683803787e-002 -9.210447390253486e-002 -3.002362896212416e-002 1.117340586990936e-001 1.830971585432202e-001 -1.801417737726591e-002 1.117340586990934e-002 -1.698633776341650e-002 -1.840625303448917e-002 -3.002362896174675e-003 1.117340586990956e-002 -1.698633776342303e-002 -1.840625303449520e-002 -2.909215702790688e-002 -1.067187683801707e-002 1.518912909766102e-001 -1.665209978257463e-001 7.769575227492216e-002 1.498970411995382e-002 3.500214087874557e-003 -2.643673787082301e-002 -7.069532353654998e-002 -1.134823283467832e-001 -1.448908562493728e-001 -1.203353477575799e-001 -4.152053921361781e-001 -1.527046000280067e-001 3.462763887497294e-002 1.831868633834828e-001 1.704193248825348e-001 -6.941118182838914e-002 1.573983590175303e-002 8.326675609984821e-002 7.746332970861312e-002
1.144293478260869e+000 -9.245428642268221e-003 -9.289391626178120e-002 -2.940771276982288e-002 1.109775025950364e-001 1.849891109928348e-001 -1.764462766189835e-002 1.109775025950355e-002 -1.681429533055114e-002 -1.834642114281208e-002 -2.940771277017417e-003 1.109775025950355e-002 -1.681429533054454e-002 -1.834642114281208e-002 -2.838847017902629e-002 -9.245428642268221e-003 1.522652420983957e-001 -1.659011264130468e-001 7.744835600744787e-002 1.473337530800434e-002 2.631471191175088e-003 -2.545727969871825e-002 -7.218541178517843e-002 -1.139431826505686e-001 -1.470022848089463e-001 -1.202428049666706e-001 -4.139924541710269e-001 -1.523867363269504e-001 3.594567196507013e-002 1.848334706228403e-001 1.734507863966564e-001 -6.926669834216645e-002 1.633894164253176e-002 8.401521386189102e-002 7.884126575289631e-002
1.151304347826086e+000 -8.008833887521509e-003 -9.368070652852586e-002 -2.874952406768064e-002 1.102788587332100e-001 1.868022360725959e-001 -1.724971444061850e-002 1.102788587332104e-002 -1.662429251209595e-002 -1.828502728800206e-002 -2.874952406759057e-003 1.102788587332126e-002 -1.662429251209595e-002 -1.828502728800206e-002 -2.774405640737419e-002 -8.008833887493783e-003 1.526862318022093e-001 -1.649581889035530e-001 7.790414383209431e-002 1.472840838943657e-002 3.122056370773312e-003 -2.432666897886970e-002 -7.166003036880610e-002 -1.142291707782732e-001 -1.464421119527757e-001 -1.202560393333778e-001 -4.124580376911221e-001 -1.526825798247836e-001 3.533851807325504e-002 1.842978448360713e-001 1.728174497624408e-001 -6.940117264487344e-002 1.606296281653458e-002 8.377174767121962e-002 7.855338649824285e-002
1.158315217391303e+000 -6.961450818647923e-003 -9.444142490360249e-002 -2.805511322656642e-002 1.096640270851450e-001 1.885400490561705e-001 -1.683306793594501e-002 1.096640270851435e-002 -1.641632930856276e-002 -1.821866435849191e-002 -2.805511322676764e-003 1.096640270851435e-002 -1.641632930856952e-002 -1.821866435849191e-002 -2.715998373013445e-002 -6.961450818616027e-003 1.532038758455015e-001 -1.637619698486592e-001 7.801831009524474e-002 1.498530346994098e-002 2.832745045835063e-003 -2.298185829852950e-002 -7.235281876439942e-002 -1.142851667940141e-001 -1.475383769046167e-001 -1.201574287872851e-001 -4.110218904714356e-001 -1.521168371651587e-001 3.654222742165700e-002 1.857628065851295e-001 1.754746294796108e-001 -6.914401689892252e-002 1.661010329977558e-002 8.443763933057974e-002 7.976119485978202e-002
1.165326086956521e+000 -6.100864589937406e-003 -9.514880207871071e-002 -2.733704811307428e-002 1.091625259364097e-001 1.902075636239332e-001 -1.640222886784733e-002 1.091625259364104e-002 -1.619049436954270e-002 -1.814278407258842e-002 -2.733704811351180e-003 1.091625259364104e-002 -1.619049436954270e-002 -1.814278407258842e-002 -2.663748226589495e-002 -6.100864589992000e-003 1.537544460947164e-001 -1.623849562132596e-001 7.847667104849596e-002 1.540968640173301e-002 3.198896802343278e-003 -2.154235826708795e-002 -7.207887590820389e-002 -1.141637240725713e-001 -1.473566416797211e-001 -1.200760690142884e-001 -4.094728880344631e-001 -1.518906211546995e-001 3.680971377173430e-002 1.862836219594651e-001 1.766108306014118e-001 -6.904119144102176e-002 1.673168797855205e-002 8.467437358302755e-002 8.027764980084089e-002
1.172336956521738e+000 -5.422855433516442e-003 -9.577153465502615e-002 -2.660955354887467e-002 1.088075608081953e-001 1.918115144023481e-001 -1.596573212932805e-002 1.088075608081929e-002 -1.595469797643475e-002 -1.805883081565381e-002 -2.660955354809178e-003 1.088075608081951e-002 -1.595469797644170e-002 -1.805883081564767e-002 -2.618300951624350e-002 -5.422855433516442e-003 1.543611025934851e-001 -1.608987631172252e-001 7.908773334065392e-002 1.595964852356402e-002 3.814364665621761e-003 -2.004082415418007e-002 -7.145900279666596e-002 -1.138841406160525e-001 -1.467323650980149e-001 -1.199765007403009e-001 -4.079412511226855e-001 -1.517588577405867e-001 3.681578088572799e-002 1.866157532948099e-001 1.774776374698131e-001 -6.898129897761302e-002 1.673444579160924e-002 8.482534238389294e-002 8.067165308692879e-002
1.179347826086955e+000 -4.920173536234747e-003 -9.627425465228164e-002 -2.588950769573346e-002 1.086359220080917e-001 1.933605577610749e-001 -1.553370461744206e-002 1.086359220080935e-002 -1.573068612739486e-002 -1.797927462666490e-002 -2.588950769555523e-003 1.086359220080890e-002 -1.573068612738780e-002 -1.797927462665255e-002 -2.581216396705786e-002 -4.920173536279876e-003 1.550326190992083e-001 -1.593747476685394e-001 8.007593637818762e-002 1.657699178557159e-002 5.119253923298615e-003 -1.855166907180483e-002 -6.983742914836426e-002 -1.135120170103632e-001 -1.447940979731641e-001 -1.199186742199765e-001 -4.064587770668409e-001 -1.520383169340690e-001 3.578870823488807e-002 1.858426180603851e-001 1.764739987249639e-001 -6.910832587324034e-002 1.626759483886643e-002 8.447391735089051e-002 8.021545454223947e-002
1.186358695652173e+000 -4.583212017591454e-003 -9.661771456686226e-002 -2.519255955751118e-002 1.086876543469586e-001 1.948654250656051e-001 -1.511553573451538e-002 1.086876543469595e-002 -1.553596513437569e-002 -1.791239290679750e-002 -2.519255955809337e-003 1.086876543469595e-002 -1.553596513435425e-002 -1.791239290680370e-002 -2.553661490390755e-002 -4.583212017639901e-003 1.558423642825289e-001 -1.578735564413654e-001 8.085568370402023e-002 1.725345803974965e-002 5.869002910903751e-003 -1.706669718515230e-002 -6.911767864047134e-002 -1.130628814441173e-001 -1.441043557259166e-001 -1.197989716692163e-001 -4.052780937920057e-001 -1.516924481178587e-001 3.605280660873839e-002 1.864365086019411e-001 1.776755897455794e-001 -6.895111278029155e-002 1.638763939194436e-002 8.474386755273367e-002 8.076163176285221e-002
