---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\BareFootWalk-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
9.550000000000000e-001 8.706955618723204e-002 -1.878509446367528e-001 1.015892331944106e+000 1.582220878967794e+000 -8.481893711577149e-003 1.659760901218719e+000 4.274508810157434e-002 -1.358034410795864e-002 -4.416351729640854e-016
9.620108695652173e-001 8.789870695274044e-002 -1.770156905238570e-001 1.015703934046899e+000 1.578217878670781e+000 -8.965218906058059e-003 1.659958184143430e+000 4.216898051809921e-002 -8.822163403940765e-003 -7.308970254393126e-016
9.690217391304347e-001 8.872686518776611e-002 -1.661688770701223e-001 1.015710155810843e+000 1.573616482955083e+000 -9.545812546709609e-003 1.659819090558131e+000 4.147734605737198e-002 -3.352461267596443e-003 -6.321977651112941e-016
9.760326086956520e-001 8.955780754035707e-002 -1.553198547368642e-001 1.015896853187959e+000 1.568516263144929e+000 -1.025830296925712e-002 1.659370071109897e+000 4.062909114854738e-002 2.710502067773942e-003 -9.411781474210863e-016
9.830434782608694e-001 9.039552602173195e-002 -1.444782135429436e-001 1.016249514869963e+000 1.563004778350452e+000 -1.114872582539395e-002 1.658647047090590e+000 3.956949399984936e-002 9.262777702690034e-003 -7.730185174541219e-016
9.900543478260867e-001 9.124316165673090e-002 -1.336536337278667e-001 1.016753007046543e+000 1.557169831413980e+000 -1.227022421959867e-002 1.657696842354021e+000 3.823530305834012e-002 1.620016879846782e-002 -8.980859042567784e-016
9.970652173913041e-001 9.210276412333089e-002 -1.228555962640416e-001 1.017392409349691e+000 1.551095103162856e+000 -1.367780821450837e-002 1.656579552764025e+000 3.656095288542107e-002 2.342341848676311e-002 -1.891524215239483e-015
1.004076086956522e+000 9.297488160689288e-002 -1.120938959960608e-001 1.018153775118969e+000 1.544863504162984e+000 -1.541278117982237e-002 1.655365272777251e+000 3.449708944586655e-002 3.083419686860339e-002 -1.742446637716172e-015
1.011086956521739e+000 9.385860771739343e-002 -1.013783267514520e-001 1.019024580897795e+000 1.538557877197071e+000 -1.749692771692368e-002 1.654132980336875e+000 3.201748827908073e-002 3.833422143436234e-002 -1.343288612668910e-015
1.018097826086956e+000 9.475167654529607e-002 -9.071887529774560e-002 1.019994044375483e+000 1.532264005897182e+000 -1.992335955207225e-002 1.652965001849771e+000 2.912997606141954e-002 4.582162207735634e-002 -1.010484975278960e-015
1.025108695652174e+000 9.565070538099567e-002 -8.012573236982740e-002 1.021053314503325e+000 1.526070606805928e+000 -2.265273326027972e-002 1.651941438688280e+000 2.588098626158379e-002 5.319090018580811e-002 -1.371393809833967e-015
1.032119565217391e+000 9.655133377187446e-002 -6.960913375923761e-002 1.022195203220505e+000 1.520070652232120e+000 -2.561501482167228e-002 1.651135129606497e+000 2.235353121774175e-002 6.033133227379830e-002 -9.892579133890583e-016
1.039130434782608e+000 9.744849529149396e-002 -5.917918864948442e-002 1.023413887487702e+000 1.514357973420968e+000 -2.871441782447093e-002 1.650606519613605e+000 1.866140605849112e-002 6.713102112459293e-002 -1.119585479747298e-015
1.046141304347826e+000 9.833671366356360e-002 -4.884547180538831e-002 1.024704233094512e+000 1.509024905176453e+000 -3.183868832364412e-002 1.650399627005638e+000 1.493820031742580e-002 7.347974575360722e-002 -8.359983127144286e-016
1.053152173913043e+000 9.921046394213660e-002 -3.861654255340950e-002 1.026061159214212e+000 1.504158825976812e+000 -3.486957239788935e-002 1.650538994107770e+000 1.132486754730136e-002 7.927314532159119e-002 -1.626441758627139e-015
