Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 7.542269999999999e+000, 1.883274278339927e+000, 1.063694968028299e+000,-9.369054448125912e+000,-7.575505236694990e-002, 2.932854433274759e+000, 2.273529182644962e-002,-2.629163618905488e-001, 2.960603566656569e-002, 3.313084184542145e-001,-1.377404171216787e-001, 2.713731727636262e-001,-2.687813355432201e-001
 7.546436999999999e+000, 1.880410425517689e+000, 1.063361877796345e+000,-9.368113928300579e+000,-7.675899994008617e-002, 2.937353774476444e+000, 2.187675842029702e-002,-2.625212753183119e-001, 2.797420123124803e-002, 3.302526400662594e-001,-1.386374321483639e-001, 2.709161218706229e-001,-2.694372468030424e-001
 7.550604000000000e+000, 1.877561783295084e+000, 1.063049143445286e+000,-9.367149425170970e+000,-7.768746010401229e-002, 2.941966825499389e+000, 2.102804479244069e-002,-2.621380141054779e-001, 2.631063656160569e-002, 3.291320561927267e-001,-1.395069556288234e-001, 2.704955349126824e-001,-2.700674886087880e-001
 7.554771000000000e+000, 1.874731279819056e+000, 1.062757328844522e+000,-9.366161534589848e+000,-7.854013689790218e-002, 2.946696261209637e+000, 2.018940279497716e-002,-2.617691403962364e-001, 2.461904468031955e-002, 3.279500877489715e-001,-1.403482877600382e-001, 2.701131438742840e-001,-2.706699796469920e-001
 7.558938000000000e+000, 1.871920652458532e+000, 1.062486753208179e+000,-9.365150512578859e+000,-7.931755810463592e-002, 2.951546066348865e+000, 1.936058739617952e-002,-2.614170774452791e-001, 2.290294568640421e-002, 3.267104025578455e-001,-1.411609268457136e-001, 2.697704189010333e-001,-2.712429018052514e-001
 7.563104999999999e+000, 1.869132431632607e+000, 1.062237692597942e+000,-9.364116957779359e+000,-8.002044989865542e-002, 2.956518213064147e+000, 1.854145904772464e-002,-2.610843480513078e-001, 2.116684503219421e-002, 3.254176690027255e-001,-1.419439499740857e-001, 2.694688345190748e-001,-2.717843057637757e-001
 7.567271999999999e+000, 1.866368031525521e+000, 1.062010196957016e+000,-9.363061111759357e+000,-8.065022372998731e-002, 2.961615984959635e+000, 1.773144741698740e-002,-2.607733124459235e-001, 1.941503178394323e-002, 3.240765988028264e-001,-1.426965503862130e-001, 2.692096178457739e-001,-2.722925322310016e-001
 7.571439000000000e+000, 1.863629326100512e+000, 1.061804242444052e+000,-9.361983418493582e+000,-8.120850588426043e-002, 2.966841283030044e+000, 1.693002857626125e-002,-2.604864636919383e-001, 1.765245826549242e-002, 3.226922432280958e-001,-1.434178816191853e-001, 2.689939683180319e-001,-2.727661788954494e-001
 7.575606000000000e+000, 1.860918177807212e+000, 1.061619674901854e+000,-9.360884354786082e+000,-8.169727210195399e-002, 2.972195407029883e+000, 1.613674367531193e-002,-2.602257794368030e-001, 1.588460800191666e-002, 3.212706808548772e-001,-1.441060490865060e-001, 2.688226842310374e-001,-2.732032774537038e-001
 7.579772999999999e+000, 1.858235237152283e+000, 1.061456151335251e+000,-9.359763914804702e+000,-8.211896186705481e-002, 2.977681640242391e+000, 1.535075174104827e-002,-2.599933397669261e-001, 1.411636334673341e-002, 3.198166386948361e-001,-1.447601369220706e-001, 2.686964253810101e-001,-2.736029505974915e-001
 7.583939999999999e+000, 1.855581856975478e+000, 1.061313269988610e+000,-9.358622374978213e+000,-8.247610788653770e-002, 2.983301531149117e+000, 1.457155729568216e-002,-2.597909303135751e-001, 1.235339094295349e-002, 3.183353606436709e-001,-1.453786192156046e-001, 2.686155506327302e-001,-2.739641822470962e-001
 7.588106999999999e+000, 1.852958398628012e+000, 1.061190474263834e+000,-9.357459583585138e+000,-8.277155781649759e-002, 2.989058421081098e+000, 1.379854742828623e-002,-2.596199533768570e-001, 1.060090759753313e-002, 3.168313152207375e-001,-1.459600844857522e-001, 2.685800228929987e-001,-2.742863340168216e-001
