-0.06	0	-0.200077382
-0.05	0	-0.201313954
-0.04	0	-0.202797841
-0.03	0	-0.204281727
-0.02	0	-0.2055183
-0.01	0	-0.207991444
0.00	0	-0.217389393
0.01	0	-0.244346667
0.02	0	-0.285895493
0.03	0	-0.354401592
0.04	0	-0.424391579
0.05	0	-0.483252416
0.06	0	-0.516887179
0.07	0	-0.523564669
0.08	0	-0.516887179
0.09	0	-0.511446262
0.1	0	-0.506252659
0.11	0	-0.494134251
0.12	0	-0.472617895
0.13	0	-0.438983131
0.14	0	-0.405595682
0.15	0	-0.36652
0.16	0	-0.318293684
0.17	0	-0.27798143
0.18	0	-0.232228259
0.19	0	-0.198593495
0.2	0	-0.169163077
0.21	0	-0.144926262
0.22	0	-0.132807854
0.23	0	-0.124893792
0.24	0	-0.127614251
