---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "GaitFast0001-processed-output-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
1.406407185628742e+000 -5.764156229108540e-001 3.129312922882490e-001 -5.235987755994438e-001 5.028511167690253e-002 -1.766998235376311e-001 2.887946073849028e-001 1.094642844513391e+000 6.894727832036349e-001 4.004030989753127e-002 -8.024409578437933e-002
1.416167664670658e+000 -5.777769247971154e-001 3.069382718934410e-001 -5.235987755992693e-001 3.230795200522119e-002 -1.780891489071364e-001 2.777734813590258e-001 1.078251597118919e+000 6.933310285242458e-001 3.529902797801787e-002 -8.281337381300995e-002
1.425928143712574e+000 -5.789550022839287e-001 3.008302080703647e-001 -5.235987755991338e-001 1.367252425950838e-002 -1.786821989878626e-001 2.669269227361344e-001 1.060654476186068e+000 6.968175559789319e-001 3.084034396992452e-002 -8.575791577311580e-002
1.435688622754490e+000 -5.798730007326699e-001 2.945997238986522e-001 -5.235987755990292e-001 -5.609630139621347e-003 -1.784755332751115e-001 2.563793437377876e-001 1.041979292454494e+000 6.997903131572778e-001 2.679292471757244e-002 -8.901882782527376e-002
1.445449101796406e+000 -5.804699570681560e-001 2.882253841196860e-001 -5.235987755989506e-001 -2.550195325006044e-002 -1.774862412243264e-001 2.462346626586815e-001 1.022354104201873e+000 7.021314255655378e-001 2.322386060714532e-002 -9.253927742152548e-002
1.455209580838323e+000 -5.806998799672735e-001 2.816749826463751e-001 -5.235987755988931e-001 -4.594475257414010e-002 -1.757512859692495e-001 2.365713135526012e-001 1.001904405865726e+000 7.037621102884363e-001 2.013810861841758e-002 -9.626676019855135e-002
1.464970059880239e+000 -5.805313565009853e-001 2.749112741511453e-001 -5.235987755988527e-001 -6.685942278159596e-002 -1.733270033127044e-001 2.274424328995752e-001 9.807511198284362e-001 7.046500584884711e-001 1.748432419225199e-002 -1.001563795653294e-001
1.474730538922155e+000 -5.799483770342169e-001 2.678988939080533e-001 -5.235987755988283e-001 -8.815452233692822e-002 -1.702892019776180e-001 2.188808625420936e-001 9.590112293776837e-001 7.048122954795605e-001 1.517072228626337e-002 -1.041738179891237e-001
1.484491017964071e+000 -5.789520861213671e-001 2.606112197614769e-001 -5.235987755988185e-001 -1.097334576253868e-001 -1.667327674799247e-001 2.109061784892153e-001 9.368004960880881e-001 7.043166814845988e-001 1.308797492378466e-002 -1.082959649550204e-001
1.494251497005987e+000 -5.775631871533278e-001 2.530366578760297e-001 -5.235987755988216e-001 -1.315015838432103e-001 -1.627694266239692e-001 2.035309203572497e-001 9.142349733265204e-001 7.032711109579394e-001 1.112859477330952e-002 -1.125090323061877e-001
1.504011976047903e+000 -5.758239925078078e-001 2.451836366251792e-001 -5.235987755988369e-001 -1.533700247702070e-001 -1.585238072937689e-001 1.967639200950592e-001 8.914288593181896e-001 7.017979425569987e-001 9.196891909141636e-003 -1.168044969841316e-001
1.513772455089819e+000 -5.737985260202942e-001 2.370826580697831e-001 -5.235987755988634e-001 -1.752565059813516e-001 -1.541264913224443e-001 1.906092822814088e-001 8.684905393911446e-001 7.000142371714633e-001 7.212540105172582e-003 -1.211731595222104e-001
1.523532934131735e+000 -5.715698437727036e-001 2.287845936532051e-001 -5.235987755988996e-001 -1.970857217234792e-001 -1.497036171966407e-001 1.850622847291085e-001 8.455209973167892e-001 6.980290357334713e-001 5.111126488472007e-003 -1.255995867247345e-001
1.533293413173652e+000 -5.692345679332639e-001 2.203565355293242e-001 -5.235987755989453e-001 -2.187908843404183e-001 -1.453674134549143e-001 1.801060682387871e-001 8.226164272123131e-001 6.959460323732528e-001 2.842902228726851e-003 -1.300599037451534e-001
1.543053892215568e+000 -5.668953890168794e-001 2.118768048572968e-001 -5.235987755989986e-001 -2.403163895775831e-001 -1.412119312286808e-001 1.757117285261183e-001 7.998734218725366e-001 6.938626646791848e-001 3.719237425194866e-004 -1.345234101754785e-001
1.552814371257484e+000 -5.646529966663353e-001 2.034290768239775e-001 -5.235987755990563e-001 -2.616207420818224e-001 -1.373138958186620e-001 1.718411385601344e-001 7.773940648210014e-001 6.918653216009636e-001 -2.324941340131614e-003 -1.389561775851871e-001
1.562574850299400e+000 -5.625991721196566e-001 1.950950791323334e-001 -5.235987755991169e-001 -2.826788491261352e-001 -1.337360023696881e-001 1.684501671045229e-001 7.552890423121257e-001 6.900190306638191e-001 -5.261619074718560e-003 -1.433239575913592e-001
1.572335329341316e+000 -5.608127310348055e-001 1.869467717874691e-001 -5.235987755991813e-001 -3.034829778845090e-001 -1.305290450582560e-001 1.654905490847249e-001 7.336779249056644e-001 6.883520756277495e-001 -8.446381654141577e-003 -1.475919337137021e-001
1.582095808383232e+000 -5.593585295822859e-001 1.790396471207856e-001 -5.235987755992455e-001 -3.240420706733480e-001 -1.277320172581127e-001 1.629105301060462e-001 7.126864958360871e-001 6.868413426090047e-001 -1.188083720822641e-002 -1.517208810344167e-001
1.591856287425148e+000 -5.582879476063367e-001 1.714080707298085e-001 -5.235987755993075e-001 -3.443792072379497e-001 -1.253735484509746e-001 1.606556181138154e-001 6.924411109211232e-001 6.854036762831978e-001 -1.555510940684268e-002 -1.556619581010769e-001
1.601616766467064e+000 -5.576401558834055e-001 1.640634439539357e-001 -5.235987755993652e-001 -3.645267791131219e-001 -1.234750599925148e-001 1.586695703480142e-001 6.730607811752745e-001 6.838949977007132e-001 -1.944349894758157e-002 -1.593532335760780e-001
1.611377245508981e+000 -5.574452167175751e-001 1.569964734984617e-001 -5.235987755994198e-001 -3.845196293649951e-001 -1.220506825569038e-001 1.568942066408451e-001 6.546494638628081e-001 6.821213943149046e-001 -2.350366532192272e-002 -1.627213879651669e-001
1.621137724550897e+000 -5.577291849913862e-001 1.501842086616312e-001 -5.235987755994642e-001 -4.043873271669982e-001 -1.211016892457028e-001 1.552673360392725e-001 6.372905016933687e-001 6.798682289701503e-001 -2.767912861100230e-002 -1.656912559582717e-001
1.630898203592813e+000 -5.585190781417712e-001 1.436007259788936e-001 -5.235987755995024e-001 -4.241467298029251e-001 -1.206085230142804e-001 1.537196555056553e-001 6.210422375144560e-001 6.769400365440633e-001 -3.190321726172374e-002 -1.681994749555411e-001
1.640658682634729e+000 -5.598452555859517e-001 1.372295943769817e-001 -5.235987755995313e-001 -4.437957573301314e-001 -1.205243795573467e-001 1.521727750761266e-001 6.059333614299034e-001 6.731905310848780e-001 -3.610319950822416e-002 -1.702028519725692e-001
1.650419161676645e+000 -5.617399123754948e-001 1.310757614428115e-001 -5.235987755995513e-001 -4.633088812374133e-001 -1.207734796392358e-001 1.505415068965875e-001 5.919589065943433e-001 6.685333252974051e-001 -4.020460939633486e-002 -1.716776409393836e-001
1.660179640718561e+000 -5.642304527525535e-001 1.251714651488591e-001 -5.235987755995661e-001 -4.826344803865152e-001 -1.212568691695821e-001 1.487433090850200e-001 5.790799404358600e-001 6.629423769115781e-001 -4.413712096728339e-002 -1.726155559642529e-001
