---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.FileName = "output-med-euler-trunk.txt"
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Search = 
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Study.t Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosX Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosY Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotX Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotY Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Model.ModelEnvironmentConnection.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
7.953061224489797e+000 -6.446270967557816e-002 9.365850440921882e-001 -1.105138328764999e-009 2.107342425544702e-008 -9.386403432287693e-009 -5.795602174038776e-002 -3.205706792581622e-001 -1.973230630673644e-013 3.556909357244612e-013
8.394897959183673e+000 -6.745750384641780e-002 9.300891380399365e-001 -7.496501658146246e-010 0.000000000000000e+000 -6.168761501612607e-009 -5.600911847119167e-002 -3.383801614549287e-001 -3.232966422667717e-014 4.593306243659852e-014
8.836734693877551e+000 -7.042336796246680e-002 9.233432609944348e-001 -7.618293058705294e-010 0.000000000000000e+000 -6.078125780462074e-009 -5.403716200403982e-002 -3.561896436538113e-001 -3.939775596709682e-014 9.940495832369976e-014
9.278571428571429e+000 -7.335913432251454e-002 9.163493848521664e-001 -3.462187507199802e-010 0.000000000000000e+000 -2.678762767160947e-009 -5.203765983491304e-002 -3.739991258548935e-001 5.129154733767215e-014 -7.521778127499941e-014
9.720408163265306e+000 -7.626362333366543e-002 9.091095389726402e-001 -1.225268799118452e-009 0.000000000000000e+000 -9.209843332413925e-009 -5.000793468748177e-002 -3.918086080584048e-001 -6.174840622925877e-014 8.815436934262790e-014
1.016224489795918e+001 -7.913564168029537e-002 9.016258083325672e-001 3.849979607177167e-010 0.000000000000000e+000 2.812628796533545e-009 -4.794510653379499e-002 -4.096180902646044e-001 2.844899906389556e-013 -4.117562783065869e-013
1.060408163265306e+001 -8.197398051024704e-002 8.939003315282723e-001 -4.607597820811398e-010 0.000000000000000e+000 -3.271811932492597e-009 -4.584607411465250e-002 -4.274275724735954e-001 -1.188638696499939e-013 1.617734764842801e-013
1.104591836734694e+001 -8.477741235459656e-002 8.859352990852051e-001 -2.135721025419146e-011 0.000000000000000e+000 -1.475708444331758e-010 -4.370748888857670e-002 -4.452370546856368e-001 9.285967974267196e-014 -1.427555352303961e-013
1.148775510204082e+001 -8.754468856697178e-002 8.777329514307759e-001 1.247302538370086e-009 0.000000000000000e+000 8.386663585824294e-009 -4.152573127416312e-002 -4.630465369009731e-001 1.561685739250317e-013 -2.145713890230600e-013
1.192959183673469e+001 -9.027453759256275e-002 8.692955763707392e-001 -2.164253648231486e-009 0.000000000000000e+000 -1.417309314355464e-008 -3.929689074136970e-002 -4.808560191197326e-001 -3.660468031262639e-013 4.191290671537183e-013
1.237142857142857e+001 -9.296566084571958e-002 8.606255072681199e-001 -5.215217356554720e-010 0.000000000000000e+000 -3.328014086534381e-009 -3.701673216533251e-002 -4.986655013421645e-001 -2.990350480497748e-014 3.149011016676034e-014
1.281326530612245e+001 -9.561673010192602e-002 8.517251204467112e-001 -4.945838155117643e-010 0.000000000000000e+000 -3.076675580970800e-009 -3.468066978336050e-002 -5.164749835683884e-001 -1.338600166512830e-013 1.617276133252698e-013
1.325510204081633e+001 -9.822638418620772e-002 8.425968326147294e-001 -1.257427318305733e-009 0.000000000000000e+000 -7.628786047320091e-009 -3.228373659229226e-002 -5.342844657985585e-001 -1.312471309028599e-013 1.441249872712874e-013
1.369693877551021e+001 -1.007932248991413e-001 8.332430983283675e-001 1.094550318699046e-009 0.000000000000000e+000 6.479627279176725e-009 -2.982054893013018e-002 -5.520939480328032e-001 1.453980595929693e-013 -1.082752950027052e-013
1.413877551020408e+001 -1.033158130271681e-001 8.236664071291459e-001 1.103037879331191e-009 0.000000000000000e+000 6.372754768335653e-009 -2.728527083061287e-002 -5.699034302712122e-001 1.585693515708789e-013 -1.377854650408495e-013
1.458061224489796e+001 -1.057926639273136e-001 8.138692805145970e-001 -6.977449687053556e-010 0.000000000000000e+000 -3.935961778722685e-009 -2.467157540664615e-002 -5.877129125138791e-001 -1.794921241916663e-013 1.257979182069654e-013
1.502244897959184e+001 -1.082222428965217e-001 8.038542686036205e-001 -1.023295332080756e-009 0.000000000000000e+000 -5.636809463638315e-009 -2.197260441742528e-002 -6.055223947606916e-001 -1.616501936562600e-013 1.368826422878772e-013
1.546428571428572e+001 -1.106029595099793e-001 7.936239468036265e-001 -6.483133287929013e-010 0.000000000000000e+000 -3.488209721069779e-009 -1.918092173652616e-002 -6.233318770115741e-001 3.957007367352946e-015 -3.742053574889084e-015
1.590612244897959e+001 -1.129331614329396e-001 7.831809122168008e-001 -2.910481564350890e-010 0.000000000000000e+000 -1.529996129789879e-009 -1.628846352013074e-002 -6.411413592663507e-001 1.029175333293672e-013 -7.377609060631938e-014
1.634795918367347e+001 -1.152111282819482e-001 7.725277794231660e-001 -2.917392347391509e-010 2.107342425544702e-008 -1.498439150537934e-009 -1.328648818748416e-002 -6.589508415247054e-001 -3.224774959245583e-014 7.771684868913615e-015
1.678979591836735e+001 -1.174350634265231e-001 7.616671765513872e-001 -2.833811155069189e-010 0.000000000000000e+000 -1.422081785662499e-009 -1.016551523295417e-002 -6.767603237862216e-001 5.620594029294986e-014 -4.062416037461801e-014
1.723163265306122e+001 -1.196030861531644e-001 7.506017403889559e-001 6.626085890632278e-010 0.000000000000000e+000 3.248902258334852e-009 -6.915265806835020e-003 -6.945698060503707e-001 1.377100849935570e-013 -7.662980443672860e-014
1.767346938775510e+001 -1.217132219816014e-001 7.393341114643844e-001 -2.901854815132774e-010 0.000000000000000e+000 -1.389786286054573e-009 -3.524593646676778e-003 -7.123792883163340e-001 -1.317016561431988e-013 6.325436931350488e-014
1.811530612244897e+001 -1.237633916855874e-001 7.278669287242308e-001 6.000485089625505e-010 0.000000000000000e+000 2.807261312298692e-009 1.859041542815996e-005 -7.301887705831464e-001 -6.662992976686866e-014 5.649048430565188e-014
1.855714285714285e+001 -1.257513989141407e-001 7.162028236911967e-001 8.725643141022332e-010 0.000000000000000e+000 3.986216912110763e-009 3.727400588275382e-003 -7.479982528495446e-001 -1.022776777398115e-014 1.567908889172595e-014
1.899897959183673e+001 -1.276749166898950e-001 7.043444137179551e-001 2.872139498435690e-010 0.000000000000000e+000 1.281154959897890e-009 7.616063071560487e-003 -7.658077351138680e-001 -1.381062951865482e-014 1.969074713074331e-014
1.944081632653060e+001 -1.295314709571335e-001 6.922942951162046e-001 2.777307435470635e-010 0.000000000000000e+000 1.208163347143909e-009 1.170001678528511e-002 -7.836172173740512e-001 1.110041334062167e-017 -5.614951273638079e-017
1.988265306122448e+001 -1.313184222220013e-001 6.800550353128756e-001 5.388670253377539e-010 0.000000000000000e+000 2.285371669685787e-009 1.599602180761248e-002 -8.014266996275467e-001 3.690900322927128e-014 -1.114988929290684e-014
2.032448979591835e+001 -1.330329443042786e-001 6.676291642363457e-001 1.017175993292047e-009 0.000000000000000e+000 4.201800463121685e-009 2.052227987297112e-002 -8.192361818712011e-001 1.059354500568787e-013 -3.716811881087233e-014
2.076632653061223e+001 -1.346719999168615e-001 6.550191646819084e-001 5.606856814280506e-011 0.000000000000000e+000 2.254021413961027e-010 2.529856748212321e-002 -8.370456641010524e-001 5.192174714466851e-015 -7.040748815134491e-015
2.120816326530611e+001 -1.362323123108276e-001 6.422274616152343e-001 -1.770077802875120e-010 0.000000000000000e+000 -6.914593342344233e-010 3.034638442151920e-002 -8.548551463122656e-001 -1.505002502039155e-015 4.202913250955447e-015
2.164999999999998e+001 -1.377103324382075e-001 6.292564101367872e-001 -1.707663651611296e-010 2.107342425544702e-008 -6.469245139584245e-010 3.568911918934988e-002 -8.726646284989359e-001 2.074224919735180e-014 1.129352431841563e-014
