---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 3.450596815286627e+000  -1.035669903893420e+000  -4.021105912894518e-001   4.111075681209944e-002
 3.463282165605099e+000  -1.034748152566081e+000  -4.024103344944368e-001   4.075751226437154e-002
 3.475967515923570e+000  -1.033541566240553e+000  -4.026775938501217e-001   4.052590346900128e-002
 3.488652866242041e+000  -1.031894290880423e+000  -4.029360968478317e-001   4.054878977602304e-002
 3.501338216560513e+000  -1.029586858323924e+000  -4.032239223842354e-001   4.099661375504275e-002
 3.514023566878984e+000  -1.026326385831702e+000  -4.035916102762680e-001   4.206783797523900e-002
 3.526708917197456e+000  -1.021738959862821e+000  -4.040967281246786e-001   4.396641710683385e-002
 3.539394267515927e+000  -1.015373896564694e+000  -4.047910319027968e-001   4.685833866995116e-002
 3.552079617834398e+000  -1.006724406408166e+000  -4.057041653216629e-001   5.081354989950151e-002
 3.564764968152870e+000  -9.952591165076815e-001  -4.068330962083466e-001   5.576812506947258e-002
 3.577450318471341e+000  -9.804588608709214e-001  -4.081409335320523e-001   6.153597857085134e-002
 3.590135668789813e+000  -9.618699193275501e-001  -4.095607486407334e-001   6.784964167945176e-002
 3.602821019108284e+000  -9.391760181737163e-001  -4.109978565381118e-001   7.439176088616790e-002
 3.615506369426755e+000  -9.122683500774589e-001  -4.123308055419271e-001   8.081037441183094e-002
 3.628191719745227e+000  -8.812766793611497e-001  -4.134288722179922e-001   8.673625520405537e-002
 3.640877070063698e+000  -8.465401198854031e-001  -4.141869144791223e-001   9.181892703810125e-002
 3.653562420382170e+000  -8.085212409613931e-001  -4.145485121488253e-001   9.577280821141408e-002
 3.666247770700641e+000  -7.677078700203743e-001  -4.145145256048326e-001   9.841434741895501e-002
 3.678933121019112e+000  -7.245460426464272e-001  -4.141460779313763e-001   9.967540683455374e-002
