---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.FileName = "RHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.297709987093615e+000  -3.934650238100778e-001   2.813703025925141e-002
 2.854385350318471e+000  -1.279198784323339e+000  -3.928504775092316e-001   2.763057295370909e-002
 2.867070700636943e+000  -1.264814604628849e+000  -3.921173362730483e-001   2.776431340407373e-002
 2.879756050955414e+000  -1.254119010617216e+000  -3.914059452151538e-001   2.850204137424599e-002
 2.892441401273886e+000  -1.246533692403956e+000  -3.908206525300879e-001   2.974402954298135e-002
 2.905126751592357e+000  -1.241425739355508e+000  -3.904251621302527e-001   3.131872542346246e-002
 2.917812101910828e+000  -1.238199612617411e+000  -3.902349199278773e-001   3.302428094800379e-002
 2.930497452229300e+000  -1.236347985170963e+000  -3.902237449104010e-001   3.467834262500880e-002
 2.943182802547771e+000  -1.235456724927526e+000  -3.903441047267413e-001   3.614593856411030e-002
 2.955868152866243e+000  -1.235196318165953e+000  -3.905431602231611e-001   3.735299288399060e-002
 2.968553503184714e+000  -1.235314719379988e+000  -3.907711957225876e-001   3.828276885380727e-002
 2.981238853503185e+000  -1.235628461074304e+000  -3.909877245781214e-001   3.895786554838348e-002
 2.993924203821657e+000  -1.236012707001231e+000  -3.911670512993127e-001   3.942226222665254e-002
 3.006609554140128e+000  -1.236389498770915e+000  -3.913004652710173e-001   3.972751681330683e-002
 3.019294904458600e+000  -1.236715348812845e+000  -3.913933434418120e-001   3.992325970693569e-002
 3.031980254777071e+000  -1.236969965183696e+000  -3.914587606199941e-001   4.005230541170752e-002
 3.044665605095542e+000  -1.237147857932556e+000  -3.915104016842392e-001   4.014889170574933e-002
 3.057350955414014e+000  -1.237252585404103e+000  -3.915572743143960e-001   4.023910062955115e-002
 3.070036305732485e+000  -1.237292256662275e+000  -3.916014971692002e-001   4.034279566505630e-002
