---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.FileName = "LKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
 3.450596815286627e+000  -6.555018746781578e-001  -1.630424314239466e-001   4.585538332701483e-001
 3.463282165605099e+000  -6.358726879204267e-001  -1.615116933011217e-001   4.594676799732711e-001
 3.475967515923570e+000  -6.164735139620401e-001  -1.598352254979044e-001   4.608709474612494e-001
 3.488652866242041e+000  -5.975292880941211e-001  -1.580459830458055e-001   4.626223028971392e-001
 3.501338216560513e+000  -5.792522512561740e-001  -1.561864107442580e-001   4.645473875711924e-001
 3.514023566878984e+000  -5.618773065124484e-001  -1.543032963988343e-001   4.664599366129389e-001
 3.526708917197456e+000  -5.456586098282112e-001  -1.524397613591753e-001   4.681948287579645e-001
 3.539394267515927e+000  -5.308134103985733e-001  -1.506302854256847e-001   4.696351930815610e-001
 3.552079617834398e+000  -5.174685239551065e-001  -1.488978451703047e-001   4.707220457038467e-001
 3.564764968152870e+000  -5.056536363319508e-001  -1.472504844745094e-001   4.714485073632249e-001
 3.577450318471341e+000  -4.953227683937403e-001  -1.456805699068158e-001   4.718495479335627e-001
 3.590135668789813e+000  -4.863700929037277e-001  -1.441728493159147e-001   4.719906631666406e-001
 3.602821019108284e+000  -4.786409928138825e-001  -1.427189185815578e-001   4.719519013829266e-001
 3.615506369426755e+000  -4.719545482560324e-001  -1.413295754549888e-001   4.718091106993680e-001
 3.628191719745227e+000  -4.661328882764635e-001  -1.400366133301324e-001   4.716221634286222e-001
 3.640877070063698e+000  -4.610189886842130e-001  -1.388847247998629e-001   4.714336808891611e-001
 3.653562420382170e+000  -4.564721223799315e-001  -1.379204992798602e-001   4.712737729384501e-001
 3.666247770700641e+000  -4.523527546487278e-001  -1.371825789823505e-001   4.711621868979852e-001
 3.678933121019112e+000  -4.485178358005094e-001  -1.366953472527698e-001   4.711033586066508e-001
 3.691618471337584e+000  -4.448288498118147e-001  -1.364641549818842e-001   4.710853719555846e-001
 3.704303821656055e+000  -4.411639101107513e-001  -1.364728459573453e-001   4.710876445846506e-001
 3.716989171974527e+000  -4.374280337731785e-001  -1.366867795468927e-001   4.710870000848775e-001
 3.729674522292998e+000  -4.335542492898264e-001  -1.370592988559606e-001   4.710616330921070e-001
 3.742359872611469e+000  -4.294978719391830e-001  -1.375366009213889e-001   4.709942495473004e-001
 3.755045222929941e+000  -4.252314879584417e-001  -1.380610949892473e-001   4.708724650992889e-001
 3.767730573248412e+000  -4.207437918618915e-001  -1.385755467949751e-001   4.706886084785176e-001
 3.780415923566884e+000  -4.160404729882122e-001  -1.390286781488700e-001   4.704403421819225e-001
 3.793101273885355e+000  -4.111439645855707e-001  -1.393815398999996e-001   4.701323681363567e-001
 3.805786624203826e+000  -4.060869954773696e-001  -1.396125119679596e-001   4.697786504253464e-001
 3.818471974522298e+000  -4.009031024737893e-001  -1.397195637863910e-001   4.694012414102841e-001
 3.831157324840769e+000  -3.956192571009476e-001  -1.397186051966421e-001   4.690255322473024e-001
 3.843842675159241e+000  -3.902505898038012e-001  -1.396365606315722e-001   4.686767621789330e-001
 3.856528025477712e+000  -3.847950921011087e-001  -1.395000311093314e-001   4.683813135094020e-001
 3.869213375796183e+000  -3.792299708516239e-001  -1.393274607175657e-001   4.681679617524847e-001
 3.881898726114655e+000  -3.735099727801946e-001  -1.391286553325269e-001   4.680630496899040e-001
 3.894584076433126e+000  -3.675656789821953e-001  -1.389072293711059e-001   4.680837818830629e-001
 3.907269426751598e+000  -3.613017229976415e-001  -1.386643508303089e-001   4.682336913250220e-001
 3.919954777070069e+000  -3.545986348151796e-001  -1.384038170669688e-001   4.685015495581222e-001
 3.932640127388540e+000  -3.473229219017921e-001  -1.381349345700112e-001   4.688646979076780e-001
 3.945325477707012e+000  -3.393456944906740e-001  -1.378695751044987e-001   4.692955968728333e-001
 3.958010828025483e+000  -3.305587086109201e-001  -1.376175490310199e-001   4.697693102381700e-001
 3.970696178343955e+000  -3.208777421230601e-001  -1.373859078900875e-001   4.702684148073333e-001
 3.983381528662426e+000  -3.102348524688445e-001  -1.371812452554408e-001   4.707825825957175e-001
 3.996066878980897e+000  -2.985664479626060e-001  -1.370128834798364e-001   4.713032610930157e-001
 4.008752229299368e+000  -2.858034290688573e-001  -1.368941830171420e-001   4.718171383656015e-001
 4.021437579617840e+000  -2.718626823996690e-001  -1.368396755171893e-001   4.723038592908711e-001
 4.034122929936311e+000  -2.566416107383496e-001  -1.368599129471160e-001   4.727376494860994e-001
 4.046808280254783e+000  -2.400207029877104e-001  -1.369562137207198e-001   4.730890127182847e-001
 4.059493630573254e+000  -2.218753382619748e-001  -1.371185290919883e-001   4.733253821367282e-001
 4.072178980891725e+000  -2.020937133355531e-001  -1.373290899180575e-001   4.734107764358539e-001
 4.084864331210197e+000  -1.805958335601672e-001  -1.375688272738451e-001   4.733078198465413e-001
 4.097549681528668e+000  -1.573531719597160e-001  -1.378221992566370e-001   4.729884759933514e-001
 4.110235031847140e+000  -1.324058006410702e-001  -1.380793619959068e-001   4.724516296973163e-001
