---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.FileName = "RKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
 2.841700000000000e+000  -1.384561357507665e+000  -4.839141696684409e-001   4.767203217446450e-001
 2.854385350318471e+000  -1.369696069407715e+000  -4.846149201909155e-001   4.738480381310249e-001
 2.867070700636943e+000  -1.354392090190453e+000  -4.853301741614346e-001   4.716487709581462e-001
 2.879756050955414e+000  -1.338605167210274e+000  -4.860986018558638e-001   4.702458174758977e-001
 2.892441401273886e+000  -1.322375076385299e+000  -4.869608104222987e-001   4.696961811024267e-001
 2.905126751592357e+000  -1.305807231736900e+000  -4.879486505674240e-001   4.699809584825437e-001
 2.917812101910828e+000  -1.289057194261910e+000  -4.890771810812519e-001   4.710039565582558e-001
 2.930497452229300e+000  -1.272327292711541e+000  -4.903388103579645e-001   4.725964444396443e-001
 2.943182802547771e+000  -1.255872661612519e+000  -4.917068548709795e-001   4.745343931913135e-001
 2.955868152866243e+000  -1.239998926500600e+000  -4.931506445705483e-001   4.765694940183195e-001
 2.968553503184714e+000  -1.225031568077408e+000  -4.946487600646242e-001   4.784624370744720e-001
 2.981238853503185e+000  -1.211249906773772e+000  -4.961890559874017e-001   4.800152679824109e-001
 2.993924203821657e+000  -1.198812366161807e+000  -4.977561328601435e-001   4.811025912683948e-001
 3.006609554140128e+000  -1.187715141899270e+000  -4.993187418233932e-001   4.816939843581894e-001
 3.019294904458600e+000  -1.177809381891021e+000  -5.008310829332471e-001   4.818494932574579e-001
 3.031980254777071e+000  -1.168867757229467e+000  -5.022485695313753e-001   4.816830331319258e-001
 3.044665605095542e+000  -1.160666067204455e+000  -5.035434232483813e-001   4.813147716005580e-001
 3.057350955414014e+000  -1.153042883206981e+000  -5.047053897912314e-001   4.808352077538457e-001
 3.070036305732485e+000  -1.145914540330413e+000  -5.057321847855077e-001   4.802965090334218e-001
