---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "Trial13-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
2.954309071729955e+000 1.457786059517521e+000 3.171693893993006e-001 9.976246148153799e-001 -1.576454880405126e+000 -3.063984985164320e+000 4.190625585048569e-002 -2.208194172159859e-001 3.974872914471351e-003 -7.449423029649778e-002
2.960485232067507e+000 1.449481743451454e+000 3.179379897533204e-001 9.982452779384858e-001 -1.582122433067508e+000 -3.064751658882794e+000 4.189825771277267e-002 -2.194699096943979e-001 1.120649069103472e-002 -7.394563381340540e-002
2.966661392405060e+000 1.441205974729273e+000 3.187225862395222e-001 9.989200507904491e-001 -1.587830913569998e+000 -3.065344688108166e+000 4.200284928412890e-002 -2.183533570265302e-001 1.841874754580432e-002 -7.341859516169608e-002
2.972837552742612e+000 1.432965254850603e+000 3.195238289763129e-001 9.996437863599319e-001 -1.593518961703021e+000 -3.065788421031537e+000 4.221088081039248e-002 -2.174434460462522e-001 2.553148268852779e-002 -7.289660488975583e-002
2.979013713080165e+000 1.424765168032165e+000 3.203416448899049e-001 1.000411253401325e+000 -1.599120867377756e+000 -3.066105333549665e+000 4.250867515430024e-002 -2.167138187238364e-001 3.246105161298073e-002 -7.236276602305963e-002
2.985189873417717e+000 1.416610316668659e+000 3.211749958866891e-001 1.001217362448148e+000 -1.604569672563049e+000 -3.066310624146265e+000 4.287882915093988e-002 -2.161449006789306e-001 3.912446441127211e-002 -7.179962102544731e-002
2.991366033755270e+000 1.408504730052271e+000 3.220220429568775e-001 1.002057205833219e+000 -1.609795798369994e+000 -3.066420068337743e+000 4.330120764904910e-002 -2.157149434510161e-001 4.543788694300346e-002 -7.118868894442487e-002
2.997542194092822e+000 1.400451733200270e+000 3.228800362226195e-001 1.002926225600605e+000 -1.614732390439038e+000 -3.066444839161590e+000 4.375413902026315e-002 -2.154066935080787e-001 5.132305537757737e-002 -7.051097636753352e-002
3.003718354430375e+000 1.392454033924532e+000 3.237454690634284e-001 1.003820278901094e+000 -1.619318707467779e+000 -3.066393252469639e+000 4.421597495942331e-002 -2.152058944955347e-001 5.671110043607108e-002 -6.974809866707193e-002
3.009894514767928e+000 1.384513829956137e+000 3.246143193335418e-001 1.004735673294477e+000 -1.623502682469889e+000 -3.066272756239842e+000 4.466604638059080e-002 -2.150995979915032e-001 6.154517415513637e-002 -6.888344957266149e-002
3.016070675105480e+000 1.376632858872066e+000 3.254822686688247e-001 1.005669165329300e+000 -1.627242372624259e+000 -3.066091850124736e+000 4.508455722819305e-002 -2.150743253284018e-001 6.578174944296157e-002 -6.790233200274871e-002
3.022246835443033e+000 1.368812398323083e+000 3.263449146844886e-001 1.006617931790590e+000 -1.630506783868363e+000 -3.065861625795342e+000 4.545214981328938e-002 -2.151145312340853e-001 6.939116819994085e-002 -6.679170806892951e-002
3.028422995780585e+000 1.361053212740037e+000 3.271980339808154e-001 1.007579490803831e+000 -1.633276566807439e+000 -3.065595972216999e+000 4.575023915729526e-002 -2.152024645428015e-001 7.235791630703108e-002 -6.554033029269055e-002
3.034599156118138e+000 1.353355536516818e+000 3.280377920202686e-001 1.008551586302104e+000 -1.635544538705918e+000 -3.065310139245069e+000 4.596247515244123e-002 -2.153198545482191e-001 7.468080630293381e-002 -6.413964988201083e-002
3.040775316455690e+000 1.345719051755925e+000 3.288608601439690e-001 1.009532078077183e+000 -1.637315811504845e+000 -3.065018835502319e+000 4.607617309277057e-002 -2.154500876201181e-001 7.637292009007628e-002 -6.258473553746724e-002
3.046951476793243e+000 1.338142860321987e+000 3.296645090724231e-001 1.010518822831328e+000 -1.638607777698454e+000 -3.064733978136567e+000 4.608396995150565e-002 -2.155807503760390e-001 7.746150430314422e-002 -6.087541512776653e-002
3.053127637130795e+000 1.330625428058939e+000 3.304467042873318e-001 1.011509551091109e+000 -1.639449574981395e+000 -3.064462463938336e+000 4.598505023015376e-002 -2.157059725789262e-001 7.798725981174870e-002 -5.901712240192907e-002
