---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.FileName = "LTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.pz
 2.841700000000000e+000  -1.796742297828532e+000  -1.760814064776739e-001   1.947620536027706e-001
 2.854385350318471e+000  -1.792104178978037e+000  -1.756638083715501e-001   1.970709573670243e-001
 2.867070700636943e+000  -1.786706544812877e+000  -1.751489936396036e-001   1.997263224843456e-001
 2.879756050955414e+000  -1.780429630361013e+000  -1.745519069558409e-001   2.027585648655284e-001
 2.892441401273886e+000  -1.773140503676673e+000  -1.738832824843423e-001   2.062051581827270e-001
 2.905126751592357e+000  -1.764690910961824e+000  -1.731529195030872e-001   2.101029344264477e-001
 2.917812101910828e+000  -1.754923380712570e+000  -1.723723751348819e-001   2.144883042641566e-001
 2.930497452229300e+000  -1.743684256364435e+000  -1.715593151168575e-001   2.194003537656066e-001
 2.943182802547771e+000  -1.730836046397499e+000  -1.707462052945896e-001   2.248730878904913e-001
 2.955868152866243e+000  -1.716265730527175e+000  -1.699870164497410e-001   2.309168714588360e-001
 2.968553503184714e+000  -1.699888681590566e+000  -1.693552473319761e-001   2.375000538042529e-001
 2.981238853503185e+000  -1.681651551796113e+000  -1.689331088080384e-001   2.445393207188853e-001
 2.993924203821657e+000  -1.661538487683344e+000  -1.687966222990820e-001   2.518994617504425e-001
 3.006609554140128e+000  -1.639585353305045e+000  -1.689999757758846e-001   2.594081367644140e-001
 3.019294904458600e+000  -1.615889739669041e+000  -1.695665563335210e-001   2.668787545417576e-001
 3.031980254777071e+000  -1.590596493068263e+000  -1.704890291156111e-001   2.741199666496467e-001
 3.044665605095542e+000  -1.563867353170439e+000  -1.717345749362737e-001   2.809281235726863e-001
 3.057350955414014e+000  -1.535849303193777e+000  -1.732556729505909e-001   2.870731773794494e-001
 3.070036305732485e+000  -1.506653425684485e+000  -1.750033895468042e-001   2.922950652351528e-001
 3.082721656050957e+000  -1.476353752780520e+000  -1.769377034214903e-001   2.963228325455579e-001
 3.095407006369428e+000  -1.445002885005334e+000  -1.790303428728964e-001   2.989132815598291e-001
 3.108092356687899e+000  -1.412647716351231e+000  -1.812579161338989e-001   2.998935248239266e-001
 3.120777707006371e+000  -1.379334364712713e+000  -1.835938136101802e-001   2.991830554116295e-001
 3.133463057324842e+000  -1.345110721587522e+000  -1.860045916567996e-001   2.967940213851933e-001
 3.146148407643314e+000  -1.310036188889377e+000  -1.884470643259702e-001   2.928244231441878e-001
 3.158833757961785e+000  -1.274192210753548e+000  -1.908640229712251e-001   2.874532669378790e-001
 3.171519108280256e+000  -1.237684377064386e+000  -1.931825968214813e-001   2.809259828444357e-001
 3.184204458598728e+000  -1.200634450663581e+000  -1.953223684563239e-001   2.735279816764271e-001
 3.196889808917199e+000  -1.163165328922541e+000  -1.972106279219326e-001   2.655552712112472e-001
 3.209575159235671e+000  -1.125385535775883e+000  -1.987933322581996e-001   2.572927201088954e-001
 3.222260509554142e+000  -1.087381269649332e+000  -2.000355315376636e-001   2.489941307636114e-001
 3.234945859872613e+000  -1.049225120809647e+000  -2.009123446169496e-001   2.408692467309178e-001
 3.247631210191085e+000  -1.010989133044782e+000  -2.014017680037049e-001   2.330920072352283e-001
 3.260316560509556e+000  -9.727584817340105e-001  -2.014838808538856e-001   2.258164609830248e-001
 3.273001910828028e+000  -9.346513764825168e-001  -2.011428186404344e-001   2.191874951888741e-001
 3.285687261146499e+000  -8.968363662590183e-001  -2.003718381501387e-001   2.133391772698722e-001
 3.298372611464970e+000  -8.595398530634002e-001  -1.991824027846186e-001   2.083788041728409e-001
 3.311057961783442e+000  -8.230449532274946e-001  -1.976125463003406e-001   2.043687330480217e-001
 3.323743312101913e+000  -7.876800396460839e-001  -1.957312410891469e-001   2.013121957444745e-001
 3.336428662420385e+000  -7.537950813713448e-001  -1.936397619909021e-001   1.991439528785138e-001
 3.349114012738856e+000  -7.217291234318866e-001  -1.914679325389169e-001   1.977250753297524e-001
 3.361799363057327e+000  -6.917772174852619e-001  -1.893592153079973e-001   1.968529478830156e-001
 3.374484713375799e+000  -6.641639510733521e-001  -1.874498126969991e-001   1.962901995096135e-001
 3.387170063694270e+000  -6.390261911152140e-001  -1.858511795578564e-001   1.958024194669927e-001
 3.399855414012742e+000  -6.163999964366402e-001  -1.846358441423470e-001   1.951966590591887e-001
 3.412540764331213e+000  -5.962129056288299e-001  -1.838263574814632e-001   1.943551049194780e-001
 3.425226114649684e+000  -5.782843350864189e-001  -1.833906518918694e-001   1.932586987371239e-001
 3.437911464968156e+000  -5.623471286470558e-001  -1.832478409507183e-001   1.919867648880949e-001
 3.450596815286627e+000  -5.480895080949935e-001  -1.832821543623877e-001   1.906856170907025e-001
 3.463282165605099e+000  -5.352146430665977e-001  -1.833664329048226e-001   1.895101037603028e-001
 3.475967515923570e+000  -5.235056763599563e-001  -1.833939442896657e-001   1.885618451607697e-001
 3.488652866242041e+000  -5.128609988379730e-001  -1.833078877207642e-001   1.878578764957261e-001
 3.501338216560513e+000  -5.032650358615393e-001  -1.831078701626748e-001   1.873497337813307e-001
 3.514023566878984e+000  -4.947184959883283e-001  -1.828316783530304e-001   1.869693772632657e-001
 3.526708917197456e+000  -4.872025306328079e-001  -1.825298704159803e-001   1.866577473795296e-001
 3.539394267515927e+000  -4.806858490469519e-001  -1.822414423470967e-001   1.863717532873796e-001
 3.552079617834398e+000  -4.751252230304275e-001  -1.819819632298868e-001   1.860848539983933e-001
 3.564764968152870e+000  -4.704514571275332e-001  -1.817492742170545e-001   1.857819486861272e-001
 3.577450318471341e+000  -4.665713603877723e-001  -1.815325625628680e-001   1.854539566168477e-001
 3.590135668789813e+000  -4.633846889263169e-001  -1.813157601518363e-001   1.851005360609628e-001
 3.602821019108284e+000  -4.607902841024856e-001  -1.810825948228962e-001   1.847334405750562e-001
 3.615506369426755e+000  -4.586811995559272e-001  -1.808257638369567e-001   1.843723801853573e-001
 3.628191719745227e+000  -4.569496090567273e-001  -1.805524564610031e-001   1.840392959065996e-001
 3.640877070063698e+000  -4.555022742666567e-001  -1.802832494003508e-001   1.837534822806806e-001
 3.653562420382170e+000  -4.542664697926743e-001  -1.800469365523215e-001   1.835266220278336e-001
 3.666247770700641e+000  -4.531811560995387e-001  -1.798729232174925e-001   1.833624067168050e-001
 3.678933121019112e+000  -4.521874849230819e-001  -1.797832508335798e-001   1.832599721463958e-001
 3.691618471337584e+000  -4.512279068710810e-001  -1.797875074070579e-001   1.832159126932386e-001
