---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 2.841700000000000e+000  -1.350621287878403e+000  -4.956598234978863e-001   3.645231918150285e-001
 2.854385350318471e+000  -1.334531749405060e+000  -4.955976238685472e-001   3.618741082447470e-001
 2.867070700636943e+000  -1.318930347032972e+000  -4.954726044554538e-001   3.596501876022721e-001
 2.879756050955414e+000  -1.303695454346841e+000  -4.953698031158058e-001   3.579471665888263e-001
 2.892441401273886e+000  -1.288769521704589e+000  -4.953857808724175e-001   3.568388190874262e-001
 2.905126751592357e+000  -1.274143599696034e+000  -4.956062928261142e-001   3.563611227559342e-001
 2.917812101910828e+000  -1.259853093411614e+000  -4.960803765373043e-001   3.564907679316329e-001
 2.930497452229300e+000  -1.245985486307836e+000  -4.968075659331040e-001   3.571329912047343e-001
 2.943182802547771e+000  -1.232679144788325e+000  -4.977468687978612e-001   3.581338000346896e-001
 2.955868152866243e+000  -1.220100126892316e+000  -4.988388343045849e-001   3.593092798101941e-001
 2.968553503184714e+000  -1.208411314686939e+000  -5.000250974086127e-001   3.604739330703625e-001
 2.981238853503185e+000  -1.197743145797309e+000  -5.012584947548124e-001   3.614675504696753e-001
 2.993924203821657e+000  -1.188165411406857e+000  -5.025037150672158e-001   3.621829029443545e-001
 3.006609554140128e+000  -1.179668544502176e+000  -5.037335160176650e-001   3.625818457964218e-001
 3.019294904458600e+000  -1.172167292922148e+000  -5.049262201060468e-001   3.626850529927771e-001
 3.031980254777071e+000  -1.165525728475716e+000  -5.060654980763438e-001   3.625458412451107e-001
 3.044665605095542e+000  -1.159590773988719e+000  -5.071412791832709e-001   3.622293802580460e-001
 3.057350955414014e+000  -1.154222088928564e+000  -5.081494174075156e-001   3.618011443299029e-001
 3.070036305732485e+000  -1.149313357453437e+000  -5.090886817497784e-001   3.613200786805166e-001
 3.082721656050957e+000  -1.144800604610254e+000  -5.099580126657499e-001   3.608349570135495e-001
 3.095407006369428e+000  -1.140649081065115e+000  -5.107550781474105e-001   3.603810628931105e-001
 3.108092356687899e+000  -1.136826231889562e+000  -5.114744433532179e-001   3.599759000768052e-001
 3.120777707006371e+000  -1.133282836187151e+000  -5.121062513727397e-001   3.596191754205136e-001
 3.133463057324842e+000  -1.129956920455393e+000  -5.126387611691022e-001   3.592996620729954e-001
 3.146148407643314e+000  -1.126791730279336e+000  -5.130634682721735e-001   3.590038470063316e-001
 3.158833757961785e+000  -1.123747114407740e+000  -5.133787982344422e-001   3.587214144614020e-001
 3.171519108280256e+000  -1.120794954705920e+000  -5.135903375348836e-001   3.584468818184123e-001
 3.184204458598728e+000  -1.117908188051094e+000  -5.137087637343535e-001   3.581785854694280e-001
 3.196889808917199e+000  -1.115055635514912e+000  -5.137473128080955e-001   3.579171244471905e-001
 3.209575159235671e+000  -1.112202041255801e+000  -5.137199817628086e-001   3.576637697658178e-001
 3.222260509554142e+000  -1.109307897884322e+000  -5.136403880879714e-001   3.574190866811317e-001
 3.234945859872613e+000  -1.106330315098137e+000  -5.135218587386186e-001   3.571841457975122e-001
 3.247631210191085e+000  -1.103227364240929e+000  -5.133795660633839e-001   3.569615477867303e-001
 3.260316560509556e+000  -1.099963961530318e+000  -5.132326899994564e-001   3.567553003255267e-001
 3.273001910828028e+000  -1.096511670617165e+000  -5.131047441703617e-001   3.565734292778557e-001
 3.285687261146499e+000  -1.092844452668563e+000  -5.130194674373095e-001   3.564306784506839e-001
 3.298372611464970e+000  -1.088940577046077e+000  -5.129898244194163e-001   3.563487179324364e-001
 3.311057961783442e+000  -1.084782529028487e+000  -5.130127396628247e-001   3.563533178244357e-001
 3.323743312101913e+000  -1.080346812059937e+000  -5.130771018025793e-001   3.564687576288480e-001
 3.336428662420385e+000  -1.075596658429082e+000  -5.131716422647279e-001   3.567140323634887e-001
 3.349114012738856e+000  -1.070480278129212e+000  -5.132868650273138e-001   3.571010770743489e-001
 3.361799363057327e+000  -1.064931053617689e+000  -5.134144174519698e-001   3.576331274204640e-001
 3.374484713375799e+000  -1.058869626039313e+000  -5.135455307496709e-001   3.583038651095216e-001
 3.387170063694270e+000  -1.052206181562632e+000  -5.136692652385346e-001   3.590980736311187e-001
 3.399855414012742e+000  -1.044840356433456e+000  -5.137723201029535e-001   3.599939903265619e-001
 3.412540764331213e+000  -1.036660448001115e+000  -5.138407911148206e-001   3.609693294277543e-001
 3.425226114649684e+000  -1.027542992012316e+000  -5.138618709253480e-001   3.620092291261713e-001
 3.437911464968156e+000  -1.017351918252579e+000  -5.138254015218550e-001   3.631107405080583e-001
 3.450596815286627e+000  -1.005937789082251e+000  -5.137276132008068e-001   3.642831942585205e-001
 3.463282165605099e+000  -9.931372171565580e-001  -5.135757252134026e-001   3.655448120081982e-001
 3.475967515923570e+000  -9.787746579892188e-001  -5.133893656087476e-001   3.669159471760796e-001
 3.488652866242041e+000  -9.626737996578749e-001  -5.131952450769902e-001   3.684098778704870e-001
 3.501338216560513e+000  -9.446774461686356e-001  -5.130183715596376e-001   3.700266083252247e-001
 3.514023566878984e+000  -9.246665756408836e-001  -5.128750910405462e-001   3.717531568793672e-001
