---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.FileName = "LASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
 3.082721656050957e+000  -1.190804411614836e+000  -1.911621533291827e-001   9.503856381672962e-001
 3.095407006369428e+000  -1.176072893283716e+000  -1.925797903572894e-001   9.524069969184993e-001
 3.108092356687899e+000  -1.161394547396956e+000  -1.939374443515048e-001   9.543808068590949e-001
 3.120777707006371e+000  -1.146718437487817e+000  -1.952326255247911e-001   9.563015579055826e-001
 3.133463057324842e+000  -1.131991569695480e+000  -1.964597755675853e-001   9.581577081062113e-001
 3.146148407643314e+000  -1.117182232433705e+000  -1.976082244309428e-001   9.599202333891965e-001
 3.158833757961785e+000  -1.102303490902689e+000  -1.986647609389855e-001   9.615333236072131e-001
 3.171519108280256e+000  -1.087399254923317e+000  -1.996184076588420e-001   9.629242904601720e-001
 3.184204458598728e+000  -1.072503722647350e+000  -2.004639044512581e-001   9.640279856487072e-001
 3.196889808917199e+000  -1.057618511874348e+000  -2.012002657148516e-001   9.648014533561928e-001
 3.209575159235671e+000  -1.042722626344518e+000  -2.018269647366185e-001   9.652185251545924e-001
 3.222260509554142e+000  -1.027788494154712e+000  -2.023451692450204e-001   9.652613331372761e-001
 3.234945859872613e+000  -1.012786366574747e+000  -2.027608227166862e-001   9.649194681172523e-001
 3.247631210191085e+000  -9.976851465941885e-001  -2.030839797278495e-001   9.641899026150155e-001
 3.260316560509556e+000  -9.824543624040538e-001  -2.033287781548271e-001   9.630760677321170e-001
 3.273001910828028e+000  -9.670652050948995e-001  -2.035147508183220e-001   9.615888278003305e-001
 3.285687261146499e+000  -9.514909843814793e-001  -2.036647757276065e-001   9.597484750899410e-001
 3.298372611464970e+000  -9.357100613811210e-001  -2.037994120912167e-001   9.575850365631787e-001
 3.311057961783442e+000  -9.197108709820432e-001  -2.039323735366418e-001   9.551379795477830e-001
 3.323743312101913e+000  -9.034922189054302e-001  -2.040675659155957e-001   9.524591797410901e-001
 3.336428662420385e+000  -8.870539077677565e-001  -2.041949788191650e-001   9.496180881660187e-001
 3.349114012738856e+000  -8.703887760394051e-001  -2.042891798069745e-001   9.467022540159649e-001
 3.361799363057327e+000  -8.534879295829695e-001  -2.043152160458593e-001   9.438089794710965e-001
 3.374484713375799e+000  -8.363500978441646e-001  -2.042365921584696e-001   9.410360085605245e-001
 3.387170063694270e+000  -8.189852074574101e-001  -2.040193248317178e-001   9.384774579047328e-001
 3.399855414012742e+000  -8.014115303159207e-001  -2.036334224810938e-001   9.362224245233575e-001
 3.412540764331213e+000  -7.836508151764050e-001  -2.030554620090835e-001   9.343526300848126e-001
 3.425226114649684e+000  -7.657291909931242e-001  -2.022718352025208e-001   9.329388814940308e-001
 3.437911464968156e+000  -7.476819872804535e-001  -2.012777222452044e-001   9.320393947850831e-001
 3.450596815286627e+000  -7.295562863667178e-001  -2.000721443498341e-001   9.316981264745531e-001
 3.463282165605099e+000  -7.114079253029241e-001  -1.986540123911854e-001   9.319415901026893e-001
 3.475967515923570e+000  -6.932944154642811e-001  -1.970245163562221e-001   9.327744028938320e-001
 3.488652866242041e+000  -6.752723246566381e-001  -1.951986866341860e-001   9.341719268442672e-001
 3.501338216560513e+000  -6.573996766778587e-001  -1.932137138711439e-001   9.360721688223732e-001
 3.514023566878984e+000  -6.397348751487881e-001  -1.911215007770524e-001   9.383772729766795e-001
 3.526708917197456e+000  -6.223340030606515e-001  -1.889779762740097e-001   9.409673146143884e-001
 3.539394267515927e+000  -6.052480466371457e-001  -1.868372649216841e-001   9.437202904176315e-001
 3.552079617834398e+000  -5.885182593444873e-001  -1.847477841264222e-001   9.465293048548434e-001
 3.564764968152870e+000  -5.721706668793808e-001  -1.827479412013437e-001   9.493145987970051e-001
 3.577450318471341e+000  -5.562154799460409e-001  -1.808633149475768e-001   9.520261644434819e-001
 3.590135668789813e+000  -5.406526925709223e-001  -1.791067187212754e-001   9.546344151350253e-001
 3.602821019108284e+000  -5.254761770046412e-001  -1.774784304481371e-001   9.571206133507115e-001
 3.615506369426755e+000  -5.106715786785482e-001  -1.759655926149358e-001   9.594759017317964e-001
 3.628191719745227e+000  -4.962101411857742e-001  -1.745417667492822e-001   9.617028641879472e-001
 3.640877070063698e+000  -4.820492520157609e-001  -1.731722578363293e-001   9.638088070542220e-001
 3.653562420382170e+000  -4.681442484822233e-001  -1.718263565558203e-001   9.657915840088709e-001
 3.666247770700641e+000  -4.544580787117600e-001  -1.704844120975635e-001   9.676321456705440e-001
 3.678933121019112e+000  -4.409626691292417e-001  -1.691381272119284e-001   9.692959100774307e-001
 3.691618471337584e+000  -4.276354661269295e-001  -1.677916779290496e-001   9.707388472305326e-001
 3.704303821656055e+000  -4.144559039913205e-001  -1.664614893166038e-001   9.719198948229909e-001
 3.716989171974527e+000  -4.014090099089256e-001  -1.651698431745665e-001   9.728071637448650e-001
 3.729674522292998e+000  -3.884883015966072e-001  -1.639373573210806e-001   9.733775377331597e-001
 3.742359872611469e+000  -3.756859175717789e-001  -1.627792876118293e-001   9.736216618638296e-001
 3.755045222929941e+000  -3.629700609265241e-001  -1.617055542658850e-001   9.735549376815460e-001
 3.767730573248412e+000  -3.502897519305588e-001  -1.607232185624877e-001   9.732144194810810e-001
 3.780415923566884e+000  -3.376084306370469e-001  -1.598363255105558e-001   9.726378659476991e-001
 3.793101273885355e+000  -3.249080325736999e-001  -1.590423780428474e-001   9.718569098878707e-001
 3.805786624203826e+000  -3.121767976860641e-001  -1.583300705505499e-001   9.709003715080732e-001
 3.818471974522298e+000  -2.994024295079030e-001  -1.576822583292456e-001   9.697933775583145e-001
 3.831157324840769e+000  -2.865643051863428e-001  -1.570860869854318e-001   9.685549500191019e-001
 3.843842675159241e+000  -2.736264759685355e-001  -1.565420915470754e-001   9.671992677785753e-001
 3.856528025477712e+000  -2.605468918885250e-001  -1.560590890568851e-001   9.657360941742972e-001
 3.869213375796183e+000  -2.472914451126311e-001  -1.556437052567695e-001   9.641700560309273e-001
 3.881898726114655e+000  -2.338318644006389e-001  -1.553007748685439e-001   9.625053766449268e-001
 3.894584076433126e+000  -2.201391797427315e-001  -1.550377169448238e-001   9.607514626505657e-001
 3.907269426751598e+000  -2.061832210135451e-001  -1.548653609167952e-001   9.589243754766834e-001
 3.919954777070069e+000  -1.919341264711310e-001  -1.547976074806197e-001   9.570451985887121e-001
 3.932640127388540e+000  -1.773618740665083e-001  -1.548518231669220e-001   9.551379410386118e-001
 3.945325477707012e+000  -1.624355790592497e-001  -1.550482268460038e-001   9.532294246380182e-001
 3.958010828025483e+000  -1.471248335408767e-001  -1.554074946453229e-001   9.513505029447535e-001
 3.970696178343955e+000  -1.314025297234444e-001  -1.559496811485763e-001   9.495354202863902e-001
 3.983381528662426e+000  -1.152490538778100e-001  -1.566950256975143e-001   9.478206448899816e-001
 3.996066878980897e+000  -9.865912353108750e-002  -1.576601660411702e-001   9.462446035810433e-001
 4.008752229299368e+000  -8.165077911306451e-002  -1.588495713507891e-001   9.448457996266153e-001
 4.021437579617840e+000  -6.426906563091642e-002  -1.602536914670084e-001   9.436592720587500e-001
 4.034122929936311e+000  -4.658398122318590e-002  -1.618560064207870e-001   9.427138897150079e-001
 4.046808280254783e+000  -2.868566915488040e-002  -1.636397263374146e-001   9.420294522909231e-001
 4.059493630573254e+000  -1.067880673121048e-002  -1.655865471110280e-001   9.416130330776120e-001
 4.072178980891725e+000   7.321572244161620e-003  -1.676682539539019e-001   9.414579155077471e-001
 4.084864331210197e+000   2.519384136409089e-002  -1.698395228937521e-001   9.415464005545532e-001
 4.097549681528668e+000   4.281900631209536e-002  -1.720421905302308e-001   9.418566794338029e-001
 4.110235031847140e+000   6.009434557653863e-002  -1.742179240181974e-001   9.423720047077057e-001
 4.122920382165611e+000   7.694443342070279e-002  -1.763176272400183e-001   9.430857220231904e-001
 4.135605732484082e+000   9.332777604687030e-002  -1.783080236024907e-001   9.439975300366311e-001
 4.148291082802554e+000   1.092383261774142e-001  -1.801775214695783e-001   9.451051725201546e-001
 4.160976433121025e+000   1.247022049423077e-001  -1.819370779268290e-001   9.463971206944664e-001
 4.173661783439497e+000   1.397717484761324e-001  -1.836133718768732e-001   9.478490313049895e-001
 4.186347133757968e+000   1.545157178462492e-001  -1.852338229809701e-001   9.494254317701319e-001
 4.199032484076439e+000   1.690097038716604e-001  -1.868084353463321e-001   9.510855571998270e-001
 4.211717834394911e+000   1.833330717818172e-001  -1.883237063159476e-001   9.527935100155223e-001
 4.224403184713382e+000   1.975679576207489e-001  -1.897636801392973e-001   9.545389015341641e-001
 4.237088535031854e+000   2.117833101644776e-001  -1.911306455406147e-001   9.563421354103344e-001
 4.249773885350325e+000   2.260149041673477e-001  -1.924302131930598e-001   9.582187292228173e-001
 4.262459235668796e+000   2.402716204574989e-001  -1.936529295301537e-001   9.601535826336042e-001
 4.275144585987268e+000   2.545540065531443e-001  -1.947776501716280e-001   9.621085080472894e-001
 4.287829936305739e+000   2.688713899925028e-001  -1.957847461339136e-001   9.640359452207953e-001
 4.300515286624211e+000   2.832498318470722e-001  -1.966605802872687e-001   9.658893610046090e-001
 4.313200636942682e+000   2.977212659069450e-001  -1.973896351472374e-001   9.676285764930018e-001
 4.325885987261153e+000   3.123077985776864e-001  -1.979522034782820e-001   9.692161236761523e-001
 4.338571337579625e+000   3.270056486752274e-001  -1.983364730185309e-001   9.706050676906197e-001
 4.351256687898096e+000   3.417750453373898e-001  -1.985544410641967e-001   9.717260588867935e-001
 4.363942038216568e+000   3.565553931595554e-001  -1.986429977141892e-001   9.724885838184965e-001
 4.376627388535039e+000   3.713013556210644e-001  -1.986516374216983e-001   9.728058084949431e-001
 4.389312738853510e+000   3.860087604483281e-001  -1.986267680157662e-001   9.726244256658622e-001
 4.401998089171982e+000   4.007073015135634e-001  -1.986022084605723e-001   9.719294996196529e-001
 4.414683439490453e+000   4.154408873124956e-001  -1.986007353196936e-001   9.707318437566236e-001
 4.427368789808925e+000   4.302568290864018e-001  -1.986368805069908e-001   9.690606355420318e-001
 4.440054140127396e+000   4.452002526018809e-001  -1.987153212136222e-001   9.669641188077608e-001
 4.452739490445867e+000   4.603085953965269e-001  -1.988310528813405e-001   9.645087773717809e-001
 4.465424840764339e+000   4.756070270247044e-001  -1.989704559036699e-001   9.617761322249248e-001
 4.478110191082810e+000   4.911078412300455e-001  -1.991097843414016e-001   9.588598868317898e-001
 4.490795541401282e+000   5.068140519835275e-001  -1.992147637329586e-001   9.558619986777951e-001
 4.503480891719753e+000   5.227207293803302e-001  -1.992453708382120e-001   9.528867308328126e-001
 4.516166242038224e+000   5.388100773895864e-001  -1.991652861308876e-001   9.500315642227564e-001
 4.528851592356696e+000   5.550558570111869e-001  -1.989465997147009e-001   9.473798298913713e-001
 4.541536942675167e+000   5.714376264337790e-001  -1.985633059804280e-001   9.450054230483709e-001
