'{any}`BM_FOOT_MODEL`', 'Parameter defining the foot model used.'
'{any}`BM_FOOT_MODEL_TOE_FLEX_GM_REACTION`', 'Parameter defining the existing of reaction on toes when using _FOOT_MODEL_TOE_FLEX_GM_.'
'{any}`BM_FOOT_MUSCLES_BOTH`', 'Parameter to define muscle behavior of both right and left foot'
'{any}`BM_FOOT_MUSCLES_LEFT`', 'Parameter to define muscle behavior of the left foot'
'{any}`BM_FOOT_MUSCLES_RIGHT`', 'Parameter to define muscle behavior of the right foot'
