Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIPFlexion1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP5Flexion
  6.000000000000000e-01,  9.226760994130206e-01, -1.078390257185312e-01,  3.394350494142652e-02,  4.186525060726298e-01,  2.563019313582524e-01, -2.889780022024478e-04, -4.473709909388121e-02,  5.237538055653066e-01,  3.011482952451911e-01,  6.981410993905539e-01,  2.489888739915711e-03,  9.494904856011405e-06,  1.008990778357042e-04,  3.214387315391045e-01,  2.227393677421424e-01,  3.192444227780170e-01,  2.489888739915711e-03, -4.177720872033404e-04,  6.713741340245691e-02,  3.847623957672306e-01,  1.635816691872380e-01,  7.700487520413965e-03, -2.558140529183951e-02,  2.734199787098300e-04,  4.405455647939460e-03,  4.507849975647839e-01,  2.081054850611394e-02,  1.313421905310805e-01,  4.170073349279187e-01
  6.100000000000000e-01,  9.218503473121828e-01, -1.081582281851533e-01,  3.332333839510943e-02,  4.151259717169943e-01,  2.526418338202766e-01, -2.909025735018388e-04, -4.498891209813921e-02,  5.146363561810040e-01,  2.978966805821724e-01,  6.925055182788648e-01,  3.880796205902798e-03,  8.938635151359838e-06,  1.018063320418482e-04,  3.125679194514809e-01,  2.203642222239045e-01,  3.184870338221066e-01,  3.880796205902798e-03, -4.202370823901834e-04,  6.802686725097158e-02,  3.862976209147427e-01,  1.641752517500945e-01,  9.730773239768103e-03, -2.431567062091267e-02,  2.753012755934704e-04,  6.216228939071555e-03,  4.519353390930015e-01,  1.543408849250745e-02,  1.288739218826089e-01,  4.141882791964296e-01
  6.200000000000000e-01,  9.187702117590388e-01, -1.118775110983218e-01,  3.260301699219832e-02,  4.075677013796914e-01,  2.487418567748332e-01, -2.967831265515740e-04, -4.635601723148506e-02,  5.089557281648323e-01,  2.904837967689069e-01,  6.868601232802745e-01,  5.243003705708645e-03,  5.097373400014322e-06,  1.021921917584580e-04,  3.061014091716396e-01,  2.151673935367678e-01,  3.196799495590938e-01,  5.243003705708645e-03, -4.282112032218832e-04,  7.100265388594784e-02,  3.917124328862172e-01,  1.599378280621157e-01,  1.109933099220223e-02, -2.372412389744671e-02,  2.804068594797053e-04,  1.283363289810839e-02,  4.569107121707419e-01,  4.079204499472767e-03,  1.270691064559938e-01,  4.132354771694863e-01
  6.300000000000000e-01,  9.144228954836294e-01, -1.178515815033996e-01,  3.181857163517879e-02,  3.978117618730753e-01,  2.454506955955067e-01, -3.052043930691505e-04, -4.840611103867465e-02,  5.058685445014844e-01,  2.808877948870354e-01,  6.816098063272954e-01,  6.391786492256524e-03, -1.177286041683246e-06,  1.025900871861036e-04,  3.015454663450477e-01,  2.085329444152207e-01,  3.222816963728797e-01,  6.391786492256524e-03, -4.395574297867806e-04,  7.538662528906180e-02,  3.994407438165683e-01,  1.523841549919363e-01,  1.179917835156581e-02, -2.369156901594916e-02,  2.879073867594997e-04,  2.253807744533915e-02,  4.643024259577263e-01, -1.070117788064658e-02,  1.258528937650550e-01,  4.133231496523983e-01
  6.400000000000000e-01,  9.098553330470979e-01, -1.247218512102705e-01,  3.115536243811041e-02,  3.876921799311015e-01,  2.429777493928126e-01, -3.145385834893038e-04, -5.067284553889638e-02,  5.042958744659144e-01,  2.709811943175072e-01,  6.771019271452305e-01,  7.217833317451766e-03, -8.726357148381162e-06,  1.032982930744435e-04,  2.981803539141097e-01,  2.017597591452897e-01,  3.256137424372766e-01,  7.217833317451766e-03, -4.519707769514126e-04,  8.035215415324866e-02,  4.078017304296304e-01,  1.433372820038253e-01,  1.193706918902117e-02, -2.402874124092198e-02,  2.966554880204093e-04,  3.335470353684930e-02,  4.725304820320240e-01, -2.618676424422785e-02,  1.251136834397640e-01,  4.136993048379028e-01
  6.500000000000000e-01,  9.059168752405127e-01, -1.312745219685508e-01,  3.068447737784414e-02,  3.784892805624845e-01,  2.413320944685978e-01, -3.233697712240214e-04, -5.278621922012385e-02,  5.032670564113345e-01,  2.620799369452582e-01,  6.735092513566553e-01,  7.721747728242656e-03, -1.635688728728890e-05,  1.041926805668532e-04,  2.953244543322072e-01,  1.957248592176270e-01,  3.290443527954167e-01,  7.721747728242656e-03, -4.635454511119518e-04,  8.512472148892068e-02,  4.154457468771520e-01,  1.343834803515310e-01,  1.169862980202952e-02, -2.453720921029405e-02,  3.053576264717273e-04,  4.357850756875378e-02,  4.802578524270831e-01, -4.023434507511203e-02,  1.247324906157696e-01,  4.139962131170958e-01
  6.599999999999999e-01,  9.031140773291061e-01, -1.366663290352811e-01,  3.038370662476695e-02,  3.708563947114401e-01,  2.403879505405715e-01, -3.307430804538063e-04, -5.451909119484579e-02,  5.020791089700887e-01,  2.548649192812476e-01,  6.707829703629049e-01,  7.981041341508590e-03, -2.310936147870444e-05,  1.049135998371985e-04,  2.924790954867213e-01,  1.908341417143175e-01,  3.321100032314879e-01,  7.981041341508590e-03, -4.730553031870538e-04,  8.913803928078699e-02,  4.215503721598384e-01,  1.265592904782006e-01,  1.128860082479183e-02, -2.505652156805920e-02,  3.129143903469318e-04,  5.207562186394851e-02,  4.866220552765662e-01, -5.160939660742191e-02,  1.245814707874470e-01,  4.141749605129255e-01
  6.699999999999999e-01,  9.016035609069433e-01, -1.404826830854659e-01,  3.018727774085712e-02,  3.649788896486554e-01,  2.399654196350081e-01, -3.362064186689162e-04, -5.577648310202742e-02,  5.003047949103028e-01,  2.495305401942480e-01,  6.686862667630805e-01,  8.101442977969629e-03, -2.840206667842729e-05,  1.051471000076974e-04,  2.893559081108563e-01,  1.871489466728133e-01,  3.345596661893749e-01,  8.101442977969629e-03, -4.799813339600070e-04,  9.209730280738701e-02,  4.258083124918635e-01,  1.203074746666648e-01,  1.089272808577852e-02, -2.547794838225838e-02,  3.186680676733485e-04,  5.832950989205511e-02,  4.912548870787978e-01, -5.992689014794897e-02,  1.245337271436628e-01,  4.143305196274813e-01
  6.799999999999999e-01,  9.012643549678905e-01, -1.426745036663423e-01,  3.002691580746676e-02,  3.607559312853541e-01,  2.398948043071813e-01, -3.397119207408804e-04, -5.656050456610785e-02,  4.977148059909193e-01,  2.459916130345237e-01,  6.668535785455411e-01,  8.184433656461787e-03, -3.203395474754057e-05,  1.047944627158185e-04,  2.858285916588459e-01,  1.845513779503810e-01,  3.363369205031854e-01,  8.184433656461787e-03, -4.843807724072405e-04,  9.395507339837571e-02,  4.283050326818853e-01,  1.156013267587046e-01,  1.067053953275557e-02, -2.573498838739244e-02,  3.224370107457634e-04,  6.231926759916918e-02,  4.941650487895957e-01, -6.539724516719625e-02,  1.244815267082218e-01,  4.145422991958602e-01
  6.899999999999999e-01,  9.018037625692258e-01, -1.434946866418577e-01,  2.981016314273845e-02,  3.579939003480812e-01,  2.400087528615575e-01, -3.415147825392706e-04, -5.693423710874412e-02,  4.941931512404026e-01,  2.440362029436479e-01,  6.648262070471934e-01,  8.307980911819264e-03, -3.406013016191556e-05,  1.039827991671079e-04,  2.818761466265021e-01,  1.828543096278102e-01,  3.375231965637397e-01,  8.307980911819264e-03, -4.866417209820939e-04,  9.484172262797019e-02,  4.293976138312058e-01,  1.121020872966308e-01,  1.074814084235838e-02, -2.578506458408339e-02,  3.244369994180228e-04,  6.434815969757995e-02,  4.956160364803954e-01, -6.857835188787237e-02,  1.243198663753793e-01,  4.148058597818480e-01
