Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 2.854395000000000e+000,-6.429735000216208e-001, 1.168254565226272e-001,-3.450898408631769e-001, 5.501768342965151e-001,-5.404961236906027e-001, 3.560479709971974e-001, 1.754119328134345e-001,-1.778553772456639e-001, 3.255210554029494e-001, 5.837019047792156e-001, 6.099178995625486e-001, 4.991510934636017e-001, 1.478094514849726e-001
 2.858562000000000e+000,-6.431999207090799e-001, 1.166504520856038e-001,-3.451392843613169e-001, 5.501903518713284e-001,-5.404711662536068e-001, 3.559253487675494e-001, 1.738951214839672e-001,-1.753331291063471e-001, 3.250032268921982e-001, 5.836110189903762e-001, 6.084534646647068e-001, 5.018240568786903e-001, 1.479473405879762e-001
 2.862729000000000e+000,-6.434455715157603e-001, 1.164567947304562e-001,-3.451786397321193e-001, 5.502124011676780e-001,-5.404410626246339e-001, 3.557776087057494e-001, 1.721389699227414e-001,-1.728591452060014e-001, 3.244051564284924e-001, 5.834637395123551e-001, 6.070261398398115e-001, 5.044802705457494e-001, 1.480572133756118e-001
 2.866896000000000e+000,-6.437094024709741e-001, 1.162505584809934e-001,-3.452084790206644e-001, 5.502407674944817e-001,-5.404072151585062e-001, 3.556116019426793e-001, 1.701482208624021e-001,-1.704456733922500e-001, 3.237277989673756e-001, 5.832534180276880e-001, 6.056489923391958e-001, 5.071053794507705e-001, 1.481375183580105e-001
 2.871063000000000e+000,-6.439904729399381e-001, 1.160381139311328e-001,-3.452294224391334e-001, 5.502731011500971e-001,-5.403711010143908e-001, 3.554345437184270e-001, 1.679287887968459e-001,-1.681043879542996e-001, 3.229720900411958e-001, 5.829723499034905e-001, 6.043355350085778e-001, 5.096844344740124e-001, 1.481869004570358e-001
 2.875230000000000e+000,-6.442880156784424e-001, 1.158260473585366e-001,-3.452421269410768e-001, 5.503069428981957e-001,-5.403342543292162e-001, 3.552539252238727e-001, 1.654877605792919e-001,-1.658461709302673e-001, 3.221390456575610e-001, 5.826119042920449e-001, 6.030996118354751e-001, 5.122019405288052e-001, 1.482042084985293e-001
 2.879397000000000e+000,-6.446012657286339e-001, 1.156219986217535e-001,-3.452475019968285e-001, 5.503393629328481e-001,-5.402984799956445e-001, 3.550785558106314e-001, 1.628325371012005e-001,-1.636809093883488e-001, 3.212301791654869e-001, 5.821625196721274e-001, 6.019553281606946e-001, 5.146419981832873e-001, 1.481884952458064e-001
 2.883564000000000e+000,-6.449303718591768e-001, 1.154308343355626e-001,-3.452457757997718e-001, 5.503685729551794e-001,-5.402648895661333e-001, 3.549138592322035e-001, 1.599740841300161e-001,-1.616173468964807e-001, 3.202463093747749e-001, 5.816145583454937e-001, 6.009165292608141e-001, 5.169882438644673e-001, 1.481390599859641e-001
 2.887731000000000e+000,-6.452751482673513e-001, 1.152601890499647e-001,-3.452378874267342e-001, 5.503915666207501e-001,-5.402353059343228e-001, 3.547687270051945e-001, 1.569218644066264e-001,-1.596629559050929e-001, 3.191895930399384e-001, 5.809575026273064e-001, 5.999970644436973e-001, 5.192243601479483e-001, 1.480554174871964e-001
 2.891898000000000e+000,-6.456358631496340e-001, 1.151165620484131e-001,-3.452245362304978e-001, 5.504057789262502e-001,-5.402112765520526e-001, 3.546507051643400e-001, 1.536870395463765e-001,-1.578238876893532e-001, 3.180622553327263e-001, 5.801808602967036e-001, 5.992101942751181e-001, 5.213341144113217e-001, 1.479373402770919e-001
