Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 2.850228000000000e+000, 2.443675765813275e+000, 1.046672084141012e+000,-3.468798239300151e+000,-1.950060621373199e-002, 1.217945320733564e+000,-1.045829253809992e-002,-5.156583027739413e-002, 1.415676228701498e-002, 4.250671217274198e-001,-2.256469637597223e-001, 1.339468221517464e-001,-2.301968723321866e-001
 2.854395000000000e+000, 2.443290255151828e+000, 1.045796227246264e+000,-3.475471306032579e+000,-1.918165406330258e-002, 1.215675751140450e+000,-1.110505069598643e-002,-5.160857727002973e-002, 1.162003780212241e-002, 4.279680992683104e-001,-2.273200241145931e-001, 1.342515364656334e-001,-2.322536250902732e-001
 2.858562000000000e+000, 2.442871987317974e+000, 1.044947759275014e+000,-3.482182446059465e+000,-1.880868208599881e-002, 1.213445590708133e+000,-1.182713385387440e-002,-5.164372662518590e-002, 8.947453969394312e-003, 4.308305885473152e-001,-2.290423873408901e-001, 1.345609216922343e-001,-2.342616186952353e-001
 2.862729000000000e+000, 2.442420217392589e+000, 1.044126788760069e+000,-3.488931080574351e+000,-1.839418601338943e-002, 1.211282241009510e+000,-1.262616961920753e-002,-5.166566506173118e-002, 6.155078530889194e-003, 4.336245062937080e-001,-2.308016699361588e-001, 1.348785820501976e-001,-2.362228719323652e-001
 2.866896000000000e+000, 2.441934029595303e+000, 1.043333365328091e+000,-3.495716337007524e+000,-1.795055105810924e-002, 1.209217446387122e+000,-1.350330297743185e-002,-5.166905870444496e-002, 3.259440356161554e-003, 4.363152980870828e-001,-2.325847051782422e-001, 1.352077879892271e-001,-2.381397168625455e-001
 2.871063000000000e+000, 2.441412350212918e+000, 1.042567523896468e+000,-3.502537030474178e+000,-1.748966835619457e-002, 1.207286656667188e+000,-1.445914441340937e-002,-5.164909268140373e-002, 2.771694107154034e-004, 4.388646355676175e-001,-2.343777656851451e-001, 1.355515347041321e-001,-2.400147574716597e-001
 2.875230000000000e+000, 2.440853984628053e+000, 1.041829333047057e+000,-3.509391645333170e+000,-1.702256807820652e-002, 1.205528014440432e+000,-1.549372909738179e-002,-5.160170000164728e-002,-2.775348672309506e-003, 4.412314910471364e-001,-2.361667919295938e-001, 1.359126264212787e-001,-2.418508272869590e-001
 2.879397000000000e+000, 2.440257675126644e+000, 1.041118915960480e+000,-3.516278300408944e+000,-1.655987191568561e-002, 1.203981114575260e+000,-1.660713837783781e-002,-5.152327011924646e-002,-5.882229092903533e-003, 4.433734354009026e-001,-2.379371860238396e-001, 1.362934363632904e-001,-2.436509174638824e-001
 2.883564000000000e+000, 2.439622218085365e+000, 1.040436631488691e+000,-3.523194796041364e+000,-1.610811185754439e-002, 1.202684592796412e+000,-1.779660502633752e-002,-5.141290560884945e-002,-9.028615534090392e-003, 4.452491116031881e-001,-2.396757874631789e-001, 1.366973430240965e-001,-2.454182547227301e-001
 2.887731000000000e+000, 2.438946538707234e+000, 1.039782936756645e+000,-3.530138496212157e+000,-1.567452910784146e-002, 1.201675139933542e+000,-1.906065113691606e-002,-5.126948227457367e-002,-1.220043459945343e-002, 4.468192456954889e-001,-2.413685267073067e-001, 1.371268852989908e-001,-2.471561005376742e-001
