Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  2.854395000000000e+00, -6.935099895650312e-01,  6.836290983663251e-02, -6.640076803241150e-03,  6.667500345286748e-01, -2.264539618020485e-01, -6.640076806417979e-03, -5.429922487486261e-02,  8.946038313057420e-03,  1.005347087989423e-01, -1.172123793491789e-02,  5.909823072653440e-01,  5.326464167180083e-01,  2.584399876072248e-01
  2.858562000000000e+00, -6.939914192378925e-01,  6.738219123624134e-02, -7.021677632090294e-03,  6.667872033368081e-01, -2.263550446408078e-01, -7.021677635916675e-03, -5.444051562837648e-02,  8.875340494222899e-03,  1.008015702665368e-01, -1.308748871874378e-02,  5.878836659574027e-01,  5.343976909477570e-01,  2.584766996744180e-01
  2.862729000000000e+00, -6.944232494877047e-01,  6.636273689898498e-02, -7.419773550678043e-03,  6.668321778358822e-01, -2.262493608798135e-01, -7.419773551605759e-03, -5.443831186752623e-02,  8.745584827714007e-03,  1.010760501333556e-01, -1.439970501826446e-02,  5.848513113154316e-01,  5.361174916930023e-01,  2.585585672073079e-01
  2.866896000000000e+00, -6.947987618186838e-01,  6.530926459131869e-02, -7.832548812210049e-03,  6.668851979381309e-01, -2.261372079110318e-01, -7.832548813329846e-03, -5.430097300558301e-02,  8.512691308604953e-03,  1.013519816977808e-01, -1.564215909247102e-02,  5.818401489182816e-01,  5.378093512496545e-01,  2.586748786590408e-01
  2.871063000000000e+00, -6.951224577481238e-01,  6.422873370117399e-02, -8.256940148501871e-03,  6.669453436017095e-01, -2.260196218342037e-01, -8.256940149779251e-03, -5.402453775717775e-02,  8.195337363361926e-03,  1.016266455100864e-01, -1.682858292731563e-02,  5.788710736483620e-01,  5.394737907846121e-01,  2.588256425462335e-01
  2.875230000000000e+00, -6.953952423716924e-01,  6.312821410890446e-02, -8.689979110990682e-03,  6.670119882761925e-01, -2.258975007896784e-01, -8.689979112459929e-03, -5.360873142064193e-02,  7.791912191226123e-03,  1.018963673223815e-01, -1.796283276006808e-02,  5.759432974861560e-01,  5.411120652570287e-01,  2.590074656442780e-01
  2.879397000000000e+00, -6.956179589005221e-01,  6.201514216046600e-02, -9.128578792589399e-03,  6.670844704105351e-01, -2.257717835589712e-01, -9.128578794352922e-03, -5.305295569984780e-02,  7.300718198665139e-03,  1.021575535713145e-01, -1.904842376633560e-02,  5.730557435418073e-01,  5.427252255083479e-01,  2.592170958317055e-01
  2.883564000000000e+00, -6.957913335059133e-01,  6.089706202034195e-02, -9.569642091900301e-03,  6.671621182889230e-01, -2.256434159862146e-01, -9.569642093849385e-03, -5.235621613731500e-02,  6.719925567946752e-03,  1.024066454781329e-01, -2.008848047473873e-02,  5.702070673637771e-01,  5.443140974057235e-01,  2.594514827641143e-01
  2.887731000000000e+00, -6.959159324605900e-01,  5.978134445051775e-02, -1.001017646310230e-02,  6.672442765741605e-01, -2.255133152032582e-01, -1.001017646534271e-02, -5.151706209861162e-02,  6.047547636385244e-03,  1.026400652101982e-01, -2.108569138360607e-02,  5.673957029482494e-01,  5.458792626977980e-01,  2.597078232379567e-01
  2.891898000000000e+00, -6.959921343651039e-01,  5.867490299192180e-02, -1.044740693607646e-02,  6.673303327353450e-01, -2.253823341855652e-01, -1.044740693862693e-02, -5.053354011648792e-02,  5.281448929625026e-03,  1.028541615914675e-01, -2.204226985621355e-02,  5.646199351560233e-01,  5.474210476125503e-01,  2.599835915479926e-01
