---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.FileName = "GaitNormal0001-processed-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.560000000000000e+000 -1.368403002365134e-001 -3.261023069030183e-001 1.553232994541560e-001 2.816605886299640e-002 1.704741075437878e-001 -1.085027486857970e-001
1.569333333333334e+000 -1.304571647758193e-001 -3.307349121629394e-001 1.606016174968989e-001 4.475201916233465e-002 1.691115260487909e-001 -1.083484072443798e-001
1.578666666666667e+000 -1.222208227368570e-001 -3.348389335251041e-001 1.639644349107075e-001 6.350719303979380e-002 1.646630271490135e-001 -1.051653035121646e-001
1.588000000000000e+000 -1.121958097493856e-001 -3.381946384181111e-001 1.646733766467647e-001 8.393269499340794e-002 1.567202410389585e-001 -9.822087766945677e-002
1.597333333333334e+000 -1.005300947200597e-001 -3.406905236850238e-001 1.620409490685255e-001 1.054249527794796e-001 1.450923439190368e-001 -8.704707896427247e-002
1.606666666666667e+000 -8.746548710867896e-002 -3.423071505574263e-001 1.555489411703024e-001 1.273316432685230e-001 1.300049245677893e-001 -7.161866711133096e-002
1.616000000000001e+000 -7.335126938719055e-002 -3.431007715581705e-001 1.449014706427763e-001 1.490464758842949e-001 1.120976853088811e-001 -5.232806427304357e-002
1.625333333333334e+000 -5.864412864400425e-002 -3.432054994821627e-001 1.301451670299112e-001 1.701153435697426e-001 9.235875751761272e-002 -2.998163618786594e-002
1.634666666666667e+000 -4.395026454244720e-002 -3.428392455722226e-001 1.117137706157048e-001 1.902080265622810e-001 7.194580564561615e-002 -5.633393447945863e-003
1.644000000000001e+000 -3.002260850325791e-002 -3.422851669481983e-001 9.041683499084074e-002 2.090586208291773e-001 5.203308532643395e-002 1.955406127731522e-002
1.653333333333334e+000 -1.771586339705592e-002 -3.418403943896174e-001 6.729366665267067e-002 2.263768129983780e-001 3.365072249323069e-002 4.453562046739130e-002
1.662666666666668e+000 -7.870858317905688e-003 -3.417546983545900e-001 4.347083806447749e-002 2.418517824466384e-001 1.760802141632813e-002 6.845030131465309e-002
1.672000000000001e+000 -1.195900312954139e-003 -3.421887761890670e-001 2.004950475014167e-002 2.552041887479589e-001 4.487879553314369e-003 9.056332929052136e-002
1.681333333333335e+000 1.797605968562708e-003 -3.432065551061210e-001 -2.003820450532157e-003 2.662135706931977e-001 -5.351285540599598e-003 1.102613969805805e-001
1.690666666666668e+000 8.123480132549518e-004 -3.447916172951666e-001 -2.190575639473136e-002 2.747411050500216e-001 -1.174116272216347e-002 1.270309778754570e-001
1.700000000000001e+000 -4.263088869752565e-003 -3.468711235638172e-001 -3.906618958027353e-002 2.807359123045309e-001 -1.466540099308399e-002 1.404444980605606e-001
1.709333333333335e+000 -1.339998744857262e-002 -3.493365195798186e-001 -5.311789220335128e-002 2.842144148615176e-001 -1.426106197058756e-002 1.502261180687476e-001
1.718666666666668e+000 -2.647512501798176e-002 -3.520589634381853e-001 -6.390741656248311e-002 2.852471163216865e-001 -1.078362666133300e-002 1.562257481495595e-001
