---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.FileName = "GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParamterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
1.560000000000000e+000 -1.732860085479482e-001 9.197857923275682e-001 -3.247639022047063e-001 -2.116685509774819e-001 2.027534299116292e-001 4.689478578844186e-001 -8.164586332594275e-001 3.644276845598936e-001 -2.802077803745257e-001
1.569333333333334e+000 -1.605758142894666e-001 9.186994139376418e-001 -3.242135934596176e-001 -2.141547229356092e-001 2.090059153969330e-001 4.631376337762609e-001 -8.081128539462603e-001 3.733127038153523e-001 -2.847162206481606e-001
1.578666666666667e+000 -1.476755409699028e-001 9.177760127491973e-001 -3.236568707773420e-001 -2.174098384706650e-001 2.147859635684044e-001 4.564467753663262e-001 -7.986982747425546e-001 3.826990711306000e-001 -2.887949694069548e-001
1.588000000000000e+000 -1.346384949819419e-001 9.170521845701166e-001 -3.230897936193369e-001 -2.214391958292779e-001 2.199449772969953e-001 4.489648053053165e-001 -7.883264561961799e-001 3.924769295796645e-001 -2.923244004610595e-001
1.597333333333334e+000 -1.214978547940584e-001 9.165641216843979e-001 -3.225048952355775e-001 -2.262522491982387e-001 2.243381198156154e-001 4.408171646995863e-001 -7.771565753209537e-001 4.025522883306930e-001 -2.951769157456846e-001
1.606666666666667e+000 -1.082810820202558e-001 9.163409572518888e-001 -3.218930686804221e-001 -2.318158531658103e-001 2.278366686963604e-001 4.321728895089880e-001 -7.654004892574898e-001 4.128034211038294e-001 -2.972367470021514e-001
1.616000000000001e+000 -9.501158218602261e-002 9.164026034692020e-001 -3.212442358023054e-001 -2.380359341135353e-001 2.303502734271183e-001 4.232551483542842e-001 -7.533289771639623e-001 4.230701931269338e-001 -2.984234350303514e-001
1.625333333333334e+000 -8.170975921680804e-002 9.167579221172819e-001 -3.205480057165606e-001 -2.447454801376503e-001 2.318411740005137e-001 4.143331139135562e-001 -7.412565119283355e-001 4.331446162192975e-001 -2.987068823652794e-001
1.634666666666667e+000 -6.839286652269354e-002 9.174040703029315e-001 -3.197939385729848e-001 -2.517140983113184e-001 2.323584315068830e-001 4.057217710344593e-001 -7.295421575017066e-001 4.427918362604115e-001 -2.981348672384870e-001
1.644000000000001e+000 -5.507575748147364e-002 9.183276068880236e-001 -3.189728520100731e-001 -2.586732644777776e-001 2.320519088180706e-001 3.977583041097442e-001 -7.185685349102230e-001 4.517796775881180e-001 -2.968423023719797e-001
1.653333333333334e+000 -4.177226956281615e-002 9.195067340485766e-001 -3.180780619221978e-001 -2.653537960068359e-001 2.311709993069906e-001 3.907735887816030e-001 -7.087178889746244e-001 4.599155998746631e-001 -2.950452540033065e-001
1.662666666666668e+000 -2.849734262578327e-002 9.209137658373272e-001 -3.171069561324127e-001 -2.715147840886169e-001 2.300229166375893e-001 3.850428245642113e-001 -7.003179251165496e-001 4.670601057803992e-001 -2.930028602535558e-001
1.672000000000001e+000 -1.526838633154530e-002 9.225172792967173e-001 -3.160622005322744e-001 -2.769610946798953e-001 2.289156219659774e-001 3.807407418218838e-001 -6.935868843091207e-001 4.731246792406200e-001 -2.909689976172304e-001
1.681333333333335e+000 -2.104893415526877e-003 9.242839277940155e-001 -3.149517342175727e-001 -2.815545308318485e-001 2.281171132784721e-001 3.779292631030993e-001 -6.886142971932219e-001 4.780710999652041e-001 -2.891584662699091e-001
1.690666666666668e+000 1.097336042675521e-002 9.261799229088928e-001 -3.137883148180887e-001 -2.852129734013250e-001 2.278259658614634e-001 3.765680936644298e-001 -6.853661715830459e-001 4.819029779485196e-001 -2.877231898865801e-001
1.700000000000001e+000 2.394896684037484e-002 9.281721426026157e-001 -3.125884706219983e-001 -2.878987516095102e-001 2.281588687308800e-001 3.765480057135560e-001 -6.837171782646924e-001 4.846509945699246e-001 -2.867421787314717e-001
1.709333333333335e+000 3.680943760481650e-002 9.302290635539379e-001 -3.113703802487647e-001 -2.896050751441215e-001 2.291542526549351e-001 3.777360558541753e-001 -6.834991233485736e-001 4.863584972067597e-001 -2.862243624045095e-001
1.718666666666668e+000 4.954854941905149e-002 9.323215247088759e-001 -3.101517954026654e-001 -2.903396722218549e-001 2.307799495116201e-001 3.800124500723537e-001 -6.845436216229494e-001 4.870629873103001e-001 -2.861181066511659e-001
1.728000000000002e+000 6.216632766372936e-002 9.344233952176535e-001 -3.089479928023260e-001 -2.901130716419761e-001 2.329453825869889e-001 3.832909867864304e-001 -6.867085263693480e-001 4.867828695876448e-001 -2.863256824809429e-001
1.737333333333335e+000 7.466766328091014e-002 9.365120194924789e-001 -3.077704338873100e-001 -2.889322647440860e-001 2.355129590907381e-001 3.875163299396704e-001 -6.898795589155982e-001 4.855102937725113e-001 -2.867172883997508e-001
1.746666666666668e+000 8.705988934182739e-002 9.385683898741641e-001 -3.066262552180068e-001 -2.868022564639665e-001 2.383089758883707e-001 3.926433186996143e-001 -6.939533650064997e-001 4.832134371160965e-001 -2.871439644144422e-001
1.756000000000002e+000 9.934993702405692e-002 9.405770148626111e-001 -3.055184571797975e-001 -2.837338424847140e-001 2.411360326858079e-001 3.986106933383847e-001 -6.988160202097947e-001 4.798467950525658e-001 -2.874514770913854e-001
1.765333333333335e+000 1.115420109537487e-001 9.425254926171260e-001 -3.044467258532354e-001 -2.797527784226917e-001 2.437871853291918e-001 4.053202868006539e-001 -7.043269224936298e-001 4.753647799324249e-001 -2.874945490554994e-001
1.774666666666669e+000 1.236366643630820e-001 9.444038131698486e-001 -3.034085741952876e-001 -2.749040716774319e-001 2.460637035384814e-001 4.126368534866867e-001 -7.103249817043732e-001 4.697336946282148e-001 -2.871508976885593e-001
1.784000000000002e+000 1.356316142049487e-001 9.462036093870602e-001 -3.024013158719048e-001 -2.692563692838871e-001 2.477818794834092e-001 4.203868191610442e-001 -7.166232943143674e-001 4.629425855842789e-001 -2.863207706989416e-001
1.793333333333335e+000 1.475234101540837e-001 9.479173379872899e-001 -3.014230377869032e-001 -2.628976556500727e-001 2.487876853877478e-001 4.283819885445347e-001 -7.230343769477456e-001 4.550080439622628e-001 -2.849321239018198e-001
1.802666666666669e+000 1.593089922693897e-001 9.495376505906298e-001 -3.004728881088736e-001 -2.559271246758343e-001 2.489702985387181e-001 4.364407151538934e-001 -7.293897307256718e-001 4.459738636570252e-001 -2.829464947810661e-001
1.812000000000002e+000 1.709865071712386e-001 9.510570356181735e-001 -2.995506297178182e-001 -2.484436664027624e-001 2.482730823095278e-001 4.444087378026931e-001 -7.355604415656211e-001 4.359053621063930e-001 -2.803652732470955e-001
1.821333333333336e+000 1.825554770277953e-001 9.524678132403323e-001 -2.986564988777909e-001 -2.405385525208645e-001 2.466898403673949e-001 4.521659052579852e-001 -7.414598404673585e-001 4.248825218226915e-001 -2.772242901130186e-001
1.830666666666669e+000 1.940164963493895e-001 9.537623713973932e-001 -2.977907910356083e-001 -2.322903316566641e-001 2.442539933814696e-001 4.596343554598715e-001 -7.470519520194604e-001 4.129918612397132e-001 -2.735830759790534e-001
1.840000000000003e+000 2.053710604897719e-001 9.549336592894470e-001 -2.969542236097817e-001 -2.237670535558534e-001 2.410220249079709e-001 4.667689045351001e-001 -7.523361833399004e-001 4.003235248455688e-001 -2.695097277686383e-001
1.849333333333336e+000 2.166215852853752e-001 9.559756760754230e-001 -2.961479368010776e-001 -2.150291915349668e-001 2.370606809003677e-001 4.735486659222019e-001 -7.573347134154408e-001 3.869692551741250e-001 -2.650693717014080e-001
1.858666666666669e+000 2.277716136213142e-001 9.568835833412568e-001 -2.953735180231439e-001 -2.061246391145374e-001 2.324379134752204e-001 4.799736258307544e-001 -7.620862523384843e-001 3.730124111745762e-001 -2.603192381417300e-001
1.868000000000003e+000 2.388259071959488e-001 9.576536627497637e-001 -2.946326233765080e-001 -1.970874059808222e-001 2.272158375545936e-001 4.860579832088854e-001 -7.666363196885381e-001 3.585215339499214e-001 -2.553046850451600e-001
1.877333333333336e+000 2.497901281353251e-001 9.582832849272056e-001 -2.939263270839805e-001 -1.879389575168280e-001 2.214503414867910e-001 4.918246134080357e-001 -7.710327331101671e-001 3.435494148301058e-001 -2.500606819599536e-001
1.886666666666670e+000 2.606703045951498e-001 9.587710825371087e-001 -2.932548169434653e-001 -1.786964605044819e-001 2.151942033782399e-001 4.972919279009007e-001 -7.753124660799862e-001 3.281422418150310e-001 -2.446144764570306e-001
1.896000000000003e+000 2.714724280809002e-001 9.591170708499652e-001 -2.926177307502845e-001 -1.693781279761489e-001 2.085023138479087e-001 5.024647927279082e-001 -7.794929109254750e-001 3.123482466108974e-001 -2.389909635017509e-001
1.905333333333336e+000 2.822020483295113e-001 9.593227855736074e-001 -2.920142375731628e-001 -1.600109587680771e-001 2.014343194739710e-001 5.073324252021167e-001 -7.835715929115954e-001 2.962282481063414e-001 -2.332136137713421e-001
1.914666666666670e+000 2.928641842956318e-001 9.593911992604434e-001 -2.914434468509517e-001 -1.506340930123579e-001 1.940568351114524e-001 5.118715168374018e-001 -7.875310528511104e-001 2.798617544870561e-001 -2.273068824590984e-001
1.924000000000003e+000 3.034636684081354e-001 9.593263561737442e-001 -2.909051148535798e-001 -1.412973438859753e-001 1.864448298672004e-001 5.160510475632896e-001 -7.913440530016632e-001 2.633474146412125e-001 -2.213001133087320e-001
1.933333333333337e+000 3.140054105449853e-001 9.591330629754109e-001 -2.903996122175266e-001 -1.320633412557717e-001 1.786779539370855e-001 5.198375876213451e-001 -7.949793053279923e-001 2.468037491022850e-001 -2.152242925505236e-001
1.942666666666670e+000 3.244946874292086e-001 9.588165618979633e-001 -2.899278005001283e-001 -1.230044952950615e-001 1.708347831894437e-001 5.232027107407545e-001 -7.984089490340816e-001 2.303624663644514e-001 -2.091086700112641e-001
1.952000000000004e+000 3.349375843507143e-001 9.583821258540884e-001 -2.894911006682165e-001 -1.141913028217423e-001 1.629878235120197e-001 5.261327977468532e-001 -8.016182723469022e-001 2.141519442107533e-001 -2.029820701348475e-001
1.961333333333337e+000 3.453410789736613e-001 9.578349263914251e-001 -2.890907346440814e-001 -1.056858248274374e-001 1.551964002042174e-001 5.286388651507378e-001 -8.046175265987078e-001 1.982836585491242e-001 -1.968695195862506e-001
1.970666666666670e+000 3.557134536738480e-001 9.571797121238964e-001 -2.887277371966855e-001 -9.752960117456144e-002 1.475026524066203e-001 5.307631442660461e-001 -8.074486200469193e-001 1.828348179860206e-001 -1.907940899105320e-001
1.980000000000004e+000 3.660644357173284e-001 9.564206936746160e-001 -2.884027890585003e-001 -8.974047414164407e-002 1.399281696371828e-001 5.325787048894101e-001 -8.101846037020007e-001 1.678416672498991e-001 -1.847748952067471e-001
1.989333333333337e+000 3.764053907857634e-001 9.555615687700961e-001 -2.881161391283810e-001 -8.231717184208244e-002 1.324725074522335e-001 5.341828012546009e-001 -8.129216957514814e-001 1.533033332341194e-001 -1.788233222581783e-001
1.998666666666671e+000 3.867502334931420e-001 9.546053888116940e-001 -2.878680303459783e-001 -7.524577559787544e-002 1.251119918392820e-001 5.356891709052560e-001 -8.157679898246595e-001 1.391893352127602e-001 -1.729382294760066e-001
2.008000000000004e+000 3.971169553688685e-001 9.535540819989524e-001 -2.876596981960112e-001 -6.850624629859095e-002 1.177964672612100e-001 5.372224443105349e-001 -8.188328055867884e-001 1.254473820104323e-001 -1.670990460060730e-001
2.017333333333337e+000 4.075287787387084e-001 9.524078818531222e-001 -2.874943641459875e-001 -6.208504293323370e-002 1.104461281851261e-001 5.389113924804694e-001 -8.222158393978124e-001 1.120181824994086e-001 -1.612571500599913e-001
2.026666666666670e+000 4.180146720577561e-001 9.511646636880853e-001 -2.873784021106662e-001 -5.599086578696273e-002 1.029569051547847e-001 5.408753537161679e-001 -8.259896969705980e-001 9.885832088599723e-002 -1.553353371954447e-001
2.036000000000004e+000 4.286088744188059e-001 9.498193661098091e-001 -2.873223947400886e-001 -5.027418835998674e-002 9.521990725258145e-002 5.431994341279490e-001 -8.301711837323724e-001 8.597464730956583e-002 -1.492397473537081e-001
2.045333333333337e+000 4.393488122729071e-001 9.483638239506017e-001 -2.873417773771759e-001 -4.504614684327375e-002 8.715733446490481e-002 5.458980587094731e-001 -8.346819928648719e-001 7.346644255194162e-002 -1.428880108961501e-001
2.054666666666670e+000 4.502704337379734e-001 9.467877865938249e-001 -2.874563284152915e-001 -4.048645356982873e-002 7.877172920258713e-002 5.488734868492475e-001 -8.393091524317615e-001 6.156131998121368e-002 -1.362533757301571e-001
2.064000000000003e+000 4.614004960141925e-001 9.450821047384644e-001 -2.876874536228724e-001 -3.682180628612072e-002 7.019363632879583e-002 5.518880154827828e-001 -8.436894528272624e-001 5.061469141385468e-002 -1.294144548351068e-001
2.073333333333336e+000 4.727475749273206e-001 9.432443551091118e-001 -2.880527737536138e-001 -3.425448444017294e-002 6.169282394317022e-002 5.545835250172699e-001 -8.473550706905840e-001 4.102985138881053e-002 -1.225829002736079e-001
2.082666666666670e+000 4.842965589335406e-001 9.412855488529841e-001 -2.885587538931204e-001 -3.285549904217098e-002 5.361090716955830e-002 5.565763490646510e-001 -8.498638583880095e-001 3.309064204981287e-002 -1.160657945049413e-001
2.092000000000003e+000 4.960128162693580e-001 9.392339859077520e-001 -2.891950241712674e-001 -3.248338288445815e-002 4.621958911798108e-002 5.576025250063407e-001 -8.509684174008528e-001 2.678073180137311e-002 -1.101509389802585e-001
2.101333333333336e+000 5.078567464635784e-001 9.371326770669261e-001 -2.899342561228034e-001 -3.280169978215916e-002 3.958327034643938e-002 5.576278589901491e-001 -8.507160104778921e-001 2.172235004849156e-002 -1.049683359423245e-001
2.110666666666669e+000 5.198002053721180e-001 9.350316094497954e-001 -2.907377541745667e-001 -3.339574218249752e-002 3.351692679075669e-002 5.568526382800582e-001 -8.494130876008371e-001 1.729018241078554e-002 -1.004142115638140e-001
