---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.FileName = "RMEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.pz
 8.500000000000000e-001  -1.861360782152152e+000  -3.013010903346678e-001   4.105626548711572e-001
 8.521787709497206e-001  -1.850654105947522e+000  -3.011857684988846e-001   4.101058781973850e-001
 8.543575418994412e-001  -1.839967598486283e+000  -3.011569749714881e-001   4.099255274584063e-001
 8.565363128491619e-001  -1.829284322393694e+000  -3.012127669953622e-001   4.100227584451395e-001
 8.587150837988825e-001  -1.818586580232387e+000  -3.013503344446691e-001   4.103965082160236e-001
 8.608938547486031e-001  -1.807856177115732e+000  -3.015658335781151e-001   4.110433644037497e-001
 8.630726256983238e-001  -1.797074696988573e+000  -3.018545001425611e-001   4.119579526703507e-001
 8.652513966480444e-001  -1.786223651352775e+000  -3.022106252364267e-001   4.131329603073988e-001
 8.674301675977650e-001  -1.775284735164085e+000  -3.026275670485208e-001   4.145592362050659e-001
 8.696089385474857e-001  -1.764239878552731e+000  -3.030980238352325e-001   4.162262112612767e-001
 8.717877094972063e-001  -1.753071242290974e+000  -3.036141691051091e-001   4.181219546246255e-001
 8.739664804469269e-001  -1.741760872647275e+000  -3.041680740274962e-001   4.202332699903143e-001
 8.761452513966476e-001  -1.730290506942934e+000  -3.047520012967842e-001   4.225458600111283e-001
 8.783240223463682e-001  -1.718641444726227e+000  -3.053586580927936e-001   4.250442449938210e-001
 8.805027932960888e-001  -1.706794967235993e+000  -3.059813377751284e-001   4.277118220098231e-001
 8.826815642458095e-001  -1.694732747501106e+000  -3.066139241034651e-001   4.305310692936408e-001
 8.848603351955301e-001  -1.682437339812374e+000  -3.072510364659813e-001   4.334835569429137e-001
 8.870391061452507e-001  -1.669892451182588e+000  -3.078882359811428e-001   4.365501202558775e-001
 8.892178770949714e-001  -1.657082923168151e+000  -3.085220707442570e-001   4.397110425757392e-001
 8.913966480446920e-001  -1.643994942159368e+000  -3.091503410003996e-001   4.429461611928336e-001
 8.935754189944126e-001  -1.630616082984787e+000  -3.097720702278268e-001   4.462351971907385e-001
 8.957541899441333e-001  -1.616935291153607e+000  -3.103873774065699e-001   4.495579798557300e-001
 8.979329608938539e-001  -1.602943162268172e+000  -3.109974995122876e-001   4.528947933756818e-001
 9.001117318435745e-001  -1.588631891854480e+000  -3.116044926931943e-001   4.562266755872770e-001
 9.022905027932952e-001  -1.573995229582699e+000  -3.122110600577134e-001   4.595355461184812e-001
 9.044692737430158e-001  -1.559028674451486e+000  -3.128204011908204e-001   4.628045242183564e-001
 9.066480446927364e-001  -1.543729258553847e+000  -3.134359704198433e-001   4.660179027232228e-001
 9.088268156424570e-001  -1.528095481666242e+000  -3.140613735205760e-001   4.691611559630460e-001
 9.110055865921777e-001  -1.512127373020056e+000  -3.147002478688428e-001   4.722210623294120e-001
 9.131843575418983e-001  -1.495826180717545e+000  -3.153561939540805e-001   4.751855051033824e-001
 9.153631284916189e-001  -1.479194278961315e+000  -3.160327411686473e-001   4.780434509220402e-001
 9.175418994413396e-001  -1.462235039667078e+000  -3.167333030326775e-001   4.807849779553726e-001
 9.197206703910602e-001  -1.444952499414304e+000  -3.174611543265138e-001   4.834011064989957e-001
 9.218994413407808e-001  -1.427351226893779e+000  -3.182193909281220e-001   4.858838196043178e-001
 9.240782122905015e-001  -1.409436089019841e+000  -3.190108403090405e-001   4.882261119510400e-001
 9.262569832402221e-001  -1.391212062174792e+000  -3.198380231338679e-001   4.904218822004387e-001
 9.284357541899427e-001  -1.372684124487330e+000  -3.207030720406763e-001   4.924660134872042e-001
 9.306145251396634e-001  -1.353857131967195e+000  -3.216076305299607e-001   4.943544570476555e-001
 9.327932960893840e-001  -1.334735764152680e+000  -3.225528703708614e-001   4.960841515243807e-001
 9.349720670391046e-001  -1.315324438668232e+000  -3.235394203293046e-001   4.976531503422460e-001
 9.371508379888253e-001  -1.295627186118875e+000  -3.245673663813297e-001   4.990606547574518e-001
 9.393296089385459e-001  -1.275647631084538e+000  -3.256363284659265e-001   5.003068967105010e-001
 9.415083798882665e-001  -1.255388898426183e+000  -3.267454419855382e-001   5.013932442723457e-001
 9.436871508379872e-001  -1.234853667865459e+000  -3.278934382434872e-001   5.023221467235167e-001
 9.458659217877078e-001  -1.214044225856510e+000  -3.290787568715695e-001   5.030970042194053e-001
 9.480446927374284e-001  -1.192962424454197e+000  -3.302996336033795e-001   5.037222136390214e-001
 9.502234636871491e-001  -1.171609618392606e+000  -3.315543226137758e-001   5.042029435010124e-001
 9.524022346368697e-001  -1.149986684994043e+000  -3.328412031864158e-001   5.045449612036866e-001
 9.545810055865903e-001  -1.128093981920913e+000  -3.341589380515809e-001   5.047545093277144e-001
 9.567597765363110e-001  -1.105931528981817e+000  -3.355065240188805e-001   5.048380528350983e-001
 9.589385474860316e-001  -1.083499099554955e+000  -3.368833089355389e-001   5.048021421275504e-001
 9.611173184357522e-001  -1.060796312798497e+000  -3.382890651566786e-001   5.046532181439161e-001
 9.632960893854728e-001  -1.037822795844498e+000  -3.397239264274921e-001   5.043974699600058e-001
 9.654748603351935e-001  -1.014578295914053e+000  -3.411883503308367e-001   5.040407661025124e-001
 9.676536312849141e-001  -9.910629121792385e-001  -3.426830628182277e-001   5.035885398982941e-001
 9.698324022346347e-001  -9.672771651584321e-001  -3.442089485405128e-001   5.030458130632368e-001
 9.720111731843554e-001  -9.432220560057951e-001  -3.457670016405158e-001   5.024171833582861e-001
 9.741899441340760e-001  -9.188991454026055e-001  -3.473582493812836e-001   5.017068107995919e-001
 9.763687150837966e-001  -8.943105397019500e-001  -3.489836661438211e-001   5.009185419418855e-001
 9.785474860335173e-001  -8.694589637860987e-001  -3.506441065981619e-001   5.000559665205399e-001
