---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.FileName = "RMEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMEP.MarkerPositionFile.pz
 9.807262569832379e-001  -8.443478932401933e-001  -3.523401886796784e-001   4.991225698334240e-001
 9.829050279329585e-001  -8.189814706379477e-001  -3.540722672663368e-001   4.981218891702267e-001
 9.850837988826792e-001  -7.933645146569457e-001  -3.558403835150872e-001   4.970576409222027e-001
 9.872625698323998e-001  -7.675022891637523e-001  -3.576442744824670e-001   4.959338972820080e-001
 9.894413407821204e-001  -7.414001737358971e-001  -3.594834733022447e-001   4.947551235129912e-001
 9.916201117318411e-001  -7.150633867542516e-001  -3.613573649976747e-001   4.935262830305952e-001
 9.937988826815617e-001  -6.884966397449600e-001  -3.632652995965882e-001   4.922529034986386e-001
 9.959776536312823e-001  -6.617041114732738e-001  -3.652066258188566e-001   4.909410648675873e-001
 9.981564245810030e-001  -6.346893554104056e-001  -3.671807092332986e-001   4.895975136372804e-001
 1.000335195530724e+000  -6.074554673547754e-001  -3.691868923598095e-001   4.882297189252005e-001
 1.002513966480444e+000  -5.800052232944180e-001  -3.712244676104914e-001   4.868458511481956e-001
 1.004692737430165e+000  -5.523411727878157e-001  -3.732926308624622e-001   4.854549096308672e-001
 1.006871508379886e+000  -5.244657312684724e-001  -3.753904443160361e-001   4.840666742615180e-001
 1.009050279329607e+000  -4.963812308038350e-001  -3.775168036584612e-001   4.826916354885117e-001
 1.011229050279327e+000  -4.680899626331556e-001  -3.796703410094461e-001   4.813410320048850e-001
 1.013407821229048e+000  -4.395941002646479e-001  -3.818492931067724e-001   4.800267452506334e-001
 1.015586592178769e+000  -4.108955030191590e-001  -3.840513955205583e-001   4.787612908788207e-001
 1.017765363128490e+000  -3.819951960277340e-001  -3.862736059462240e-001   4.775579581528552e-001
 1.019944134078210e+000  -3.528931790575882e-001  -3.885120908206871e-001   4.764307840906109e-001
 1.022122905027931e+000  -3.235885425199157e-001  -3.907622518535840e-001   4.753945270181278e-001
 1.024301675977652e+000  -2.940800486411242e-001  -3.930188200894524e-001   4.744646061958738e-001
 1.026480446927373e+000  -2.643669943665390e-001  -3.952761420424328e-001   4.736568282497719e-001
 1.028659217877093e+000  -2.344496996033777e-001  -3.975282909225714e-001   4.729872607899777e-001
 1.030837988826814e+000  -2.043301425539932e-001  -3.997691824967140e-001   4.724720311747113e-001
 1.033016759776535e+000  -1.740120626158495e-001  -4.019926630552648e-001   4.721271276222635e-001
 1.035195530726256e+000  -1.435012983495300e-001  -4.041925611590966e-001   4.719682345770785e-001
 1.037374301675976e+000  -1.128063810157107e-001  -4.063627903242977e-001   4.720104294065312e-001
 1.039553072625697e+000  -8.193842923020206e-002  -4.084973852463361e-001   4.722680815194895e-001
 1.041731843575418e+000  -5.091143999786932e-002  -4.105905314672624e-001   4.727546679419841e-001
 1.043910614525138e+000  -1.974207769179631e-002  -4.126365080053131e-001   4.734826538199418e-001
 1.046089385474859e+000   1.155100281592074e-002  -4.146295960099733e-001   4.744636034972306e-001
 1.048268156424580e+000   4.294737021391043e-002  -4.165639926297678e-001   4.757081041636900e-001
 1.050446927374301e+000   7.442529464695594e-002  -4.184337118854209e-001   4.772258032993621e-001
 1.052625698324021e+000   1.059620940045906e-001  -4.202325573461683e-001   4.790255129024153e-001
 1.054804469273742e+000   1.375342859238929e-001  -4.219540465059509e-001   4.811151301471938e-001
 1.056983240223463e+000   1.691180871555523e-001  -4.235913321144500e-001   4.835017003129309e-001
 1.059162011173184e+000   2.006897821690188e-001  -4.251371687177263e-001   4.861915081330656e-001
 1.061340782122904e+000   2.322261963119620e-001  -4.265837863221250e-001   4.891900150415584e-001
 1.063519553072625e+000   2.637048168901391e-001  -4.279229633948904e-001   4.925018793237123e-001
 1.065698324022346e+000   2.951036532262740e-001  -4.291461423076353e-001   4.961309362658592e-001
 1.067877094972067e+000   3.264010198338299e-001  -4.302445686875202e-001   5.000799655110511e-001
 1.070055865921787e+000   3.575754443197785e-001  -4.312094398308228e-001   5.043506660465015e-001
 1.072234636871508e+000   3.886057529746836e-001  -4.320319547348304e-001   5.089436365189349e-001
 1.074413407821229e+000   4.194714052860348e-001  -4.327033624447873e-001   5.138581789808778e-001
 1.076592178770950e+000   4.501526518110907e-001  -4.332150782382205e-001   5.190923213263309e-001
 1.078770949720670e+000   4.806306427574668e-001  -4.335588081596662e-001   5.246427119890103e-001
 1.080949720670391e+000   5.108876462166357e-001  -4.337268759150600e-001   5.305042345238816e-001
 1.083128491620112e+000   5.409069621909898e-001  -4.337124530808864e-001   5.366699781470510e-001
 1.085307262569833e+000   5.706729573190629e-001  -4.335097756974662e-001   5.431310429088222e-001
 1.087486033519553e+000   6.001711001690715e-001  -4.331145007177940e-001   5.498761908159494e-001
 1.089664804469274e+000   6.293878006619037e-001  -4.325236374320264e-001   5.568920884038481e-001
 1.091843575418995e+000   6.583104600722821e-001  -4.317356856021639e-001   5.641631864142082e-001
 1.094022346368716e+000   6.869275962461170e-001  -4.307507733971777e-001   5.716716717016488e-001
 1.096201117318436e+000   7.152288317583109e-001  -4.295705054407685e-001   5.793978160593000e-001
 1.098379888268157e+000   7.432051008503035e-001  -4.281981113043015e-001   5.873199122995331e-001
 1.100558659217878e+000   7.708488804668786e-001  -4.266385038193128e-001   5.954144181442754e-001
 1.102737430167599e+000   7.981541324424396e-001  -4.248980831208026e-001   6.036563163411991e-001
 1.104916201117319e+000   8.251165601568042e-001  -4.229848606384209e-001   6.120191495345457e-001
 1.107094972067040e+000   8.517337161590268e-001  -4.209083637801357e-001   6.204753370618654e-001
 1.109273743016761e+000   8.780049024529465e-001  -4.186794185918967e-001   6.289964917620315e-001
 1.111452513966482e+000   9.039314575265098e-001  -4.163101976230944e-001   6.375535925772924e-001
 1.113631284916202e+000   9.295167400320958e-001  -4.138139967929356e-001   6.461173702185655e-001
 1.115810055865923e+000   9.547659663332369e-001  -4.112050343879370e-001   6.546585386003477e-001
 1.117988826815644e+000   9.796863938678455e-001  -4.084983958628033e-001   6.631480823896535e-001
 1.120167597765365e+000   1.004287017187695e+000  -4.057097690077609e-001   6.715575237766046e-001
 1.122346368715085e+000   1.028578345735110e+000  -4.028552839468784e-001   6.798590487615785e-001
 1.124525139664806e+000   1.052572365128943e+000  -3.999513660321927e-001   6.880258150404575e-001
 1.126703910614527e+000   1.076282165278838e+000  -3.970145064369757e-001   6.960320735957886e-001
 1.128882681564247e+000   1.099721765257476e+000  -3.940611420049406e-001   7.038532589057689e-001
 1.131061452513968e+000   1.122905977249388e+000  -3.911074597806132e-001   7.114663113620064e-001
 1.133240223463689e+000   1.145850085207473e+000  -3.881692714331317e-001   7.188496507971103e-001
 1.135418994413410e+000   1.168569689308757e+000  -3.852619216465358e-001   7.259832548790134e-001
 1.137597765363130e+000   1.191080462600315e+000  -3.824001019872081e-001   7.328489166163207e-001
 1.139776536312851e+000   1.213397929194282e+000  -3.795978406451497e-001   7.394300692897861e-001
 1.141955307262572e+000   1.235537315806082e+000  -3.768684286984979e-001   7.457118498271631e-001
 1.144134078212293e+000   1.257513307934379e+000  -3.742242981646985e-001   7.516812079143311e-001
 1.146312849162013e+000   1.279339974869803e+000  -3.716770953278658e-001   7.573266432149705e-001
 1.148491620111734e+000   1.301030632839799e+000  -3.692376107361505e-001   7.626382543018072e-001
 1.150670391061455e+000   1.322597689597129e+000  -3.669156959971680e-001   7.676077299461007e-001
 1.152849162011176e+000   1.344052719352263e+000  -3.647203181600275e-001   7.722281099414980e-001
 1.155027932960896e+000   1.365406373068995e+000  -3.626594318802575e-001   7.764938491940384e-001
 1.157206703910617e+000   1.386668346398506e+000  -3.607398753228509e-001   7.804007789680942e-001
 1.159385474860338e+000   1.407847453880290e+000  -3.589674507883426e-001   7.839459202058754e-001
 1.161564245810059e+000   1.428951509635313e+000  -3.573467819180820e-001   7.871275629914720e-001
 1.163743016759779e+000   1.449987332114615e+000  -3.558812945844262e-001   7.899451885062514e-001
 1.165921787709500e+000   1.470960858770089e+000  -3.545733073467098e-001   7.923993156761394e-001
 1.168100558659221e+000   1.491877079392605e+000  -3.534238808520315e-001   7.944915620536719e-001
 1.170279329608942e+000   1.512740111239684e+000  -3.524328694687037e-001   7.962244831169645e-001
 1.172458100558662e+000   1.533553252979530e+000  -3.515990204444691e-001   7.976014226610068e-001
 1.174636871508383e+000   1.554318855499543e+000  -3.509198609266025e-001   7.986264904063578e-001
 1.176815642458104e+000   1.575038358941586e+000  -3.503918196457244e-001   7.993044026601162e-001
 1.178994413407825e+000   1.595712351791504e+000  -3.500103010046565e-001   7.996404264181076e-001
 1.181173184357545e+000   1.616340517017355e+000  -3.497695915311942e-001   7.996404410261750e-001
 1.183351955307266e+000   1.636921794616227e+000  -3.496630262061344e-001   7.993109544939362e-001
 1.185530726256987e+000   1.657454426222392e+000  -3.496830694441229e-001   7.986591480893511e-001
 1.187709497206708e+000   1.677935893678579e+000  -3.498213462410004e-001   7.976930666504337e-001
 1.189888268156428e+000   1.698362975469188e+000  -3.500689064625678e-001   7.964216035565176e-001
 1.192067039106149e+000   1.718731728390352e+000  -3.504163504002099e-001   7.948545366072665e-001
 1.194245810055870e+000   1.739037405658228e+000  -3.508540384992523e-001   7.930026193638872e-001
 1.196424581005591e+000   1.759274579600872e+000  -3.513723401676123e-001   7.908773945365006e-001
 1.198603351955311e+000   1.779437147208501e+000  -3.519617907278845e-001   7.884911492842410e-001
 1.200782122905032e+000   1.799518357354301e+000  -3.526133562342732e-001   7.858567912575655e-001
 1.202960893854753e+000   1.819510992889803e+000  -3.533185332528862e-001   7.829876176700673e-001
 1.205139664804473e+000   1.839407454788602e+000  -3.540694870228983e-001   7.798972168512787e-001
 1.207318435754194e+000   1.859200030557536e+000  -3.548591764710652e-001   7.765993156174705e-001
 1.209497206703915e+000   1.878881182918688e+000  -3.556812598901770e-001   7.731077143082424e-001
 1.211675977653636e+000   1.898443837984246e+000  -3.565301357679385e-001   7.694362674015736e-001
 1.213854748603356e+000   1.917881815133707e+000  -3.574008706749596e-001   7.655989239431693e-001
 1.216033519553077e+000   1.937189958430771e+000  -3.582890659026342e-001   7.616097753558034e-001
 1.218212290502798e+000   1.956364467123593e+000  -3.591908415270916e-001   7.574831421229959e-001
 1.220391061452519e+000   1.975403054722869e+000  -3.601027239995346e-001   7.532336842319829e-001
 1.222569832402239e+000   1.994304862785667e+000  -3.610215478686852e-001   7.488764356274137e-001
 1.224748603351960e+000   2.013070662150764e+000  -3.619444152205366e-001   7.444269239044511e-001
 1.226927374301681e+000   2.031702719591538e+000  -3.628685988749878e-001   7.399011911135196e-001
 1.229106145251402e+000   2.050204626671940e+000  -3.637914868098562e-001   7.353157438313724e-001
 1.231284916201122e+000   2.068581347317404e+000  -3.647105383754192e-001   7.306875610159607e-001
 1.233463687150843e+000   2.086838960874690e+000  -3.656232307288650e-001   7.260339034122423e-001
 1.235642458100564e+000   2.104984529432967e+000  -3.665270386004459e-001   7.213721652524743e-001
 1.237821229050285e+000   2.123026101863196e+000  -3.674194132594597e-001   7.167196354526562e-001
 1.240000000000005e+000   2.140972576219684e+000  -3.682977956269311e-001   7.120931889767357e-001
