---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.FileName = "LLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.pz
 1.015586592178769e+000   2.966726930385725e-001  -1.686709432777167e-001   3.105251445210699e-001
 1.017765363128490e+000   3.066810376019072e-001  -1.675526336580074e-001   3.023919880385086e-001
 1.019944134078210e+000   3.162399651073312e-001  -1.663838822521783e-001   2.941230426068946e-001
 1.022122905027931e+000   3.253566404895950e-001  -1.651760713255905e-001   2.857366635617106e-001
 1.024301675977652e+000   3.340374619933350e-001  -1.639407678026821e-001   2.772522264811695e-001
 1.026480446927373e+000   3.422887240236314e-001  -1.626894505717332e-001   2.686899147619587e-001
 1.028659217877093e+000   3.501169577951193e-001  -1.614333682806505e-001   2.600706561464932e-001
 1.030837988826814e+000   3.575293669435142e-001  -1.601833720969574e-001   2.514160071638472e-001
 1.033016759776535e+000   3.645335104371612e-001  -1.589500140450581e-001   2.427479969283658e-001
 1.035195530726256e+000   3.711370341375634e-001  -1.577435919874945e-001   2.340891096920873e-001
 1.037374301675976e+000   3.773469371763210e-001  -1.565742789683109e-001   2.254623070103063e-001
 1.039553072625697e+000   3.831693503919183e-001  -1.554521615390193e-001   2.168909412162805e-001
 1.041731843575418e+000   3.886092926346058e-001  -1.543872325646101e-001   2.083987495971170e-001
 1.043910614525138e+000   3.936707118397008e-001  -1.533893140988944e-001   2.000097776278495e-001
 1.046089385474859e+000   3.983567451433167e-001  -1.524680400620880e-001   1.917483312597874e-001
 1.048268156424580e+000   4.026698109153002e-001  -1.516328061944886e-001   1.836390020765505e-001
 1.050446927374301e+000   4.066119236109198e-001  -1.508927504803234e-001   1.757067155321630e-001
 1.052625698324021e+000   4.101849837132768e-001  -1.502567346259714e-001   1.679767032689656e-001
 1.054804469273742e+000   4.133910907579534e-001  -1.497332417980534e-001   1.604745252477240e-001
 1.056983240223463e+000   4.162330653566621e-001  -1.493301967770908e-001   1.532259403192905e-001
 1.059162011173184e+000   4.187147985681744e-001  -1.490548335876007e-001   1.462567630235304e-001
 1.061340782122904e+000   4.208419886663924e-001  -1.489133374363808e-001   1.395926635060323e-001
 1.063519553072625e+000   4.226229002283973e-001  -1.489105061035719e-001   1.332588353982457e-001
 1.065698324022346e+000   4.240688138092760e-001  -1.490495540723825e-001   1.272797657323768e-001
 1.067877094972067e+000   4.251953572234372e-001  -1.493314773499725e-001   1.216787121422381e-001
 1.070055865921787e+000   4.260231279075190e-001  -1.497548120787021e-001   1.164772673147675e-001
 1.072234636871508e+000   4.265779950285574e-001  -1.503155380368514e-001   1.116950675294105e-001
 1.074413407821229e+000   4.268922363603669e-001  -1.510066232827265e-001   1.073489906451122e-001
 1.076592178770950e+000   4.270033505350388e-001  -1.518185886883278e-001   1.034529982031816e-001
 1.078770949720670e+000   4.269533200527999e-001  -1.527397158773551e-001   1.000179057307668e-001
 1.080949720670391e+000   4.267871221073228e-001  -1.537562271879928e-001   9.705075833478877e-002
 1.083128491620112e+000   4.265502952362095e-001  -1.548526146833475e-001   9.455517554656663e-002
 1.085307262569833e+000   4.262875915525458e-001  -1.560116224763484e-001   9.253124403235176e-002
 1.087486033519553e+000   4.260409214121310e-001  -1.572141001632189e-001   9.097534574503133e-002
 1.089664804469274e+000   4.258490916872142e-001  -1.584395291258779e-001   8.988084740054998e-002
 1.091843575418995e+000   4.257474300871136e-001  -1.596662863798094e-001   8.923816194778585e-002
 1.094022346368716e+000   4.257681184341419e-001  -1.608724694650584e-001   8.903506285467351e-002
 1.096201117318436e+000   4.259411787562492e-001  -1.620365915930536e-001   8.925728983719482e-002
 1.098379888268157e+000   4.262948463907519e-001  -1.631381895144611e-001   8.988863643189632e-002
 1.100558659217878e+000   4.268561515696756e-001  -1.641585552265470e-001   9.091120252493552e-002
 1.102737430167599e+000   4.276512066914308e-001  -1.650808734614564e-001   9.230573390979030e-002
 1.104916201117319e+000   4.287052072411383e-001  -1.658907102181789e-001   9.405164639450102e-002
 1.107094972067040e+000   4.300423474615799e-001  -1.665762352888081e-001   9.612727371961377e-002
 1.109273743016761e+000   4.316858329563363e-001  -1.671280290772888e-001   9.851015364007412e-002
 1.111452513966482e+000   4.336576677559365e-001  -1.675393804637637e-001   1.011771776637115e-001
 1.113631284916202e+000   4.359786427438249e-001  -1.678060554267313e-001   1.041049874319990e-001
 1.115810055865923e+000   4.386684128087889e-001  -1.679259920456788e-001   1.072702269206875e-001
 1.117988826815644e+000   4.417453435471879e-001  -1.678993822723676e-001   1.106498685346207e-001
 1.120167597765365e+000   4.452265454452316e-001  -1.677282804824720e-001   1.142215277151529e-001
 1.122346368715085e+000   4.491278732878801e-001  -1.674163521971187e-001   1.179636101789565e-001
 1.124525139664806e+000   4.534636375804474e-001  -1.669688270517052e-001   1.218556724188141e-001
 1.126703910614527e+000   4.582465544473979e-001  -1.663920740233150e-001   1.258785559468769e-001
 1.128882681564247e+000   4.634876568082364e-001  -1.656933943323629e-001   1.300144996453108e-001
 1.131061452513968e+000   4.691958626627207e-001  -1.648808328134834e-001   1.342475460260169e-001
 1.133240223463689e+000   4.753779433508552e-001  -1.639628766947611e-001   1.385635796264521e-001
 1.135418994413410e+000   4.820383411641048e-001  -1.629483438018028e-001   1.429504837834715e-001
 1.137597765363130e+000   4.891786217064384e-001  -1.618462809396314e-001   1.473986023748868e-001
 1.139776536312851e+000   4.967976313953670e-001  -1.606659123641050e-001   1.519006635832146e-001
 1.141955307262572e+000   5.048913434961794e-001  -1.594166472566236e-001   1.564519971130307e-001
 1.144134078212293e+000   5.134526914619471e-001  -1.581081432948062e-001   1.610509430763266e-001
 1.146312849162013e+000   5.224721945113687e-001  -1.567503203528513e-001   1.656985362641046e-001
 1.148491620111734e+000   5.319380797052377e-001  -1.553534053499208e-001   1.703986438774409e-001
 1.150670391061455e+000   5.418367637774018e-001  -1.539279701062636e-001   1.751578609389754e-001
 1.152849162011176e+000   5.521534894861802e-001  -1.524848898545401e-001   1.799848577832319e-001
 1.155027932960896e+000   5.628726093552858e-001  -1.510353627174401e-001   1.848902036409702e-001
 1.157206703910617e+000   5.739780592637025e-001  -1.495908919212048e-001   1.898857619295393e-001
 1.159385474860338e+000   5.854536351934585e-001  -1.481632214717288e-001   1.949841484089763e-001
 1.161564245810059e+000   5.972831965255305e-001  -1.467643190749555e-001   2.001983921705205e-001
 1.163743016759779e+000   6.094508377481855e-001  -1.454062802983863e-001   2.055414754597137e-001
 1.165921787709500e+000   6.219409292558155e-001  -1.441012402965402e-001   2.110261521698830e-001
 1.168100558659221e+000   6.347382155004717e-001  -1.428612763047456e-001   2.166647330556062e-001
 1.170279329608942e+000   6.478278964702738e-001  -1.416982691737213e-001   2.224690105386537e-001
 1.172458100558662e+000   6.611957037009392e-001  -1.406238313951289e-001   2.284502752266548e-001
 1.174636871508383e+000   6.748281560021905e-001  -1.396491507253522e-001   2.346192401654727e-001
 1.176815642458104e+000   6.887128558575502e-001  -1.387848736295989e-001   2.409860463360020e-001
 1.178994413407825e+000   7.028386961051892e-001  -1.380410355686655e-001   2.475602259830772e-001
 1.181173184357545e+000   7.171964643429697e-001  -1.374268276740870e-001   2.543504836624035e-001
 1.183351955307266e+000   7.317790968504291e-001  -1.369505095609508e-001   2.613645113227602e-001
 1.185530726256987e+000   7.465818391448293e-001  -1.366193346610738e-001   2.686088217654586e-001
 1.187709497206708e+000   7.616027741481896e-001  -1.364392866301413e-001   2.760882638767112e-001
 1.189888268156428e+000   7.768425172791524e-001  -1.364151322470583e-001   2.838059158414638e-001
 1.192067039106149e+000   7.923041492042854e-001  -1.365503767126753e-001   2.917629172410314e-001
 1.194245810055870e+000   8.079931360816621e-001  -1.368471187433836e-001   2.999580847114895e-001
 1.196424581005591e+000   8.239166115364144e-001  -1.373062389359841e-001   3.083881483282722e-001
 1.198603351955311e+000   8.400831024101214e-001  -1.379273805076569e-001   3.170476829671811e-001
 1.200782122905032e+000   8.565020356919338e-001  -1.387089205214058e-001   3.259290483574635e-001
 1.202960893854753e+000   8.731832998046153e-001  -1.396481812329354e-001   3.350227596375028e-001
 1.205139664804473e+000   8.901370436494261e-001  -1.407414173801719e-001   3.443174562248065e-001
 1.207318435754194e+000   9.073734660270755e-001  -1.419838695497183e-001   3.537999377752789e-001
 1.209497206703915e+000   9.249027197491313e-001  -1.433699521883072e-001   3.634554414433163e-001
 1.211675977653636e+000   9.427348315134059e-001  -1.448932516913761e-001   3.732675741497583e-001
 1.213854748603356e+000   9.608796005243520e-001  -1.465466284775774e-001   3.832184311524682e-001
 1.216033519553077e+000   9.793465565002618e-001  -1.483223932654676e-001   3.932888997742298e-001
 1.218212290502798e+000   9.981448632809679e-001  -1.502123717676414e-001   4.034587112932679e-001
 1.220391061452519e+000   1.017283268337653e+000  -1.522081361244739e-001   4.137067743222717e-001
 1.222569832402239e+000   1.036770125026727e+000  -1.543011594732268e-001   4.240114491740801e-001
 1.224748603351960e+000   1.056613327083531e+000  -1.564829594606005e-001   4.343507379464138e-001
 1.226927374301681e+000   1.076820241781404e+000  -1.587451829314163e-001   4.447025923975678e-001
 1.229106145251402e+000   1.097397673042425e+000  -1.610796009673597e-001   4.550450710171177e-001
 1.231284916201122e+000   1.118351684163966e+000  -1.634781036637269e-001   4.653565567153469e-001
 1.233463687150843e+000   1.139687653746073e+000  -1.659326588876310e-001   4.756158906105081e-001
 1.235642458100564e+000   1.161410355246488e+000  -1.684353029129575e-001   4.858024227133664e-001
 1.237821229050285e+000   1.183524001958945e+000  -1.709781526626119e-001   4.958961667699645e-001
 1.240000000000005e+000   1.206032428907328e+000  -1.735534196836899e-001   5.058778165701816e-001
