---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.FileName = "LLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLME.MarkerPositionFile.pz
 8.500000000000000e-001  -1.770278386304007e+000  -1.604623716225963e-001   5.259285735724731e-001
 8.521787709497206e-001  -1.738268586397014e+000  -1.602436730937158e-001   5.202160282608468e-001
 8.543575418994412e-001  -1.706052125530608e+000  -1.600597291902080e-001   5.147179680172510e-001
 8.565363128491619e-001  -1.673635483011931e+000  -1.599068051233665e-001   5.094431802358396e-001
 8.587150837988825e-001  -1.641024546056614e+000  -1.597807136815047e-001   5.043989050393409e-001
 8.608938547486031e-001  -1.608224738365307e+000  -1.596769540299206e-001   4.995908241063639e-001
 8.630726256983238e-001  -1.575241276962826e+000  -1.595909241759965e-001   4.950233725838978e-001
 8.652513966480444e-001  -1.542079333562709e+000  -1.595180506762634e-001   4.906997807195713e-001
 8.674301675977650e-001  -1.508744373990523e+000  -1.594540255830514e-001   4.866221340544211e-001
 8.696089385474857e-001  -1.475242341646387e+000  -1.593949334904181e-001   4.827915785070443e-001
 8.717877094972063e-001  -1.441579842894528e+000  -1.593374001596620e-001   4.792083004768662e-001
 8.739664804469269e-001  -1.407764297932058e+000  -1.592787666049702e-001   4.758715018227941e-001
 8.761452513966476e-001  -1.373803888826248e+000  -1.592170666124941e-001   4.727794670631983e-001
 8.783240223463682e-001  -1.339707667704918e+000  -1.591511293430037e-001   4.699294232701571e-001
 8.805027932960888e-001  -1.305485658385583e+000  -1.590805793565582e-001   4.673173967984153e-001
 8.826815642458095e-001  -1.271148840450449e+000  -1.590057111625084e-001   4.649382522816364e-001
 8.848603351955301e-001  -1.236709348095810e+000  -1.589275006669670e-001   4.627854801991091e-001
 8.870391061452507e-001  -1.202180548417909e+000  -1.588474793437260e-001   4.608511668432235e-001
 8.892178770949714e-001  -1.167576954639757e+000  -1.587676167762988e-001   4.591261236860116e-001
 8.913966480446920e-001  -1.132914367801421e+000  -1.586902836733423e-001   4.575997679718421e-001
 8.935754189944126e-001  -1.098209748868844e+000  -1.586181292067149e-001   4.562603173879006e-001
 8.957541899441333e-001  -1.063481097831579e+000  -1.585540090284328e-001   4.550949748060558e-001
 8.979329608938539e-001  -1.028747514515161e+000  -1.585009379842324e-001   4.540899778324136e-001
 9.001117318435745e-001  -9.940290411060166e-001  -1.584620111473267e-001   4.532309161072901e-001
 9.022905027932952e-001  -9.593465902802104e-001  -1.584403571126686e-001   4.525029220785738e-001
 9.044692737430158e-001  -9.247220096766002e-001  -1.584390687552483e-001   4.518908949065564e-001
 9.066480446927364e-001  -8.901779668732334e-001  -1.584611250792422e-001   4.513797992017979e-001
 9.088268156424570e-001  -8.557379045804276e-001  -1.585093467256552e-001   4.509548194206836e-001
 9.110055865921777e-001  -8.214260396645947e-001  -1.585863089479689e-001   4.506016191791753e-001
 9.131843575418983e-001  -7.872671710985593e-001  -1.586943319617316e-001   4.503064242455259e-001
 9.153631284916189e-001  -7.532866154256047e-001  -1.588354493260009e-001   4.500561074177166e-001
 9.175418994413396e-001  -7.195101206518083e-001  -1.590113262483510e-001   4.498383452061620e-001
 9.197206703910602e-001  -6.859636258815302e-001  -1.592232293114201e-001   4.496415673537464e-001
 9.218994413407808e-001  -6.526731307747622e-001  -1.594719594852233e-001   4.494549987037169e-001
 9.240782122905015e-001  -6.196644911072780e-001  -1.597577649235378e-001   4.492686460119522e-001
 9.262569832402221e-001  -5.869634282039031e-001  -1.600804443804498e-001   4.490730528023730e-001
 9.284357541899427e-001  -5.545955279878307e-001  -1.604393645245284e-001   4.488591888078800e-001
 9.306145251396634e-001  -5.225862684155668e-001  -1.608335699277448e-001   4.486181855080436e-001
 9.327932960893840e-001  -4.909610008034933e-001  -1.612618816227610e-001   4.483411522791372e-001
 9.349720670391046e-001  -4.597448909988646e-001  -1.617229266633725e-001   4.480190211058864e-001
 9.371508379888253e-001  -4.289627881148416e-001  -1.622151571782017e-001   4.476423704294399e-001
 9.393296089385459e-001  -3.986391156386266e-001  -1.627368623540003e-001   4.472013849454230e-001
 9.415083798882665e-001  -3.687976445468116e-001  -1.632861396292992e-001   4.466857402895063e-001
 9.436871508379872e-001  -3.394612211290290e-001  -1.638608816123928e-001   4.460845792677933e-001
 9.458659217877078e-001  -3.106516486136959e-001  -1.644587793935571e-001   4.453865572144311e-001
 9.480446927374284e-001  -2.823892959980632e-001  -1.650772793257313e-001   4.445797954184277e-001
 9.502234636871491e-001  -2.546928622381047e-001  -1.657135791237390e-001   4.436519572602890e-001
 9.524022346368697e-001  -2.275793170972400e-001  -1.663646389930527e-001   4.425903213111354e-001
 9.545810055865903e-001  -2.010634623491524e-001  -1.670271489863163e-001   4.413818118210022e-001
 9.567597765363110e-001  -1.751579329882776e-001  -1.676975458753888e-001   4.400131479405792e-001
 9.589385474860316e-001  -1.498732013303599e-001  -1.683720130124830e-001   4.384709339668181e-001
 9.611173184357522e-001  -1.252172214099026e-001  -1.690464261386616e-001   4.367417889017000e-001
 9.632960893854728e-001  -1.011956713182707e-001  -1.697163395196576e-001   4.348124870235892e-001
 9.654748603351935e-001  -7.781199949558534e-002  -1.703769542222446e-001   4.326700496064698e-001
 9.676536312849141e-001  -5.506727518334800e-002  -1.710230108253196e-001   4.303019370863105e-001
 9.698324022346347e-001  -3.296060776713199e-002  -1.716487862472229e-001   4.276961662791447e-001
 9.720111731843554e-001  -1.148922701009740e-002  -1.722480556603511e-001   4.248414450975167e-001
 9.741899441340760e-001   9.351440620252432e-003  -1.728140212387375e-001   4.217274671604891e-001
 9.763687150837966e-001   2.956733642774261e-002  -1.733394075746956e-001   4.183449895397562e-001
 9.785474860335173e-001   4.916565948887831e-002  -1.738164806985210e-001   4.146860307051464e-001
 9.807262569832379e-001   6.815463366871122e-002  -1.742371565740544e-001   4.107441816801919e-001
 9.829050279329585e-001   8.654326624327660e-002  -1.745932320400360e-001   4.065145406098599e-001
 9.850837988826792e-001   1.043413279778939e-001  -1.748765640949397e-001   4.019939083528734e-001
 9.872625698323998e-001   1.215593437991350e-001  -1.750794374998073e-001   3.971808941232399e-001
 9.894413407821204e-001   1.382081570367811e-001  -1.751946940535444e-001   3.920757641766990e-001
 9.916201117318411e-001   1.542985020313315e-001  -1.752159412043211e-001   3.866806597407835e-001
 9.937988826815617e-001   1.698399814697973e-001  -1.751376868038131e-001   3.809997328943982e-001
 9.959776536312823e-001   1.848409423743271e-001  -1.749554161621854e-001   3.750389538886476e-001
 9.981564245810030e-001   1.993082510381852e-001  -1.746659226927603e-001   3.688062764730875e-001
 1.000335195530724e+000   2.132480394250054e-001  -1.742676268367954e-001   3.623113057663938e-001
 1.002513966480444e+000   2.266662963477652e-001  -1.737605873136315e-001   3.555649350252111e-001
 1.004692737430165e+000   2.395695882845527e-001  -1.731468475186404e-001   3.485791731310031e-001
 1.006871508379886e+000   2.519657093870129e-001  -1.724303147917208e-001   3.413667306808157e-001
 1.009050279329607e+000   2.638636950023059e-001  -1.716165704246331e-001   3.339408830221956e-001
 1.011229050279327e+000   2.752738428894650e-001  -1.707128996924754e-001   3.263154879641247e-001
 1.013407821229048e+000   2.862067294514391e-001  -1.697278375533352e-001   3.185051185013688e-001
