---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.FileName = "LTROC.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
 8.913966480446920e-001  -1.399747097830247e+000  -6.570430264358319e-002   9.092509159562039e-001
 8.935754189944126e-001  -1.379423091335366e+000  -6.581923577286888e-002   9.109693439629198e-001
 8.957541899441333e-001  -1.359104089357489e+000  -6.599790375289108e-002   9.125311240277428e-001
 8.979329608938539e-001  -1.338786557640108e+000  -6.623939526820474e-002   9.139344942079577e-001
 9.001117318435745e-001  -1.318468819026146e+000  -6.654274495285739e-002   9.151793931200486e-001
 9.022905027932952e-001  -1.298150976370377e+000  -6.690694293119617e-002   9.162672638002918e-001
 9.044692737430158e-001  -1.277835200008936e+000  -6.733098507787159e-002   9.172010256257436e-001
 9.066480446927364e-001  -1.257525561058418e+000  -6.781396058217849e-002   9.179847137578673e-001
 9.088268156424570e-001  -1.237227904380456e+000  -6.835507407182258e-002   9.186233252970476e-001
 9.110055865921777e-001  -1.216949683043047e+000  -6.895364816127121e-002   9.191226862665687e-001
 9.131843575418983e-001  -1.196699293356782e+000  -6.960905750994816e-002   9.194891679422346e-001
 9.153631284916189e-001  -1.176485786843510e+000  -7.032070433303958e-002   9.197295816418402e-001
 9.175418994413396e-001  -1.156318472125383e+000  -7.108800254264330e-002   9.198510564376597e-001
 9.197206703910602e-001  -1.136206483489235e+000  -7.191034120345288e-002   9.198609015524818e-001
 9.218994413407808e-001  -1.116158445802385e+000  -7.278704290445001e-002   9.197665475818054e-001
 9.240782122905015e-001  -1.096181816386878e+000  -7.371724946331802e-002   9.195754666621000e-001
 9.262569832402221e-001  -1.076282836250696e+000  -7.469993608299168e-002   9.192951702803155e-001
 9.284357541899427e-001  -1.056466379324498e+000  -7.573391858274706e-002   9.189332326724751e-001
 9.306145251396634e-001  -1.036736143125886e+000  -7.681796747273849e-002   9.184973863481848e-001
 9.327932960893840e-001  -1.017094883292623e+000  -7.795084826042967e-002   9.179955452837889e-001
 9.349720670391046e-001  -9.975443873811764e-001  -7.913133410307220e-002   9.174358476437616e-001
 9.371508379888253e-001  -9.780853569675356e-001  -8.035812608525285e-002   9.168266207964767e-001
 9.393296089385459e-001  -9.587174369247492e-001  -8.162978851125934e-002   9.161763020160940e-001
 9.415083798882665e-001  -9.394390214540468e-001  -8.294464826382594e-002   9.154933689482169e-001
 9.436871508379872e-001  -9.202473136403856e-001  -8.430070023064577e-002   9.147861939754669e-001
 9.458659217877078e-001  -9.011385212264862e-001  -8.569559520003112e-002   9.140629553834841e-001
 9.480446927374284e-001  -8.821078958259987e-001  -8.712655769656111e-002   9.133314821246048e-001
 9.502234636871491e-001  -8.631500189422795e-001  -8.859040560645290e-002   9.125991190971345e-001
 9.524022346368697e-001  -8.442589597289844e-001  -9.008358538739944e-002   9.118726745664113e-001
 9.545810055865903e-001  -8.254283658593867e-001  -9.160214887225562e-002   9.111582385016500e-001
 9.567597765363110e-001  -8.066516355511112e-001  -9.314182982080438e-002   9.104611541115030e-001
 9.589385474860316e-001  -7.879220159606323e-001  -9.469809281127294e-002   9.097860072500692e-001
 9.611173184357522e-001  -7.692327353436471e-001  -9.626617096603730e-002   9.091364867079498e-001
 9.632960893854728e-001  -7.505771516408004e-001  -9.784116729972400e-002   9.085154517938852e-001
 9.654748603351935e-001  -7.319488403118546e-001  -9.941810186696139e-002   9.079249358204472e-001
 9.676536312849141e-001  -7.133417639016865e-001  -1.009919747891789e-001   9.073660651305626e-001
 9.698324022346347e-001  -6.947503459584654e-001  -1.025578139219628e-001   9.068392012227247e-001
 9.720111731843554e-001  -6.761695534674318e-001  -1.041107028314889e-001   9.063439628562171e-001
 9.741899441340760e-001  -6.575950525907645e-001  -1.056458250885227e-001   9.058792483637623e-001
 9.763687150837966e-001  -6.390231654893103e-001  -1.071584745481631e-001   9.054434137521991e-001
 9.785474860335173e-001  -6.204509174330565e-001  -1.086440739895184e-001   9.050343244838955e-001
 9.807262569832379e-001  -6.018760606869775e-001  -1.100981941695598e-001   9.046494766344678e-001
 9.829050279329585e-001  -5.832969425831506e-001  -1.115165433698696e-001   9.042861630420340e-001
 9.850837988826792e-001  -5.647125005500741e-001  -1.128949873935085e-001   9.039415658622504e-001
 9.872625698323998e-001  -5.461221753704527e-001  -1.142295883349377e-001   9.036129182460059e-001
 9.894413407821204e-001  -5.275257722774361e-001  -1.155166222531346e-001   9.032975871801435e-001
 9.916201117318411e-001  -5.089234097978238e-001  -1.167526432040119e-001   9.029931640896540e-001
 9.937988826815617e-001  -4.903153940636751e-001  -1.179345550906687e-001   9.026975210486262e-001
 9.959776536312823e-001  -4.717021326606827e-001  -1.190596275859830e-001   9.024087821460027e-001
 9.981564245810030e-001  -4.530840738628847e-001  -1.201255982055895e-001   9.021253389051176e-001
 1.000335195530724e+000  -4.344616480968052e-001  -1.211307463178255e-001   9.018457992540774e-001
 1.002513966480444e+000  -4.158352415140879e-001  -1.220738905378738e-001   9.015689369947386e-001
 1.004692737430165e+000  -3.972051532903110e-001  -1.229544989457224e-001   9.012936611869870e-001
 1.006871508379886e+000  -3.785715264401540e-001  -1.237726335308292e-001   9.010189038132860e-001
 1.009050279329607e+000  -3.599343058940527e-001  -1.245288745502520e-001   9.007435306434451e-001
 1.011229050279327e+000  -3.412931357757787e-001  -1.252243029499917e-001   9.004661834930400e-001
 1.013407821229048e+000  -3.226473543034205e-001  -1.258603491835154e-001   9.001851324174520e-001
 1.015586592178769e+000  -3.039960202866388e-001  -1.264387177957088e-001   8.998982002237319e-001
 1.017765363128490e+000  -2.853379455938536e-001  -1.269613200030371e-001   8.996025814602772e-001
 1.019944134078210e+000  -2.666718352810517e-001  -1.274301751333610e-001   8.992948364959110e-001
 1.022122905027931e+000  -2.479963603846058e-001  -1.278473677622485e-001   8.989708694666134e-001
 1.024301675977652e+000  -2.293102737554993e-001  -1.282149943720990e-001   8.986258483288940e-001
 1.026480446927373e+000  -2.106124700764085e-001  -1.285351360543756e-001   8.982543313708745e-001
 1.028659217877093e+000  -1.919020303045250e-001  -1.288098508891397e-001   8.978502969516291e-001
 1.030837988826814e+000  -1.731782922186454e-001  -1.290411853108388e-001   8.974072057934290e-001
 1.033016759776535e+000  -1.544408575162766e-001  -1.292312102992837e-001   8.969181775438661e-001
 1.035195530726256e+000  -1.356896341709837e-001  -1.293820536465582e-001   8.963760690242625e-001
 1.037374301675976e+000  -1.169248995551635e-001  -1.294959640695883e-001   8.957736367595133e-001
 1.039553072625697e+000  -9.814728735563444e-002  -1.295753398119275e-001   8.951036847807089e-001
 1.041731843575418e+000  -7.935784137982403e-002  -1.296227763194418e-001   8.943591908730485e-001
 1.043910614525138e+000  -6.055806487411608e-002  -1.296411174976704e-001   8.935335033834397e-001
 1.046089385474859e+000  -4.174989262186060e-002  -1.296334449697796e-001   8.926204287789362e-001
 1.048268156424580e+000  -2.293575343137486e-002  -1.296031129944432e-001   8.916144092892082e-001
 1.050446927374301e+000  -4.118578881658844e-003  -1.295537410449926e-001   8.905107104480131e-001
 1.052625698324021e+000   1.469825532012878e-002  -1.294891723824473e-001   8.893054610461000e-001
 1.054804469273742e+000   3.351089899541757e-002  -1.294134755071882e-001   8.879958927001850e-001
 1.056983240223463e+000   5.231510300794877e-002  -1.293308873064531e-001   8.865804740327099e-001
 1.059162011173184e+000   7.110630783303869e-002  -1.292457619774917e-001   8.850589166961561e-001
 1.061340782122904e+000   8.987969647930133e-002  -1.291625297139482e-001   8.834324673380142e-001
 1.063519553072625e+000   1.086303570627728e-001  -1.290856222143561e-001   8.817039677075788e-001
 1.065698324022346e+000   1.273533923147209e-001  -1.290194353681226e-001   8.798778558110691e-001
 1.067877094972067e+000   1.460440950298411e-001  -1.289682724035821e-001   8.779604979533056e-001
