---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.FileName = "lfbk.txt"
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Search = 
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.px
col2  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.py
col3  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.px  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.py  Main.MarkerModel.Markers2.lfbk.MarkerPositionFile.pz
 8.801719197707731e-001  -1.385306440417848e+000  -2.283261420265772e-001   4.653143966881363e-001
 8.812893982808018e-001  -1.368017382698405e+000  -2.280898034405001e-001   4.620099894504822e-001
 8.824068767908304e-001  -1.350710489180028e+000  -2.278036190840045e-001   4.588334678533605e-001
 8.835243553008590e-001  -1.333476970665241e+000  -2.274409733777758e-001   4.558051551429429e-001
 8.846418338108877e-001  -1.316462841265076e+000  -2.269540877878034e-001   4.529627370147853e-001
 8.857593123209163e-001  -1.299820520501162e+000  -2.262907796941931e-001   4.503486536753547e-001
 8.868767908309450e-001  -1.283612253489940e+000  -2.254286715339713e-001   4.479828873584431e-001
 8.879942693409736e-001  -1.267726408161227e+000  -2.244051007015149e-001   4.458382731061061e-001
 8.891117478510022e-001  -1.251881614845733e+000  -2.233160101356804e-001   4.438395848751187e-001
 8.902292263610309e-001  -1.235738398198554e+000  -2.222769566094510e-001   4.418924223069243e-001
 8.913467048710595e-001  -1.219049801587554e+000  -2.213710131072879e-001   4.399236236528846e-001
 8.924641833810881e-001  -1.201756361398334e+000  -2.206175940064500e-001   4.379076608519527e-001
 8.935816618911168e-001  -1.183976520763878e+000  -2.199789055094090e-001   4.358656420747100e-001
 8.946991404011454e-001  -1.165916325592290e+000  -2.193932378247970e-001   4.338429401634074e-001
 8.958166189111740e-001  -1.147748659431155e+000  -2.188147743629757e-001   4.318784934011365e-001
 8.969340974212027e-001  -1.129512852855815e+000  -2.182423348513101e-001   4.299788925532619e-001
 8.980515759312313e-001  -1.111083522269226e+000  -2.177245749202337e-001   4.281097142648692e-001
 8.991690544412599e-001  -1.092247729594216e+000  -2.173334347678552e-001   4.262140511340823e-001
 9.002865329512886e-001  -1.072869988548497e+000  -2.171138506684042e-001   4.242532125514834e-001
 9.014040114613172e-001  -1.053039076796914e+000  -2.170408841458395e-001   4.222430622293126e-001
 9.025214899713459e-001  -1.033076249779763e+000  -2.170189413696468e-001   4.202558466898876e-001
 9.036389684813745e-001  -1.013380726824029e+000  -2.169293756951616e-001   4.183815610588166e-001
 9.047564469914031e-001  -9.942262494144265e-001  -2.166921740221872e-001   4.166775568087704e-001
 9.058739255014318e-001  -9.756543371440665e-001  -2.162981456667521e-001   4.151430440938594e-001
 9.069914040114604e-001  -9.575202403352024e-001  -2.157949320499095e-001   4.137323159326413e-001
 9.081088825214890e-001  -9.396206386911279e-001  -2.152482341962741e-001   4.123882055948251e-001
 9.092263610315177e-001  -9.217992350527648e-001  -2.147095323848103e-001   4.110689754997228e-001
 9.103438395415463e-001  -9.039783531623875e-001  -2.142060407166191e-001   4.097554364511461e-001
 9.114613180515749e-001  -8.861376331550108e-001  -2.137468186573438e-001   4.084441753625473e-001
 9.125787965616036e-001  -8.682812761544422e-001  -2.133328321474980e-001   4.071380636983220e-001
 9.136962750716322e-001  -8.504182418714900e-001  -2.129636011037402e-001   4.058405997629298e-001
 9.148137535816608e-001  -8.325557230985464e-001  -2.126399396534696e-001   4.045541299249571e-001
 9.159312320916895e-001  -8.146990796632546e-001  -2.123643713476667e-001   4.032800548822261e-001
 9.170487106017181e-001  -7.968533536563383e-001  -2.121404688243512e-001   4.020196002802984e-001
 9.181661891117467e-001  -7.790245031753718e-001  -2.119717893374046e-001   4.007744814173145e-001
 9.192836676217754e-001  -7.612195425362255e-001  -2.118608738791109e-001   3.995470790096470e-001
 9.204011461318040e-001  -7.434455404051880e-001  -2.118086188151838e-001   3.983400759991325e-001
 9.215186246418327e-001  -7.257083159419340e-001  -2.118141416525867e-001   3.971559045792342e-001
 9.226361031518613e-001  -7.080118028142094e-001  -2.118751774164881e-001   3.959964187185137e-001
 9.237535816618899e-001  -6.903583357908022e-001  -2.119888807143227e-001   3.948629283417000e-001
 9.248710601719186e-001  -6.727492300005620e-001  -2.121527160606363e-001   3.937563847014632e-001
 9.259885386819472e-001  -6.551849008689311e-001  -2.123650908405766e-001   3.926774437548000e-001
 9.271060171919758e-001  -6.376644678025881e-001  -2.126255279647539e-001   3.916263285040754e-001
 9.282234957020045e-001  -6.201856228884718e-001  -2.129343489106993e-001   3.906026476654224e-001
 9.293409742120331e-001  -6.027456396500350e-001  -2.132919078145692e-001   3.896053756066374e-001
 9.304584527220617e-001  -5.853436757192153e-001  -2.136975262496795e-001   3.886331031179532e-001
 9.315759312320904e-001  -5.679836719773862e-001  -2.141484020225858e-001   3.876845530474635e-001
 9.326934097421190e-001  -5.506769035484034e-001  -2.146387928491970e-001   3.867592875873485e-001
 9.338108882521476e-001  -5.334431645280054e-001  -2.151597447614920e-001   3.858583563756343e-001
 9.349283667621763e-001  -5.163095073258284e-001  -2.156995956812489e-001   3.849844380496762e-001
 9.360458452722049e-001  -4.993057759916821e-001  -2.162453926914273e-001   3.841410830632596e-001
 9.371633237822336e-001  -4.824577932954904e-001  -2.167849673516660e-001   3.833311857299769e-001
 9.382808022922622e-001  -4.657808468777514e-001  -2.173089805075225e-001   3.825553887041485e-001
 9.393982808022908e-001  -4.492762837192334e-001  -2.178122320631676e-001   3.818111690826038e-001
 9.405157593123195e-001  -4.329326150418727e-001  -2.182939843629244e-001   3.810928696745470e-001
 9.416332378223481e-001  -4.167309760757696e-001  -2.187575415233789e-001   3.803924080394237e-001
 9.427507163323767e-001  -4.006539367573629e-001  -2.192094096265896e-001   3.797002902241445e-001
 9.438681948424054e-001  -3.846945710549165e-001  -2.196581699415606e-001   3.790066860419327e-001
 9.449856733524340e-001  -3.688605546428495e-001  -2.201129918718537e-001   3.783024652193031e-001
 9.461031518624626e-001  -3.531689585082626e-001  -2.205817598336999e-001   3.775801155860485e-001
 9.472206303724913e-001  -3.376337618447166e-001  -2.210692259153985e-001   3.768344056570251e-001
 9.483381088825199e-001  -3.222546192176233e-001  -2.215760446253359e-001   3.760625954172184e-001
