---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.FileName = "RICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
 9.545810055865903e-001  -8.559686298249050e-001  -4.445035374304812e-001   1.025357912677888e+000
 9.567597765363110e-001  -8.369284492698814e-001  -4.452366693815889e-001   1.026560727799743e+000
 9.589385474860316e-001  -8.178344766730981e-001  -4.459706028194022e-001   1.027759377498306e+000
 9.611173184357522e-001  -7.986873821844090e-001  -4.467024828652749e-001   1.028954226578529e+000
 9.632960893854728e-001  -7.794889474896027e-001  -4.474293709978622e-001   1.030145770496154e+000
 9.654748603351935e-001  -7.602419394229233e-001  -4.481482947944816e-001   1.031334550909197e+000
 9.676536312849141e-001  -7.409499990990648e-001  -4.488563303724196e-001   1.032521008730278e+000
 9.698324022346347e-001  -7.216173139349528e-001  -4.495506657589560e-001   1.033705372673910e+000
 9.720111731843554e-001  -7.022484767005391e-001  -4.502286411147609e-001   1.034887582213786e+000
 9.741899441340760e-001  -6.828482754318254e-001  -4.508878052491125e-001   1.036067164087858e+000
 9.763687150837966e-001  -6.634215326348568e-001  -4.515258923547734e-001   1.037243241585054e+000
 9.785474860335173e-001  -6.439730154801477e-001  -4.521408272885494e-001   1.038414493662183e+000
 9.807262569832379e-001  -6.245073184022552e-001  -4.527307199319404e-001   1.039579117096618e+000
 9.829050279329585e-001  -6.050288195993786e-001  -4.532938388040362e-001   1.040734892920963e+000
 9.850837988826792e-001  -5.855416138907361e-001  -4.538286223468347e-001   1.041879168971515e+000
 9.872625698323998e-001  -5.660494389734877e-001  -4.543336976335880e-001   1.043008883916714e+000
 9.894413407821204e-001  -5.465556850642303e-001  -4.548078754226453e-001   1.044120644800120e+000
 9.916201117318411e-001  -5.270633367089342e-001  -4.552501845714009e-001   1.045210729422616e+000
 9.937988826815617e-001  -5.075749592482680e-001  -4.556598945897757e-001   1.046275139422619e+000
 9.959776536312823e-001  -4.880927419431565e-001  -4.560364988719697e-001   1.047309663413687e+000
 9.981564245810030e-001  -4.686184601534111e-001  -4.563797446328365e-001   1.048309895623130e+000
 1.000335195530724e+000  -4.491534909846969e-001  -4.566896183090781e-001   1.049271296348310e+000
 1.002513966480444e+000  -4.296988376642142e-001  -4.569663179368558e-001   1.050189230942567e+000
 1.004692737430165e+000  -4.102550690940113e-001  -4.572102659314120e-001   1.051058993428747e+000
 1.006871508379886e+000  -3.908223243754122e-001  -4.574220760298035e-001   1.051875846187593e+000
 1.009050279329607e+000  -3.714003319095924e-001  -4.576025284586900e-001   1.052635044203169e+000
 1.011229050279327e+000  -3.519883531454269e-001  -4.577525689099801e-001   1.053331868619588e+000
 1.013407821229048e+000  -3.325852219687843e-001  -4.578732655286825e-001   1.053961661146630e+000
 1.015586592178769e+000  -3.131893541807106e-001  -4.579657825173498e-001   1.054519842877593e+000
 1.017765363128490e+000  -2.937986833258295e-001  -4.580313497577941e-001   1.055001956461027e+000
 1.019944134078210e+000  -2.744106875384216e-001  -4.580712057503039e-001   1.055403683928119e+000
 1.022122905027931e+000  -2.550223820383263e-001  -4.580865649289870e-001   1.055720865114650e+000
 1.024301675977652e+000  -2.356302629121042e-001  -4.580785591915972e-001   1.055949546906107e+000
 1.026480446927373e+000  -2.162304150799659e-001  -4.580482177342257e-001   1.056085985436797e+000
 1.028659217877093e+000  -1.968185680249763e-001  -4.579964556326924e-001   1.056126672087907e+000
 1.030837988826814e+000  -1.773902567836682e-001  -4.579240775989888e-001   1.056068397382334e+000
 1.033016759776535e+000  -1.579410692336027e-001  -4.578318368200290e-001   1.055908265823887e+000
 1.035195530726256e+000  -1.384668275428390e-001  -4.577204748530623e-001   1.055643751966739e+000
 1.037374301675976e+000  -1.189638979608496e-001  -4.575908102890390e-001   1.055272785616537e+000
 1.039553072625697e+000  -9.942929301074766e-002  -4.574437939228488e-001   1.054793727752617e+000
 1.041731843575418e+000  -7.986085247367383e-002  -4.572805734796790e-001   1.054205426805562e+000
 1.043910614525138e+000  -6.025740283852506e-002  -4.571025692351446e-001   1.053507258674907e+000
 1.046089385474859e+000  -4.061867118305947e-002  -4.569114712825845e-001   1.052699090105776e+000
 1.048268156424580e+000  -2.094536415934788e-002  -4.567092853493825e-001   1.051781348608962e+000
 1.050446927374301e+000  -1.239002019315212e-003  -4.564983197339796e-001   1.050755046668825e+000
