---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.FileName = "rtrank.txt"
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.pz
 8.500000000000000e-001  -1.986237039157281e+000  -4.003471630541851e-001   3.113688112522742e-001
 8.521787709497206e-001  -1.977346663565067e+000  -4.009763937354163e-001   3.136920242731378e-001
 8.543575418994412e-001  -1.968342735566502e+000  -4.017226553452343e-001   3.162644192778312e-001
 8.565363128491619e-001  -1.959213355115439e+000  -4.025787283661291e-001   3.190800622016572e-001
 8.587150837988825e-001  -1.949946209438432e+000  -4.035369592994972e-001   3.221315743228381e-001
 8.608938547486031e-001  -1.940528721149055e+000  -4.045893172478381e-001   3.254101065172276e-001
 8.630726256983238e-001  -1.930948175411395e+000  -4.057275166843707e-001   3.289056150301332e-001
 8.652513966480444e-001  -1.921191773407578e+000  -4.069430658746466e-001   3.326068933597342e-001
 8.674301675977650e-001  -1.911246696111937e+000  -4.082273545291412e-001   3.365016393855442e-001
 8.696089385474857e-001  -1.901100152508660e+000  -4.095717427282342e-001   3.405767028313864e-001
 8.717877094972063e-001  -1.890739420677930e+000  -4.109676201582926e-001   3.448181257957598e-001
 8.739664804469269e-001  -1.880151918176689e+000  -4.124064980994570e-001   3.492112577813099e-001
 8.761452513966476e-001  -1.869325232194047e+000  -4.138800486573128e-001   3.537409124965186e-001
 8.783240223463682e-001  -1.858247179050602e+000  -4.153801683284566e-001   3.583913896908504e-001
 8.805027932960888e-001  -1.846905870113174e+000  -4.168990454301112e-001   3.631465555159766e-001
 8.826815642458095e-001  -1.835289739095808e+000  -4.184291754075721e-001   3.679899606972095e-001
 8.848603351955301e-001  -1.823387652822502e+000  -4.199634463224883e-001   3.729049030674860e-001
 8.870391061452507e-001  -1.811189067701953e+000  -4.214952076283838e-001   3.778746425296936e-001
 8.892178770949714e-001  -1.798684123931409e+000  -4.230182716594232e-001   3.828825825593339e-001
 8.913966480446920e-001  -1.785863933644901e+000  -4.245270161929621e-001   3.879125396377264e-001
 8.935754189944126e-001  -1.772720819279268e+000  -4.260163666203490e-001   3.929490789384613e-001
 8.957541899441333e-001  -1.759248397569080e+000  -4.274817355307733e-001   3.979776852325174e-001
 8.979329608938539e-001  -1.745441968648694e+000  -4.289190272839382e-001   4.029852007768476e-001
 9.001117318435745e-001  -1.731298545987763e+000  -4.303244986691061e-001   4.079600435728282e-001
 9.022905027932952e-001  -1.716816827199121e+000  -4.316946907747593e-001   4.128923082842321e-001
 9.044692737430158e-001  -1.701997407921084e+000  -4.330263889383233e-001   4.177742035229713e-001
 9.066480446927364e-001  -1.686842465008502e+000  -4.343165970174582e-001   4.225999403712346e-001
 9.088268156424570e-001  -1.671355605671799e+000  -4.355625622787125e-001   4.273656958436866e-001
 9.110055865921777e-001  -1.655541735548817e+000  -4.367618925104935e-001   4.320697080694980e-001
 9.131843575418983e-001  -1.639406573137377e+000  -4.379126231269560e-001   4.367117609202204e-001
 9.153631284916189e-001  -1.622956419936385e+000  -4.390132867654210e-001   4.412929752317554e-001
 9.175418994413396e-001  -1.606197771943264e+000  -4.400630418340212e-001   4.458154462827633e-001
 9.197206703910602e-001  -1.589136975150277e+000  -4.410616030681345e-001   4.502817171676936e-001
 9.218994413407808e-001  -1.571779998841359e+000  -4.420092532344004e-001   4.546944973802065e-001
 9.240782122905015e-001  -1.554132108909853e+000  -4.429068131339438e-001   4.590561978457748e-001
 9.262569832402221e-001  -1.536197808402023e+000  -4.437555128584339e-001   4.633686807493967e-001
 9.284357541899427e-001  -1.517980683508384e+000  -4.445569646603563e-001   4.676330004307971e-001
 9.306145251396634e-001  -1.499483286642788e+000  -4.453130924816445e-001   4.718491155979924e-001
 9.327932960893840e-001  -1.480707243361112e+000  -4.460260513767592e-001   4.760159148244015e-001
 9.349720670391046e-001  -1.461653174503857e+000  -4.466982085122859e-001   4.801310471490610e-001
 9.371508379888253e-001  -1.442320772666929e+000  -4.473321052219744e-001   4.841909168106445e-001
 9.393296089385459e-001  -1.422708996108663e+000  -4.479304263742818e-001   4.881908677973154e-001
 9.415083798882665e-001  -1.402816121415314e+000  -4.484960041232476e-001   4.921251577875072e-001
 9.436871508379872e-001  -1.382640000726294e+000  -4.490318016962450e-001   4.959871870148979e-001
 9.458659217877078e-001  -1.362178262131947e+000  -4.495408898831478e-001   4.997697290280407e-001
 9.480446927374284e-001  -1.341428506408233e+000  -4.500264407205227e-001   5.034650815593180e-001
 9.502234636871491e-001  -1.320388575175333e+000  -4.504916879547398e-001   5.070654076059129e-001
 9.524022346368697e-001  -1.299056675944266e+000  -4.509398997111456e-001   5.105629359578159e-001
 9.545810055865903e-001  -1.277431617891492e+000  -4.513743460275628e-001   5.139502534600665e-001
 9.567597765363110e-001  -1.255512885019239e+000  -4.517982587801581e-001   5.172205373032819e-001
 9.589385474860316e-001  -1.233300647781005e+000  -4.522148112953491e-001   5.203676604857991e-001
 9.611173184357522e-001  -1.210795866466015e+000  -4.526270787198932e-001   5.233864486881571e-001
 9.632960893854728e-001  -1.188000164637481e+000  -4.530380264500364e-001   5.262726694512731e-001
 9.654748603351935e-001  -1.164915776265895e+000  -4.534505004155139e-001   5.290230493149377e-001
 9.676536312849141e-001  -1.141545507129303e+000  -4.538672000193338e-001   5.316353787616313e-001
 9.698324022346347e-001  -1.117892564782826e+000  -4.542906856262061e-001   5.341083362100324e-001
 9.720111731843554e-001  -1.093960498545352e+000  -4.547233711064526e-001   5.364414551668285e-001
 9.741899441340760e-001  -1.069753123380495e+000  -4.551675065843313e-001   5.386350858248004e-001
 9.763687150837966e-001  -1.045274420273233e+000  -4.556252021140867e-001   5.406901979004665e-001
 9.785474860335173e-001  -1.020528489515169e+000  -4.560984254322113e-001   5.426083336559106e-001
 9.807262569832379e-001  -9.955194561548966e-001  -4.565890043728127e-001   5.443915158270666e-001
 9.829050279329585e-001  -9.702514608511689e-001  -4.570986775237355e-001   5.460421189726681e-001
 9.850837988826792e-001  -9.447287064554407e-001  -4.576291335468191e-001   5.475628455383251e-001
 9.872625698323998e-001  -9.189557486790060e-001  -4.581821481430362e-001   5.489567126673288e-001
 9.894413407821204e-001  -8.929376265690474e-001  -4.587596449065027e-001   5.502270154149531e-001
 9.916201117318411e-001  -8.666800205245234e-001  -4.593637550890175e-001   5.513773443484024e-001
 9.937988826815617e-001  -8.401890470490219e-001  -4.599967366820751e-001   5.524115142022804e-001
 9.959776536312823e-001  -8.134710160707683e-001  -4.606608785431398e-001   5.533334771792299e-001
 9.981564245810030e-001  -7.865322245338539e-001  -4.613584055411880e-001   5.541472622193840e-001
 1.000335195530724e+000  -7.593788504840248e-001  -4.620914115387936e-001   5.548569087401428e-001
 1.002513966480444e+000  -7.320169522799046e-001  -4.628618421904773e-001   5.554664484900700e-001
 1.004692737430165e+000  -7.044524627088600e-001  -4.636714444944003e-001   5.559798922018334e-001
 1.006871508379886e+000  -6.766912205204794e-001  -4.645217331878841e-001   5.564012412854490e-001
 1.009050279329607e+000  -6.487389997007994e-001  -4.654139748113710e-001   5.567344999211011e-001
 1.011229050279327e+000  -6.206015431831917e-001  -4.663491104549780e-001   5.569836963262096e-001
 1.013407821229048e+000  -5.922846090441762e-001  -4.673277358734381e-001   5.571529046326637e-001
 1.015586592178769e+000  -5.637939896137684e-001  -4.683500888728436e-001   5.572462623099690e-001
 1.017765363128490e+000  -5.351355399612398e-001  -4.694159720973058e-001   5.572680144732776e-001
 1.019944134078210e+000  -5.063151872744222e-001  -4.705247787686525e-001   5.572225547112950e-001
 1.022122905027931e+000  -4.773389442703990e-001  -4.716754849517031e-001   5.571144609032075e-001
 1.024301675977652e+000  -4.482129489042475e-001  -4.728665915523210e-001   5.569485828737372e-001
 1.026480446927373e+000  -4.189434912043913e-001  -4.740961653416893e-001   5.567300680187938e-001
 1.028659217877093e+000  -3.895370471955604e-001  -4.753618187305982e-001   5.564644058548681e-001
