---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.FileName = "rtrank.txt"
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.rtrank.MarkerPositionFile.pz
 1.030837988826814e+000  -3.600003494591726e-001  -4.766606536272041e-001   5.561575158938377e-001
 1.033016759776535e+000  -3.303403879985947e-001  -4.779893115560842e-001   5.558157327138973e-001
 1.035195530726256e+000  -3.005644435766769e-001  -4.793439438435005e-001   5.554458520964383e-001
 1.037374301675976e+000  -2.706801228136024e-001  -4.807201824924731e-001   5.550551860013888e-001
 1.039553072625697e+000  -2.406953208170786e-001  -4.821132114091400e-001   5.546515056994190e-001
 1.041731843575418e+000  -2.106182379103652e-001  -4.835177446647807e-001   5.542430736982670e-001
 1.043910614525138e+000  -1.804573526930738e-001  -4.849280474021370e-001   5.538386244569313e-001
 1.046089385474859e+000  -1.502213363955069e-001  -4.863380143341112e-001   5.534472783458558e-001
 1.048268156424580e+000  -1.199190038280334e-001  -4.877411668012251e-001   5.530785414363570e-001
 1.050446927374301e+000  -8.955917377876366e-002  -4.891307163130125e-001   5.527422445286058e-001
 1.052625698324021e+000  -5.915057685697772e-002  -4.904996508736865e-001   5.524484645426325e-001
 1.054804469273742e+000  -2.870173912785282e-002  -4.918407849726910e-001   5.522074894864247e-001
 1.056983240223463e+000   1.779107767391999e-003  -4.931468941287077e-001   5.520296943598778e-001
 1.059162011173184e+000   3.228403704627890e-002  -4.944107977474623e-001   5.519254487109868e-001
 1.061340782122904e+000   6.280549672184319e-002  -4.956254711539085e-001   5.519049923036353e-001
 1.063519553072625e+000   9.333629553911346e-002  -4.967841213944052e-001   5.519782964105580e-001
 1.065698324022346e+000   1.238695690792103e-001  -4.978802034371554e-001   5.521549981299661e-001
 1.067877094972067e+000   1.543987798551251e-001  -4.989074787748231e-001   5.524442428178421e-001
 1.070055865921787e+000   1.849175545341193e-001  -4.998600004480708e-001   5.528546386185431e-001
 1.072234636871508e+000   2.154195626530567e-001  -5.007321223149850e-001   5.533942245620694e-001
 1.074413407821229e+000   2.458982931071416e-001  -5.015185791639207e-001   5.540703290099378e-001
 1.076592178770950e+000   2.763469125433224e-001  -5.022145325468306e-001   5.548895447604906e-001
 1.078770949720670e+000   3.067582210058839e-001  -5.028156320010195e-001   5.558576475043260e-001
 1.080949720670391e+000   3.371246423167443e-001  -5.033181803542950e-001   5.569793374100853e-001
 1.083128491620112e+000   3.674383424435042e-001  -5.037191186329255e-001   5.582581998963021e-001
 1.085307262569833e+000   3.976912547220801e-001  -5.040160677208949e-001   5.596965707552950e-001
 1.087486033519553e+000   4.278750591359478e-001  -5.042073761515614e-001   5.612952924425104e-001
 1.089664804469274e+000   4.579812402716883e-001  -5.042920058762028e-001   5.630538524570524e-001
 1.091843575418995e+000   4.880011267748968e-001  -5.042695507100840e-001   5.649702959767532e-001
 1.094022346368716e+000   5.179260677793678e-001  -5.041402715406756e-001   5.670411914467279e-001
 1.096201117318436e+000   5.477475868250380e-001  -5.039050564145158e-001   5.692618705007794e-001
 1.098379888268157e+000   5.774575354982632e-001  -5.035655127349056e-001   5.716264010549493e-001
 1.100558659217878e+000   6.070482874455350e-001  -5.031240673232400e-001   5.741277088179921e-001
 1.102737430167599e+000   6.365127784935527e-001  -5.025839304954287e-001   5.767578168359929e-001
 1.104916201117319e+000   6.658446540130192e-001  -5.019492262807919e-001   5.795078813087549e-001
 1.107094972067040e+000   6.950383417795805e-001  -5.012250297647957e-001   5.823683870294619e-001
 1.109273743016761e+000   7.240889997307608e-001  -5.004172822587178e-001   5.853293239852084e-001
 1.111452513966482e+000   7.529926155045384e-001  -4.995328856738481e-001   5.883802656250248e-001
 1.113631284916202e+000   7.817459644115103e-001  -4.985796130251486e-001   5.915105397915946e-001
 1.115810055865923e+000   8.103465418767949e-001  -4.975659899884468e-001   5.947093296615762e-001
 1.117988826815644e+000   8.387926393871051e-001  -4.965013014317691e-001   5.979657633997186e-001
 1.120167597765365e+000   8.670832707553413e-001  -4.953954039478524e-001   6.012690152311001e-001
 1.122346368715085e+000   8.952181176447877e-001  -4.942586024509776e-001   6.046083460762037e-001
 1.124525139664806e+000   9.231975834232287e-001  -4.931015521067574e-001   6.079731667565208e-001
 1.126703910614527e+000   9.510226993156972e-001  -4.919350634360645e-001   6.113530358258066e-001
 1.128882681564247e+000   9.786950942863616e-001  -4.907700000831196e-001   6.147376463281302e-001
 1.131061452513968e+000   1.006217046806586e+000  -4.896171245106654e-001   6.181168048566479e-001
 1.133240223463689e+000   1.033591406919703e+000  -4.884869749290084e-001   6.214803546333093e-001
 1.135418994413410e+000   1.060821594176326e+000  -4.873897827258849e-001   6.248181265941436e-001
 1.137597765363130e+000   1.087911651255656e+000  -4.863353108076826e-001   6.281198419363638e-001
 1.139776536312851e+000   1.114866167220028e+000  -4.853328212895718e-001   6.313750458427875e-001
 1.141955307262572e+000   1.141690286314501e+000  -4.843910075574333e-001   6.345730517835130e-001
 1.144134078212293e+000   1.168389718228250e+000  -4.835178896996895e-001   6.377028574199640e-001
 1.146312849162013e+000   1.194970600088307e+000  -4.827208746037950e-001   6.407531700692880e-001
 1.148491620111734e+000   1.221439447388849e+000  -4.820067065936528e-001   6.437123938157002e-001
 1.150670391061455e+000   1.247802991712027e+000  -4.813814220349352e-001   6.465686703558867e-001
 1.152849162011176e+000   1.274067997294428e+000  -4.808504185293336e-001   6.493099913328209e-001
 1.155027932960896e+000   1.300241110523430e+000  -4.804183878778888e-001   6.519242751606000e-001
 1.157206703910617e+000   1.326328610866415e+000  -4.800892749992285e-001   6.543995494004902e-001
 1.159385474860338e+000   1.352336277823208e+000  -4.798663276434613e-001   6.567240807465663e-001
 1.161564245810059e+000   1.378269150396249e+000  -4.797519885727887e-001   6.588865565070173e-001
 1.163743016759779e+000   1.404131263057569e+000  -4.797478424919962e-001   6.608762997367024e-001
 1.165921787709500e+000   1.429925573629564e+000  -4.798546517520321e-001   6.626833393557575e-001
 1.168100558659221e+000   1.455653639065462e+000  -4.800722061896338e-001   6.642986463114253e-001
 1.170279329608942e+000   1.481315469658526e+000  -4.803993025724743e-001   6.657142501408059e-001
 1.172458100558662e+000   1.506909543436339e+000  -4.808337816410514e-001   6.669232305046061e-001
 1.174636871508383e+000   1.532432497285724e+000  -4.813723633258331e-001   6.679199249290369e-001
 1.176815642458104e+000   1.557879195286602e+000  -4.820106926541931e-001   6.686998563094070e-001
 1.178994413407825e+000   1.583242812778022e+000  -4.827433889804975e-001   6.692596542289473e-001
 1.181173184357545e+000   1.608514656275924e+000  -4.835639313502925e-001   6.695971314417663e-001
 1.183351955307266e+000   1.633684442542539e+000  -4.844648375878691e-001   6.697110645402027e-001
 1.185530726256987e+000   1.658740430989067e+000  -4.854377592824988e-001   6.696010985047597e-001
 1.187709497206708e+000   1.683669465085789e+000  -4.864735458131700e-001   6.692677142471483e-001
 1.189888268156428e+000   1.708457400057645e+000  -4.875625407924299e-001   6.687120339300150e-001
 1.192067039106149e+000   1.733089300106044e+000  -4.886947289431399e-001   6.679357678935786e-001
 1.194245810055870e+000   1.757549759415907e+000  -4.898599836352343e-001   6.669411940226206e-001
 1.196424581005591e+000   1.781823307285314e+000  -4.910483070507360e-001   6.657310592833875e-001
 1.198603351955311e+000   1.805894658295820e+000  -4.922499871801153e-001   6.643085821740865e-001
 1.200782122905032e+000   1.829749145740217e+000  -4.934558388019015e-001   6.626774845322332e-001
 1.202960893854753e+000   1.853372918178861e+000  -4.946572346604928e-001   6.608419424408742e-001
 1.205139664804473e+000   1.876753187962349e+000  -4.958461962307690e-001   6.588066237791578e-001
 1.207318435754194e+000   1.899878499698050e+000  -4.970154391536752e-001   6.565767200696067e-001
 1.209497206703915e+000   1.922738618782844e+000  -4.981582695029471e-001   6.541578753548312e-001
 1.211675977653636e+000   1.945324643501837e+000  -4.992686040882529e-001   6.515562075625969e-001
 1.213854748603356e+000   1.967628912976341e+000  -5.003409086713028e-001   6.487782569382142e-001
 1.216033519553077e+000   1.989644784624179e+000  -5.013700853509462e-001   6.458308862930998e-001
 1.218212290502798e+000   2.011366644149681e+000  -5.023514572723847e-001   6.427212473993846e-001
 1.220391061452519e+000   2.032789820685297e+000  -5.032806871134423e-001   6.394566596888870e-001
 1.222569832402239e+000   2.053910537785822e+000  -5.041537269928957e-001   6.360445127000282e-001
 1.224748603351960e+000   2.074726101703441e+000  -5.049668412173357e-001   6.324921667946901e-001
 1.226927374301681e+000   2.095235088540405e+000  -5.057166311287857e-001   6.288068283416525e-001
 1.229106145251402e+000   2.115437443857983e+000  -5.064000510616730e-001   6.249955070055321e-001
 1.231284916201122e+000   2.135334944523117e+000  -5.070145164470865e-001   6.210649320632236e-001
 1.233463687150843e+000   2.154931365093008e+000  -5.075579344074491e-001   6.170215811085164e-001
 1.235642458100564e+000   2.174232525555237e+000  -5.080287098343251e-001   6.128717265636108e-001
 1.237821229050285e+000   2.193246717202831e+000  -5.084258407938314e-001   6.086214947269018e-001
 1.240000000000005e+000   2.211984534389150e+000  -5.087488733885498e-001   6.042770022892107e-001
