---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.FileName = "LMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.pz
 8.500000000000000e-001  -1.733601831005203e+000  -2.519106125799190e-001   5.134417492389801e-001
 8.521787709497206e-001  -1.701305365378304e+000  -2.516205446259724e-001   5.084688463948903e-001
 8.543575418994412e-001  -1.668876975725335e+000  -2.513800581243939e-001   5.036790428052995e-001
 8.565363128491619e-001  -1.636311879601346e+000  -2.511845243660748e-001   4.990888486714945e-001
 8.587150837988825e-001  -1.603606573320830e+000  -2.510294575178685e-001   4.947135667518769e-001
 8.608938547486031e-001  -1.570759214234993e+000  -2.509106484509356e-001   4.905669573183992e-001
 8.630726256983238e-001  -1.537769625058012e+000  -2.508242085494729e-001   4.866612629514334e-001
 8.652513966480444e-001  -1.504639476428700e+000  -2.507666323258248e-001   4.830070510709282e-001
 8.674301675977650e-001  -1.471372505076808e+000  -2.507348885720890e-001   4.796129958016197e-001
 8.696089385474857e-001  -1.437974084354457e+000  -2.507263698425821e-001   4.764861027119681e-001
 8.717877094972063e-001  -1.404451158825463e+000  -2.507389051940780e-001   4.736315925863649e-001
 8.739664804469269e-001  -1.370812017578250e+000  -2.507706753265069e-001   4.710527787826942e-001
 8.761452513966476e-001  -1.337066213818257e+000  -2.508200668412661e-001   4.687511203290339e-001
 8.783240223463682e-001  -1.303224775614851e+000  -2.508855915427464e-001   4.667258840061056e-001
 8.805027932960888e-001  -1.269300331464770e+000  -2.509657867309216e-001   4.649738861992916e-001
 8.826815642458095e-001  -1.235306701464620e+000  -2.510592038016554e-001   4.634897371899623e-001
 8.848603351955301e-001  -1.201258684424597e+000  -2.511644235554150e-001   4.622656484857360e-001
 8.870391061452507e-001  -1.167171559729689e+000  -2.512801725127075e-001   4.612917358468275e-001
 8.892178770949714e-001  -1.133061117782840e+000  -2.514054360797631e-001   4.605564103305064e-001
 8.913966480446920e-001  -1.098943957286390e+000  -2.515396599598376e-001   4.600464650144229e-001
 8.935754189944126e-001  -1.064837908073386e+000  -2.516828189658045e-001   4.597475199159105e-001
 8.957541899441333e-001  -1.030761917372180e+000  -2.518353040121856e-001   4.596442819844843e-001
 8.979329608938539e-001  -9.967359398132644e-001  -2.519977784747152e-001   4.597206779086133e-001
 9.001117318435745e-001  -9.627802927723766e-001  -2.521708827960496e-001   4.599601807185004e-001
 9.022905027932952e-001  -9.289154286617664e-001  -2.523551265305128e-001   4.603460113486566e-001
 9.044692737430158e-001  -8.951617467418171e-001  -2.525507560887096e-001   4.608614216819618e-001
