---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.FileName = "LMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LMME.MarkerPositionFile.pz
 9.066480446927364e-001  -8.615396253104561e-001  -2.527577524457532e-001   4.614899830502313e-001
 9.088268156424570e-001  -8.280694591153236e-001  -2.529758258315118e-001   4.622157411187504e-001
 9.110055865921777e-001  -7.947717497411823e-001  -2.532043819247843e-001   4.630235013102623e-001
 9.131843575418983e-001  -7.616671853921944e-001  -2.534425638682922e-001   4.638988659490703e-001
 9.153631284916189e-001  -7.287767079134954e-001  -2.536892573294015e-001   4.648282924995905e-001
 9.175418994413396e-001  -6.961216503518657e-001  -2.539430912624435e-001   4.657991688868903e-001
 9.197206703910602e-001  -6.637237792773294e-001  -2.542025022495802e-001   4.667995824326038e-001
 9.218994413407808e-001  -6.316053587480830e-001  -2.544657581893119e-001   4.678182322878277e-001
 9.240782122905015e-001  -5.997891833065302e-001  -2.547310216327386e-001   4.688441968374401e-001
 9.262569832402221e-001  -5.682983268497760e-001  -2.549964372843401e-001   4.698667081188618e-001
 9.284357541899427e-001  -5.371559404418346e-001  -2.552601964663451e-001   4.708750327943382e-001
 9.306145251396634e-001  -5.063846911858047e-001  -2.555206419424733e-001   4.718583765324476e-001
 9.327932960893840e-001  -4.760064398970586e-001  -2.557762794514042e-001   4.728059108257567e-001
 9.349720670391046e-001  -4.460418364275421e-001  -2.560258004455915e-001   4.737068072688954e-001
 9.371508379888253e-001  -4.165100971114634e-001  -2.562679982551633e-001   4.745503339979013e-001
 9.393296089385459e-001  -3.874291958202144e-001  -2.565016548072200e-001   4.753258870741743e-001
 9.415083798882665e-001  -3.588158253111163e-001  -2.567254123556799e-001   4.760230391293894e-001
 9.436871508379872e-001  -3.306855915062800e-001  -2.569376244006939e-001   4.766315133363296e-001
 9.458659217877078e-001  -3.030530270008636e-001  -2.571363546646823e-001   4.771411358287440e-001
 9.480446927374284e-001  -2.759312702944859e-001  -2.573193436751518e-001   4.775417938500713e-001
 9.502234636871491e-001  -2.493316592687660e-001  -2.574841338531969e-001   4.778233653517762e-001
 9.524022346368697e-001  -2.232636484798022e-001  -2.576281273512307e-001   4.779756567248157e-001
 9.545810055865903e-001  -1.977343624127280e-001  -2.577486195238873e-001   4.779882792054701e-001
 9.567597765363110e-001  -1.727488326320930e-001  -2.578427987555726e-001   4.778504344069385e-001
 9.589385474860316e-001  -1.483101064943629e-001  -2.579077625803343e-001   4.775507749615862e-001
 9.611173184357522e-001  -1.244190557085136e-001  -2.579405473907045e-001   4.770770786020929e-001
 9.632960893854728e-001  -1.010746866083248e-001  -2.579382285555543e-001   4.764162090890546e-001
 9.654748603351935e-001  -7.827428913560242e-002  -2.578979798317702e-001   4.755541085719591e-001
 9.676536312849141e-001  -5.601359412520911e-002  -2.578171847426874e-001   4.744757720342634e-001
 9.698324022346347e-001  -3.428735999595156e-002  -2.576934847973709e-001   4.731655291731854e-001
 9.720111731843554e-001  -1.308963591431512e-002  -2.575248301087997e-001   4.716071721208043e-001
 9.741899441340760e-001   7.585818512562910e-003  -2.573095763308052e-001   4.697841958529513e-001
 9.763687150837966e-001   2.774517526438315e-002  -2.570464736072305e-001   4.676800977684064e-001
 9.785474860335173e-001   4.739431206393673e-002  -2.567347043989093e-001   4.652785882927603e-001
 9.807262569832379e-001   6.653850159536809e-002  -2.563739110599427e-001   4.625639776798509e-001
 9.829050279329585e-001   8.518238180955401e-002  -2.559641348516816e-001   4.595213694506115e-001
 9.850837988826792e-001   1.033298676338912e-001  -2.555058512789579e-001   4.561369417669530e-001
 9.872625698323998e-001   1.209842463282625e-001  -2.550000524717853e-001   4.523982931492868e-001
 9.894413407821204e-001   1.381484050572960e-001  -2.544482612656853e-001   4.482944600621484e-001
 9.916201117318411e-001   1.548249507960509e-001  -2.538526458811861e-001   4.438162242079091e-001
 9.937988826815617e-001   1.710163571133092e-001  -2.532160357733879e-001   4.389563414879482e-001
 9.959776536312823e-001   1.867250023180815e-001  -2.525418153646963e-001   4.337095285972905e-001
 9.981564245810030e-001   2.019531720128441e-001  -2.518339199817017e-001   4.280729122509021e-001
 1.000335195530724e+000   2.167030793435074e-001  -2.510966804670651e-001   4.220463348824318e-001
 1.002513966480444e+000   2.309769218398881e-001  -2.503346687243667e-001   4.156323754469229e-001
 1.004692737430165e+000   2.447769692999853e-001  -2.495525467177301e-001   4.088370018301300e-001
 1.006871508379886e+000   2.581057250384607e-001  -2.487548375029297e-001   4.016696444076187e-001
 1.009050279329607e+000   2.709660068262806e-001  -2.479458512298204e-001   3.941430785775764e-001
 1.011229050279327e+000   2.833611181651627e-001  -2.471295781825138e-001   3.862739094413887e-001
 1.013407821229048e+000   2.952948315429521e-001  -2.463097657633749e-001   3.780821039000757e-001
 1.015586592178769e+000   3.067713001982621e-001  -2.454899810285318e-001   3.695906809821605e-001
 1.017765363128490e+000   3.177948878324368e-001  -2.446737028856597e-001   3.608256333464834e-001
 1.019944134078210e+000   3.283698531748185e-001  -2.438644482517774e-001   3.518150209913890e-001
 1.022122905027931e+000   3.385002137763513e-001  -2.430658479155429e-001   3.425885735896280e-001
 1.024301675977652e+000   3.481895792280788e-001  -2.422817905058162e-001   3.331772083005806e-001
 1.026480446927373e+000   3.574412207045870e-001  -2.415164902844645e-001   3.236124453931013e-001
 1.028659217877093e+000   3.662580803149950e-001  -2.407745548788832e-001   3.139261513188236e-001
 1.030837988826814e+000   3.746427657735835e-001  -2.400611027452713e-001   3.041501960797451e-001
 1.033016759776535e+000   3.825975703057379e-001  -2.393817485567097e-001   2.943162794463034e-001
 1.035195530726256e+000   3.901244413344753e-001  -2.387426584931318e-001   2.844558227545083e-001
 1.037374301675976e+000   3.972249453296127e-001  -2.381506098527442e-001   2.745998970171662e-001
 1.039553072625697e+000   4.039003258218633e-001  -2.376129046536850e-001   2.647792861364329e-001
 1.041731843575418e+000   4.101515018543455e-001  -2.371373817787235e-001   2.550244930944172e-001
 1.043910614525138e+000   4.159791431009096e-001  -2.367323258514282e-001   2.453657923589507e-001
 1.046089385474859e+000   4.213838132150997e-001  -2.364063120778535e-001   2.358332781976499e-001
 1.048268156424580e+000   4.263661031362211e-001  -2.361681149718962e-001   2.264568630185877e-001
 1.050446927374301e+000   4.309269365605701e-001  -2.360265057373096e-001   2.172662634031888e-001
 1.052625698324021e+000   4.350677958517242e-001  -2.359900968377214e-001   2.082909851239097e-001
 1.054804469273742e+000   4.387911237164646e-001  -2.360671224373714e-001   1.995602468230076e-001
 1.056983240223463e+000   4.421008441578673e-001  -2.362651191886080e-001   1.911028715618193e-001
 1.059162011173184e+000   4.450026697649013e-001  -2.365907322378172e-001   1.829472032567581e-001
 1.061340782122904e+000   4.475049530770775e-001  -2.370492395462818e-001   1.751208645427087e-001
 1.063519553072625e+000   4.496194452818034e-001  -2.376441372636839e-001   1.676504882902328e-001
 1.065698324022346e+000   4.513617385892370e-001  -2.383769209139389e-001   1.605615388690739e-001
 1.067877094972067e+000   4.527527637008013e-001  -2.392463415130474e-001   1.538777739453732e-001
 1.070055865921787e+000   4.538193593170887e-001  -2.402481986706438e-001   1.476209408428462e-001
 1.072234636871508e+000   4.545945527164514e-001  -2.413752434659158e-001   1.418105575083746e-001
 1.074413407821229e+000   4.551187925573517e-001  -2.426166286760200e-001   1.364631836854999e-001
 1.076592178770950e+000   4.554384790715601e-001  -2.439584895922855e-001   1.315922814305417e-001
 1.078770949720670e+000   4.556049477659232e-001  -2.453842159676090e-001   1.272079209751552e-001
 1.080949720670391e+000   4.556722470233256e-001  -2.468748665127786e-001   1.233159087852445e-001
 1.083128491620112e+000   4.556937629500384e-001  -2.484101205795746e-001   1.199179564485230e-001
 1.085307262569833e+000   4.557202415880907e-001  -2.499686756593535e-001   1.170114516063374e-001
 1.087486033519553e+000   4.557968469513504e-001  -2.515287868067336e-001   1.145892187299703e-001
 1.089664804469274e+000   4.559632605292249e-001  -2.530686680582456e-001   1.126405667870803e-001
 1.091843575418995e+000   4.562533183979443e-001  -2.545667623608638e-001   1.111515606130707e-001
 1.094022346368716e+000   4.566957836414796e-001  -2.560022112276073e-001   1.101057882434236e-001
 1.096201117318436e+000   4.573160287019467e-001  -2.573551127738641e-001   1.094852025230429e-001
 1.098379888268157e+000   4.581367442621893e-001  -2.586068982806848e-001   1.092704388628124e-001
 1.100558659217878e+000   4.591791586368134e-001  -2.597407627456074e-001   1.094412441450326e-001
 1.102737430167599e+000   4.604636809748485e-001  -2.607416797335385e-001   1.099767235323168e-001
 1.104916201117319e+000   4.620102092384843e-001  -2.615967765157188e-001   1.108553903426207e-001
 1.107094972067040e+000   4.638382324855010e-001  -2.622955105678078e-001   1.120551891067234e-001
 1.109273743016761e+000   4.659668066419062e-001  -2.628295191527992e-001   1.135535425326565e-001
 1.111452513966482e+000   4.684143943632084e-001  -2.631929294430856e-001   1.153272895915743e-001
 1.113631284916202e+000   4.711987498417708e-001  -2.633822343673997e-001   1.173528107833789e-001
 1.115810055865923e+000   4.743369103794871e-001  -2.633960610082638e-001   1.196062192854739e-001
 1.117988826815644e+000   4.778450302844344e-001  -2.632353380256393e-001   1.220636018579108e-001
 1.120167597765365e+000   4.817383284474883e-001  -2.629029733763381e-001   1.247014863692448e-001
 1.122346368715085e+000   4.860310252637086e-001  -2.624036219081081e-001   1.274971242085883e-001
 1.124525139664806e+000   4.907360041277055e-001  -2.617436795939439e-001   1.304290699248604e-001
 1.126703910614527e+000   4.958646063005024e-001  -2.609308628430923e-001   1.334775224724153e-001
 1.128882681564247e+000   5.014264522205115e-001  -2.599740220716298e-001   1.366245359035357e-001
 1.131061452513968e+000   5.074288561894077e-001  -2.588830361282183e-001   1.398546216713546e-001
 1.133240223463689e+000   5.138767570846240e-001  -2.576685580958456e-001   1.431547876447288e-001
 1.135418994413410e+000   5.207725326781362e-001  -2.563419489432552e-001   1.465147338173939e-001
 1.137597765363130e+000   5.281154881790647e-001  -2.549152765114987e-001   1.499274317586370e-001
 1.139776536312851e+000   5.359020922169404e-001  -2.534012130900952e-001   1.533889661796059e-001
 1.141955307262572e+000   5.441258344601242e-001  -2.518130439294719e-001   1.568987644741057e-001
 1.144134078212293e+000   5.527770068069212e-001  -2.501647006250649e-001   1.604599891636185e-001
 1.146312849162013e+000   5.618432656472072e-001  -2.484706480123861e-001   1.640790336745802e-001
 1.148491620111734e+000   5.713096987904290e-001  -2.467458733190245e-001   1.677656104111010e-001
 1.150670391061455e+000   5.811593367143156e-001  -2.450057937003737e-001   1.715325513279794e-001
 1.152849162011176e+000   5.913740286497180e-001  -2.432660723616078e-001   1.753950285964687e-001
 1.155027932960896e+000   6.019349542366455e-001  -2.415424958835064e-001   1.793703030870179e-001
 1.157206703910617e+000   6.128235225131817e-001  -2.398506864172481e-001   1.834768565783561e-001
 1.159385474860338e+000   6.240218078854880e-001  -2.382059075548122e-001   1.877335912164787e-001
 1.161564245810059e+000   6.355130716247293e-001  -2.366228037327166e-001   1.921591561005846e-001
 1.163743016759779e+000   6.472822280000218e-001  -2.351151598789843e-001   1.967711031805697e-001
 1.165921787709500e+000   6.593159549029808e-001  -2.336958838452802e-001   2.015856245358923e-001
 1.168100558659221e+000   6.716032115396224e-001  -2.323768076219604e-001   2.066170127610126e-001
 1.170279329608942e+000   6.841354918897031e-001  -2.311686772141858e-001   2.118774923542278e-001
 1.172458100558662e+000   6.969068659372839e-001  -2.300812024140362e-001   2.173772693884743e-001
 1.174636871508383e+000   7.099146246582495e-001  -2.291228893987090e-001   2.231241643919010e-001
 1.176815642458104e+000   7.231594418201238e-001  -2.283010713505196e-001   2.291236394859169e-001
 1.178994413407825e+000   7.366454149950223e-001  -2.276219351804279e-001   2.353788050330182e-001
 1.181173184357545e+000   7.503807772330319e-001  -2.270903368273430e-001   2.418899420026176e-001
 1.183351955307266e+000   7.643775988826976e-001  -2.267099339187446e-001   2.486546202855220e-001
 1.185530726256987e+000   7.786516421866488e-001  -2.264832502274410e-001   2.556677529418332e-001
 1.187709497206708e+000   7.932225239156042e-001  -2.264116544854732e-001   2.629214064068001e-001
 1.189888268156428e+000   8.081127910990947e-001  -2.264956520256128e-001   2.704055470882533e-001
 1.192067039106149e+000   8.233475522429583e-001  -2.267349959602522e-001   2.781084160095756e-001
 1.194245810055870e+000   8.389539503978343e-001  -2.271288288160383e-001   2.860172258628824e-001
 1.196424581005591e+000   8.549602847347594e-001  -2.276758988706706e-001   2.941190558734189e-001
 1.198603351955311e+000   8.713956140641249e-001  -2.283746331366213e-001   3.024013594831276e-001
 1.200782122905032e+000   8.882891487757972e-001  -2.292232116730021e-001   3.108526998834436e-001
 1.202960893854753e+000   9.056698494890507e-001  -2.302196150967860e-001   3.194628200149648e-001
 1.205139664804473e+000   9.235661193546645e-001  -2.313616122379532e-001   3.282227796748248e-001
 1.207318435754194e+000   9.420053767853825e-001  -2.326467044965315e-001   3.371247659272175e-001
 1.209497206703915e+000   9.610138649272086e-001  -2.340720982547397e-001   3.461616154432651e-001
 1.211675977653636e+000   9.806162372062359e-001  -2.356346191575655e-001   3.553265110965383e-001
 1.213854748603356e+000   1.000834943591279e+000  -2.373306059757118e-001   3.646123928525262e-001
 1.216033519553077e+000   1.021689952340227e+000  -2.391558995750875e-001   3.740116210558360e-001
 1.218212290502798e+000   1.043197877243674e+000  -2.411057233955392e-001   3.835155287717222e-001
 1.220391061452519e+000   1.065370990213708e+000  -2.431746069155435e-001   3.931139712993836e-001
 1.222569832402239e+000   1.088216823804515e+000  -2.453563839418146e-001   4.027952015835160e-001
 1.224748603351960e+000   1.111736551339462e+000  -2.476440237372840e-001   4.125453712274226e-001
 1.226927374301681e+000   1.135923788504316e+000  -2.500295376202106e-001   4.223483044729044e-001
 1.229106145251402e+000   1.160764118279827e+000  -2.525039466221658e-001   4.321854728398309e-001
 1.231284916201122e+000   1.186232594761447e+000  -2.550570043883764e-001   4.420354379521192e-001
 1.233463687150843e+000   1.212292724984868e+000  -2.576770861228424e-001   4.518737558207170e-001
 1.235642458100564e+000   1.238895846905791e+000  -2.603511136004316e-001   4.616729028465084e-001
 1.237821229050285e+000   1.265977762074508e+000  -2.630641455781637e-001   4.714015421610781e-001
 1.240000000000005e+000   1.293458291344454e+000  -2.657993058191587e-001   4.810244853947931e-001
