---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.FileName = "LPSIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.pz
 8.500000000000000e-001  -1.935295695484898e+000  -2.176173737413338e-001   1.027583832783144e+000
 8.521787709497206e-001  -1.914027473999864e+000  -2.182399797992906e-001   1.027791544639465e+000
 8.543575418994412e-001  -1.892736627658225e+000  -2.190148974199046e-001   1.028115947173251e+000
 8.565363128491619e-001  -1.871426232208447e+000  -2.199406294703054e-001   1.028544481853633e+000
 8.587150837988825e-001  -1.850098797693343e+000  -2.210133211131908e-001   1.029064097574737e+000
 8.608938547486031e-001  -1.828756523169593e+000  -2.222265574028009e-001   1.029661506853150e+000
 8.630726256983238e-001  -1.807401545582177e+000  -2.235717775197587e-001   1.030323466632487e+000
 8.652513966480444e-001  -1.786036077930189e+000  -2.250382974178745e-001   1.031036964509911e+000
 8.674301675977650e-001  -1.764662605710379e+000  -2.266134177392047e-001   1.031789536967235e+000
 8.696089385474857e-001  -1.743283943845330e+000  -2.282828999536783e-001   1.032569391762078e+000
 8.717877094972063e-001  -1.721903319116581e+000  -2.300310733214383e-001   1.033365593829232e+000
 8.739664804469269e-001  -1.700524434850910e+000  -2.318411474618431e-001   1.034168262948934e+000
 8.761452513966476e-001  -1.679151426407556e+000  -2.336956053758193e-001   1.034968515133959e+000
 8.783240223463682e-001  -1.657788903715666e+000  -2.355763969910934e-001   1.035758597824726e+000
 8.805027932960888e-001  -1.636441944258995e+000  -2.374653143423787e-001   1.036531922365369e+000
 8.826815642458095e-001  -1.615116024583743e+000  -2.393442407857992e-001   1.037282944359788e+000
 8.848603351955301e-001  -1.593817033833268e+000  -2.411954184094590e-001   1.038007270872218e+000
 8.870391061452507e-001  -1.572551194682215e+000  -2.430017714464220e-001   1.038701609653033e+000
 8.892178770949714e-001  -1.551324972586156e+000  -2.447470493379071e-001   1.039363646060997e+000
 8.913966480446920e-001  -1.530145015652505e+000  -2.464161858985488e-001   1.039992117350591e+000
 8.935754189944126e-001  -1.509018008041481e+000  -2.479955490239142e-001   1.040586677887169e+000
 8.957541899441333e-001  -1.487950577468461e+000  -2.494730274638845e-001   1.041147777859211e+000
 8.979329608938539e-001  -1.466949152436387e+000  -2.508384804753343e-001   1.041676665267964e+000
 9.001117318435745e-001  -1.446019835008111e+000  -2.520838388224900e-001   1.042175199299729e+000
 9.022905027932952e-001  -1.425168336075802e+000  -2.532031528250352e-001   1.042645744412104e+000
