---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.FileName = "LPSIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LPSIS.MarkerPositionFile.pz
 9.044692737430158e-001  -1.404399810709886e+000  -2.541930438916034e-001   1.043091097520880e+000
 9.066480446927364e-001  -1.383718824439362e+000  -2.550525648253392e-001   1.043514311565805e+000
 9.088268156424570e-001  -1.363129315815636e+000  -2.557831980950122e-001   1.043918610757493e+000
 9.110055865921777e-001  -1.342634464426676e+000  -2.563891179517103e-001   1.044307276329445e+000
 9.131843575418983e-001  -1.322236742134904e+000  -2.568767700685817e-001   1.044683542066771e+000
 9.153631284916189e-001  -1.301937884257687e+000  -2.572547906573194e-001   1.045050535543148e+000
 9.175418994413396e-001  -1.281738802376410e+000  -2.575339280546563e-001   1.045411186521593e+000
 9.197206703910602e-001  -1.261639675990649e+000  -2.577264966160038e-001   1.045768210051266e+000
 9.218994413407808e-001  -1.241639919526038e+000  -2.578462067407162e-001   1.046124074523360e+000
 9.240782122905015e-001  -1.221738143015245e+000  -2.579078086732989e-001   1.046480970446567e+000
 9.262569832402221e-001  -1.201932268963143e+000  -2.579266201281271e-001   1.046840850658845e+000
 9.284357541899427e-001  -1.182219507385783e+000  -2.579182632769396e-001   1.047205422958155e+000
 9.306145251396634e-001  -1.162596385587813e+000  -2.578981861794376e-001   1.047576164079989e+000
 9.327932960893840e-001  -1.143058877285590e+000  -2.578813539472064e-001   1.047954354611630e+000
 9.349720670391046e-001  -1.123602408391890e+000  -2.578818837978078e-001   1.048341066594486e+000
 9.371508379888253e-001  -1.104221958380507e+000  -2.579126022180343e-001   1.048737156952722e+000
 9.393296089385459e-001  -1.084912180620540e+000  -2.579849365068704e-001   1.049143281696102e+000
 9.415083798882665e-001  -1.065667455211379e+000  -2.581085096922480e-001   1.049559865628624e+000
 9.436871508379872e-001  -1.046482015524969e+000  -2.582909632245574e-001   1.049987107422570e+000
 9.458659217877078e-001  -1.027350025526917e+000  -2.585380541024851e-001   1.050425009395705e+000
 9.480446927374284e-001  -1.008265652200133e+000  -2.588533724688731e-001   1.050873373812231e+000
 9.502234636871491e-001  -9.892231413610498e-001  -2.592385204559380e-001   1.051331855234251e+000
 9.524022346368697e-001  -9.702168523626176e-001  -2.596933191102491e-001   1.051799994364320e+000
 9.545810055865903e-001  -9.512413270102658e-001  -2.602157415935451e-001   1.052277239213947e+000
 9.567597765363110e-001  -9.322913267131421e-001  -2.608022947391511e-001   1.052762976615180e+000
 9.589385474860316e-001  -9.133618520314942e-001  -2.614482289089289e-001   1.053256543049166e+000
 9.611173184357522e-001  -8.944482125650786e-001  -2.621476507579236e-001   1.053757225740750e+000
 9.632960893854728e-001  -8.755460229497865e-001  -2.628938928068632e-001   1.054264260517706e+000
 9.654748603351935e-001  -8.566512123894792e-001  -2.636796741288875e-001   1.054776822390622e+000
 9.676536312849141e-001  -8.377600725984927e-001  -2.644972823642178e-001   1.055293993628043e+000
 9.698324022346347e-001  -8.188692190687259e-001  -2.653388066914646e-001   1.055814748303553e+000
 9.720111731843554e-001  -7.999755971019426e-001  -2.661962501361193e-001   1.056337935233706e+000
 9.741899441340760e-001  -7.810765058389951e-001  -2.670617004077857e-001   1.056862248673716e+000
 9.763687150837966e-001  -7.621695496981903e-001  -2.679274363944977e-001   1.057386242874740e+000
 9.785474860335173e-001  -7.432526463152768e-001  -2.687860205082500e-001   1.057908323972637e+000
 9.807262569832379e-001  -7.243240284743039e-001  -2.696304377219647e-001   1.058426742301589e+000
 9.829050279329585e-001  -7.053821847389383e-001  -2.704541222682957e-001   1.058939613320173e+000
 9.850837988826792e-001  -6.864258579266648e-001  -2.712510545822630e-001   1.059444911444382e+000
 9.872625698323998e-001  -6.674540201624379e-001  -2.720158676040479e-001   1.059940478543580e+000
 9.894413407821204e-001  -6.484658399233940e-001  -2.727438252723093e-001   1.060424054633966e+000
 9.916201117318411e-001  -6.294606982404507e-001  -2.734309299653251e-001   1.060893286053090e+000
 9.937988826815617e-001  -6.104382046662393e-001  -2.740739704708847e-001   1.061345756005199e+000
 9.959776536312823e-001  -5.913981888715235e-001  -2.746704587210075e-001   1.061779009868375e+000
 9.981564245810030e-001  -5.723407431213501e-001  -2.752187204103778e-001   1.062190573568654e+000
 1.000335195530724e+000  -5.532662407914055e-001  -2.757178551754791e-001   1.062577986582282e+000
 1.002513966480444e+000  -5.341753336540051e-001  -2.761676522151675e-001   1.062938824821524e+000
 1.004692737430165e+000  -5.150690231265447e-001  -2.765686398913606e-001   1.063270741711011e+000
 1.006871508379886e+000  -4.959487846087971e-001  -2.769219954484417e-001   1.063571538324749e+000
 1.009050279329607e+000  -4.768167188265332e-001  -2.772294859857361e-001   1.063839225356406e+000
 1.011229050279327e+000  -4.576759554074574e-001  -2.774935140569905e-001   1.064072171717182e+000
 1.013407821229048e+000  -4.385308157353671e-001  -2.777170050050336e-001   1.064269183937203e+000
 1.015586592178769e+000  -4.193866276204986e-001  -2.779032849858671e-001   1.064429480176110e+000
 1.017765363128490e+000  -4.002492370653633e-001  -2.780558713389682e-001   1.064552621468282e+000
 1.019944134078210e+000  -3.811233266620594e-001  -2.781779397244990e-001   1.064638040031850e+000
 1.022122905027931e+000  -3.620113585266400e-001  -2.782719973618744e-001   1.064684705016464e+000
 1.024301675977652e+000  -3.429115689233704e-001  -2.783392740490928e-001   1.064690425286369e+000
 1.026480446927373e+000  -3.238187249448924e-001  -2.783799539997948e-001   1.064651762789809e+000
 1.028659217877093e+000  -3.047247696587627e-001  -2.783933738535389e-001   1.064564012433824e+000
 1.030837988826814e+000  -2.856210469604766e-001  -2.783787018171039e-001   1.064421499677736e+000
 1.033016759776535e+000  -2.664997689532319e-001  -2.783353674614951e-001   1.064218169043316e+000
 1.035195530726256e+000  -2.473547825417147e-001  -2.782632817172255e-001   1.063947903273705e+000
 1.037374301675976e+000  -2.281816264581138e-001  -2.781628300519820e-001   1.063604943365459e+000
 1.039553072625697e+000  -2.089769831114065e-001  -2.780347315406100e-001   1.063183982559523e+000
 1.041731843575418e+000  -1.897384780197748e-001  -2.778800083661417e-001   1.062680289424095e+000
 1.043910614525138e+000  -1.704645148551569e-001  -2.777000327856212e-001   1.062089766313283e+000
 1.046089385474859e+000  -1.511541525304789e-001  -2.774965508884514e-001   1.061408898737856e+000
 1.048268156424580e+000  -1.318071416777005e-001  -2.772717864324145e-001   1.060634831910740e+000
 1.050446927374301e+000  -1.124238670101420e-001  -2.770285177128479e-001   1.059765404239471e+000
 1.052625698324021e+000  -9.300525072720198e-002  -2.767700588956185e-001   1.058799113545038e+000
 1.054804469273742e+000  -7.355277078519623e-002  -2.765003548542724e-001   1.057735235697849e+000
 1.056983240223463e+000  -5.406838474648262e-002  -2.762239678550305e-001   1.056573868115055e+000
 1.059162011173184e+000  -3.455444948660837e-002  -2.759460127848872e-001   1.055315913882452e+000
 1.061340782122904e+000  -1.501370570321698e-002  -2.756721894349108e-001   1.053963249278448e+000
 1.063519553072625e+000   4.550851075111616e-003  -2.754086592723433e-001   1.052518742550887e+000
 1.065698324022346e+000   2.413606324112011e-002  -2.751619462514998e-001   1.050986242969149e+000
 1.067877094972067e+000   4.373872404592873e-002  -2.749388517120415e-001   1.049370766942886e+000
 1.070055865921787e+000   6.335575272994008e-002  -2.747462503287905e-001   1.047678440423557e+000
 1.072234636871508e+000   8.298430705789020e-002  -2.745909627799743e-001   1.045916480628061e+000
 1.074413407821229e+000   1.026220174700834e-001  -2.744795244262482e-001   1.044093334567100e+000
 1.076592178770950e+000   1.222671330611937e-001  -2.744179869974733e-001   1.042218525918188e+000
 1.078770949720670e+000   1.419186316793597e-001  -2.744117724190003e-001   1.040302625345064e+000
 1.080949720670391e+000   1.615764557258241e-001  -2.744653574057578e-001   1.038357286523371e+000
 1.083128491620112e+000   1.812414560499696e-001  -2.745821933669827e-001   1.036395024028887e+000
 1.085307262569833e+000   2.009154353832319e-001  -2.747645528898356e-001   1.034429156381619e+000
 1.087486033519553e+000   2.206012059500519e-001  -2.750132432115703e-001   1.032473699669658e+000
 1.089664804469274e+000   2.403024420287498e-001  -2.753276590895668e-001   1.030543115377529e+000
 1.091843575418995e+000   2.600237068429462e-001  -2.757056166177439e-001   1.028652189562977e+000
 1.094022346368716e+000   2.797704677227028e-001  -2.761431572149885e-001   1.026815773805272e+000
 1.096201117318436e+000   2.995489494779985e-001  -2.766347181951205e-001   1.025048560264815e+000
 1.098379888268157e+000   3.193661454187075e-001  -2.771729904850486e-001   1.023364868155411e+000
 1.100558659217878e+000   3.392297018881430e-001  -2.777489427467030e-001   1.021778324030126e+000
 1.102737430167599e+000   3.591477142720778e-001  -2.783521207171508e-001   1.020301746124514e+000
 1.104916201117319e+000   3.791286171416731e-001  -2.789706485680009e-001   1.018946870139777e+000
 1.107094972067040e+000   3.991809147897736e-001  -2.795915411133579e-001   1.017724129169717e+000
 1.109273743016761e+000   4.193130006712921e-001  -2.802010382728181e-001   1.016642658561120e+000
 1.111452513966482e+000   4.395329333619651e-001  -2.807848125062198e-001   1.015710014265747e+000
 1.113631284916202e+000   4.598482091350151e-001  -2.813284112249080e-001   1.014932110130934e+000
 1.115810055865923e+000   4.802656769750349e-001  -2.818175282495539e-001   1.014313287171922e+000
 1.117988826815644e+000   5.007912916922499e-001  -2.822383886321062e-001   1.013856058018682e+000
 1.120167597765365e+000   5.214300052742882e-001  -2.825781154302107e-001   1.013561218073691e+000
 1.122346368715085e+000   5.421857246320895e-001  -2.828249094718137e-001   1.013427960796903e+000
 1.124525139664806e+000   5.630610415168247e-001  -2.829685201822435e-001   1.013453746252195e+000
 1.126703910614527e+000   5.840572361116859e-001  -2.830003992376737e-001   1.013634589697198e+000
 1.128882681564247e+000   6.051742545301000e-001  -2.829138107280793e-001   1.013965194429628e+000
 1.131061452513968e+000   6.264104769046124e-001  -2.827042654736474e-001   1.014438974389271e+000
 1.133240223463689e+000   6.477628389366230e-001  -2.823694061651185e-001   1.015048357675005e+000
 1.135418994413410e+000   6.692268021364279e-001  -2.819090634101715e-001   1.015784891514295e+000
 1.137597765363130e+000   6.907961703605716e-001  -2.813254999805704e-001   1.016639340280488e+000
 1.139776536312851e+000   7.124632730823665e-001  -2.806230544514459e-001   1.017601945121568e+000
 1.141955307262572e+000   7.342189230159280e-001  -2.798081267530585e-001   1.018662536416680e+000
 1.144134078212293e+000   7.560523418518153e-001  -2.788891237784704e-001   1.019810746773957e+000
 1.146312849162013e+000   7.779514340916144e-001  -2.778760003615041e-001   1.021036237791810e+000
 1.148491620111734e+000   7.999027980511780e-001  -2.767801634627248e-001   1.022328864590566e+000
 1.150670391061455e+000   8.218918825971968e-001  -2.756142084027524e-001   1.023678940281448e+000
 1.152849162011176e+000   8.439033511157181e-001  -2.743915509453404e-001   1.025077325765849e+000
 1.155027932960896e+000   8.659212520123909e-001  -2.731262854015417e-001   1.026515593062763e+000
 1.157206703910617e+000   8.879294403087007e-001  -2.718328962634835e-001   1.027986151922028e+000
 1.159385474860338e+000   9.099118830828229e-001  -2.705260349811264e-001   1.029482187782123e+000
 1.161564245810059e+000   9.318529689068655e-001  -2.692203462901516e-001   1.030997754555800e+000
 1.163743016759779e+000   9.537378450805688e-001  -2.679302212967711e-001   1.032527720434983e+000
 1.165921787709500e+000   9.755525153860242e-001  -2.666696715426281e-001   1.034067641650713e+000
 1.168100558659221e+000   9.972841292117999e-001  -2.654520999829113e-001   1.035613768530320e+000
 1.170279329608942e+000   1.018921112672331e+000  -2.642900933433662e-001   1.037162894056206e+000
 1.172458100558662e+000   1.040453157739471e+000  -2.631953344288865e-001   1.038712235208488e+000
 1.174636871508383e+000   1.061871475763901e+000  -2.621782796464981e-001   1.040259370553460e+000
 1.176815642458104e+000   1.083168733671696e+000  -2.612480087446593e-001   1.041802091044297e+000
 1.178994413407825e+000   1.104338990621016e+000  -2.604121563156057e-001   1.043338324581875e+000
 1.181173184357545e+000   1.125377865719580e+000  -2.596765284834448e-001   1.044866060173255e+000
 1.183351955307266e+000   1.146282359713486e+000  -2.590451134068368e-001   1.046383279324191e+000
 1.185530726256987e+000   1.167050787520938e+000  -2.585200519323919e-001   1.047887928654129e+000
 1.187709497206708e+000   1.187682843914100e+000  -2.581013507969382e-001   1.049377884902373e+000
 1.189888268156428e+000   1.208179340914978e+000  -2.577871398243055e-001   1.050850956243959e+000
 1.192067039106149e+000   1.228542137034477e+000  -2.575737077117058e-001   1.052304884002619e+000
 1.194245810055870e+000   1.248774095066209e+000  -2.574554721624078e-001   1.053737352213439e+000
 1.196424581005591e+000   1.268878841937035e+000  -2.574253937397664e-001   1.055146022347366e+000
 1.198603351955311e+000   1.288860704804329e+000  -2.574750810883220e-001   1.056528556482980e+000
 1.200782122905032e+000   1.308724598996462e+000  -2.575950029382557e-001   1.057882667307618e+000
 1.202960893854753e+000   1.328475835859548e+000  -2.577748780395062e-001   1.059206154808508e+000
 1.205139664804473e+000   1.348120051842117e+000  -2.580038390469743e-001   1.060496947937943e+000
 1.207318435754194e+000   1.367663087564037e+000  -2.582707500716849e-001   1.061753171225537e+000
 1.209497206703915e+000   1.387110902098452e+000  -2.585644617603015e-001   1.062973162190098e+000
 1.211675977653636e+000   1.406469533521217e+000  -2.588740168784526e-001   1.064155524994316e+000
 1.213854748603356e+000   1.425745059744474e+000  -2.591889354313672e-001   1.065299172855932e+000
 1.216033519553077e+000   1.444943575858361e+000  -2.594993283744160e-001   1.066403307591511e+000
 1.218212290502798e+000   1.464071178177204e+000  -2.597961324944062e-001   1.067467458959036e+000
 1.220391061452519e+000   1.483133948984974e+000  -2.600713016269443e-001   1.068491478144300e+000
 1.222569832402239e+000   1.502137979312478e+000  -2.603178209789088e-001   1.069475504858203e+000
 1.224748603351960e+000   1.521089415573811e+000  -2.605299491240641e-001   1.070419993516522e+000
 1.226927374301681e+000   1.539994598775922e+000  -2.607032407826423e-001   1.071325673970966e+000
 1.229106145251402e+000   1.558860145429311e+000  -2.608344751000324e-001   1.072193511588851e+000
 1.231284916201122e+000   1.577693115273448e+000  -2.609218134069123e-001   1.073024703208614e+000
 1.233463687150843e+000   1.596501032042224e+000  -2.609646581767663e-001   1.073820622754691e+000
 1.235642458100564e+000   1.615291859474189e+000  -2.609635595621381e-001   1.074582789509261e+000
 1.237821229050285e+000   1.634074022230602e+000  -2.609202828050309e-001   1.075312846498250e+000
 1.240000000000005e+000   1.652856368733187e+000  -2.608375837039014e-001   1.076012498322554e+000
