---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.FileName = "RTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
 9.545810055865903e-001  -9.981835843497691e-001  -4.702758379853251e-001   7.234736463601816e-001
 9.567597765363110e-001  -9.771686083799382e-001  -4.717106528765045e-001   7.234556058125929e-001
 9.589385474860316e-001  -9.560559477361732e-001  -4.731401451757929e-001   7.233798143647294e-001
 9.611173184357522e-001  -9.348486379109668e-001  -4.745603267555141e-001   7.232501145220955e-001
 9.632960893854728e-001  -9.135492774708739e-001  -4.759673623177637e-001   7.230702380338214e-001
 9.654748603351935e-001  -8.921600584412793e-001  -4.773576203958836e-001   7.228437981116843e-001
 9.676536312849141e-001  -8.706827744725413e-001  -4.787278085238072e-001   7.225742534163090e-001
 9.698324022346347e-001  -8.491189187127175e-001  -4.800750522348180e-001   7.222648973765442e-001
 9.720111731843554e-001  -8.274697121197131e-001  -4.813969803988490e-001   7.219188335621228e-001
 9.741899441340760e-001  -8.057361334426096e-001  -4.826918918694449e-001   7.215389178589745e-001
 9.763687150837966e-001  -7.839189759496456e-001  -4.839587374885014e-001   7.211277525487967e-001
 9.785474860335173e-001  -7.620188563400152e-001  -4.851971856405269e-001   7.206876488989019e-001
 9.807262569832379e-001  -7.400362239217374e-001  -4.864076833043229e-001   7.202205745700452e-001
 9.829050279329585e-001  -7.179713915273231e-001  -4.875913373811120e-001   7.197281904548019e-001
 9.850837988826792e-001  -6.958245336537211e-001  -4.887499279077603e-001   7.192118328168022e-001
 9.872625698323998e-001  -6.735956887058202e-001  -4.898858306339464e-001   7.186725408916838e-001
 9.894413407821204e-001  -6.512847637427133e-001  -4.910018634816641e-001   7.181111277908070e-001
 9.916201117318411e-001  -6.288915058797654e-001  -4.921012358674641e-001   7.175281993267355e-001
 9.937988826815617e-001  -6.064154561569917e-001  -4.931874046365846e-001   7.169242143802831e-001
