---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.FileName = "LLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
 9.545810055865903e-001  -4.383298310941144e-001  -1.484688306743939e-001   7.792618897280228e-001
 9.567597765363110e-001  -4.200636425242824e-001  -1.462604114612884e-001   7.730906625500472e-001
 9.589385474860316e-001  -4.019696455260928e-001  -1.440631911690222e-001   7.668058645615496e-001
 9.611173184357522e-001  -3.840500625324861e-001  -1.418834485369623e-001   7.604280514526681e-001
 9.632960893854728e-001  -3.663061931882929e-001  -1.397274780470164e-001   7.539774059351653e-001
 9.654748603351935e-001  -3.487383612239329e-001  -1.376016139196624e-001   7.474737208858526e-001
 9.676536312849141e-001  -3.313457071441804e-001  -1.355122769575886e-001   7.409363590569335e-001
 9.698324022346347e-001  -3.141262469303091e-001  -1.334659924213537e-001   7.343843436310287e-001
 9.720111731843554e-001  -2.970768036958677e-001  -1.314694012839188e-001   7.278363841278103e-001
 9.741899441340760e-001  -2.801928371123799e-001  -1.295292623350464e-001   7.213109111612940e-001
 9.763687150837966e-001  -2.634685826382676e-001  -1.276523874303375e-001   7.148261231379350e-001
 9.785474860335173e-001  -2.468969922839540e-001  -1.258455905403393e-001   7.083999630928513e-001
 9.807262569832379e-001  -2.304697113928760e-001  -1.241155547481938e-001   7.020500106467869e-001
 9.829050279329585e-001  -2.141773383138984e-001  -1.224687219902103e-001   6.957933778112193e-001
 9.850837988826792e-001  -1.980094574828762e-001  -1.209111601962553e-001   6.896465241066813e-001
 9.872625698323998e-001  -1.819548424383933e-001  -1.194483578946111e-001   6.836249267150453e-001
 9.894413407821204e-001  -1.660017290977577e-001  -1.180851603621791e-001   6.777429473757790e-001
 9.916201117318411e-001  -1.501379547783086e-001  -1.168255826350739e-001   6.720134743582711e-001
 9.937988826815617e-001  -1.343512422514142e-001  -1.156726532813046e-001   6.664475476836854e-001
 9.959776536312823e-001  -1.186293828949172e-001  -1.146284469337397e-001   6.610543143511750e-001
 9.981564245810030e-001  -1.029604405305325e-001  -1.136939182081882e-001   6.558405601420625e-001
 1.000335195530724e+000  -8.733297223757318e-002  -1.128689306801336e-001   6.508105065523321e-001
 1.002513966480444e+000  -7.173612675241035e-002  -1.121523678620303e-001   6.459658941054604e-001
 1.004692737430165e+000  -5.615990402491217e-002  -1.115420559359021e-001   6.413055372575873e-001
 1.006871508379886e+000  -4.059534923277633e-002  -1.110348976222106e-001   6.368254177687885e-001
 1.009050279329607e+000  -2.503463319771564e-002  -1.106269781066549e-001   6.325188433056579e-001
 1.011229050279327e+000  -9.471400218906795e-003  -1.103135469152376e-001   6.283761319508527e-001
 1.013407821229048e+000   6.099201582050302e-003  -1.100891951463533e-001   6.243849866580057e-001
 1.015586592178769e+000   2.168050470849720e-002  -1.099479464423285e-001   6.205307107505597e-001
 1.017765363128490e+000   3.727406384082821e-002  -1.098833058766709e-001   6.167961906757010e-001
 1.019944134078210e+000   5.287983513924172e-002  -1.098884315565487e-001   6.131625281213718e-001
 1.022122905027931e+000   6.849621099665557e-002  -1.099562166417844e-001   6.096093344244895e-001
 1.024301675977652e+000   8.411994663285551e-002  -1.100794063931992e-001   6.061151265083772e-001
 1.026480446927373e+000   9.974647131039008e-002  -1.102507389487854e-001   6.026579739096114e-001
 1.028659217877093e+000   1.153699504858305e-001  -1.104630276701675e-001   5.992158487050781e-001
 1.030837988826814e+000   1.309833588873861e-001  -1.107093004228631e-001   5.957672283924398e-001
 1.033016759776535e+000   1.465787987509647e-001  -1.109828713743803e-001   5.922914613487040e-001
 1.035195530726256e+000   1.621476056211297e-001  -1.112774316604625e-001   5.887691262945971e-001
 1.037374301675976e+000   1.776805985363970e-001  -1.115871972777415e-001   5.851825685227757e-001
 1.039553072625697e+000   1.931683593070482e-001  -1.119069336090311e-001   5.815159766603879e-001
 1.041731843575418e+000   2.086014035804701e-001  -1.122320710394010e-001   5.777557606398710e-001
 1.043910614525138e+000   2.239704398929330e-001  -1.125588198705157e-001   5.738909087477137e-001
 1.046089385474859e+000   2.392664829679946e-001  -1.128841321240713e-001   5.699128478858436e-001
 1.048268156424580e+000   2.544810084961615e-001  -1.132058157893074e-001   5.658158107723366e-001
 1.050446927374301e+000   2.696060720881833e-001  -1.135225573631611e-001   5.615969275176651e-001
 1.052625698324021e+000   2.846342974787383e-001  -1.138338349068010e-001   5.572559703370205e-001
 1.054804469273742e+000   2.995589800671355e-001  -1.141399987489567e-001   5.527956639040381e-001
 1.056983240223463e+000   3.143740627974981e-001  -1.144422126993064e-001   5.482215207981536e-001
 1.059162011173184e+000   3.290740585870475e-001  -1.147423706272991e-001   5.435415501979568e-001
 1.061340782122904e+000   3.436540684274916e-001  -1.150431555499138e-001   5.387664432687649e-001
 1.063519553072625e+000   3.581096388441212e-001  -1.153479246496770e-001   5.339091926351962e-001
 1.065698324022346e+000   3.724366632673904e-001  -1.156605921590388e-001   5.289848067105942e-001
 1.067877094972067e+000   3.866313061671837e-001  -1.159855388890147e-001   5.240102951541376e-001
 1.070055865921787e+000   4.006898707382862e-001  -1.163272515920194e-001   5.190041540351663e-001
 1.072234636871508e+000   4.146087479384264e-001  -1.166900634383059e-001   5.139860808380891e-001
 1.074413407821229e+000   4.283843754624266e-001  -1.170776435011447e-001   5.089766781313758e-001
 1.076592178770950e+000   4.420132628260139e-001  -1.174926098983639e-001   5.039968721891976e-001
 1.078770949720670e+000   4.554920536475912e-001  -1.179363065116936e-001   4.990675932392275e-001
 1.080949720670391e+000   4.688177263721981e-001  -1.184084198855748e-001   4.942092222983754e-001
 1.083128491620112e+000   4.819878682482054e-001  -1.189072516425548e-001   4.894412973577973e-001
 1.085307262569833e+000   4.950009546694309e-001  -1.194298149164132e-001   4.847822952545005e-001
 1.087486033519553e+000   5.078569675024357e-001  -1.199721472568352e-001   4.802493595020608e-001
 1.089664804469274e+000   5.205576132690388e-001  -1.205298025074308e-001   4.758584572182554e-001
 1.091843575418995e+000   5.331066860194437e-001  -1.210980993420735e-001   4.716243362469477e-001
 1.094022346368716e+000   5.455104308869627e-001  -1.216724633298271e-001   4.675605616014419e-001
 1.096201117318436e+000   5.577771963678738e-001  -1.222485216032111e-001   4.636797261866895e-001
 1.098379888268157e+000   5.699174751134537e-001  -1.228221795023995e-001   4.599934364446005e-001
 1.100558659217878e+000   5.819434955517260e-001  -1.233895952775674e-001   4.565123745519055e-001
 1.102737430167599e+000   5.938686405464668e-001  -1.239471041779622e-001   4.532464491195750e-001
 1.104916201117319e+000   6.057071355361982e-001  -1.244911826110601e-001   4.502047672131386e-001
 1.107094972067040e+000   6.174734566387337e-001  -1.250183861818713e-001   4.473956905385123e-001
 1.109273743016761e+000   6.291820104834576e-001  -1.255253217015536e-001   4.448268983332017e-001
 1.111452513966482e+000   6.408468012533265e-001  -1.260086364537726e-001   4.425052829108502e-001
 1.113631284916202e+000   6.524812011523901e-001  -1.264650295067888e-001   4.404368874323700e-001
