---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.FileName = "RMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
 9.545810055865903e-001  -1.471592989707094e+000  -3.077220257080647e-001   4.505078467163013e-001
 9.567597765363110e-001  -1.449947547185961e+000  -3.066922464903548e-001   4.589156597526837e-001
 9.589385474860316e-001  -1.427825732801082e+000  -3.056144936007378e-001   4.672126518652309e-001
 9.611173184357522e-001  -1.405228254936566e+000  -3.044960727367139e-001   4.753837335788117e-001
 9.632960893854728e-001  -1.382157059065597e+000  -3.033439920073551e-001   4.834148531746162e-001
 9.654748603351935e-001  -1.358615314509510e+000  -3.021649550593742e-001   4.912930697919922e-001
 9.676536312849141e-001  -1.334607566285161e+000  -3.009653194403343e-001   4.990067766365847e-001
 9.698324022346347e-001  -1.310139600377306e+000  -2.997511405026299e-001   5.065455748896699e-001
 9.720111731843554e-001  -1.285218474361668e+000  -2.985281722140418e-001   5.139002943781081e-001
 9.741899441340760e-001  -1.259852616989343e+000  -2.973018606087727e-001   5.210630495409366e-001
 9.763687150837966e-001  -1.234051593980489e+000  -2.960774096152478e-001   5.280269913946456e-001
 9.785474860335173e-001  -1.207826090724930e+000  -2.948597946232826e-001   5.347862727959367e-001
 9.807262569832379e-001  -1.181187810242050e+000  -2.936537981866551e-001   5.413359369898526e-001
 9.829050279329585e-001  -1.154149250524081e+000  -2.924640605716596e-001   5.476717024655249e-001
 9.850837988826792e-001  -1.126723686068890e+000  -2.912950904298636e-001   5.537899241513000e-001
 9.872625698323998e-001  -1.098925123610236e+000  -2.901512819936366e-001   5.596875051802304e-001
 9.894413407821204e-001  -1.070768196989958e+000  -2.890369387383781e-001   5.653617713243152e-001
 9.916201117318411e-001  -1.042268210514756e+000  -2.879562753981008e-001   5.708104468475078e-001
 9.937988826815617e-001  -1.013441144423160e+000  -2.869134337576376e-001   5.760315605088977e-001
