---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.FileName = "ltrank.txt"
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.ltrank.MarkerPositionFile.pz
 8.500000000000000e-001  -1.564448088890422e+000  -1.283350804449099e-001   6.247907659016749e-001
 8.521787709497206e-001  -1.535940040386503e+000  -1.304928356190567e-001   6.279394986511452e-001
 8.543575418994412e-001  -1.507647374525087e+000  -1.326025823264769e-001   6.311191494546069e-001
 8.565363128491619e-001  -1.479565749043111e+000  -1.346537517046377e-001   6.343216358198504e-001
 8.587150837988825e-001  -1.451688002407204e+000  -1.366361751120512e-001   6.375381549951262e-001
 8.608938547486031e-001  -1.424004467821185e+000  -1.385402417848714e-001   6.407591569093832e-001
 8.630726256983238e-001  -1.396503688260073e+000  -1.403569268050046e-001   6.439744749313670e-001
 8.652513966480444e-001  -1.369172631226545e+000  -1.420778826056882e-001   6.471733337880676e-001
 8.674301675977650e-001  -1.341996998470379e+000  -1.436955963383773e-001   6.503443658032913e-001
 8.696089385474857e-001  -1.314961654827393e+000  -1.452033603968061e-001   6.534757322339442e-001
 8.717877094972063e-001  -1.288050804850041e+000  -1.465953777411573e-001   6.565551387477380e-001
 8.739664804469269e-001  -1.261248342517130e+000  -1.478668530085097e-001   6.595699084887443e-001
 8.761452513966476e-001  -1.234538159101155e+000  -1.490138864746511e-001   6.625071030510564e-001
 8.783240223463682e-001  -1.207904411342162e+000  -1.500335527882494e-001   6.653535791852691e-001
 8.805027932960888e-001  -1.181331934868140e+000  -1.509238733938171e-001   6.680961250439889e-001
 8.826815642458095e-001  -1.154806439267907e+000  -1.516836858485624e-001   6.707215701601471e-001
 8.848603351955301e-001  -1.128314899720457e+000  -1.523126912792064e-001   6.732169109836836e-001
 8.870391061452507e-001  -1.101845928198812e+000  -1.528113739448201e-001   6.755694906359501e-001
 8.892178770949714e-001  -1.075389875043071e+000  -1.531808932884918e-001   6.777670843093877e-001
 8.913966480446920e-001  -1.048939345733432e+000  -1.534231123037786e-001   6.797980982436667e-001
 8.935754189944126e-001  -1.022489402981757e+000  -1.535405000027087e-001   6.816516850955653e-001
 8.957541899441333e-001  -9.960375499476863e-001  -1.535360640967853e-001   6.833177558733073e-001
 8.979329608938539e-001  -9.695842134876328e-001  -1.534133854626532e-001   6.847871434694843e-001
 9.001117318435745e-001  -9.431326117637688e-001  -1.531765630831131e-001   6.860515421597545e-001
 9.022905027932952e-001  -9.166886611263873e-001  -1.528301903278580e-001   6.871034572121699e-001
 9.044692737430158e-001  -8.902613054255409e-001  -1.523794144193843e-001   6.879362591783533e-001
 9.066480446927364e-001  -8.638621389422598e-001  -1.518298638187939e-001   6.885440292073811e-001
 9.088268156424570e-001  -8.375052790301988e-001  -1.511876183232198e-001   6.889215033305659e-001
 9.110055865921777e-001  -8.112074268686377e-001  -1.504592011607654e-001   6.890640645869613e-001
 9.131843575418983e-001  -7.849872604573228e-001  -1.496514529267287e-001   6.889676118831253e-001
 9.153631284916189e-001  -7.588652138422215e-001  -1.487714797643492e-001   6.886285368130469e-001
 9.175418994413396e-001  -7.328631247951905e-001  -1.478265692288935e-001   6.880437338445775e-001
 9.197206703910602e-001  -7.070036079190192e-001  -1.468240766343683e-001   6.872105513355244e-001
 9.218994413407808e-001  -6.813097359052075e-001  -1.457713578316144e-001   6.861268342585967e-001
 9.240782122905015e-001  -6.558044613009915e-001  -1.446756490266004e-001   6.847910377111143e-001
 9.262569832402221e-001  -6.305102099878940e-001  -1.435439953160358e-001   6.832022475137424e-001
 9.284357541899427e-001  -6.054485068529359e-001  -1.423831655997768e-001   6.813603077499434e-001
 9.306145251396634e-001  -5.806395092051269e-001  -1.411995365943309e-001   6.792659840838242e-001
 9.327932960893840e-001  -5.561019946654221e-001  -1.399990768365705e-001   6.769209272141717e-001
 9.349720670391046e-001  -5.318531125025842e-001  -1.387872564360149e-001   6.743278086141572e-001
 9.371508379888253e-001  -5.079083676552973e-001  -1.375690029506132e-001   6.714903449173907e-001
 9.393296089385459e-001  -4.842818446846070e-001  -1.363487635125035e-001   6.684131685950984e-001
 9.415083798882665e-001  -4.609861341654026e-001  -1.351304746792366e-001   6.651018875736178e-001
 9.436871508379872e-001  -4.380324942298153e-001  -1.339176605481226e-001   6.615629604339418e-001
 9.458659217877078e-001  -4.154309953879253e-001  -1.327135343269936e-001   6.578035519354547e-001
 9.480446927374284e-001  -3.931903935110000e-001  -1.315210534342151e-001   6.538315181196028e-001
 9.502234636871491e-001  -3.713180963445316e-001  -1.303430320139491e-001   6.496552551265978e-001
 9.524022346368697e-001  -3.498201302811440e-001  -1.291821907209922e-001   6.452836160859962e-001
 9.545810055865903e-001  -3.287007596176620e-001  -1.280411915386659e-001   6.407259097967758e-001
 9.567597765363110e-001  -3.079623978489884e-001  -1.269226509739982e-001   6.359918500322012e-001
 9.589385474860316e-001  -2.876055843765882e-001  -1.258291328313055e-001   6.310915468941385e-001
 9.611173184357522e-001  -2.676286633003485e-001  -1.247631125121386e-001   6.260355805708253e-001
 9.632960893854728e-001  -2.480280836509167e-001  -1.237269377771730e-001   6.208349877513227e-001
 9.654748603351935e-001  -2.287985178914735e-001  -1.227227965138494e-001   6.155012695113479e-001
 9.676536312849141e-001  -2.099329178264226e-001  -1.217526379298173e-001   6.100464458682733e-001
 9.698324022346347e-001  -1.914229790501255e-001  -1.208181451773250e-001   6.044829425146400e-001
 9.720111731843554e-001  -1.732593007678851e-001  -1.199206931244988e-001   5.988235406854124e-001
 9.741899441340760e-001  -1.554316036532508e-001  -1.190612586998257e-001   5.930812615259852e-001
 9.763687150837966e-001  -1.379290274719747e-001  -1.182404261183072e-001   5.872691998442711e-001
 9.785474860335173e-001  -1.207402287496058e-001  -1.174583396972281e-001   5.814004242265343e-001
 9.807262569832379e-001  -1.038534930857064e-001  -1.167146423939758e-001   5.754878130833154e-001
 9.829050279329585e-001  -8.725684927615736e-002  -1.160085259725322e-001   5.695439645014038e-001
 9.850837988826792e-001  -7.093811069506936e-002  -1.153386964730377e-001   5.635810749273598e-001
 9.872625698323998e-001  -5.488497001370908e-002  -1.147033829068015e-001   5.576107564642101e-001
 9.894413407821204e-001  -3.908508905903821e-002  -1.141004287092415e-001   5.516439820942638e-001
 9.916201117318411e-001  -2.352617704944477e-002  -1.135273008657491e-001   5.456909025032890e-001
 9.937988826815617e-001  -8.196125361396434e-003  -1.129811815937394e-001   5.397606672747143e-001
 9.959776536312823e-001   6.916898211431004e-003  -1.124590651119703e-001   5.338613974396167e-001
 9.981564245810030e-001   2.182427679379121e-002  -1.119578213129874e-001   5.279999182618752e-001
 1.000335195530724e+000   3.653673817769881e-002  -1.114743256918684e-001   5.221815879037182e-001
 1.002513966480444e+000   5.106428319702883e-002  -1.110055435031719e-001   5.164103009577511e-001
 1.004692737430165e+000   6.541593910811831e-002  -1.105486570769085e-001   5.106881673080546e-001
 1.006871508379886e+000   7.959969764666640e-002  -1.101011865360733e-001   5.050155313396222e-001
 1.009050279329607e+000   9.362252861913639e-002  -1.096610339355728e-001   4.993910834310699e-001
 1.011229050279327e+000   1.074901969137370e-001  -1.092266132905522e-001   4.938117112858851e-001
 1.013407821229048e+000   1.212073178447596e-001  -1.087968382627275e-001   4.882728433791316e-001
 1.015586592178769e+000   1.347773696559202e-001  -1.083711074606455e-001   4.827686443468728e-001
 1.017765363128490e+000   1.482025171203373e-001  -1.079493485323937e-001   4.772921340406927e-001
 1.019944134078210e+000   1.614837356570398e-001  -1.075319436299779e-001   4.718355720383448e-001
 1.022122905027931e+000   1.746208281462894e-001  -1.071197144918166e-001   4.663906411056900e-001
 1.024301675977652e+000   1.876123488975742e-001  -1.067139483485678e-001   4.609487101388436e-001
 1.026480446927373e+000   2.004558383934462e-001  -1.063163235770345e-001   4.555011856414964e-001
 1.028659217877093e+000   2.131478784455889e-001  -1.059289051337757e-001   4.500397356056918e-001
 1.030837988826814e+000   2.256841847586698e-001  -1.055541551366485e-001   4.445567008909964e-001
 1.033016759776535e+000   2.380598705310602e-001  -1.051948749198765e-001   4.390452875384926e-001
 1.035195530726256e+000   2.502695413006540e-001  -1.048542141054970e-001   4.334998115457249e-001
 1.037374301675976e+000   2.623074747703623e-001  -1.045356738429628e-001   4.279160531905514e-001
 1.039553072625697e+000   2.741677974838794e-001  -1.042430459769610e-001   4.222912608923066e-001
 1.041731843575418e+000   2.858445928517613e-001  -1.039804155069512e-001   4.166244113838614e-001
 1.043910614525138e+000   2.973320720767470e-001  -1.037521282072790e-001   4.109164480590166e-001
 1.046089385474859e+000   3.086246577530986e-001  -1.035627267234873e-001   4.051701630151912e-001
 1.048268156424580e+000   3.197170999175718e-001  -1.034169299111106e-001   3.993904659952053e-001
 1.050446927374301e+000   3.306045898721646e-001  -1.033195600765778e-001   3.935844396850999e-001
 1.052625698324021e+000   3.412827908308787e-001  -1.032754761198030e-001   3.877611306249309e-001
 1.054804469273742e+000   3.517479803075321e-001  -1.032895031887569e-001   3.819317551423980e-001
 1.056983240223463e+000   3.619971529241206e-001  -1.033663055116078e-001   3.761095330202998e-001
 1.059162011173184e+000   3.720280482055268e-001  -1.035102948397803e-001   3.703094467602514e-001
 1.061340782122904e+000   3.818393625157699e-001  -1.037254411869001e-001   3.645483262570258e-001
 1.063519553072625e+000   3.914308538037574e-001  -1.040150616935304e-001   3.588445236099691e-001
 1.065698324022346e+000   4.008034020326101e-001  -1.043816873917837e-001   3.532176699429062e-001
 1.067877094972067e+000   4.099593496548584e-001  -1.048266864079644e-001   3.476885629696475e-001
 1.070055865921787e+000   4.189026317037951e-001  -1.053500606921803e-001   3.422786771710313e-001
 1.072234636871508e+000   4.276388923814809e-001  -1.059503385152931e-001   3.370098468582057e-001
 1.074413407821229e+000   4.361759607876708e-001  -1.066242098627526e-001   3.319037463099208e-001
 1.076592178770950e+000   4.445237612642373e-001  -1.073667854553020e-001   3.269812945434018e-001
 1.078770949720670e+000   4.526942820486820e-001  -1.081717284453529e-001   3.222623040391539e-001
 1.080949720670391e+000   4.607015156463146e-001  -1.090314742215211e-001   3.177648491271249e-001
 1.083128491620112e+000   4.685605776154800e-001  -1.099376242612319e-001   3.135053176605375e-001
 1.085307262569833e+000   4.762872308227007e-001  -1.108810127926837e-001   3.094983262740453e-001
 1.087486033519553e+000   4.838969807206984e-001  -1.118515707826778e-001   3.057566707307174e-001
 1.089664804469274e+000   4.914047345532434e-001  -1.128383178919910e-001   3.022916610405060e-001
 1.091843575418995e+000   4.988246285219079e-001  -1.138292854563232e-001   2.991131348913535e-001
 1.094022346368716e+000   5.061702750577062e-001  -1.148116866668144e-001   2.962295383682088e-001
 1.096201117318436e+000   5.134552934924470e-001  -1.157724298985807e-001   2.936481379254395e-001
 1.098379888268157e+000   5.206937620710536e-001  -1.166985148348695e-001   2.913749381611938e-001
 1.100558659217878e+000   5.279009119006922e-001  -1.175777593857071e-001   2.894145326458782e-001
 1.102737430167599e+000   5.350932204642652e-001  -1.183990423199929e-001   2.877701391620746e-001
 1.104916201117319e+000   5.422886629383894e-001  -1.191526887682838e-001   2.864433490041400e-001
 1.107094972067040e+000   5.495064032669489e-001  -1.198305167649050e-001   2.854341084103127e-001
 1.109273743016761e+000   5.567663614775227e-001  -1.204256239147106e-001   2.847409504140007e-001
 1.111452513966482e+000   5.640888794678326e-001  -1.209324184403373e-001   2.843609596790362e-001
 1.113631284916202e+000   5.714942344536031e-001  -1.213464415723968e-001   2.842900587601716e-001
 1.115810055865923e+000   5.790024033224185e-001  -1.216642562698216e-001   2.845232150322841e-001
 1.117988826815644e+000   5.866327186492765e-001  -1.218835649285279e-001   2.850544727034768e-001
 1.120167597765365e+000   5.944036539460388e-001  -1.220031759018528e-001   2.858770992477044e-001
 1.122346368715085e+000   6.023327895095441e-001  -1.220229661886039e-001   2.869836386779454e-001
 1.124525139664806e+000   6.104366441370096e-001  -1.219440403941141e-001   2.883658092183818e-001
 1.126703910614527e+000   6.187308379540444e-001  -1.217686232200476e-001   2.900145126928653e-001
 1.128882681564247e+000   6.272301702027731e-001  -1.215000287197665e-001   2.919198092557665e-001
 1.131061452513968e+000   6.359486283128961e-001  -1.211427792329809e-001   2.940707359157178e-001
 1.133240223463689e+000   6.448995615500848e-001  -1.207024406300474e-001   2.964553712202218e-001
 1.135418994413410e+000   6.540957212378820e-001  -1.201855825602311e-001   2.990608303293588e-001
 1.137597765363130e+000   6.635492445927821e-001  -1.195997673067334e-001   3.018732179995770e-001
 1.139776536312851e+000   6.732717065071902e-001  -1.189532941784477e-001   3.048778787043860e-001
 1.141955307262572e+000   6.832740758675564e-001  -1.182551165803252e-001   3.080594901966716e-001
 1.144134078212293e+000   6.935665986027345e-001  -1.175146964891571e-001   3.114022709180396e-001
 1.146312849162013e+000   7.041588174921024e-001  -1.167418007047317e-001   3.148902561133893e-001
 1.148491620111734e+000   7.150594725303442e-001  -1.159464061955881e-001   3.185074663253035e-001
 1.150670391061455e+000   7.262763546050798e-001  -1.151385366540667e-001   3.222381949357205e-001
 1.152849162011176e+000   7.378163359051496e-001  -1.143281470731647e-001   3.260671598534812e-001
 1.155027932960896e+000   7.496852215254727e-001  -1.135250193784808e-001   3.299797019000160e-001
 1.157206703910617e+000   7.618876370340850e-001  -1.127386236735345e-001   3.339620116050968e-001
 1.159385474860338e+000   7.744271059864923e-001  -1.119780673260876e-001   3.380011576647036e-001
 1.161564245810059e+000   7.873058880946108e-001  -1.112519682061592e-001   3.420852981584954e-001
 1.163743016759779e+000   8.005249387784806e-001  -1.105683409697187e-001   3.462038065396805e-001
 1.165921787709500e+000   8.140839928286132e-001  -1.099345831301668e-001   3.503472410765570e-001
 1.168100558659221e+000   8.279813779547364e-001  -1.093573208235255e-001   3.545075817708125e-001
 1.170279329608942e+000   8.422140325875442e-001  -1.088423638099336e-001   3.586782876084678e-001
 1.172458100558662e+000   8.567775955814792e-001  -1.083947328495634e-001   3.628542599155956e-001
 1.174636871508383e+000   8.716662427201191e-001  -1.080185270683288e-001   3.670321175502623e-001
 1.176815642458104e+000   8.868728556600743e-001  -1.077169787500871e-001   3.712101521732878e-001
 1.178994413407825e+000   9.023891668775216e-001  -1.074924938370362e-001   3.753882613261098e-001
 1.181173184357545e+000   9.182057854238380e-001  -1.073465501105318e-001   3.795681379809794e-001
 1.183351955307266e+000   9.343125567959336e-001  -1.072797787822857e-001   3.837529832329131e-001
 1.185530726256987e+000   9.506987603754707e-001  -1.072919826539030e-001   3.879473446935380e-001
 1.187709497206708e+000   9.673533776657393e-001  -1.073820452386842e-001   3.921569807112774e-001
 1.189888268156428e+000   9.842654526945992e-001  -1.075480723338836e-001   3.963883427263403e-001
 1.192067039106149e+000   1.001424307076227e+000  -1.077874336018764e-001   4.006483016762325e-001
 1.194245810055870e+000   1.018819931356650e+000  -1.080968119410162e-001   4.049436653291405e-001
 1.196424581005591e+000   1.036443145814089e+000  -1.084724282124478e-001   4.092807797407378e-001
 1.198603351955311e+000   1.054285777615039e+000  -1.089101356454438e-001   4.136652443441530e-001
 1.200782122905032e+000   1.072340909842489e+000  -1.094055952957529e-001   4.181014812477570e-001
 1.202960893854753e+000   1.090602795365828e+000  -1.099544299472556e-001   4.225927087604334e-001
 1.205139664804473e+000   1.109066963076885e+000  -1.105523170167995e-001   4.271407616051784e-001
 1.207318435754194e+000   1.127730260417513e+000  -1.111950973481150e-001   4.317459728061165e-001
 1.209497206703915e+000   1.146590641042618e+000  -1.118787930826628e-001   4.364073644507457e-001
 1.211675977653636e+000   1.165647193329517e+000  -1.125996504095515e-001   4.411225632205180e-001
 1.213854748603356e+000   1.184900032808356e+000  -1.133541619171844e-001   4.458878561667702e-001
 1.216033519553077e+000   1.204350136377193e+000  -1.141390502945961e-001   4.506983810940438e-001
 1.218212290502798e+000   1.223999376709812e+000  -1.149513015311158e-001   4.555480604287857e-001
 1.220391061452519e+000   1.243850457804936e+000  -1.157881652339174e-001   4.604296938857038e-001
 1.222569832402239e+000   1.263906805827932e+000  -1.166471239021925e-001   4.653351004703307e-001
 1.224748603351960e+000   1.284172605673271e+000  -1.175259055417676e-001   4.702550556898160e-001
 1.226927374301681e+000   1.304652674591170e+000  -1.184224277483140e-001   4.751794164369229e-001
 1.229106145251402e+000   1.325352362167115e+000  -1.193347492878213e-001   4.800972410332307e-001
 1.231284916201122e+000   1.346277537253424e+000  -1.202610325227557e-001   4.849967800291077e-001
 1.233463687150843e+000   1.367434496662237e+000  -1.211994779734866e-001   4.898656755285198e-001
 1.235642458100564e+000   1.388829937540786e+000  -1.221482962185257e-001   4.946910941352161e-001
 1.237821229050285e+000   1.410471016943962e+000  -1.231056760894952e-001   4.994598568574074e-001
 1.240000000000005e+000   1.432365374086927e+000  -1.240697803931342e-001   5.041586969937426e-001
