---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.FileName = "RLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
 8.913966480446920e-001  -1.978833737759136e+000  -3.670327426782915e-001   2.434144809187946e-001
 8.935754189944126e-001  -1.966509588653007e+000  -3.699586293816640e-001   2.492770546458182e-001
 8.957541899441333e-001  -1.953916388079142e+000  -3.728219051936537e-001   2.553391352401533e-001
 8.979329608938539e-001  -1.941062711863030e+000  -3.756052389058980e-001   2.616077572426563e-001
 9.001117318435745e-001  -1.927955886062864e+000  -3.782917026793221e-001   2.680882381354176e-001
 9.022905027932952e-001  -1.914601929496551e+000  -3.808649451773639e-001   2.747843190671311e-001
 9.044692737430158e-001  -1.901005203592207e+000  -3.833095806239716e-001   2.816980874200524e-001
 9.066480446927364e-001  -1.887168300695331e+000  -3.856114337189014e-001   2.888301249262564e-001
 9.088268156424570e-001  -1.873091909446907e+000  -3.877577338659495e-001   2.961794801920648e-001
 9.110055865921777e-001  -1.858774362343671e+000  -3.897376229565543e-001   3.037433619103305e-001
 9.131843575418983e-001  -1.844211869083555e+000  -3.915421857285569e-001   3.115172391352715e-001
 9.153631284916189e-001  -1.829398528671585e+000  -3.931646042400518e-001   3.194947705212263e-001
 9.175418994413396e-001  -1.814326356063396e+000  -3.946004697870068e-001   3.276676290086034e-001
 9.197206703910602e-001  -1.798985790249577e+000  -3.958474474647066e-001   3.360258165965628e-001
 9.218994413407808e-001  -1.783365826412022e+000  -3.969052904097513e-001   3.445576749614153e-001
 9.240782122905015e-001  -1.767454266738910e+000  -3.977757347853247e-001   3.532499888699538e-001
 9.262569832402221e-001  -1.751238096253133e+000  -3.984620395123749e-001   3.620883706184322e-001
 9.284357541899427e-001  -1.734703621764712e+000  -3.989688984403901e-001   3.710573537167268e-001
 9.306145251396634e-001  -1.717836744453085e+000  -3.993021909812067e-001   3.801406398800020e-001
 9.327932960893840e-001  -1.700623201402712e+000  -3.994686791327555e-001   3.893213556405560e-001
 9.349720670391046e-001  -1.683048743530610e+000  -3.994759325162511e-001   3.985821479729312e-001
 9.371508379888253e-001  -1.665099416278007e+000  -3.993321466825020e-001   4.079053451589564e-001
 9.393296089385459e-001  -1.646761706677177e+000  -3.990459789198482e-001   4.172730685991787e-001
 9.415083798882665e-001  -1.628022791833315e+000  -3.986264872662341e-001   4.266672950652509e-001
 9.436871508379872e-001  -1.608870767327714e+000  -3.980829766262895e-001   4.360699636583502e-001
 9.458659217877078e-001  -1.589294705029237e+000  -3.974248898332439e-001   4.454630439700846e-001
 9.480446927374284e-001  -1.569284940108024e+000  -3.966617090172289e-001   4.548286259301947e-001
 9.502234636871491e-001  -1.548833171780969e+000  -3.958028282957143e-001   4.641490138802125e-001
 9.524022346368697e-001  -1.527932469960171e+000  -3.948574987006389e-001   4.734067669028709e-001
 9.545810055865903e-001  -1.506577574635865e+000  -3.938347318819403e-001   4.825848046541018e-001
 9.567597765363110e-001  -1.484764866803028e+000  -3.927432726482440e-001   4.916664336270992e-001
 9.589385474860316e-001  -1.462492352843874e+000  -3.915915935222563e-001   5.006353570976584e-001
 9.611173184357522e-001  -1.439759916016543e+000  -3.903878502586448e-001   5.094757535482827e-001
 9.632960893854728e-001  -1.416569139915195e+000  -3.891399213021448e-001   5.181722499454101e-001
 9.654748603351935e-001  -1.392923289449625e+000  -3.878554176374704e-001   5.267099340842123e-001
 9.676536312849141e-001  -1.368827471940585e+000  -3.865416692813489e-001   5.350744391823231e-001
 9.698324022346347e-001  -1.344288383285330e+000  -3.852057678748780e-001   5.432519311242210e-001
 9.720111731843554e-001  -1.319314294436712e+000  -3.838545667831058e-001   5.512291574282271e-001
 9.741899441340760e-001  -1.293915078461593e+000  -3.824946622291153e-001   5.589935746060883e-001
