---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.FileName = "LASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
 8.913966480446920e-001  -1.338905924156746e+000  -1.580012492134200e-001   9.824512040744333e-001
 8.935754189944126e-001  -1.318102428824613e+000  -1.579093884669873e-001   9.833745771496236e-001
 8.957541899441333e-001  -1.297310931767998e+000  -1.579101087117921e-001   9.841787455982687e-001
 8.979329608938539e-001  -1.276536143461625e+000  -1.580092958449718e-001   9.848659305282863e-001
 9.001117318435745e-001  -1.255783201486998e+000  -1.582110538546373e-001   9.854404802013979e-001
 9.022905027932952e-001  -1.235057613410757e+000  -1.585176763599384e-001   9.859086370363490e-001
 9.044692737430158e-001  -1.214365227076279e+000  -1.589293222374785e-001   9.862784913207843e-001
 9.066480446927364e-001  -1.193712038824502e+000  -1.594442803608203e-001   9.865594686122932e-001
 9.088268156424570e-001  -1.173104080603855e+000  -1.600590708591810e-001   9.867620960203312e-001
 9.110055865921777e-001  -1.152547222088428e+000  -1.607684370116047e-001   9.868977485394839e-001
 9.131843575418983e-001  -1.132047061974509e+000  -1.615657534542624e-001   9.869782425282190e-001
 9.153631284916189e-001  -1.111608849961320e+000  -1.624431526360961e-001   9.870156445783662e-001
 9.175418994413396e-001  -1.091237351702204e+000  -1.633916790919215e-001   9.870219807566835e-001
 9.197206703910602e-001  -1.070936824935856e+000  -1.644016327123414e-001   9.870090334216756e-001
 9.218994413407808e-001  -1.050710940571351e+000  -1.654626947486431e-001   9.869881858478152e-001
 9.240782122905015e-001  -1.030562665249623e+000  -1.665641471319849e-001   9.869701862453867e-001
 9.262569832402221e-001  -1.010494322809739e+000  -1.676950983822232e-001   9.869650989666984e-001
 9.284357541899427e-001  -9.905075384858814e-001  -1.688446217633705e-001   9.869821589852357e-001
 9.306145251396634e-001  -9.706032227818385e-001  -1.700019837052285e-001   9.870296188281750e-001
