---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.FileName = "RPSIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RPSIS.MarkerPositionFile.pz
 8.500000000000000e-001  -1.944998547153598e+000  -2.677357123696830e-001   1.021798940584680e+000
 8.521787709497206e-001  -1.923293779684143e+000  -2.683829818497241e-001   1.021860799815213e+000
 8.543575418994412e-001  -1.901512242374223e+000  -2.691843565803458e-001   1.022047740720931e+000
 8.565363128491619e-001  -1.879659209146096e+000  -2.701369748143985e-001   1.022348962604958e+000
 8.587150837988825e-001  -1.857740229810221e+000  -2.712355358162894e-001   1.022752971457002e+000
 8.608938547486031e-001  -1.835761497074822e+000  -2.724721595166795e-001   1.023247782006273e+000
 8.630726256983238e-001  -1.813729981060996e+000  -2.738368716702460e-001   1.023821228612001e+000
 8.652513966480444e-001  -1.791653587766496e+000  -2.753176801929491e-001   1.024461150208781e+000
 8.674301675977650e-001  -1.769541356841978e+000  -2.769007785183573e-001   1.025155726743765e+000
 8.696089385474857e-001  -1.747403324859562e+000  -2.785710515804035e-001   1.025893658161280e+000
 8.717877094972063e-001  -1.725250557800448e+000  -2.803122367139279e-001   1.026664367146261e+000
 8.739664804469269e-001  -1.703095025047822e+000  -2.821072835183469e-001   1.027458233176780e+000
 8.761452513966476e-001  -1.680949310138609e+000  -2.839387067452928e-001   1.028266570927832e+000
 8.783240223463682e-001  -1.658826469201521e+000  -2.857887951488141e-001   1.029081782802510e+000
 8.805027932960888e-001  -1.636739701317403e+000  -2.876399414528584e-001   1.029897412985252e+000
 8.826815642458095e-001  -1.614702129783539e+000  -2.894748245044007e-001   1.030708026350956e+000
 8.848603351955301e-001  -1.592726574022206e+000  -2.912766516579214e-001   1.031509301459304e+000
 8.870391061452507e-001  -1.570825317703761e+000  -2.930294245308396e-001   1.032297933959007e+000
 8.892178770949714e-001  -1.549010041839170e+000  -2.947180494451616e-001   1.033071482683440e+000
 8.913966480446920e-001  -1.527291620727290e+000  -2.963286811521870e-001   1.033828378244908e+000
 8.935754189944126e-001  -1.505680036871822e+000  -2.978489510578906e-001   1.034567739098462e+000
 8.957541899441333e-001  -1.484184363003734e+000  -2.992680404138570e-001   1.035289239320814e+000
 8.979329608938539e-001  -1.462812535203964e+000  -3.005771170767852e-001   1.035993049809460e+000
 9.001117318435745e-001  -1.441571308670477e+000  -3.017694058606324e-001   1.036679670109461e+000
 9.022905027932952e-001  -1.420466231579031e+000  -3.028402124633930e-001   1.037349844557229e+000
 9.044692737430158e-001  -1.399501384150657e+000  -3.037873238039247e-001   1.038004487811622e+000
 9.066480446927364e-001  -1.378679453495241e+000  -3.046108268161946e-001   1.038644585394059e+000
 9.088268156424570e-001  -1.358001730080841e+000  -3.053130818646922e-001   1.039271147445425e+000
 9.110055865921777e-001  -1.337467946798060e+000  -3.058989304779999e-001   1.039885144692064e+000
 9.131843575418983e-001  -1.317076506272084e+000  -3.063752874341724e-001   1.040487474926882e+000
 9.153631284916189e-001  -1.296824514377114e+000  -3.067510547118046e-001   1.041078943786650e+000
 9.175418994413396e-001  -1.276707795337065e+000  -3.070370323031464e-001   1.041660241445818e+000
 9.197206703910602e-001  -1.256721179159107e+000  -3.072454117563150e-001   1.042231961463428e+000
 9.218994413407808e-001  -1.236858563237640e+000  -3.073896114185081e-001   1.042794604665672e+000
 9.240782122905015e-001  -1.217113036904743e+000  -3.074839370892350e-001   1.043348598508382e+000
 9.262569832402221e-001  -1.197477110136210e+000  -3.075431522947548e-001   1.043894332497171e+000
 9.284357541899427e-001  -1.177942785129716e+000  -3.075822292900577e-001   1.044432179485220e+000
 9.306145251396634e-001  -1.158501709727094e+000  -3.076159031048884e-001   1.044962535081646e+000
 9.327932960893840e-001  -1.139145329355356e+000  -3.076583939173765e-001   1.045485836571113e+000
 9.349720670391046e-001  -1.119864978913228e+000  -3.077230623602403e-001   1.046002585245262e+000
 9.371508379888253e-001  -1.100652044825549e+000  -3.078219965475233e-001   1.046513360701530e+000
 9.393296089385459e-001  -1.081498062236443e+000  -3.079659146698907e-001   1.047018814603833e+000
 9.415083798882665e-001  -1.062394846304520e+000  -3.081637752829339e-001   1.047519678256720e+000
 9.436871508379872e-001  -1.043334619054438e+000  -3.084226043913024e-001   1.048016754742856e+000
 9.458659217877078e-001  -1.024310040062726e+000  -3.087475886876794e-001   1.048510909226216e+000
 9.480446927374284e-001  -1.005314335129636e+000  -3.091417975979098e-001   1.049003071486552e+000
 9.502234636871491e-001  -9.863413197147024e-001  -3.096063566614301e-001   1.049494225486410e+000
 9.524022346368697e-001  -9.673853799169878e-001  -3.101406503524868e-001   1.049985399113029e+000
 9.545810055865903e-001  -9.484415591985177e-001  -3.107422585513120e-001   1.050477657117498e+000
 9.567597765363110e-001  -9.295054934306803e-001  -3.114073338616485e-001   1.050972075142977e+000
 9.589385474860316e-001  -9.105733724351000e-001  -3.121308094693355e-001   1.051469721550417e+000
 9.611173184357522e-001  -8.916419713282624e-001  -3.129065154261460e-001   1.051971623579739e+000
 9.632960893854728e-001  -8.727085456015206e-001  -3.137275430247828e-001   1.052478733344232e+000
 9.654748603351935e-001  -8.537707948988682e-001  -3.145864053812699e-001   1.052991902710091e+000
 9.676536312849141e-001  -8.348268534466633e-001  -3.154752252675280e-001   1.053511825707432e+000
 9.698324022346347e-001  -8.158751896383953e-001  -3.163859677062454e-001   1.054039015776632e+000
 9.720111731843554e-001  -7.969145792978608e-001  -3.173105557464879e-001   1.054573775221039e+000
 9.741899441340760e-001  -7.779440794513681e-001  -3.182410488674485e-001   1.055116132407332e+000
 9.763687150837966e-001  -7.589629634215800e-001  -3.191697435593285e-001   1.055665842822396e+000
 9.785474860335173e-001  -7.399707091262399e-001  -3.200892671284927e-001   1.056222353610833e+000
 9.807262569832379e-001  -7.209669796302142e-001  -3.209927155266530e-001   1.056784753253472e+000
 9.829050279329585e-001  -7.019515740075216e-001  -3.218736668759373e-001   1.057351801261823e+000
 9.850837988826792e-001  -6.829244125782562e-001  -3.227262724362285e-001   1.057921896702480e+000
 9.872625698323998e-001  -6.638854990035323e-001  -3.235453445459453e-001   1.058493070229470e+000
 9.894413407821204e-001  -6.448348886386703e-001  -3.243263199248361e-001   1.059063036030607e+000
 9.916201117318411e-001  -6.257726724517956e-001  -3.250653520414298e-001   1.059629175048417e+000
 9.937988826815617e-001  -6.066989522731454e-001  -3.257593391906891e-001   1.060188561162639e+000
 9.959776536312823e-001  -5.876138226887732e-001  -3.264058524821958e-001   1.060738009957670e+000
 9.981564245810030e-001  -5.685173499842516e-001  -3.270032058210008e-001   1.061274072393469e+000
 1.000335195530724e+000  -5.494095467607403e-001  -3.275503994478412e-001   1.061793076439605e+000
 1.002513966480444e+000  -5.302903654676777e-001  -3.280470333284920e-001   1.062291166536555e+000
 1.004692737430165e+000  -5.111596796388560e-001  -3.284933329985346e-001   1.062764310031097e+000
 1.006871508379886e+000  -4.920172869236630e-001  -3.288900380517583e-001   1.063208338757401e+000
 1.009050279329607e+000  -4.728629124311630e-001  -3.292383187031507e-001   1.063618974244012e+000
 1.011229050279327e+000  -4.536961971470701e-001  -3.295397434390449e-001   1.063991838967025e+000
 1.013407821229048e+000  -4.345166925784499e-001  -3.297961422768933e-001   1.064322492797220e+000
 1.015586592178769e+000  -4.153238552681826e-001  -3.300095325727661e-001   1.064606453853577e+000
 1.017765363128490e+000  -3.961170212040490e-001  -3.301820318995314e-001   1.064839226107754e+000
 1.019944134078210e+000  -3.768954183693563e-001  -3.303157491336523e-001   1.065016334279106e+000
 1.022122905027931e+000  -3.576581772127457e-001  -3.304127295270769e-001   1.065133346731100e+000
 1.024301675977652e+000  -3.384043543407904e-001  -3.304748683080808e-001   1.065185922442118e+000
 1.026480446927373e+000  -3.191329972822892e-001  -3.305038986603325e-001   1.065169841075875e+000
 1.028659217877093e+000  -2.998431853385594e-001  -3.305013804999558e-001   1.065081032469758e+000
 1.030837988826814e+000  -2.805341050698091e-001  -3.304687035005660e-001   1.064915630538638e+000
 1.033016759776535e+000  -2.612050664064125e-001  -3.304071429282303e-001   1.064669966886328e+000
 1.035195530726256e+000  -2.418555216867620e-001  -3.303178859985567e-001   1.064340592313010e+000
 1.037374301675976e+000  -2.224850639743305e-001  -3.302020932965599e-001   1.063924300747577e+000
 1.039553072625697e+000  -2.030933969955227e-001  -3.300609634126072e-001   1.063418117348305e+000
 1.041731843575418e+000  -1.836803332614058e-001  -3.298957949339599e-001   1.062819335659262e+000
 1.043910614525138e+000  -1.642457920573215e-001  -3.297080955184917e-001   1.062125573596542e+000
 1.046089385474859e+000  -1.447897893799888e-001  -3.294996301081316e-001   1.061334783489369e+000
 1.048268156424580e+000  -1.253124497105429e-001  -3.292725175325542e-001   1.060445336053553e+000
 1.050446927374301e+000  -1.058140078207498e-001  -3.290293157050941e-001   1.059456105575387e+000
 1.052625698324021e+000  -8.629480238289088e-002  -3.287730226678233e-001   1.058366482273214e+000
 1.054804469273742e+000  -6.675529383287085e-002  -3.285071727913722e-001   1.057176505299926e+000
 1.056983240223463e+000  -4.719607029626277e-002  -3.282358520369728e-001   1.055886935847736e+000
 1.059162011173184e+000  -2.761783440512967e-002  -3.279636545859585e-001   1.054499258708060e+000
 1.061340782122904e+000  -8.021406443980965e-003  -3.276957316831584e-001   1.053015850403264e+000
 1.063519553072625e+000   1.159232578621949e-002  -3.274376887896346e-001   1.051440014097195e+000
 1.065698324022346e+000   3.122244519059705e-002  -3.271954960474569e-001   1.049775981325083e+000
 1.067877094972067e+000   5.086806078834320e-002  -3.269754164430443e-001   1.048029107687918e+000
 1.070055865921787e+000   7.052837037058105e-002  -3.267838175369997e-001   1.046205845068579e+000
 1.072234636871508e+000   9.020269759783484e-002  -3.266270572961507e-001   1.044313743311093e+000
 1.074413407821229e+000   1.098905729008523e-001  -3.265112858604461e-001   1.042361626015878e+000
 1.076592178770950e+000   1.295917775666112e-001  -3.264422728083967e-001   1.040359467504923e+000
 1.078770949720670e+000   1.493063889855111e-001  -3.264252808990548e-001   1.038318381703842e+000
 1.080949720670391e+000   1.690348947970645e-001  -3.264647937877906e-001   1.036250692580170e+000
 1.083128491620112e+000   1.887782082525447e-001  -3.265644200682747e-001   1.034169702065743e+000
 1.085307262569833e+000   2.085377128131768e-001  -3.267267390614316e-001   1.032089635125246e+000
 1.087486033519553e+000   2.283153247733231e-001  -3.269530003931266e-001   1.030025529791721e+000
 1.089664804469274e+000   2.481134094750322e-001  -3.272431373226318e-001   1.027992953132501e+000
 1.091843575418995e+000   2.679347835955206e-001  -3.275955887033315e-001   1.026007869128788e+000
 1.094022346368716e+000   2.877826840427616e-001  -3.280070847694928e-001   1.024086352660128e+000
 1.096201117318436e+000   3.076606706323088e-001  -3.284727919734122e-001   1.022244333828542e+000
 1.098379888268157e+000   3.275726028035425e-001  -3.289861551072754e-001   1.020497360305603e+000
 1.100558659217878e+000   3.475225478044124e-001  -3.295388813855073e-001   1.018860229171010e+000
 1.102737430167599e+000   3.675146806066230e-001  -3.301212109792160e-001   1.017346834444392e+000
 1.104916201117319e+000   3.875532116326586e-001  -3.307218829803166e-001   1.015969834033848e+000
 1.107094972067040e+000   4.076422756401964e-001  -3.313284175022437e-001   1.014740347458504e+000
 1.109273743016761e+000   4.277858839912268e-001  -3.319274553188862e-001   1.013667932438803e+000
 1.111452513966482e+000   4.479878499909269e-001  -3.325049526584795e-001   1.012760215448666e+000
 1.113631284916202e+000   4.682517434618519e-001  -3.330466443502672e-001   1.012022804845609e+000
 1.115810055865923e+000   4.885808803852202e-001  -3.335383319654332e-001   1.011459392494091e+000
 1.117988826815644e+000   5.089782523255231e-001  -3.339662706556703e-001   1.011071477233746e+000
 1.120167597765365e+000   5.294464922962779e-001  -3.343175413781679e-001   1.010858567119914e+000
 1.122346368715085e+000   5.499878495350234e-001  -3.345802290011693e-001   1.010818356854498e+000
 1.124525139664806e+000   5.706040645080798e-001  -3.347438713687663e-001   1.010946649548337e+000
 1.126703910614527e+000   5.912963160415901e-001  -3.347996096891424e-001   1.011237734636387e+000
 1.128882681564247e+000   6.120651738296593e-001  -3.347402997536829e-001   1.011684563011525e+000
 1.131061452513968e+000   6.329104229060188e-001  -3.345609402216542e-001   1.012278826798691e+000
 1.133240223463689e+000   6.538310628930613e-001  -3.342585911654876e-001   1.013011304543125e+000
 1.135418994413410e+000   6.748252549394902e-001  -3.338324482010969e-001   1.013871993035972e+000
 1.137597765363130e+000   6.958901589747993e-001  -3.332841195414051e-001   1.014850256174354e+000
 1.139776536312851e+000   7.170220081339822e-001  -3.326173049039756e-001   1.015935088048478e+000
 1.141955307262572e+000   7.382160616736392e-001  -3.318378045810940e-001   1.017115238405876e+000
 1.144134078212293e+000   7.594665358741637e-001  -3.309535054882598e-001   1.018379433588841e+000
 1.146312849162013e+000   7.807667728682762e-001  -3.299739381877266e-001   1.019716556055431e+000
 1.148491620111734e+000   8.021092341366560e-001  -3.289102054664570e-001   1.021115789799045e+000
 1.150670391061455e+000   8.234855611435780e-001  -3.277747475687103e-001   1.022566830800344e+000
 1.152849162011176e+000   8.448867577724343e-001  -3.265809600397271e-001   1.024059928282425e+000
 1.155027932960896e+000   8.663032233838309e-001  -3.253430608482216e-001   1.025586011870004e+000
 1.157206703910617e+000   8.877248918939467e-001  -3.240757806636324e-001   1.027136777560922e+000
 1.159385474860338e+000   9.091413988669902e-001  -3.227940973019787e-001   1.028704625147580e+000
 1.161564245810059e+000   9.305421849599811e-001  -3.215130342454468e-001   1.030282741552588e+000
 1.163743016759779e+000   9.519167147565287e-001  -3.202473473260817e-001   1.031865071299736e+000
 1.165921787709500e+000   9.732546132483517e-001  -3.190113584056476e-001   1.033446221531964e+000
 1.168100558659221e+000   9.945458561247804e-001  -3.178186701885866e-001   1.035021501913463e+000
 1.170279329608942e+000   1.015780947354906e+000  -3.166819233384111e-001   1.036586829007665e+000
 1.172458100558662e+000   1.036950983029451e+000  -3.156127134155138e-001   1.038138636854478e+000
 1.174636871508383e+000   1.058047859560216e+000  -3.146212540151243e-001   1.039673873219129e+000
 1.176815642458104e+000   1.079064335972553e+000  -3.137162724392365e-001   1.041189881618135e+000
 1.178994413407825e+000   1.099994047223162e+000  -3.129049734745147e-001   1.042684335713559e+000
 1.181173184357545e+000   1.120831684500414e+000  -3.121926928719467e-001   1.044155210793954e+000
 1.183351955307266e+000   1.141572935386722e+000  -3.115829483443844e-001   1.045600702748683e+000
 1.185530726256987e+000   1.162214472762578e+000  -3.110774250989941e-001   1.047019196675539e+000
 1.187709497206708e+000   1.182754067483383e+000  -3.106757051761530e-001   1.048409252188598e+000
 1.189888268156428e+000   1.203190417934485e+000  -3.103755237412831e-001   1.049769559577203e+000
 1.192067039106149e+000   1.223523098770066e+000  -3.101728080363703e-001   1.051098925846020e+000
 1.194245810055870e+000   1.243752498323115e+000  -3.100616592258903e-001   1.052396263161920e+000
 1.196424581005591e+000   1.263879566692503e+000  -3.100347760007668e-001   1.053660564489312e+000
 1.198603351955311e+000   1.283905730368719e+000  -3.100835729764533e-001   1.054890901921011e+000
 1.200782122905032e+000   1.303832776012487e+000  -3.101984164188386e-001   1.056086436395644e+000
 1.202960893854753e+000   1.323662752399923e+000  -3.103690092636181e-001   1.057246423121768e+000
 1.205139664804473e+000   1.343397956859444e+000  -3.105845627277853e-001   1.058370231747883e+000
 1.207318435754194e+000   1.363040946349122e+000  -3.108341125411371e-001   1.059457375058905e+000
 1.209497206703915e+000   1.382594538379341e+000  -3.111067551347244e-001   1.060507501630256e+000
 1.211675977653636e+000   1.402061867939421e+000  -3.113918505443243e-001   1.061520415973861e+000
 1.213854748603356e+000   1.421446453322609e+000  -3.116792900558404e-001   1.062496096359648e+000
 1.216033519553077e+000   1.440752174970573e+000  -3.119595868680715e-001   1.063434696036345e+000
 1.218212290502798e+000   1.459983324376406e+000  -3.122240931932966e-001   1.064336584283698e+000
 1.220391061452519e+000   1.479144563752143e+000  -3.124651557805953e-001   1.065202369671619e+000
 1.222569832402239e+000   1.498240858452011e+000  -3.126761167984815e-001   1.066032882306646e+000
 1.224748603351960e+000   1.517277466668492e+000  -3.128515370751106e-001   1.066829197894337e+000
 1.226927374301681e+000   1.536259889445219e+000  -3.129872344208712e-001   1.067592597683513e+000
 1.229106145251402e+000   1.555193858615186e+000  -3.130802297295722e-001   1.068324529094035e+000
 1.231284916201122e+000   1.574085389530165e+000  -3.131289262276833e-001   1.069026586012342e+000
 1.233463687150843e+000   1.592940827332080e+000  -3.131329754241835e-001   1.069700454223724e+000
 1.235642458100564e+000   1.611766880384867e+000  -3.130931799010334e-001   1.070347884841357e+000
 1.237821229050285e+000   1.630570749566449e+000  -3.130115494998383e-001   1.070970670017579e+000
 1.240000000000005e+000   1.649360189391027e+000  -3.128910732125695e-001   1.071570604435571e+000
