---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.FileName = "RFTM1.txt"
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Search = 
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.px
col2  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.py
col3  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.px  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.py  Main.MarkerModel.Markers.RFTM1.MarkerPositionFile.pz
 8.500000000000000e-001  -2.040172915856645e+000  -2.905095221118244e-001   8.729354778947537e-002
 8.524840764331210e-001  -2.034670775425274e+000  -2.876286268466348e-001   8.694454318734161e-002
 8.549681528662420e-001  -2.029960246354368e+000  -2.860563362740515e-001   8.638985474216453e-002
 8.574522292993629e-001  -2.025867472155644e+000  -2.855704607057047e-001   8.564116290388921e-002
 8.599363057324839e-001  -2.022188794752912e+000  -2.859157554754784e-001   8.473254973756146e-002
 8.624203821656049e-001  -2.018723278342520e+000  -2.868536352036261e-001   8.372716518465850e-002
 8.649044585987259e-001  -2.015289275824288e+000  -2.881926654842339e-001   8.271978256013086e-002
 8.673885350318469e-001  -2.011728248107125e+000  -2.897947159016209e-001   8.183010147903400e-002
 8.698726114649679e-001  -2.007903701672478e+000  -2.915714820455307e-001   8.119340203134012e-002
 8.723566878980889e-001  -2.003698049282606e+000  -2.934767442019293e-001   8.094923928652227e-002
 8.748407643312098e-001  -1.999007941698907e+000  -2.954949654144080e-001   8.122780119371004e-002
 8.773248407643308e-001  -1.993741600830223e+000  -2.976295389351853e-001   8.213899603740331e-002
 8.798089171974518e-001  -1.987817991211367e+000  -2.998940524746738e-001   8.376562122636491e-002
 8.822929936305728e-001  -1.981167650115330e+000  -3.023041365254969e-001   8.615897522944750e-002
 8.847770700636938e-001  -1.973736936005308e+000  -3.048681658793500e-001   8.933910070937960e-002
 8.872611464968148e-001  -1.965498385776256e+000  -3.075775171109692e-001   9.330058939465019e-002
 8.897452229299357e-001  -1.956459838857144e+000  -3.103996985650327e-001   9.801927771110860e-002
 8.922292993630567e-001  -1.946670077376809e+000  -3.132747232811131e-001   1.034600164135602e-001
 8.947133757961777e-001  -1.936210123847253e+000  -3.161213886336657e-001   1.095851015864923e-001
 8.971974522292987e-001  -1.925175305995453e+000  -3.188520075139046e-001   1.163578976281068e-001
 8.996815286624197e-001  -1.913661230213597e+000  -3.213861221054855e-001   1.237423340724102e-001
 9.021656050955407e-001  -1.901752636315129e+000  -3.236634630116836e-001   1.316996893415209e-001
 9.046496815286617e-001  -1.889518111601003e+000  -3.256508912097167e-001   1.401847395682101e-001
 9.071337579617826e-001  -1.877010065927781e+000  -3.273406179110514e-001   1.491456689929691e-001
 9.096178343949036e-001  -1.864265633803740e+000  -3.287462815462889e-001   1.585258821604879e-001
 9.121019108280246e-001  -1.851307630381207e+000  -3.298973408498257e-001   1.682672872223940e-001
 9.145859872611456e-001  -1.838144726441646e+000  -3.308314608136599e-001   1.783139362956896e-001
 9.170700636942666e-001  -1.824771455318914e+000  -3.315853359639779e-001   1.886145425726548e-001
 9.195541401273876e-001  -1.811167821519956e+000  -3.321857583884343e-001   1.991249022897806e-001
 9.220382165605086e-001  -1.797298485415305e+000  -3.326402065819151e-001   2.098109053686166e-001
 9.245222929936295e-001  -1.783112181013094e+000  -3.329320943700336e-001   2.206513929691283e-001
 9.270063694267505e-001  -1.768543725943228e+000  -3.330238758085640e-001   2.316381217011568e-001
 9.294904458598715e-001  -1.753518384413520e+000  -3.328638227240507e-001   2.427739749478547e-001
 9.319745222929925e-001  -1.737959642624561e+000  -3.323974901750406e-001   2.540692947205736e-001
 9.344585987261135e-001  -1.721799084870206e+000  -3.315837509105154e-001   2.655374744082136e-001
 9.369426751592345e-001  -1.704982892369290e+000  -3.304100239854552e-001   2.771933202353023e-001
 9.394267515923555e-001  -1.687476257473396e+000  -3.289067322694920e-001   2.890538326063845e-001
 9.419108280254764e-001  -1.669266364748113e+000  -3.271631260444564e-001   3.011419357319788e-001
 9.443949044585974e-001  -1.650361493689167e+000  -3.253369337834364e-001   3.134927857241882e-001
 9.468789808917184e-001  -1.630787193047416e+000  -3.236544837814729e-001   3.261585194753431e-001
 9.493630573248394e-001  -1.610581874155988e+000  -3.224042042470069e-001   3.392103009510903e-001
 9.518471337579604e-001  -1.589791433577144e+000  -3.219184239604155e-001   3.527356111793279e-001
 9.543312101910814e-001  -1.568463154271141e+000  -3.225316090358489e-001   3.668241231200556e-001
 9.568152866242023e-001  -1.546637144331474e+000  -3.245205250312527e-001   3.815435633310890e-001
 9.592993630573233e-001  -1.524334539711133e+000  -3.280246398876449e-001   3.969053175110278e-001
 9.617834394904443e-001  -1.501539920441833e+000  -3.329301141108817e-001   4.128119532099861e-001
 9.642675159235653e-001  -1.478191384056498e+000  -3.387952856146102e-001   4.290206116018616e-001
 9.667515923566863e-001  -1.454192238969407e+000  -3.449235923375830e-001   4.451734977946426e-001
 9.692356687898073e-001  -1.429434854447074e+000  -3.505245863172445e-001   4.608693617478897e-001
 9.717197452229283e-001  -1.403838101053136e+000  -3.549782652624680e-001   4.757836391437603e-001
 9.742038216560492e-001  -1.377365022998446e+000  -3.579674960709471e-001   4.897299306450859e-001
 9.766878980891702e-001  -1.350018755569615e+000  -3.594549973489266e-001   5.026507566989229e-001
 9.791719745222912e-001  -1.321831009790288e+000  -3.596035391809035e-001   5.145825586063466e-001
 9.816560509554122e-001  -1.292848166133952e+000  -3.586695479913456e-001   5.256088836730399e-001
 9.841401273885332e-001  -1.263124197362610e+000  -3.569308127708163e-001   5.358282920798967e-001
 9.866242038216542e-001  -1.232718195611397e+000  -3.546487723483536e-001   5.453372925532938e-001
