---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.FileName = "LMEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.pz
 8.500000000000000e-001  -1.442704155416172e+000  -2.522035400037920e-001   6.811360390115175e-001
 8.521787709497206e-001  -1.417522186519282e+000  -2.556586779579145e-001   6.890222138654588e-001
 8.543575418994412e-001  -1.392656660995988e+000  -2.590271265073439e-001   6.967327307702503e-001
 8.565363128491619e-001  -1.368094921876646e+000  -2.622956489523312e-001   7.042518633814047e-001
 8.587150837988825e-001  -1.343821618353642e+000  -2.654516521789045e-001   7.115655208019382e-001
 8.608938547486031e-001  -1.319819134119412e+000  -2.684833403051932e-001   7.186614331743093e-001
 8.630726256983238e-001  -1.296068430430960e+000  -2.713796670501601e-001   7.255288944460697e-001
 8.652513966480444e-001  -1.272549404873461e+000  -2.741303978042771e-001   7.321587747655508e-001
 8.674301675977650e-001  -1.249241487368983e+000  -2.767262156978196e-001   7.385434916007387e-001
 8.696089385474857e-001  -1.226124125104569e+000  -2.791586529555491e-001   7.446766795450326e-001
 8.717877094972063e-001  -1.203177124954734e+000  -2.814201803570482e-001   7.505531391041334e-001
 8.739664804469269e-001  -1.180381148392751e+000  -2.835042904402186e-001   7.561686422669800e-001
 8.761452513966476e-001  -1.157717892102207e+000  -2.854054073823231e-001   7.615196593822856e-001
 8.783240223463682e-001  -1.135170431855678e+000  -2.871189944904948e-001   7.666032677079478e-001
 8.805027932960888e-001  -1.112723532859908e+000  -2.886415947617771e-001   7.714169491881946e-001
 8.826815642458095e-001  -1.090363612469563e+000  -2.899707332816743e-001   7.759584264195861e-001
 8.848603351955301e-001  -1.068079048768829e+000  -2.911050334827350e-001   7.802255545914659e-001
 8.870391061452507e-001  -1.045860222802533e+000  -2.920441820560282e-001   7.842161492337321e-001
 8.892178770949714e-001  -1.023699356112767e+000  -2.927888153517716e-001   7.879278935894400e-001
 8.913966480446920e-001  -1.001590723977809e+000  -2.933405973319212e-001   7.913582034612180e-001
 8.935754189944126e-001  -9.795304655347833e-001  -2.937020931460948e-001   7.945041188600042e-001
 8.957541899441333e-001  -9.575163804813006e-001  -2.938766546485669e-001   7.973622743369516e-001
 8.979329608938539e-001  -9.355480002551351e-001  -2.938684319229930e-001   7.999287840414987e-001
 9.001117318435745e-001  -9.136262856703940e-001  -2.936822179987955e-001   8.021992733719948e-001
 9.022905027932952e-001  -8.917534686658400e-001  -2.933233736555710e-001   8.041689226861184e-001
 9.044692737430158e-001  -8.699330504428998e-001  -2.927978269373101e-001   8.058324803449272e-001
 9.066480446927364e-001  -8.481695176643477e-001  -2.921119662297140e-001   8.071844278643692e-001
 9.088268156424570e-001  -8.264682235116326e-001  -2.912726070220900e-001   8.082190809235299e-001
 9.110055865921777e-001  -8.048352965432295e-001  -2.902870013652899e-001   8.089307678188615e-001
 9.131843575418983e-001  -7.832773982975013e-001  -2.891627696716393e-001   8.093140573416848e-001
 9.153631284916189e-001  -7.618016362287851e-001  -2.879078947954021e-001   8.093639369926738e-001
 9.175418994413396e-001  -7.404154617677550e-001  -2.865307367102519e-001   8.090761936170320e-001
 9.197206703910602e-001  -7.191265433687613e-001  -2.850399585101766e-001   8.084476188818299e-001
 9.218994413407808e-001  -6.979427170092031e-001  -2.834445095581395e-001   8.074762750556750e-001
 9.240782122905015e-001  -6.768719124006757e-001  -2.817535679129324e-001   8.061619303643299e-001
 9.262569832402221e-001  -6.559220764775904e-001  -2.799764281274650e-001   8.045060501571618e-001
 9.284357541899427e-001  -6.351011077021000e-001  -2.781224284331019e-001   8.025120554067823e-001
 9.306145251396634e-001  -6.144166987943553e-001  -2.762007970318901e-001   8.001855125282003e-001
 9.327932960893840e-001  -5.938761636327081e-001  -2.742205642124921e-001   7.975339116268472e-001
 9.349720670391046e-001  -5.734861819587767e-001  -2.721904522522666e-001   7.945668477533819e-001
 9.371508379888253e-001  -5.532523866194959e-001  -2.701187828587706e-001   7.912959832595630e-001
 9.393296089385459e-001  -5.331793027574041e-001  -2.680134738360949e-001   7.877347635599304e-001
 9.415083798882665e-001  -5.132700923789495e-001  -2.658819483057170e-001   7.838985043273935e-001
 9.436871508379872e-001  -4.935267131529730e-001  -2.637310906344911e-001   7.798041030527353e-001
 9.458659217877078e-001  -4.739501642207593e-001  -2.615672804348764e-001   7.754697517980299e-001
 9.480446927374284e-001  -4.545405828631466e-001  -2.593963311009057e-001   7.709148920370392e-001
 9.502234636871491e-001  -4.352975050998206e-001  -2.572235814924571e-001   7.661599580870820e-001
 9.524022346368697e-001  -4.162200150953626e-001  -2.550539743140955e-001   7.612262102729499e-001
 9.545810055865903e-001  -3.973068436666418e-001  -2.528920861986163e-001   7.561356848409075e-001
 9.567597765363110e-001  -3.785565461283291e-001  -2.507422396512988e-001   7.509109297477370e-001
 9.589385474860316e-001  -3.599675860353279e-001  -2.486085587839775e-001   7.455748488272871e-001
 9.611173184357522e-001  -3.415384335573976e-001  -2.464950164586013e-001   7.401505071928830e-001
 9.632960893854728e-001  -3.232676204255759e-001  -2.444055157495526e-001   7.346608561169894e-001
 9.654748603351935e-001  -3.051537518337925e-001  -2.423439330091051e-001   7.291285510887631e-001
 9.676536312849141e-001  -2.871954990482635e-001  -2.403141879202096e-001   7.235755751657527e-001
 9.698324022346347e-001  -2.693915240572680e-001  -2.383202923426470e-001   7.180229630636367e-001
 9.720111731843554e-001  -2.517404196603719e-001  -2.363663844331783e-001   7.124905254736360e-001
 9.741899441340760e-001  -2.342405722302404e-001  -2.344567849556803e-001   7.069962646389646e-001
 9.763687150837966e-001  -2.168900720140924e-001  -2.325960016127765e-001   7.015561912424096e-001
 9.785474860335173e-001  -1.996866146665745e-001  -2.307887539660050e-001   6.961839319064418e-001
 9.807262569832379e-001  -1.826273497768287e-001  -2.290400003677671e-001   6.908901215437856e-001
 9.829050279329585e-001  -1.657088784256585e-001  -2.273548990013580e-001   6.856825375365350e-001
 9.850837988826792e-001  -1.489271658450139e-001  -2.257388018068988e-001   6.805657492967326e-001
 9.872625698323998e-001  -1.322774944385791e-001  -2.241971807700539e-001   6.755410045015338e-001
 9.894413407821204e-001  -1.157545673550939e-001  -2.227355017370985e-001   6.706067562524106e-001
 9.916201117318411e-001  -9.935249680279369e-002  -2.213590883084872e-001   6.657586103219552e-001
 9.937988826815617e-001  -8.306492691481063e-002  -2.200728406037269e-001   6.609898339735317e-001
 9.959776536312823e-001  -6.688520643783637e-002  -2.188810730929441e-001   6.562919673929555e-001
 9.981564245810030e-001  -5.080652610258866e-002  -2.177872112436039e-001   6.516550857097075e-001
 1.000335195530724e+000  -3.482223957213944e-002  -2.167935686383885e-001   6.470683998064584e-001
 1.002513966480444e+000  -1.892606002637867e-002  -2.159013602248834e-001   6.425206035716388e-001
 1.004692737430165e+000  -3.112386208489918e-003  -2.151105071280499e-001   6.380001472336981e-001
 1.006871508379886e+000   1.262347708015619e-002  -2.144197782479253e-001   6.334955211549176e-001
 1.009050279329607e+000   2.828527143563943e-002  -2.138269357276680e-001   6.289953656416634e-001
 1.011229050279327e+000   4.387555782502593e-002  -2.133287526048117e-001   6.244886222610542e-001
 1.013407821229048e+000   5.939582235856769e-002  -2.129212789198032e-001   6.199645870616716e-001
 1.015586592178769e+000   7.484655467988297e-002  -2.125999764270119e-001   6.154129413210219e-001
 1.017765363128490e+000   9.022723946855167e-002  -2.123598263377839e-001   6.108238639775775e-001
 1.019944134078210e+000   1.055366054077824e-001  -2.121955217448744e-001   6.061880638865983e-001
 1.022122905027931e+000   1.207727236036537e-001  -2.121015497648436e-001   6.014968396203601e-001
 1.024301675977652e+000   1.359331004959884e-001  -2.120722898844542e-001   5.967422651730678e-001
 1.026480446927373e+000   1.510148698291233e-001  -2.121021054182340e-001   5.919172213968074e-001
 1.028659217877093e+000   1.660148700784592e-001  -2.121853924702303e-001   5.870155016418991e-001
 1.030837988826814e+000   1.809297639095113e-001  -2.123166549712211e-001   5.820320425980811e-001
 1.033016759776535e+000   1.957561732271579e-001  -2.124905385996052e-001   5.769629048023589e-001
 1.035195530726256e+000   2.104907653258615e-001  -2.127018734238078e-001   5.718054171649808e-001
 1.037374301675976e+000   2.251303988394220e-001  -2.129457404615111e-001   5.665583744440461e-001
 1.039553072625697e+000   2.396721784362149e-001  -2.132174855970995e-001   5.612219282420465e-001
 1.041731843575418e+000   2.541135296436159e-001  -2.135127804565659e-001   5.557977378381036e-001
 1.043910614525138e+000   2.684522396093862e-001  -2.138277011762118e-001   5.502890428004067e-001
 1.046089385474859e+000   2.826864027831068e-001  -2.141587360773186e-001   5.447004851307962e-001
 1.048268156424580e+000   2.968144267290566e-001  -2.145028804614016e-001   5.390382344581002e-001
 1.050446927374301e+000   3.108349702935696e-001  -2.148577103526084e-001   5.333099381640718e-001
 1.052625698324021e+000   3.247468704401039e-001  -2.152213642806967e-001   5.275245446929869e-001
 1.054804469273742e+000   3.385490982557055e-001  -2.155926455643429e-001   5.216924068146686e-001
 1.056983240223463e+000   3.522406444796796e-001  -2.159710101436408e-001   5.158251574144306e-001
 1.059162011173184e+000   3.658204395219093e-001  -2.163564951562921e-001   5.099355535352200e-001
 1.061340782122904e+000   3.792872344716326e-001  -2.167497466662399e-001   5.040375322201448e-001
 1.063519553072625e+000   3.926394912525896e-001  -2.171518801678130e-001   4.981460213416765e-001
 1.065698324022346e+000   4.058753451685759e-001  -2.175643805464795e-001   4.922768019063709e-001
 1.067877094972067e+000   4.189924992541217e-001  -2.179890264650445e-001   4.864464744303259e-001
 1.070055865921787e+000   4.319882476458490e-001  -2.184277449415450e-001   4.806721717320559e-001
 1.072234636871508e+000   4.448594936093997e-001  -2.188825403780388e-001   4.749713594165890e-001
 1.074413407821229e+000   4.576027312041798e-001  -2.193554003072405e-001   4.693615063213794e-001
 1.076592178770950e+000   4.702141615951175e-001  -2.198481804744415e-001   4.638596058441326e-001
 1.078770949720670e+000   4.826897843619870e-001  -2.203625030358397e-001   4.584818506398487e-001
 1.080949720670391e+000   4.950256151779430e-001  -2.208995073657630e-001   4.532429668922182e-001
 1.083128491620112e+000   5.072180464481859e-001  -2.214596422051354e-001   4.481560212395249e-001
 1.085307262569833e+000   5.192641409066039e-001  -2.220424615805914e-001   4.432322005428840e-001
 1.087486033519553e+000   5.311622275876687e-001  -2.226462486876527e-001   4.384805757392481e-001
 1.089664804469274e+000   5.429120665018808e-001  -2.232680610022503e-001   4.339085370157089e-001
 1.091843575418995e+000   5.545151219410011e-001  -2.239036335309158e-001   4.295219005521420e-001
 1.094022346368716e+000   5.659747731356423e-001  -2.245474510290322e-001   4.253253148397083e-001
 1.096201117318436e+000   5.772960458657166e-001  -2.251931399762685e-001   4.213227845393202e-001
 1.098379888268157e+000   5.884856720226283e-001  -2.258336532864474e-001   4.175179599497582e-001
 1.100558659217878e+000   5.995519127272568e-001  -2.264617270585285e-001   4.139145685825193e-001
 1.102737430167599e+000   6.105041655028246e-001  -2.270701929660134e-001   4.105165606601902e-001
 1.104916201117319e+000   6.213528252633048e-001  -2.276522736783360e-001   4.073282492611342e-001
 1.107094972067040e+000   6.321089237427907e-001  -2.282018707438436e-001   4.043543119043340e-001
 1.109273743016761e+000   6.427839725918322e-001  -2.287136033564594e-001   4.015997143259188e-001
 1.111452513966482e+000   6.533899532745570e-001  -2.291829818128590e-001   3.990696724169874e-001
 1.113631284916202e+000   6.639393934360911e-001  -2.296063681957185e-001   3.967694772956511e-001
 1.115810055865923e+000   6.744454073468831e-001  -2.299808777514462e-001   3.947043488779471e-001
 1.117988826815644e+000   6.849218902230907e-001  -2.303044103624931e-001   3.928792108715700e-001
 1.120167597765365e+000   6.953835735066376e-001  -2.305755396875212e-001   3.912984442942410e-001
 1.122346368715085e+000   7.058460061871024e-001  -2.307934678915952e-001   3.899657704511447e-001
 1.124525139664806e+000   7.163256569955572e-001  -2.309581109925421e-001   3.888839582326962e-001
 1.126703910614527e+000   7.268396978603899e-001  -2.310701020332958e-001   3.880547496282058e-001
 1.128882681564247e+000   7.374058437556633e-001  -2.311308281031325e-001   3.874788056896167e-001
 1.131061452513968e+000   7.480421035036173e-001  -2.311426271021501e-001   3.871554683486793e-001
 1.133240223463689e+000   7.587663691176045e-001  -2.311087740771411e-001   3.870828295911598e-001
 1.135418994413410e+000   7.695961763276685e-001  -2.310335229843121e-001   3.872576954723169e-001
 1.137597765363130e+000   7.805482794752632e-001  -2.309222353449807e-001   3.876754299722270e-001
 1.139776536312851e+000   7.916385483475971e-001  -2.307812080051316e-001   3.883301587655314e-001
 1.141955307262572e+000   8.028818486293279e-001  -2.306176514224898e-001   3.892147727939599e-001
 1.144134078212293e+000   8.142919334651823e-001  -2.304396180572737e-001   3.903209525765340e-001
 1.146312849162013e+000   8.258816611278288e-001  -2.302557398208834e-001   3.916394209876623e-001
 1.148491620111734e+000   8.376630338399471e-001  -2.300751128023041e-001   3.931599696693316e-001
 1.150670391061455e+000   8.496473741648490e-001  -2.299070132593480e-001   3.948715283753353e-001
 1.152849162011176e+000   8.618455698955641e-001  -2.297606124311346e-001   3.967623049265834e-001
 1.155027932960896e+000   8.742681875089786e-001  -2.296447110682900e-001   3.988197506905835e-001
 1.157206703910617e+000   8.869256592913334e-001  -2.295673120513867e-001   4.010305452679378e-001
 1.159385474860338e+000   8.998283637789748e-001  -2.295354470394927e-001   4.033806711740655e-001
 1.161564245810059e+000   9.129866635247333e-001  -2.295548138948750e-001   4.058553377298867e-001
 1.163743016759779e+000   9.264108357274580e-001  -2.296295267567799e-001   4.084390216721294e-001
